name,city,address,key_skills,sal_from,sal_to,currency,company,experience,schedule,published_at,description,alternate_url,id
Программист-разработчик игр (Junior),Санкт-Петербург,18-я линия Васильевского острова,"['Информационные технологии', 'Разработка компьютерных Игр']",1000,2000,USD,ГравиЛинк,noExperience,flexible,2022-09-01T18:33:07+0300,"<p>Мы расширяем свою gamedev-команду и ищем заинтересованных программистов для разработки компьютерных игр под различные платформы на нашем собственном языке.</p> <p><strong>У нас вы получите возможность</strong>:<br />- получать зарплату по курсу 75 рублей за доллар, если биржевой курс опускается ниже 75, и по биржевому курсу, если он больше или равен 75<br />- приобрести глубокие и разносторонние знания, познакомившись с множеством аспектов создания компьютерных игр<br />- работать в сильной команде над уникальными продуктами, которыми можно гордиться<br />- изучать новые технологии и расти как специалист<br />- участвовать в полном цикле разработки и предлагать любые улучшения<br />- получать справедливую оплату, соразмерную вашему вкладу</p> <p><strong>Нам важно, чтобы вы</strong>:<br />- имели базовые знания математики и информационных технологий<br />- умели программировать хотя бы на одном из языков: C, C++, Rust<br />- понимали, во что превращается ваш код, и как он работает на низком уровне<br />- не боялись сложностей и получали удовольствие от решения нестандартных задач<br />- имели возможность и желание работать не менее 60 часов в месяц</p> <p><strong>Мы обрадуемся</strong>, если вы также имеете опыт/навыки работы с Unix, Android, базами данных, сетевыми протоколами, системами контроля версий, web-программирования, программирования для GPU (работы с шейдерами).</p> <p>У нас возможна удалённая работа по любому удобному вам графику.<br />Оплата производится не за количество проведённых за компьютером часов, а за завершённые задачи. Все задачи оцениваются перед выполнением.</p>",https://hh.ru/vacancy/51540882,51540882
Программист-разработчик игр (Senior),Санкт-Петербург,18-я линия Васильевского острова,"['Информационные технологии', 'Разработка компьютерных Игр']",4000,8000,USD,ГравиЛинк,moreThan6,flexible,2022-09-01T18:33:07+0300,"<p>Мы расширяем свою gamedev-команду и ищем заинтересованных программистов для разработки компьютерных игр под различные платформы на нашем собственном языке.</p> <p><strong>У нас вы получите возможность</strong>:<br />- получать зарплату по курсу 75 рублей за доллар, если биржевой курс опускается ниже 75, и по биржевому курсу, если он больше или равен 75<br />- применять все знания и опыт в сфере IT для разработки уникальных продуктов, которыми можно гордиться<br />- принимать архитектурные решения по создаваемым продуктам<br />- участвовать в полном цикле разработки и предлагать любые улучшения<br />- получать справедливую оплату, соразмерную вашему вкладу</p> <p><strong>Нам важно, чтобы вы</strong>:<br />- имели твёрдые фундаментальные знания математики и информационных технологий<br />- имели отличные знания и реальный опыт программирования на языке C, C++ или Rust (не в учебных проектах)<br />- имели отличные знания и опыт программирования для GPU (работы с шейдерами)<br />- имели опыт работы с базами данных, в том числе их проектирования<br />- хорошо ориентировались в сетевых технологиях и протоколах<br />- умели работать с системами контроля версий и ишью-трекерами<br />- хорошо понимали, во что превращается ваш код, и как он работает на низком уровне<br />- не боялись сложностей и получали удовольствие от решения нестандартных задач</p> <p><strong>Мы обрадуемся</strong>, если вы также имеете опыт/навыки работы с Unix, Android, web-программирования, знаете принципы построения компиляторов.</p> <p>У нас возможна удалённая работа по любому удобному вам графику.<br />Оплата производится не за количество проведённых за компьютером часов, а за завершённые задачи. Все задачи оцениваются перед выполнением.</p>",https://hh.ru/vacancy/51540865,51540865
Младший C++ разработчик (Облако)/Junior C++ Developer (Cloud),,,[],,,,Доктор Веб,noExperience,flexible,2022-09-02T10:28:10+0300,"<p>Облако Dr.Web - это сервис, улучшающий работу антивирусных продуктов. С его помощью мы собираем информацию о существующих и возможных угрозах в режиме реального времени. Полученные данные используются аналитиками для улучшения качества определения вирусных угроз.<br />Мы ищем коллегу, который хочет развиваться, учиться и создавать лучшие решения для защиты информации.<br /><br /><strong>Вам предстоит:</strong><br />- разрабатывать сервисы облачной инфраструктуры;<br />- решать задачи по обработке большого количества информации.<br /><br /><strong>Требования:</strong><br />- опыт разработки на C++;<br />- желание развиваться и решать сложные задачи.<br /><br /><strong>Будет плюсом:</strong><br />- опыт разработки многопоточных и сетевых приложений;<br />- опыт работы с базами данных.</p> <p> </p> <p><strong>Мы предлагаем:</strong></p> <p>• Официальное трудоустройство;</p> <p>• Современный офис на Петроградской стороне;</p> <p>• Гибкий график работы;</p> <p>• Конкурентоспособную заработную плату (обсуждается индивидуально, зависит от вашего опыта и квалификации);</p> <p>• Горячие обеды, фрукты, напитки;</p> <p>• ДМС, включая стоматологию;</p> <p>• Зону отдыха, тренажеры, полезные для работы книги.</p> <p> </p> <p>Рассматриваем в том числе студентов старших курсов и выпускников университетов.</p>",https://hh.ru/vacancy/69404680,69404680
"Младший C++ разработчик / Junior C++ Developer (Windows, GUI)",,,"['Git', 'STL', 'C++', 'CSS', 'HTML']",,,,Доктор Веб,between1And3,flexible,2022-09-02T10:46:39+0300,"<p>Графический интерфейс (GUI) является лицом антивирусного продукта. GUI позволяет демонстрировать пользователю наши защитные технологии и дает возможность управлять ими. Именно пользовательский интерфейс помогает в индикации и решении проблем безопасности.</p> <p>Перед командой разработки пользовательских интерфейсов стоит множество интересных задач, среди которых:</p> <ul> <li>обеспечение взаимодействия защитных модулей с пользователем (настройки, уведомления, состояния, управление);</li> <li>создание и поддержка элементов управления;</li> <li>реализация и оптимизация различных эффектов (анимация, прозрачность ит.д.);</li> <li>обеспечение доступности интерфейса (accessibility);</li> <li>поддержка локализации (календари, RTL и т.д.).</li> </ul> <p> </p> <p>Помимо этого, команда создает внутренние утилиты, автоматизирующие рутинные задачи и повышающие надежность процесса разработки, а также развивает модульные тесты.</p> <p>В проекте используются C++ разных поколений (С++11 и выше), Boost, WinAPI, Protobuf, Google test, html/css (библиотека HTMLayout/Sciter), при этом самой html-версткой занимается другая команда.</p> <p>Разработка ведется в Visual Studio; используется система контроля версий Git (в связке с Gitlab); весь код проходит обязательное ревью; для отлова ошибок на ранних стадиях используются статический анализатор и модульное тестирование.</p> <p>Сейчас мы ищем увлеченного начинающего разработчика для участия в реальных проектах. Мы ожидаем, что младший программист будет активно участвовать в обсуждении и решении боевых задач, не боясь предлагать свои идеи.</p> <p> </p> <p><strong>Основные обязанности: </strong></p> <ul> <li>Развитие проекта и добавление нового функционала;</li> <li>Рефакторинг наследия;</li> <li>Расширение функционала графической библиотеки;</li> <li>Исправление ошибок;</li> <li>Код-ревью других разработчиков;</li> <li>Написание юнит-тестов;</li> <li>Анализ крэш-дампов.</li> </ul> <p> </p> <p><strong>Требования: </strong></p> <ul> <li>Уверенное владение C++;</li> <li>Знание классических алгоритмов и структур данных.</li> </ul> <p><strong>Желательно:</strong></p> <ul> <li>Знакомство с html/css;</li> <li>Понимание многопоточности;</li> <li>Знание STL, Boost, WinAPI.</li> </ul> <p><strong>Мы предлагаем:</strong></p> <ul> <li>официальное трудоустройство;</li> <li>современный офис на Петроградской стороне;</li> <li>гибкий график работы;</li> <li>конкурентоспособную заработную плату (обсуждается индивидуально, зависит от вашего опыта и квалификации);</li> <li>ДМС, включая стоматологию;</li> <li>горячие обеды, фрукты, напитки;</li> <li>зону отдыха, тренажеры, полезные для работы книги.</li> </ul>",https://hh.ru/vacancy/66982749,66982749
C++ Tools Programmer,,,"['C++', 'Game Programming']",,,,Saber Interactive,between1And3,flexible,2022-08-31T15:29:39+0300,"<p>Привет!<br />Наша игровая студия Saber Interactive была основана в 2001 году и на текущий день стала одним из крупнейших разработчиков компьютерных игр с офисами по всему миру (Нью-Йорк, Санкт-Петербург, Мадрид, Минск, Порто, Сундсвалль..).<br /><br />Даже если вы далеки от GameDev, скорее всего слышали о наших проектах: Quake Champions, серия игр Halo, TimeShift, World War Z , Space Marine 2 и что важно, эти все игры сделаны на нашем С++ движке.<br /><br />В Saber работают сильные программисты, и C++ - наш основной язык разработки.<br />У нас нет кранчей, но есть много интересный задач )<br /><br />Предлагаем вам стать частью нашей команды!</p> <p> </p> <p><strong>Основные задачи:</strong></p> <ul> <li>Создание инструментальных средств для разработки игр;</li> <li>Внедрение новых фич в игровые редакторы.</li> </ul> <p> </p> <p><strong>Наши пожелания:</strong></p> <ul> <li>Знание языка С++</li> <li>Общая алгоритмическая и математическая подготовка;</li> <li>Интерес к видеоиграм.</li> </ul> <p> </p> <p><strong>Будет плюсом:</strong></p> <ul> <li>Знание C#;</li> <li>Опыт работы в игровой индустрии.</li> </ul> <p> </p> <p><strong>Мы предлагаем:</strong></p> <ul> <li>Участие в известных проектах;</li> <li>Достойную заработную плату;</li> <li>Профессиональный рост и развитие;</li> <li>Оформление по ТК РФ;</li> <li>Гибкий график работы;</li> <li>Корпоративную скидку в фитнес-клуб/бассейн;</li> <li>Бесплатное обучение английскому языку;</li> <li>ДМС;</li> <li>Отсутствие дресс-кода;</li> <li>Возможность удаленной работы;</li> <li>Помощь при переезде из других городов;</li> <li>Возможность обучения за счет компании;</li> <li>Оплата больничных в 100% размере.</li> </ul>",https://hh.ru/vacancy/68361352,68361352
Программист С++,,,"['С++', 'Game Programming', 'game development', 'C++ developer']",,,,Saber Interactive,between1And3,flexible,2022-08-31T15:29:39+0300,"<p>Привет!</p> <p>Наша игровая студия Saber Interactive была основана в 2001 году и на текущий день стала одним из крупнейших разработчиков компьютерных игр с офисами по всему миру Нью-Йорк, Санкт-Петербург, Мадрид, Минск, Порто, Сундсвалль...<br /><br />Даже если вы далеки от GameDev, скорее всего слышали о наших проектах: Quake Champions, серия игр Halo, TimeShift, World War Z , Space Marine 2 и что важно, эти все игры сделаны на нашем С++ движке.<br /><br />В Saber работают сильные программисты, и C++ - наш основной язык разработки.<br />У нас нет кранчей, но есть много интересных задач )<br /><br />Предлагаем вам стать частью нашей команды!</p> <p> </p> <p><strong>Круг задач:</strong></p> <ul> <li>Программирование видеоигр под PC и консоли последнего поколения</li> <li>Написание, поддержка и отладка игровых подсистем и инструментария</li> </ul> <p> </p> <p><strong>Наши пожелания:</strong></p> <ul> <li>Знание языка C++</li> <li>Знание объектно-ориентированного дизайна, Design Patterns</li> <li>Общая алгоритмическая и математическая подготовка</li> <li>Желание создавать качественные и передовые игры в жанре FPS</li> <li>Опыт работы в игровой индустрии и знания в специальных областях программирования видеоигр (multiplayer, rendering, tools и т.п.) будут преимуществом</li> </ul> <p> </p> <p><strong>Мы предлагаем:</strong></p> <ul> <li>Участие в амбициозных проектах мирового уровня</li> <li>Достойную заработную плату</li> <li>Профессиональный рост и развитие</li> <li>Дружный молодой коллектив</li> <li>Официальное оформление</li> <li>Гибкий график работы</li> <li>ДМС</li> <li>Корпоративную скидку в фитнес-клуб/бассейн</li> <li>Бесплатное обучение английскому языку</li> <li>Отсутствие дресс-кода</li> <li>Возможность удаленной работы</li> <li>Помощь при переезде из других городов</li> <li>Возможность обучения за счет компании</li> <li>Оплата больничных в 100% размере</li> </ul>",https://hh.ru/vacancy/68361386,68361386
Разработчик С/С++ (встраиваемое ПО),Санкт-Петербург,Чкаловский проспект,"['Git', 'Linux', 'C/C++', 'ARM', 'С', 'C++']",,,,CSI (Кристалл Сервис Интеграция),between3And6,flexible,2022-09-01T16:06:38+0300,"<p>Мы создаем новое умное устройство в линейке наших продуктов и ищем С/С++ разработчика в команду, для реализации и развития нового ПО.</p> <p><strong>Чем предстоит заниматься: </strong></p> <ul> <li> <p>разработкой ПО на С под микроконтроллеры,</p> </li> <li> <p>добавлением нового функционала в существующие проекты,</p> </li> <li> <p>поддержанием Legacy кода,</p> </li> <li> <p>разработкой протоколов взаимодействия между модулями ПО,</p> </li> <li> <p>возможность заниматься разработкой ПО на С++ под Linux на процессорах ARM.</p> </li> </ul> <p><strong>Наши ожидания от кандидата:</strong></p> <ul> <li> <p>опыт создание программ под микроконтроллеры на С более 5 лет,</p> </li> <li> <p>опыт разработки протоколов взаимодействия между внутрисистемными модулями,</p> </li> <li> <p>опыт добавления нового функционала в существующие проекты,</p> </li> <li> <p>опыт работы с embedded платформами,</p> </li> <li> <p>опыт поддержания Legacy кода,</p> </li> <li> <p>опыт работа с системой контроля версий (git или др.).</p> </li> </ul> <p><strong>Будет плюсом:</strong></p> <ul> <li> <p>опыт разработки ПО на С++ под Linux,</p> </li> <li> <p>знания особенностей ARM архитектур,</p> </li> <li> <p>разработка драйверов для принтерных механизмов,</p> </li> <li> <p>умение работать с осциллографом.</p> </li> </ul> <p><strong>Немного о нас:</strong></p> <ul> <li> <p>демократичная дружелюбная атмосфера без бюрократии, открытая к новым идеям и экспериментам,</p> </li> <li> <p>гибкий график, можно работать удаленно или в комфортном офисе на Петроградской стороне (с кухнями, душем и пр.),</p> </li> <li> <p>возможность проходить внешние курсы, участвовать в конференциях, изучать английский язык за счет компании,</p> </li> <li>белая зарплата, ДМС со стоматологией, 100% оплата больничных.</li> </ul>",https://hh.ru/vacancy/69096955,69096955
Программист-математик (C++),Санкт-Петербург,Кушелевская дорога,"['C++', 'Git', 'Алгоритмы', 'Mathematical Programming', 'MATLAB', 'OpenCV']",,200000,RUR,Специальный Технологический Центр (ООО СТЦ),between3And6,flexible,2022-09-02T12:58:37+0300,"<p><strong>Задачи:</strong></p> <ul> <li>Разработка и реализация алгоритмов обработки результатов аэрофотосъемки с использованием языка С++;</li> <li>Проектирование архитектуры ПО;</li> <li>Участие в научно-исследовательских разработках.</li> </ul> <p><strong>Требования:</strong></p> <ul> <li>Высшее техническое образование;</li> <li>Знание основ линейной алгебры и геометрии;</li> <li>Уверенное владение языком С++ (C++ 14);</li> <li>Опыт работы с системами контроля версий (Git, SVN, Mercurial).</li> </ul> <p><strong>Будет дополнительным преимуществом:</strong></p> <ul> <li>Опыт работы с *nix системами;</li> <li>Опыт использования MATLAB;</li> <li>Опыт использования библиотек OpenCV, OpenGL;</li> <li>Понимание основ геометрической оптики;</li> <li>Опыт использования Qt Framework.</li> </ul> <p><strong>Мы предлагаем:</strong></p> <ul> <li>Гибкое начало рабочего дня, работа в офисе (ст. м. пл. Мужества);</li> <li>Возможность проходить обучение по техническим направлениям (программирование на разных ЯП);</li> <li>ДМС;</li> <li>Всем сотрудникам выплачивается годовая премия (13-я заработная плата);</li> <li>Корпоративный командный спорт, компенсация фитнеса.</li> </ul>",https://hh.ru/vacancy/69413933,69413933
Стажер-разработчик бэкенда (С++),,,"['Linux', 'C++']",,,,Яндекс,noExperience,flexible,2022-08-30T14:27:45+0300,"<p>Многие инструменты в Яндексе работают с колоссальными объемами информации. Сотни миллиардов ссылок, десятки петабайт данных — таковы система управления кластером, поисковый runtime и другие компоненты, от которых зависят надежность и производительность Поиска.</p> <p>Такую же проверку на прочность миллионами запросов испытывают ежедневно Маркет, Карты, Метрика, ротатор баннеров Яндекса и платформа распределенных вычислений YT. Каждая из этих систем содержит множество взаимосвязанных компонентов с очень высокими требованиями к производительности, отказоустойчивости и надежности.</p> <p>Если вам интересно заниматься такими решениями для масштабных проектов, приходите к нам. Здесь вам предстоит работать с высоконагруженными отказоустойчивыми системами и сталкиваться с действительно интересными инженерными задачами.</p> <p><strong>Требования:</strong></p> <ul> <li>знание языка программирования С++;</li> <li>отличное знание алгоритмов и структур данных;</li> <li>опыт разработки в Unix или Linux (приветствуется).</li> </ul> <p><strong>Условия:</strong></p> <ul> <li>крутой офис в центре Москвы со всем необходимым для комфортной работы и отдыха;</li> <li>оплачиваемая стажировка: 40, 30 или 20 часов в неделю;</li> <li>длительность стажировки от 3 до 6 месяцев;</li> <li>компенсация питания;</li> <li>гибкий график: мы не контролируем, кто во сколько приходит и уходит, главное для каждого из нас — выполнять задачи;</li> <li>экспертная и талантливая команда, у которой можно многому научиться;</li> <li>культура открытости и взаимопомощи: у нас работают люди, вовлеченные в процесс и небезразличные к тому, что они делают;</li> <li>реальные задачи, которые мы дадим решать во время стажировки;</li> <li>работа в технологической компании над полезными сервисами, которыми пользуются миллионы людей;</li> <li>возможность перехода в штат по результатам стажировки.</li> </ul>",https://hh.ru/vacancy/69305579,69305579
Разработчик C++ (облако) / C++ developer (cloud),,,[],,,,Доктор Веб,between1And3,flexible,2022-09-02T10:46:53+0300,"<p>Облако Dr.Web - проект, который улучшает работу антивирусных продуктов и оперативно собирает информацию об угрозах, в том числе тех, которые ещё неизвестны. Полученная информация анализируется в нашей Вирусной Лаборатории, что позволяет защищать наших пользователей от самых новых угроз. Мы ищем опытного разработчика, которому предстоит участвовать в развитии нашей облачной архитектуры.<br /><br /><strong>Основные обязанности:</strong></p> <ul> <li>Создание и поддержка сервисов в облачной инфраструктуре</li> <li>Развитие архитектуры и реализация нового функционала</li> </ul> <p><br /><strong>От Вас мы ожидаем:</strong></p> <ul> <li>Отличное знание С++(11/14/17) и STL</li> <li>Понимание базовых алгоритмов и структур данных</li> </ul> <p><br /><strong>Будет плюсом:</strong></p> <ul> <li>Опыт разработки сетевых и многопоточных приложений</li> <li>Опыт работы с базами данных (Clickhouse, PostgreSQL)</li> <li>Знание golang</li> <li>Знание ОС Linux на уровне опытного пользователя</li> </ul> <p><strong>Мы предлагаем:</strong></p> <ul> <li>Официальное трудоустройство;</li> <li>Современный офис на Петроградской стороне;</li> <li>Гибкий график работы;</li> <li>Конкурентоспособную заработную плату (обсуждается индивидуально, зависит от вашего опыта и квалификации);</li> <li>ДМС, включая стоматологию;</li> <li>Горячие обеды, фрукты, напитки;</li> <li>Зону отдыха, тренажеры, полезные для работы книги.</li> </ul>",https://hh.ru/vacancy/55484787,55484787
