name,city,address,key_skills,sal_from,sal_to,currency,company,experience,schedule,published_at,description,alternate_url,id
C++ developer (Senior),Санкт-Петербург,улица Льва Толстого,"['Objective-C', 'Java', 'ООП', 'iOS', 'Android', 'C/C++']",420000,480000,RUR,Вайт Код,between3And6,fullDay,2022-09-01T10:55:56+0300,"<p><strong>White Сode</strong> - IT компания, которая занимается разработкой и запуском собственных веб и мобильных приложений для международного рынка. Мы являемся продуктовой компанией, никакого аутсорсинга. Только СВОИ интересные проекты в сфере рекламы, развлечений и финтеха, реализуемые как в России, так и на мировом рынке.</p> <p>Для реализации новых проектов мы ждем ТЕБЯ в свою команду – талантливого и ответственного C++ разработчика.</p> <p><strong>Чем интересным предстоит заниматься:</strong></p> <ul> <li>Разработкой Chromium-based браузера под iOS/Android;</li> <li>Проведением глубокого анализа в рамках поставленных задач;</li> <li>Поддержкой, развитием и оптимизацией проектов;</li> <li>Разработкой новой функциональности и улучшением имеющейся;</li> <li>Здорово, если ты умеешь генерировать идеи, умеешь их аргументировать и способен брать ответственность за их воплощение и внедрение;</li> </ul> <p><strong>Навыки, которые необходимы:</strong></p> <ul> <li>Опыт разработки на С++11/17/20;</li> <li>Опыт разработки на Java под Android и Objective-C под iOS;</li> <li>Знание основных алгоритмов‚ понимание скорости их работы;</li> <li>ООП, Design Patterns, Multi Threading;</li> <li>Умение проектировать и писать понятный, сопровождаемый код, разбираться и работать с чужим кодом;</li> <li>Навыки алгоритмической оптимизации кода;</li> <li>Знание английского языка на уровне чтения технической документации.</li> </ul> <p><strong>Мы рады предложить тебе:</strong></p> <ul> <li>Офис - бизнес центр класса А в центре Санкт-Петербурга площадью 700 кв.м. со своей кухней, спортзалом, зоной для отдыха;</li> <li>Высокую оплату труда (350-400+ т.р. на руки);</li> <li>Интересные проекты в команде крутых специалистов;</li> <li>Официальное трудоустройство согласно ТК РФ, если нет препятствий к оформлению в России. Для остальных, в том числе иностранцев, заключаем договор ГПХ;</li> <li>Возможность выбора оборудования для работы (на данный момент выбор большинства iMac 27”);</li> <li>ДМС высокой категории в СК «РЕСО-Гарантия» (более 150 клиник, включая стоматологию, амбулаторное лечение, вызов скорой помощи, стационар);</li> <li>Оплачиваемые обеды;</li> <li>Лояльный график с началом рабочего дня в 9.30 или 11.00. Обед, продолжительностью 1 час, в удобное время.<br /><br />Постарайся к отклику, помимо резюме, прикрепить проект, компонент или библиотеку, которыми ты гордишься, чтобы мы посмотрели на твой код.<br /><br /><strong>До встречи в White Code!</strong></li> </ul>",https://hh.ru/vacancy/54779662,54779662
"Программист SQL, c#/c++",Санкт-Петербург,улица Фучика,"['MS SQL', 'C++', 'C#']",200000,,RUR,Карвиль,between1And3,fullDay,2022-09-02T11:16:54+0300,"<p><strong>В нашу дружную команду требуется разработчик хорошо владеющий sql и одним из языков c# или c++ или delphi, готовый изучить delphi.</strong><br />Вам предстоит решать задачи связанные с ВЭД, управлением потоками денег, товаров, различными прогнозами, развитием производственных и складских процессов, настройкой обмена по http json, xml, КРИПТО ПРО, драйверов касс и прочее и прочее. Система построена на базе delphi+rad server+ms sql. Есть программы и модули на C++ и C#.</p> <p><strong>Как мы работаем:</strong></p> <p>- Ведение задач в youtrack.</p> <p>- Отсутствие жестокой приверженности agile или waterfall. Отбираем наиболее ценные задачи, если надо декомпозируем и делаем.</p> <p>- Отсутствие бюрократии. Вы можете общаться с заказчиком на прямую, практически полное отсутствие бестолковых совещаний, нет отчетов за каждый шаг, мы просто делаем свое дело.</p> <p><strong>Требования:</strong></p> <p><strong>- Готовность изучить delphi.</strong></p> <p><strong>- Хорошее знание c# или c++.</strong></p> <p><strong>- Оч хорошее знание sql, лучше именно ms sql. Вам придется писать производительные ХП, функции, триггеры.</strong></p> <p><strong>- Светлая голова, ясный и цепкий ум </strong></p> <strong>Условия:</strong> <p>1) Оформление по ТК РФ</p> <p>2) График работы: с 08.30 до 17.00 (в пт до 16.30), сб и вс - выходные.</p> <p>3) Своевременная оплата труда плюс ежемесячные премии по итогам работы</p> <p>4) Соц пакет после года работы (ДМС, фитнес - на выбор)</p> <p>5) Молодой и дружный коллектив</p> <p>6) Бесплатное питание</p> <p>7) Полный рабочий день на территории работодателя.</p>",https://hh.ru/vacancy/68779382,68779382
C++ developer (Middle),Санкт-Петербург,улица Льва Толстого,"['Objective-C', 'Java', 'ООП', 'iOS', 'Android', 'C/C++']",250000,400000,RUR,Вайт Код,between3And6,fullDay,2022-09-02T18:41:03+0300,"<p><strong>White Сode</strong> - IT компания, которая занимается разработкой и запуском собственных веб и мобильных приложений для международного рынка. Мы являемся продуктовой компанией, никакого аутсорсинга. Только СВОИ интересные проекты в сфере рекламы, развлечений и финтеха, реализуемые как в России, так и на мировом рынке.</p> <p>Для реализации новых проектов мы ждем ТЕБЯ в свою команду – талантливого и ответственного C++ разработчика.</p> <p><strong>Чем интересным предстоит заниматься:</strong></p> <ul> <li>Разработкой Chromium-based браузера под iOS/Android;</li> <li>Проведением глубокого анализа в рамках поставленных задач;</li> <li>Поддержкой, развитием и оптимизацией проектов;</li> <li>Разработкой новой функциональности и улучшением имеющейся;</li> <li>Здорово, если ты умеешь генерировать идеи, умеешь их аргументировать и способен брать ответственность за их воплощение и внедрение;</li> </ul> <p><strong>Навыки, которые необходимы:</strong></p> <ul> <li>Опыт разработки на С++11/17/20;</li> <li>Опыт разработки на Java под Android и Objective-C под iOS;</li> <li>Знание основных алгоритмов‚ понимание скорости их работы;</li> <li>ООП, Design Patterns, Multi Threading;</li> <li>Умение проектировать и писать понятный, сопровождаемый код, разбираться и работать с чужим кодом;</li> <li>Навыки алгоритмической оптимизации кода;</li> <li>Знание английского языка на уровне чтения технической документации.</li> </ul> <p><strong>Мы рады предложить тебе:</strong></p> <ul> <li>Офис - бизнес центр класса А в центре Санкт-Петербурга площадью 700 кв.м. со своей кухней, спортзалом, зоной для отдыха;</li> <li>Высокую оплату труда (180-300+ т.р. на руки);</li> <li>Интересные проекты в команде крутых специалистов;</li> <li>Официальное трудоустройство согласно ТК РФ, если нет препятствий к оформлению в России. Для остальных, в том числе иностранцев, заключаем договор ГПХ;</li> <li>Возможность выбора оборудования для работы (на данный момент выбор большинства iMac 27”);</li> <li>ДМС высокой категории в СК «РЕСО-Гарантия» (более 150 клиник, включая стоматологию, амбулаторное лечение, вызов скорой помощи, стационар);</li> <li>Оплачиваемые обеды;</li> <li>Лояльный график с началом рабочего дня в 9.30 или 11.00. Обед, продолжительностью 1 час, в удобное время.<br /><br />Постарайся к отклику, помимо резюме, прикрепить проект, компонент или библиотеку, которыми ты гордишься, чтобы мы посмотрели на твой код.<br /><br /><strong>До встречи в White Code!</strong></li> </ul>",https://hh.ru/vacancy/55318745,55318745
C++ разработчик Windows приложений,Санкт-Петербург,улица Рылеева,"['.NET Framework', 'C#', 'SQL', 'MS SQL Server', 'C++']",150000,,RUR,Монолит-Инфо,between3And6,fullDay,2022-09-02T14:16:26+0300,"<p>Мы ищем разработчика на C++ для поддержки существующих и создания новых интерфейсных модулей для десктоп-клиента ERP-системы Монолит, которая является собственной разработкой нашей компании и ориентирована на рынок FMCG. Наша система активно развивается в соответствии с запросами наших клиентов.</p> <p> </p> <p><strong>Мы предлагаем:</strong></p> <p> </p> <p>работу в дружеской обстановке в надёжной компании (Основана в 1991 году в Ленинграде и пережила все экономические кризисы),</p> <p>стабильный доход с ежегодной индексацией, премиями по результатам работы, ДМС, частичную компенсацию фитнеса,</p> <p>гибкий график, возможность работать частично-удаленно (Офис в центре в 5 минут пешком от метро)</p> <strong>Обязанности:</strong> <ul> <li>разработка новых и поддержка существующих проектов в роли разработчика Windows-приложений в составе команды разработчиков и продукт-менеджеров</li> </ul> <strong>Требования:</strong> <ul> <li>опыт коммерческой разработки на C++ от 3 лет</li> <li>опыт разработки на MFC</li> <li>уверенное знание платформы Win32</li> <li>умение читать и понимать код С#</li> </ul> <p><strong>Плюсом будет:</strong></p> <ul> <li>опыт работы с OLE</li> <li>Умение писать базовые SQL запросы;</li> <li>опыт разработки в MS Office + VBA</li> </ul> <ul> </ul>",https://hh.ru/vacancy/69418631,69418631
Программист С++/Qt,Санкт-Петербург,Заставская улица,"['C/C++', 'Qt', 'Bash']",100000,,RUR,Аргун-Софт,between1And3,fullDay,2022-09-01T11:15:13+0300,"<p><strong>Обязанности:</strong></p> <ul> <li>Разработка и поддержка ПО на C++ (QT) под Windows, Linux.</li> </ul> <p><strong>Требования:</strong></p> <ul> <li>профильное высшее-техническое образование;</li> <li>знание шаблонов (паттернов) программирования и принципов SOLID;</li> <li>навыки применения шаблонов проектирования и принципов объектно-ориентированного программирования (ООП);</li> <li>навыки применения принципов SOLID;</li> <li>опыт разработки с использованием библиотеки Qt;</li> <li>опыт работы с библиотекой STL;</li> <li>опыт работы в Visual Studio 2015/2017 (С++);</li> <li>опыт работы в QtCreator;</li> <li>опыт работы с TCP/IP;</li> <li>опыт разработки многопоточных приложений.</li> </ul> <p><strong>Дополнительно приветствуется:</strong></p> <ul> <li>технический английский язык;</li> <li>GIT, SVN.</li> </ul> <p><strong>Преимущества работы в ООО &quot;Аргун-Софт&quot;:</strong></p> <ul> <li>официальное трудоустройство с первого дня работы, оформление согласно ТК РФ;</li> <li>стабильность (в т.ч. в выплате заработной платы) - работаем с гособоронзаказами, которые финансируются из бюджета;</li> <li>своевременные выплаты 2 раза в месяц;</li> <li>премии в конце календарного года;</li> <li>работа в выходные дни в командировках оплачивается согласно ТК РФ;</li> <li>возможность обучения и повышения квалификации за счет компании;</li> <li>индивидуальный зарплатный рост, карьерный рост;</li> <li>дружный коллектив, лояльное руководство;</li> <li>четкая система наставничества;</li> <li>ДМС: оформляется в конце испытательного срока;</li> <li>хорошее оснащение рабочих мест;</li> <li>корпоративные мероприятия;</li> <li>график работы 5/2: с 9:00 до 18:00 или с 10:00 до 19:00.</li> </ul>",https://hh.ru/vacancy/69077539,69077539
Junior C++ Programmer (стажер),,,"['Работа в команде', 'C++']",,,,Lesta Games,noExperience,fullDay,2022-08-31T16:02:24+0300,"<p>Мы в<strong> Lesta Games </strong>(Санкт-Петербург, Москва, Минск)<strong> </strong>ведем разработку игровых проектов в различных жанрах и для разных платформ, а также экспериментируем с инструментами и технологиями. Мы уже выпустили несколько игр, аудитория которых насчитывает миллионы игроков по всему миру. Но мы не планируем останавливаться на достигнутом – впереди много работы, чтобы сделать наши проекты еще более успешными.</p> <p>Мы открываем <strong>стажировку С++</strong>, и ищем талантливых людей, желающих развиваться в творческом коллективе и участвовать в создании игр мирового уровня. Стажировка подразумевает <strong>полный рабочий день и возможность последующего сотрудничества с нашим проектом</strong>.</p> <p> </p> <p><strong>Что для нас важно:</strong></p> <ul> <li>Хорошие знания C++;</li> <li>Техническая грамотность;</li> <li>Техническое образование (также студенты последних курсов);</li> <li>Умение и готовность работать в команде, усидчивость и ответственность;</li> <li>Желание развиваться в сфере программирования игр.</li> </ul> <p> </p> <p><strong>Что предлагаем:</strong></p> <ul> <li>Заработную плату, которая учитывает официальный курс доллара США;</li> <li>Возможность продолжения сотрудничества;</li> <li>Расширенный полис ДМС, компенсация спорта и питания;</li> <li>Релакс-зоны с массажными креслами Yamaguchi и топовыми кофемашинами.</li> <li>Мы тестируем наши продукты в игровых с мощным железом и приставками. Но если хотите размяться в офлайне, у нас есть настольный теннис, хоккей и кикер.</li> <li>Work-life balance: приходим в офис с 9 до 10, уходим с 18 до 19.</li> </ul>",https://hh.ru/vacancy/68162579,68162579
Инженер-программист (junior),Санкт-Петербург,набережная Обводного канала,"['C/C++', 'Техническая документация', 'Алгоритмы']",50000,100000,RUR,Котлин-Новатор,between1And3,fullDay,2022-09-02T13:12:41+0300,"<strong>Обязанности:</strong> <ul> <li>Разработка компонентов ПО драйверов и библиотек операционных систем реального времени.</li> <li>Участие в создании необходимой программной инфраструктуры для разработки ПО платформ на базе различных процессоров (ARM, PowerPC, отечественные процессоры).</li> <li>Разработка отдельных модулей прикладного ПО РЛС, систем индикации и т.д. с использованием операционных систем реального времени.</li> <li>Разработка тестов оборудования на основе технических описаний;</li> </ul> <strong>Требования:</strong> <p>знания и навыки:</p> <ul> <li>высшее или среднее специальное образование по технической специальности.</li> <li>уверенное знание языка программирования Си;</li> <li>технический английский язык на достаточном уровне для чтения документации;</li> <li>общая техническая грамотность; понимание общих принципов построения и функционирования компьютерных систем и архитектуры;</li> <li>ответственность, аккуратность, обучаемость, внимательность.</li> <li> <p><strong>Являются преимуществом:</strong></p> </li> <li> <p>опыт программирования микроконтроллеров, микропроцессоров на низком уровне;</p> </li> <li> <p>опыт разработки ПО для встраиваемых систем;</p> </li> <li> <p>опыт работы с ОС реального времени (например, VxWorks, QNX);</p> </li> <li> <p>умение читать/писать ассемблерный код.</p> </li> </ul> <strong>Условия:</strong> <ul> <li>Стабильная работа на крупном предприятии:</li> <li>Конкурентный уровень заработной платы;</li> <li>Быстрый карьерный рост и обширные возможности для развития по разным направлениям.</li> <li>Оформление, предоставление льгот и гарантий в полном соответствии с ТК РФ;</li> <li>ДМС, включая стоматологию, после прохождения испытательного срока;</li> <li>График работы: понедельник-пятница;<br />с 8:00 до 16:30;</li> <li>Собственный бесплатный тренажерный зал;</li> <li>Современный офис;</li> <li>Наличие кафе на территории предприятия (доступные цены и разнообразное меню);</li> <li>Охраняемая авто и велопарковка;</li> <li>Работа в районе станции метро «Площадь Александра Невского» (наличие корпоративной развозки).</li> </ul>",https://hh.ru/vacancy/69415171,69415171
Программист C/C++,,,"['Python', 'Git', 'ООП', 'Django Framework', 'CSS']",130000,180000,RUR,Лиман-трейд,between3And6,fullDay,2022-09-01T10:40:23+0300,"<p>В команду по разработке устройства на базе Cortex A7 требуется разработчик</p> <p><strong>Обязанности:</strong></p> <p>Работа с embedded Linux, написание программ на C/C++</p> <p>Разработка, развитие и поддержка RunTime приложения, выполняющегося под управлением ОС Linux на целевой платформе;</p> <p> Разработка, развитие и поддержка дистрибутива Linux и SDK для целевой платформы</p> <p>Написание драйверов</p> <p><strong>Требования:</strong></p> <p> </p> <p>Знание основ bash</p> <p>Знание систем сборки BuildRoot/Yocta</p> <p>Знание основ кросс-компиляции</p> <p>Знание средств разработки и отладки gcc, Makefile, CMake, Shell scripting</p> <p>Опыт от 3 лет</p> <p>Уровень английского: чтение текстов</p> <p>Желателен опыт по разработке проекта SoftPLC</p> <p><strong>Условия:</strong></p> <p>Можно удаленно (оборудование предоставляется), можно - в офисе.</p>",https://hh.ru/vacancy/68554322,68554322
Программист/разработчик C++,,,[],111111,,RUR,НТЦ Электрозонд,between1And3,fullDay,2022-09-01T17:04:20+0300,"<p>Мы - <strong>АО «Научно-технический центр «Электрозонд»</strong>, компания которая вот уже 30 лет занимается передовыми разработками высокотехнологичного оборудования для обеспечения обороноспособности нашей Родины. За все время существования нашими руками были созданы изделия с уникальными характеристиками, мы неоднократно показали что не просто конкурируем, а устойчиво занимаем лидирующие позиции на рынке. Ежегодно, Заказчиком принимаются наши решения в части модернизации и рассматриваются новаторские проекты. Наш коллектив это начинающие специалисты и опытные сотрудники с широким кругозором. Балансируя на грани науки и техники мы находим применение самым смелым идеям. Сегодня мы ищем коллегу и товарища в отдел разработки программно-математического обеспечения (ПМО).</p> <p><strong>Мы желаем Вам поручить</strong>:</p> <ul> <li>разработку специального ПМО для лидарных комплексов;</li> <li>разработку и реализацию алгоритмов функциональной логики, сбора и обработки данных, GUI;</li> <li>поддержку legacy кода;</li> </ul> <p><strong>Что мы ждем от Вас</strong>:</p> <ul> <li>наличия законченного высшего технического образования в сфере IT, инженерных специальностей, математики;</li> <li>уверенного понимания С++ 11/14/17, STL;</li> <li>понимания QT (core, gui, widgets, concurrent, network и т.д.)</li> <li>понимания базовых алгоритмов, структур данных, контейнеров;</li> <li>понимания ООП, шаблонов проектирования (design patterns);</li> <li>владения Linux на уровне пользователя;</li> <li>опыта работы с git и системами управления проектами;</li> <li>умение работать с большим объёмом кода;</li> <li>английского на уровне чтения технической документации.</li> </ul> <p><strong>Для Вас будет плюсом:</strong></p> <ul> <li>желание разбираться в предметной области;</li> <li>хорошая алгоритмическая и математическая подготовка (линейная алгебра, мат.статистика);</li> <li>наличие общего представления об C# (.NET, WinForms/WPF);</li> <li>опыт разработки и отладки многопоточных и распределенных приложений;</li> <li>понимание микросервисной архитектуры;</li> <li>опыт работы с Postgres;</li> <li>опыт работы с Astra Linux.</li> </ul> <p><strong>Личные качества мы видим у Вас:</strong></p> <ul> <li>развитые &quot;soft skills&quot;;</li> <li>способность быстрого переключения между задачами.</li> </ul> <p><strong>Мы будем рады предложить Вам:</strong></p> <ul> <li>проекты, позволяющие повышать свой профессиональный уровень, и интересные задачи подобранные специально для Вас с учетом ваших желаний и возможностей;</li> <li>гибкую и прозрачную систему премирования;</li> <li>полностью официальное оформление по ТК РФ (оплачиваемый отпуск, больничный лист и т.д.);</li> <li>современный комфортный офис (не openspace) в 10 минутах ходьбы от метро Нарвская;</li> <li>возможность управлять временем начала рабочего дня;</li> <li>возможность получения профессиональных сертификатов и прохождения курсов повышения квалификации за счёт компании.</li> </ul> <p> </p> <p>Окончательный уровень зарплаты определяется по результатам собеседования.</p> <p> </p> <p><strong>Просим обратить внимание!</strong></p> <p>1. Вакансия <strong>не </strong>предполагает удаленную работу, частичную занятость, совместительство;</p> <p>2. Просим соискателей пользоваться <strong>только</strong> средствами сайта hh для связи с нами.</p>",https://hh.ru/vacancy/68578886,68578886
Senior C++ Developer to Armenia,,,"['Python', 'Fluent English', 'C++']",,,,Synopsys,between1And3,fullDay,2022-09-03T11:14:42+0300,"<p>We are an R&amp;D team working on producing the high-quality development toolchain for ARC family of configurable processors. We are looking for an engineer like you to be part of the team to work on a world-class highly optimizing feature-rich compiler.<br /><br /><strong>Key responsibilities </strong></p> <ul> <li>Development and maintenance of the OpenCL-C headers as a part of the optimizing compiler.</li> <li>Report on functional and performance regressions.</li> <li>Work closely with the customer support and engineering to diagnose issues, create testcases and verify the fixes.</li> <li>Creation of technical documentation and presentations describing toolchain.</li> </ul> <p><strong>Key qualifications</strong></p> <ul> <li>Proficient programming skills in C++</li> <li>Good knowledge of Python and script languages</li> <li>Understanding of the working of the development tools such as compilers, debuggers, simulators, etc.</li> <li>BSCS degree or equivalent, MSCS preferred</li> <li>Fluent English is a must</li> </ul>",https://hh.ru/vacancy/66640878,66640878
