name,city,address,key_skills,sal_from,sal_to,currency,company,experience,schedule,published_at,description,alternate_url,id
Разработчик C/C++,,,"['Удаленная работа', 'SSH', 'Работа в условиях многозадачности', 'RDP', 'C/C++', 'Unix', 'Git', 'ООП']",170000,,RUR,Среда Капитал,between3And6,remote,2022-09-02T12:44:51+0300,"<p>В рамках работы над проектом системы управления привилегированными пользователями (PAM) ищем в команду разработчика на C/С++.</p> <p><strong>Обязанности:</strong></p> <ul> <li>Разработка серверного модуля работы с RDP и SSH сессиями (проксирование, запись, кейлогинг).</li> </ul> <strong>Требования:</strong> <ul> <li>Опыт коммерческой разработки на C/C++ от 3-х лет.</li> <li>C++ 11/14/17.</li> <li>Опыт разработки под *.nix.</li> <li>Опыт написания многопоточных программ.</li> <li>Активная практика использования ООП и паттернов проектирования.</li> <li>Владение техникой RAII.</li> <li>Опыт работы WinDbg, GDB, LLDB.</li> <li>Знания и понимание работы RDP и SSH на уровне протоколов будет плюсом.</li> <li>Опыт работы с мультимедиа (аудио-видео кодеки, H.264, H.263, и т.п.).</li> <li>Опыт работы с высоконагруженными распределенными системами.</li> <li>Понимание микросервисной архитектуры.</li> <li>Опыт работы с CMake.</li> <li>Опыт работы с STL.</li> <li>Опыт работы с Docker.</li> </ul> <strong>Условия:</strong> <ul> <li>Оформление по трудовой;</li> <li>Удаленная работа;</li> <li>Испытательный срок 3 мес.</li> <li>ДМС (через 5 мес.).</li> </ul>",https://hh.ru/vacancy/69300055,69300055
Senior C++ Developer,,,"['Git', 'C++', 'Linux', 'Unit Testing', 'OpenCV', 'SOLID', 'ООП']",180000,250000,RUR,Индид,between3And6,remote,2022-09-03T11:26:22+0300,"<p>Компания «Индид» - российский разработчик программных B2B решений в области информационной безопасности для крупных корпоративных заказчиков, в числе которых: Пенсионный фонд РФ, Новатек, Роснефть, Газпром, Газпром нефть, Альфабанк, Мегафон, МТС, Магнит, Банк ВТБ, Банк «Санкт-Петербург» и другие.</p> <p><br />Мы разрабатываем линейку продуктов, включающую в себя решения для: обеспечения строгой аутентификации сотрудников компаний (по биометрической модели лица, отпечатку пальца, рисунку вен ладони, смарт-картам, бесконтактным картам, одноразовым паролям и др.), организации единой точки доступа в ОС и приложения (Enterprise Single Sign-On), защиты удаленного доступа, управления жизненным циклом цифровых сертификатов и доступом привилегированных пользователей к важным корпоративным ресурсам.</p> <p><br />Офисы компании находятся в Санкт-Петербурге, Москве, Великом Новгороде, Вильнюсе и Сингапуре.</p> <p><br />Подробнее о нас читайте в описании компании.</p> <p> </p> <p><strong>Ожидаем от вас:</strong></p> <ul> <li>Понимание принципов OOП</li> <li>Знание паттернов проектирования, принципов SOLID</li> <li>Опыт проектирования архитектуры современных программных систем</li> <li>Отличное знание C++</li> <li>Уверенное знание принципов работы операционной системы Windows, опыт разработки системного ПО</li> <li>Опыт работы с Git</li> <li>Умение работать с чужим кодом</li> <li>Английский язык, достаточный для понимания технической документации</li> </ul> <p><strong>Вашим плюсом будет:</strong></p> <ul> <li>Умение писать unit-тесты</li> <li>Знание Linux, опыт разработки ПО под Linux</li> <li>Опыт разработки библиотек, SDK</li> <li>Опыт реверс-инжиниринга</li> <li>Опыт работы с OpenCV</li> </ul> <p> </p> <p><strong>Мы предлагаем:</strong></p> <ul> <li>Дружественная атмосфера в команде</li> <li>Современные практики (общее владение кодом, code review, CI, автотестирование)</li> <li>Современные инструменты (Gitlab, TeamCity, YouTrack, Confluence, Slack)</li> <li>Востребованные продукты, лидирующие в своих рыночных сегментах в России</li> <li>Большие возможности для профессионального роста</li> <li>Регулярный пересмотр уровня зп</li> </ul> <p> </p> <p> </p>",https://hh.ru/vacancy/69333516,69333516
Senior C++ developer,,,"['ООП', 'C++', 'C/C++', 'STL', 'Базы данных']",3000,4000,USD,Jing Technology,moreThan6,remote,2022-09-02T10:45:48+0300,"<p><strong>Обязанности:</strong></p> <ul> <li>Разработка и сопровождение компонентов многофункциональных кроссплатформенных приложений</li> <li>Техническое развитие продукта</li> <li>Сопровождение существующей кодовой базы</li> <li>Создание критически важных, высококачественных программных продуктов</li> </ul> <p><strong>Требования:</strong></p> <ul> <li>Свободное владение C++ (от 11 и выше, STL, Boost, Clang, MSVC)</li> <li>Глубокое понимание принципов ООП и принципов разработки программ</li> <li>Хорошее знание алгоритмов и шаблонов проектирования</li> <li>Опыт разработки многопоточных приложений</li> <li>Опыт разработки сетевых приложений (TCP, UDP, sockets, REST)</li> <li>Опыт работы и проектирования реляционных баз данных</li> <li>Владение основными средствами разработки и контроля версий</li> <li>Умение разобраться в чужом коде, умение работать в команде</li> <li>Умение и желание работать в команде, аккуратность, ответственность</li> <li>Нацеленность на долгосрочное сотрудничество</li> </ul> <p><strong>Преимущества работы в нашей компании:</strong></p> <ul> <li>Возможность развития своих навыков программирования</li> <li>Работа в команде профессионалов с опытом работы более 6 лет</li> <li>Работа идет только над собственной линейкой продуктов</li> <li>Возможность творческого подхода при решении поставленных задач</li> </ul> <p><strong>Условия:</strong></p> <ul> <li>remote, fulltime</li> </ul>",https://hh.ru/vacancy/68777079,68777079
Senior C++ Developer,,,"['Qt', 'C++', 'STL', 'Linux', 'Опыт практического применения: C++11/17;', 'Опыт практического применения: QT5, QML']",180000,230000,RUR,МПК Софт,between1And3,remote,2022-09-01T19:22:23+0300,"<p><strong>О компании</strong></p> <p>Компания ООО &quot;МПК Софт&quot; специализируется на разработке прикладных приложений для настольных, мобильных и встраиваемых систем под управлением операционных систем Windows, GNU/Linux, Android, MacOS. Мы ищем интересные технологичные проекты и компании, в которых необходимы наши знания и опыт для решения задач, возникающих в процессе разработки.</p> <p><strong>О проектах</strong></p> <p>Наш новый проект — разработка системы управления рентген-досмотрового комплекса. Комплекс программ предназначен для управления серией современных специализированных рентгеновских аппаратов, обеспечивает предварительную настройку технических средств, захват изображения и его последующую автоматизированную обработку. В данном проекте применяются математические методы обработки изображения, в перспективе планируется внедрение нейросетевой аналитики для автоматизированного выявления дефектов исследуемого объекта. Средства разработки: C++/17, QT/QML, OpenCV, Python, Golang.</p> <p>- знание С++/17, QT/QML (обязательно);</p> <p>- знание Python/Golang (желательно).</p> <p><br />Следующий наш проект совместный с компанией-производителем коммерческих радарных систем безопасности. Разрабатываемая нами система способна выявлять объекты размером с небольшого дрона на дистанциях до 1 км. Система предназначена определять скорость и направления движения пешеходов, транспортных средств, дронов и помогать обеспечивать защиту периметра . Программное обеспечение проекта предназначено для функционирования на платформах Windows и GNU/Linux, содержит элементы искусственного зрения, стриминга и воспроизведения видео, работу с гео-данными. Заказчик планирует распространять программу под opensource-лицензией. Средства разработки: C++/17, QT/QML, OpenCV, Python, Golang.</p> <p>- знание С++/17, QT/QML (обязательно);</p> <p>- знание Python/Golang (желательно);</p> <p>- компьютерное зрение/работа с видео (обязательно);</p> <p>- опыт разработки с PyTorch/CUDA (желательно).</p> <p><br /><strong>Кого мы ищем</strong></p> <p>Мы хотим пополнить свою команду разработчиками - профессионалами своего дела, такими же фанатами как и мы. В настоящий момент мы ищем разработчиков С++/17 с практическим применением QT и QML уровня Middle и Senior для работы над одним из вышеперечисленных проектов. Присоединяйтесь, будет интересно! :-)</p> <p><strong>Общие требования к соискателям:</strong></p> <p>Опыт практического применения: C++17, QT5, QML;</p> <p>Git: понимание принципов работы, умение работать с ветками, pull-requests, понимание merge и rebase;</p> <p>Опыт разработки кроссплатформенного ПО (Linux, Windows, Mac).</p> <p>Будет плюсом:</p> <p>Опыт практического применения других языков программирования (Python, JS, Go и другие);</p> <p>Математическая подготовка: основы линейной алгебры и аналитической геометрии, основы теории вероятностей;</p> <p>Алгоритмическая подготовка: знание базовых алгоритмов (контейнеры, сортировка, поиск), представление о сложности алгоритмов и их оптимизации;</p> <p>Владение английским языком на уровне Pre-Intermediate и выше.</p> <p><br /><strong>Мы предлагаем:</strong></p> <p>Интересные серьезные проекты;</p> <p>Налаженные рабочие процессы;</p> <p>Честная зарплата, регулярный пересмотр в формате Performance Interview &amp; Review;</p> <p>Удаленная работа и гибкий рабочий график;</p> <p>Возможность работать в офисе по желанию;</p> <p>Оформление по ТК или через ИП;</p> <p>Среднемесячная заработная плата в размере 180 000 рублей - 230 000 рублей (net);</p> <p>Премии по результатам выполнения проектов;</p> <p>Испытательный срок 3 месяца;</p> <p>Предоставление ежегодного оплачиваемого отпуска;</p> <p> </p> <p><strong>Что Вы увидите, если придете в MPK Software?</strong></p> <p>Современные подходы в разработке и разнообразные стеки новых технологий, вписывающиеся в рамки наших проектов. Наша компания - это дружелюбные коллеги, которые в состоянии спокойного потока или в предрелизном волнении, но всегда в демократичной атмосфере создают качественное ПО вместе. У нас все открыто общаются на равных на рабочие и иные темы. Главная цель нашей команды - писать качественный, легко поддерживаемый и переносимый код.</p> <p>Все кандидаты проходят собеседование и тестирование с руководителем проекта и тим лидером.</p>",https://hh.ru/vacancy/68582254,68582254
Junior Lua Developer,Ереван,,"['Lua', 'C++', 'С#']",,500,USD,Elephant Games,noExperience,remote,2022-08-30T11:39:17+0300,"<p><strong>Elephant Games </strong>- крупная игровая студия.<br />С момента основания в 2003 году мы выпустили более сотни игр, завоевавших признание миллионов игроков по всему миру. Мы делаем игры на PC, Mac, iOS и Android.<br />Хочешь с нами?</p> <p>Сейчас мы в поисках <strong>Lua Developer</strong>, который хочет расти в <strong>Technical Designer.</strong></p> <p><strong>Наш будущий коллега:</strong></p> <ul> <li>Владеет языками программирования Lua, С++/С#;</li> <li>Использует технический английский язык в работе;</li> <li>Умеет разбираться в чужом коде;</li> <li>Умеет работать в команде, способность четко укладываться в сроки.</li> </ul> <p><strong>Чем предстоит заниматься:</strong></p> <ul> <li> <p>Внедрять игровые объекты и писать логику их поведения (lua);</p> </li> <li> <p>Конфигурировать игровой контент;</p> </li> <li> <p>Интегрировать звуки, текстуры и анимации;</p> </li> <li> <p>Тесно взаимодействовать с другими отделами (художники, гейм-дизайнеры, тестировщики) при разработке обновлений.</p> </li> </ul> <p><strong>Мы предлагаем:</strong></p> <ul> <li>Возможность работать над интересными проектами;</li> <li>Команду влюбленных в свое дело специалистов, которые всегда помогут в сложных ситуациях и по-дружески поддержат;</li> <li>Прозрачность процессов и адекватный менеджмент.</li> </ul> <p><br /><strong>Предусмотрено выполнение тестового задания.</strong></p>",https://hh.ru/vacancy/69295858,69295858
Разработчик Senior C++,,,"['Git', 'PostgreSQL', 'MongoDB', 'Docker', 'C++', 'OpenCV;', 'gst plugins;', 'DevOps,']",,,,Уральская горно-металлургическая компания,between3And6,remote,2022-09-01T14:03:59+0300,"<p><strong>УГМК-Телеком</strong>, входящий в состав УГМК-Холдинга, крупный системный интегратор, работающий на рынке более 15 лет. Компания специализируется на создании систем видеонаблюдения, безопасности, АСУ ТП, связи, позиционировании рабочих и транспорта на горнодобывающих предприятиях, объектах энергетики и электрических сетях.</p> <p>В проект видеофиксации нарушений ПДД (для обеспечения безопасности и управления транспортным потоком) приглашаем <strong>разработчика Senior C++</strong></p> <p><strong>Обязанности:</strong></p> <ul> <li>Разработка ПО системы видеофиксации нарушений правил дорожного движения, в частности:</li> <li>Алгоритмов определения нарушений ПДД, скорости транспортных средств;</li> <li>Микро сервисов обработки потока детекций автомобилей и выгрузки во внешние системы;</li> <li>Системы хранение и выдачи видео по запросу;</li> <li>ПО управления комплексом видеофиксации.</li> </ul> <p><strong>Требования:</strong></p> <ul> <li>Знание C++ на уровне Middle / Senior;</li> <li>Опыт работы с OpenCV;</li> <li>Опыт разработки gst plugins;</li> <li>Приветствуется опыт DevOps, в частности сборки Docker образов;</li> <li>Опыт работы с PostgreSQL, MongoDB;</li> <li>Опыт работы с git;</li> <li>Базовые навыки администрирования Linux;</li> <li>Желание учиться и передавать свои знания и опыт другим;</li> <li>Понимание в разработке сложных алгоритмов обработки данных</li> </ul> <p><strong>Условия:</strong></p> <ul> <li>Интересные и сложные задачи;</li> <li>Команда: крутые профессионалы своего дела;</li> <li>Удобный график работы: гибридный график, полная удаленка, либо уютный офис в г. Екатеринбург; Гибкое начало рабочего дня;</li> <li>Стабильность: трудоустройство по ТК РФ, всегда своевременная выплата «белой» заработной платы, комфорт и уверенность в завтрашнем дне;</li> <li>Забота о здоровье: ДМС для сотрудников;</li> <li>Обучение: оплата профессионального обучения, тренингов, участия в конференциях.</li> </ul>",https://hh.ru/vacancy/69379000,69379000
Unreal Engine Developer,,,"['Unreal Engine', 'Unreal Engine 4', 'C++', 'Разработка компьютерных Игр', 'Gamedev', 'Game Programming']",,,,Fntastic,noExperience,remote,2022-09-02T06:38:59+0300,"<p>Fntastic — быстрорастущая удаленно работающая организация со штаб-квартирой в Сингапуре, специализирующаяся на создании видеоигр и программного обеспечения. Культура Fntastic основана на идее волонтерства. Сегодня мы разрабатываем один из самых ожидаемых блокбастеров в мире The Day Before и бестселлер Propnight. Наша сплоченная, полностью удаленно работающая команда состоит из талантливых людей из России и стран СНГ, а также Таиланда, Латвии и Финляндии.</p> <strong>Обязанности:</strong> <p>● Создание и поддержка кода<br />● Работа с Blueprint</p> <strong>Требования:</strong> <p>● Знание С++<br />● Приветствуется опыт работы с игровыми движками (Unreal Engine или Unity)<br />● Приветствуется умение работать с Git</p> <strong>Условия:</strong> <p>● Стабильная заработная плата и трудоустройство по ТК<br />● Дополнительный выходной в месяц<br />● Премии<br />● Удаленная работа из любой точки мира<br />● Интересная работа в ведущей игровой компании<br />● Работа в дружелюбной атмосфере талантливых людей<br />● Предоставление оборудования, необходимого для удаленной работы</p>",https://hh.ru/vacancy/68902146,68902146
Software developer (Lua),Санкт-Петербург,Лахтинский проспект,"['Lua', 'Tarantool', 'C++', 'Java', 'C#', 'Redis']",,,,Bercut,between1And3,remote,2022-09-01T20:44:39+0300,"<p>Приглашаем в команду разработчика, готового решать задачи, связанные с высоконагруженными процессами IT-инфраструктуры крупных операторов мобильной связи.</p> <p><strong>Основное в работе:</strong></p> <ul> <li>разрабатывать высоконагруженные сервисы распределенной биллинговой системы (объектные модели и скрипты на Lua);</li> <li>проектировать интерфейсы SOAP/REST.</li> </ul> <p><strong>Для нас важно:</strong></p> <ul> <li>опыт программирования в парадигме ООП на языках C/C++/Java/ C# от 1 года;</li> <li> <p>понимание принципов работы интерпретатора и интерпретируемых языков программирования;</p> </li> <li>знание любого из скриптовых языков Lua/Python/Ruby/JavaScript/PHP/Groovy;</li> <li>опыт работы с СУБД;</li> </ul> <p><strong>Дополнительно оценим:</strong></p> <ul> <li>опыт разработки высоконагруженных приложений;</li> <li>опыт работы с распределенными СУБД (Redis, Tarantool, Apache Ignite);</li> <li>опыт разработки приложений на платформе Tarantool;</li> <li>опыт разработки с использованием GitFlow + CI;</li> <li>знание принципов версионирования данных, опыт использования AVRO-схем;</li> <li>опыт прикладного использования менеджеров сообщений (Kafka/RabbitMQ)</li> </ul> <p><strong>У нас:</strong></p> <ul> <li>проекты для федеральных операторов (ТОП-3) и разнообразный технологический стек;</li> <li>возможности для повышения экспертизы в разных продуктовых командах;</li> <li>открытая корпоративная культура, где ты сможешь влиять на процессы и результат работы компании;</li> <li>прозрачная система вознаграждения и поощрений за инициативы;</li> <li>есть все условия, чтобы сосредоточиться на интересных задачах:</li> </ul> <ol> <li>льготы в соответствии с государственной поддержкой для аккредитованной ИТ компании;</li> <li>гибкое начало дня и возможность работать удаленно из любой точки;</li> <li>просторный современный офис у Финского залива;</li> <li>английский разговорный клуб;</li> <li>конкурентный «белый» доход (оклад+квартальные премии), ДМС со стоматологией, социальные программы, индивидуальный подход к выбору корпоративных льгот (спорт, изучение иностранных языков, здоровье, обучение (в т.ч. детей), профессиональная литература); корпоративные тарифы на сотовую связь, ежемесячная финансовая компенсация при использовании личного оборудования.</li> </ol>",https://hh.ru/vacancy/69392431,69392431
Developer C++/Qt,,,"['Git', 'Английский язык', 'Unit Testing', 'Qt', 'Scrum', 'C++']",,,,МойОфис,between3And6,remote,2022-08-29T16:09:57+0300,"<p>Мы делаем собственные продукты, у нас нет легаси, есть стандарты качества кода.<br />В команде дружественная и демократичная атмосфера. Мы придерживаемся принципа - «хороший результат всегда важнее формальных правил». Приглашаем <strong>C++/Qt Developer </strong>для участия в разработке кроссплатформенного мобильного почтового клиента.</p> <p><strong>Ваши будущие задачи:</strong></p> <ul> <li>проектирование и разработка приложений Android/iOS;</li> <li>разработка графического интерфейса по указанному дизайну;</li> <li>работа над библиотекой графических компонентов; разработка приложений QML;</li> <li>написание unit тестов;</li> <li>участие во внутрикомандном ревью кода;</li> <li>поддержка и доработка существующей кодовой базы.</li> </ul> <p><strong>Для нас важно: </strong></p> <ul> <li>опыт разработки Qt;</li> <li>опыт разработки QML;</li> <li>опыт разработки на С++11/14 от 3-х лет;</li> <li>навыки верстки графического интерфейса по макету.</li> </ul> <p><strong>Будет плюсом:</strong></p> <ul> <li>опыт работы с boost;</li> <li>опыт разработки на JavaScript или TypeScript;</li> <li>опыт разработки для мобильных операционных систем (Android/iOS);</li> <li>опыт написания визуальных юнит-тестов с помощью Qt Test.</li> </ul> <p><strong>Мы предлагаем:</strong></p> <ul> <li>возможность работать в стабильной продуктовой компании, крупном, постоянно развивающемся проекте с нетривиальными задачами;</li> <li>современные подходы к архитектуре и технологический стек;</li> <li>наличие сложных RnD проектов;</li> <li>гибкость процессов и разработка по Agile (Scrum);</li> <li>комфортная среда и экспертная команда;</li> <li>мы открыты к обсуждениям и обратной связи, ценим поддержку и деликатность в общении, а работа в команде профессионалов помогает постоянно наращивать свою экспертизу; - возможность предлагать свои идеи и влиять на результат;</li> <li>профильные курсы, корпоративный английский, участие в конференциях (в том числе спикером, если есть желание и готовность);</li> <li>приятный социальный пакет</li> <li>ДМС со стоматологией, оплачиваемое питание, завтраки и перекусы в офисе, скидки от партнеров, спортивное приложение для тренировок;</li> <li>льготная ипотека 5% от Сбербанка и Альфа-Банка</li> <li>офис в историческом центре города (5 мин. от ст. м. Маяковская);</li> <li>гибридный или удаленный формат работы.</li> </ul>",https://hh.ru/vacancy/53829724,53829724
Developer C++/Python,Санкт-Петербург,Невский проспект,"['Git', 'Python', 'Jenkins', 'Английский язык', 'Atlassian Jira', 'C++']",,,,МойОфис,between3And6,remote,2022-09-02T11:53:16+0300,"<p>Наша компания разрабатывает платформу МойОфис - продукт для организации корпоративной рабочей среды и совместной работы с документами, включающий в себя полный набор современных офисных приложений для всех популярных операционных систем, веб-браузеров и мобильных платформ.</p> <p>Мы работаем над созданием среды, в которой коллеги могут развиваться и предлагать свои идеи для усовершенствования продукта. Наши команды работают с разнообразным стеком технологий, уделяя особое внимание всем аспектам качества: от дизайна и удобства использования до чистоты кода, уровня покрытия тестами.</p> <p>Приглашаем C++ Developer в нашу команду.<br />Мы предлагаем участие в новом проекте автоматизированного UI-тестирования, в рамках которого совместно с Auto QA из разных команд будет разработан кроссплатформенный фреймворк для тестирования мобильных и десктопных приложений.</p> <p>Ваши будущие задачи:</p> <ul> <li> разработка фрэймворка для автоматизированного тестирования;</li> <li>разработка вспомогательных инструментов;</li> <li>ведение технической документации;</li> <li>работа с требованиями (разработка, анализ), постановка задач;</li> </ul> <p><br />Для нас важно:</p> <ul> <li> опыт разработки на C++ от 2-х лет;</li> <li>опыт разработки на Pyhton 3;</li> <li>технический английский (письменный).</li> </ul> <p><br />Было бы неплохо:</p> <ul> <li>опыт разработки на QT;</li> <li> опыт работы с Apiium / Selenium;</li> <li>опыт разработки тестовых фреймворков;</li> <li>опыт работы с Jenkins CI, Git.</li> </ul> <p><br />Мы предлагаем:</p> <ul> <li>возможность работать в крупном, постоянно развивающемся проекте с</li> <li>нетривиальными задачами;</li> <li>современные подходы к архитектуре и технологический стек;</li> <li>возможность предлагать свои идеи и влиять на результат;</li> <li>наращивать экспертизу - в нашей команде принято совершенствоваться и</li> <li>делиться знаниями, коллеги готовы рассказать и научить тому, в чем</li> <li>отлично разбираются;</li> <li>комфортную атмосферу – мы уважаем друг друга, открыты к общению на</li> <li>любые темы и ценим увлеченных людей;</li> <li>профильные курсы, корпоративный английский, участие в конференциях (в</li> <li>том числе спикером, если есть желание и готовность);</li> <li>приятный социальный пакет – ДМС со стоматологией, оплачиваемое</li> <li>питание, завтраки и перекусы в офисе, скидки от партнеров, спортивное</li> <li>приложение для тренировок;</li> <li>льготная ипотека 5% от Сбербанка и Альфа-Банка;</li> <li> возможна работа удаленно или гибридный график работы;</li> <li>возможность гибкого начала рабочего дня (до 12 часов);</li> <li>офис в центре города: 5 мин. от ст. м. пл. Восстания и Маяковская;</li> <li>мы помогаем при релокации в СПб.</li> </ul> <p> </p>",https://hh.ru/vacancy/67380574,67380574
