name,city,address,key_skills,sal_from,sal_to,currency,company,experience,schedule,published_at,description,alternate_url,id
"Программист SQL, c#/c++",Санкт-Петербург,улица Фучика,"['MS SQL', 'C++', 'C#']",200000,,RUR,Карвиль,between1And3,fullDay,2022-09-02T11:16:54+0300,"<p><strong>В нашу дружную команду требуется разработчик хорошо владеющий sql и одним из языков c# или c++ или delphi, готовый изучить delphi.</strong><br />Вам предстоит решать задачи связанные с ВЭД, управлением потоками денег, товаров, различными прогнозами, развитием производственных и складских процессов, настройкой обмена по http json, xml, КРИПТО ПРО, драйверов касс и прочее и прочее. Система построена на базе delphi+rad server+ms sql. Есть программы и модули на C++ и C#.</p> <p><strong>Как мы работаем:</strong></p> <p>- Ведение задач в youtrack.</p> <p>- Отсутствие жестокой приверженности agile или waterfall. Отбираем наиболее ценные задачи, если надо декомпозируем и делаем.</p> <p>- Отсутствие бюрократии. Вы можете общаться с заказчиком на прямую, практически полное отсутствие бестолковых совещаний, нет отчетов за каждый шаг, мы просто делаем свое дело.</p> <p><strong>Требования:</strong></p> <p><strong>- Готовность изучить delphi.</strong></p> <p><strong>- Хорошее знание c# или c++.</strong></p> <p><strong>- Оч хорошее знание sql, лучше именно ms sql. Вам придется писать производительные ХП, функции, триггеры.</strong></p> <p><strong>- Светлая голова, ясный и цепкий ум </strong></p> <strong>Условия:</strong> <p>1) Оформление по ТК РФ</p> <p>2) График работы: с 08.30 до 17.00 (в пт до 16.30), сб и вс - выходные.</p> <p>3) Своевременная оплата труда плюс ежемесячные премии по итогам работы</p> <p>4) Соц пакет после года работы (ДМС, фитнес - на выбор)</p> <p>5) Молодой и дружный коллектив</p> <p>6) Бесплатное питание</p> <p>7) Полный рабочий день на территории работодателя.</p>",https://hh.ru/vacancy/68779382,68779382
Программист С++/Qt,Санкт-Петербург,Заставская улица,"['C/C++', 'Qt', 'Bash']",100000,,RUR,Аргун-Софт,between1And3,fullDay,2022-09-01T11:15:13+0300,"<p><strong>Обязанности:</strong></p> <ul> <li>Разработка и поддержка ПО на C++ (QT) под Windows, Linux.</li> </ul> <p><strong>Требования:</strong></p> <ul> <li>профильное высшее-техническое образование;</li> <li>знание шаблонов (паттернов) программирования и принципов SOLID;</li> <li>навыки применения шаблонов проектирования и принципов объектно-ориентированного программирования (ООП);</li> <li>навыки применения принципов SOLID;</li> <li>опыт разработки с использованием библиотеки Qt;</li> <li>опыт работы с библиотекой STL;</li> <li>опыт работы в Visual Studio 2015/2017 (С++);</li> <li>опыт работы в QtCreator;</li> <li>опыт работы с TCP/IP;</li> <li>опыт разработки многопоточных приложений.</li> </ul> <p><strong>Дополнительно приветствуется:</strong></p> <ul> <li>технический английский язык;</li> <li>GIT, SVN.</li> </ul> <p><strong>Преимущества работы в ООО &quot;Аргун-Софт&quot;:</strong></p> <ul> <li>официальное трудоустройство с первого дня работы, оформление согласно ТК РФ;</li> <li>стабильность (в т.ч. в выплате заработной платы) - работаем с гособоронзаказами, которые финансируются из бюджета;</li> <li>своевременные выплаты 2 раза в месяц;</li> <li>премии в конце календарного года;</li> <li>работа в выходные дни в командировках оплачивается согласно ТК РФ;</li> <li>возможность обучения и повышения квалификации за счет компании;</li> <li>индивидуальный зарплатный рост, карьерный рост;</li> <li>дружный коллектив, лояльное руководство;</li> <li>четкая система наставничества;</li> <li>ДМС: оформляется в конце испытательного срока;</li> <li>хорошее оснащение рабочих мест;</li> <li>корпоративные мероприятия;</li> <li>график работы 5/2: с 9:00 до 18:00 или с 10:00 до 19:00.</li> </ul>",https://hh.ru/vacancy/69077539,69077539
Инженер-программист (junior),Санкт-Петербург,набережная Обводного канала,"['C/C++', 'Техническая документация', 'Алгоритмы']",50000,100000,RUR,Котлин-Новатор,between1And3,fullDay,2022-09-02T13:12:41+0300,"<strong>Обязанности:</strong> <ul> <li>Разработка компонентов ПО драйверов и библиотек операционных систем реального времени.</li> <li>Участие в создании необходимой программной инфраструктуры для разработки ПО платформ на базе различных процессоров (ARM, PowerPC, отечественные процессоры).</li> <li>Разработка отдельных модулей прикладного ПО РЛС, систем индикации и т.д. с использованием операционных систем реального времени.</li> <li>Разработка тестов оборудования на основе технических описаний;</li> </ul> <strong>Требования:</strong> <p>знания и навыки:</p> <ul> <li>высшее или среднее специальное образование по технической специальности.</li> <li>уверенное знание языка программирования Си;</li> <li>технический английский язык на достаточном уровне для чтения документации;</li> <li>общая техническая грамотность; понимание общих принципов построения и функционирования компьютерных систем и архитектуры;</li> <li>ответственность, аккуратность, обучаемость, внимательность.</li> <li> <p><strong>Являются преимуществом:</strong></p> </li> <li> <p>опыт программирования микроконтроллеров, микропроцессоров на низком уровне;</p> </li> <li> <p>опыт разработки ПО для встраиваемых систем;</p> </li> <li> <p>опыт работы с ОС реального времени (например, VxWorks, QNX);</p> </li> <li> <p>умение читать/писать ассемблерный код.</p> </li> </ul> <strong>Условия:</strong> <ul> <li>Стабильная работа на крупном предприятии:</li> <li>Конкурентный уровень заработной платы;</li> <li>Быстрый карьерный рост и обширные возможности для развития по разным направлениям.</li> <li>Оформление, предоставление льгот и гарантий в полном соответствии с ТК РФ;</li> <li>ДМС, включая стоматологию, после прохождения испытательного срока;</li> <li>График работы: понедельник-пятница;<br />с 8:00 до 16:30;</li> <li>Собственный бесплатный тренажерный зал;</li> <li>Современный офис;</li> <li>Наличие кафе на территории предприятия (доступные цены и разнообразное меню);</li> <li>Охраняемая авто и велопарковка;</li> <li>Работа в районе станции метро «Площадь Александра Невского» (наличие корпоративной развозки).</li> </ul>",https://hh.ru/vacancy/69415171,69415171
"Младший C++ разработчик / Junior C++ Developer (Windows, GUI)",,,"['Git', 'STL', 'C++', 'CSS', 'HTML']",,,,Доктор Веб,between1And3,flexible,2022-09-02T10:46:39+0300,"<p>Графический интерфейс (GUI) является лицом антивирусного продукта. GUI позволяет демонстрировать пользователю наши защитные технологии и дает возможность управлять ими. Именно пользовательский интерфейс помогает в индикации и решении проблем безопасности.</p> <p>Перед командой разработки пользовательских интерфейсов стоит множество интересных задач, среди которых:</p> <ul> <li>обеспечение взаимодействия защитных модулей с пользователем (настройки, уведомления, состояния, управление);</li> <li>создание и поддержка элементов управления;</li> <li>реализация и оптимизация различных эффектов (анимация, прозрачность ит.д.);</li> <li>обеспечение доступности интерфейса (accessibility);</li> <li>поддержка локализации (календари, RTL и т.д.).</li> </ul> <p> </p> <p>Помимо этого, команда создает внутренние утилиты, автоматизирующие рутинные задачи и повышающие надежность процесса разработки, а также развивает модульные тесты.</p> <p>В проекте используются C++ разных поколений (С++11 и выше), Boost, WinAPI, Protobuf, Google test, html/css (библиотека HTMLayout/Sciter), при этом самой html-версткой занимается другая команда.</p> <p>Разработка ведется в Visual Studio; используется система контроля версий Git (в связке с Gitlab); весь код проходит обязательное ревью; для отлова ошибок на ранних стадиях используются статический анализатор и модульное тестирование.</p> <p>Сейчас мы ищем увлеченного начинающего разработчика для участия в реальных проектах. Мы ожидаем, что младший программист будет активно участвовать в обсуждении и решении боевых задач, не боясь предлагать свои идеи.</p> <p> </p> <p><strong>Основные обязанности: </strong></p> <ul> <li>Развитие проекта и добавление нового функционала;</li> <li>Рефакторинг наследия;</li> <li>Расширение функционала графической библиотеки;</li> <li>Исправление ошибок;</li> <li>Код-ревью других разработчиков;</li> <li>Написание юнит-тестов;</li> <li>Анализ крэш-дампов.</li> </ul> <p> </p> <p><strong>Требования: </strong></p> <ul> <li>Уверенное владение C++;</li> <li>Знание классических алгоритмов и структур данных.</li> </ul> <p><strong>Желательно:</strong></p> <ul> <li>Знакомство с html/css;</li> <li>Понимание многопоточности;</li> <li>Знание STL, Boost, WinAPI.</li> </ul> <p><strong>Мы предлагаем:</strong></p> <ul> <li>официальное трудоустройство;</li> <li>современный офис на Петроградской стороне;</li> <li>гибкий график работы;</li> <li>конкурентоспособную заработную плату (обсуждается индивидуально, зависит от вашего опыта и квалификации);</li> <li>ДМС, включая стоматологию;</li> <li>горячие обеды, фрукты, напитки;</li> <li>зону отдыха, тренажеры, полезные для работы книги.</li> </ul>",https://hh.ru/vacancy/66982749,66982749
Программист/разработчик C++,,,[],111111,,RUR,НТЦ Электрозонд,between1And3,fullDay,2022-09-01T17:04:20+0300,"<p>Мы - <strong>АО «Научно-технический центр «Электрозонд»</strong>, компания которая вот уже 30 лет занимается передовыми разработками высокотехнологичного оборудования для обеспечения обороноспособности нашей Родины. За все время существования нашими руками были созданы изделия с уникальными характеристиками, мы неоднократно показали что не просто конкурируем, а устойчиво занимаем лидирующие позиции на рынке. Ежегодно, Заказчиком принимаются наши решения в части модернизации и рассматриваются новаторские проекты. Наш коллектив это начинающие специалисты и опытные сотрудники с широким кругозором. Балансируя на грани науки и техники мы находим применение самым смелым идеям. Сегодня мы ищем коллегу и товарища в отдел разработки программно-математического обеспечения (ПМО).</p> <p><strong>Мы желаем Вам поручить</strong>:</p> <ul> <li>разработку специального ПМО для лидарных комплексов;</li> <li>разработку и реализацию алгоритмов функциональной логики, сбора и обработки данных, GUI;</li> <li>поддержку legacy кода;</li> </ul> <p><strong>Что мы ждем от Вас</strong>:</p> <ul> <li>наличия законченного высшего технического образования в сфере IT, инженерных специальностей, математики;</li> <li>уверенного понимания С++ 11/14/17, STL;</li> <li>понимания QT (core, gui, widgets, concurrent, network и т.д.)</li> <li>понимания базовых алгоритмов, структур данных, контейнеров;</li> <li>понимания ООП, шаблонов проектирования (design patterns);</li> <li>владения Linux на уровне пользователя;</li> <li>опыта работы с git и системами управления проектами;</li> <li>умение работать с большим объёмом кода;</li> <li>английского на уровне чтения технической документации.</li> </ul> <p><strong>Для Вас будет плюсом:</strong></p> <ul> <li>желание разбираться в предметной области;</li> <li>хорошая алгоритмическая и математическая подготовка (линейная алгебра, мат.статистика);</li> <li>наличие общего представления об C# (.NET, WinForms/WPF);</li> <li>опыт разработки и отладки многопоточных и распределенных приложений;</li> <li>понимание микросервисной архитектуры;</li> <li>опыт работы с Postgres;</li> <li>опыт работы с Astra Linux.</li> </ul> <p><strong>Личные качества мы видим у Вас:</strong></p> <ul> <li>развитые &quot;soft skills&quot;;</li> <li>способность быстрого переключения между задачами.</li> </ul> <p><strong>Мы будем рады предложить Вам:</strong></p> <ul> <li>проекты, позволяющие повышать свой профессиональный уровень, и интересные задачи подобранные специально для Вас с учетом ваших желаний и возможностей;</li> <li>гибкую и прозрачную систему премирования;</li> <li>полностью официальное оформление по ТК РФ (оплачиваемый отпуск, больничный лист и т.д.);</li> <li>современный комфортный офис (не openspace) в 10 минутах ходьбы от метро Нарвская;</li> <li>возможность управлять временем начала рабочего дня;</li> <li>возможность получения профессиональных сертификатов и прохождения курсов повышения квалификации за счёт компании.</li> </ul> <p> </p> <p>Окончательный уровень зарплаты определяется по результатам собеседования.</p> <p> </p> <p><strong>Просим обратить внимание!</strong></p> <p>1. Вакансия <strong>не </strong>предполагает удаленную работу, частичную занятость, совместительство;</p> <p>2. Просим соискателей пользоваться <strong>только</strong> средствами сайта hh для связи с нами.</p>",https://hh.ru/vacancy/68578886,68578886
Senior C++ Developer to Armenia,,,"['Python', 'Fluent English', 'C++']",,,,Synopsys,between1And3,fullDay,2022-09-03T11:14:42+0300,"<p>We are an R&amp;D team working on producing the high-quality development toolchain for ARC family of configurable processors. We are looking for an engineer like you to be part of the team to work on a world-class highly optimizing feature-rich compiler.<br /><br /><strong>Key responsibilities </strong></p> <ul> <li>Development and maintenance of the OpenCL-C headers as a part of the optimizing compiler.</li> <li>Report on functional and performance regressions.</li> <li>Work closely with the customer support and engineering to diagnose issues, create testcases and verify the fixes.</li> <li>Creation of technical documentation and presentations describing toolchain.</li> </ul> <p><strong>Key qualifications</strong></p> <ul> <li>Proficient programming skills in C++</li> <li>Good knowledge of Python and script languages</li> <li>Understanding of the working of the development tools such as compilers, debuggers, simulators, etc.</li> <li>BSCS degree or equivalent, MSCS preferred</li> <li>Fluent English is a must</li> </ul>",https://hh.ru/vacancy/66640878,66640878
Разработчик С++,,,"['Linux', 'C++', 'C/C++', 'Qt', 'С#', 'ООП', 'Git', 'Многопоточное программирование']",100000,120000,RUR,Меридиан,between1And3,fullDay,2022-09-02T14:08:49+0300,"<p>Приглашаем <strong>разработчика С++</strong></p> <p><strong>Обязанности:</strong></p> <ul> <li>Разработка приложений под OC Linux на языке С++;</li> <li>Техническое сопровождение программных продуктов, отладка и настройка.</li> </ul> <p><strong>Требования:</strong></p> <p>Опыт программирования на С++;</p> <p>· Знание принципов объектно-ориентированного программирования;</p> <p>· Опыт коммерческой разработки на языке С++ от 2-х лет;</p> <p>· Опыт многопоточного программирования;</p> <p>· Опыт разработки приложений под OC Linux;</p> <p>· Опыт использования git;</p> <p>· Опыт работы с STL/boost/Qt/OpenCV.</p> <p>Плюсом будет опыт проектирования и реализации многопоточных приложений.</p> <p><strong>Условия:</strong></p> <ul> <li>уровень компенсации по итогам собеседования, далее - исп.срока;</li> <li>гибкий рабочий день;</li> <li>интересные задачи и перспективы;</li> <li>оформление по ТК РФ;</li> <li>уютный офис недалеко от м.Лесная и м. Черная речка.</li> </ul> <p> </p>",https://hh.ru/vacancy/69418292,69418292
Senior C++ Developer,,,"['Qt', 'C++', 'STL', 'Linux', 'Опыт практического применения: C++11/17;', 'Опыт практического применения: QT5, QML']",180000,230000,RUR,МПК Софт,between1And3,remote,2022-09-01T19:22:23+0300,"<p><strong>О компании</strong></p> <p>Компания ООО &quot;МПК Софт&quot; специализируется на разработке прикладных приложений для настольных, мобильных и встраиваемых систем под управлением операционных систем Windows, GNU/Linux, Android, MacOS. Мы ищем интересные технологичные проекты и компании, в которых необходимы наши знания и опыт для решения задач, возникающих в процессе разработки.</p> <p><strong>О проектах</strong></p> <p>Наш новый проект — разработка системы управления рентген-досмотрового комплекса. Комплекс программ предназначен для управления серией современных специализированных рентгеновских аппаратов, обеспечивает предварительную настройку технических средств, захват изображения и его последующую автоматизированную обработку. В данном проекте применяются математические методы обработки изображения, в перспективе планируется внедрение нейросетевой аналитики для автоматизированного выявления дефектов исследуемого объекта. Средства разработки: C++/17, QT/QML, OpenCV, Python, Golang.</p> <p>- знание С++/17, QT/QML (обязательно);</p> <p>- знание Python/Golang (желательно).</p> <p><br />Следующий наш проект совместный с компанией-производителем коммерческих радарных систем безопасности. Разрабатываемая нами система способна выявлять объекты размером с небольшого дрона на дистанциях до 1 км. Система предназначена определять скорость и направления движения пешеходов, транспортных средств, дронов и помогать обеспечивать защиту периметра . Программное обеспечение проекта предназначено для функционирования на платформах Windows и GNU/Linux, содержит элементы искусственного зрения, стриминга и воспроизведения видео, работу с гео-данными. Заказчик планирует распространять программу под opensource-лицензией. Средства разработки: C++/17, QT/QML, OpenCV, Python, Golang.</p> <p>- знание С++/17, QT/QML (обязательно);</p> <p>- знание Python/Golang (желательно);</p> <p>- компьютерное зрение/работа с видео (обязательно);</p> <p>- опыт разработки с PyTorch/CUDA (желательно).</p> <p><br /><strong>Кого мы ищем</strong></p> <p>Мы хотим пополнить свою команду разработчиками - профессионалами своего дела, такими же фанатами как и мы. В настоящий момент мы ищем разработчиков С++/17 с практическим применением QT и QML уровня Middle и Senior для работы над одним из вышеперечисленных проектов. Присоединяйтесь, будет интересно! :-)</p> <p><strong>Общие требования к соискателям:</strong></p> <p>Опыт практического применения: C++17, QT5, QML;</p> <p>Git: понимание принципов работы, умение работать с ветками, pull-requests, понимание merge и rebase;</p> <p>Опыт разработки кроссплатформенного ПО (Linux, Windows, Mac).</p> <p>Будет плюсом:</p> <p>Опыт практического применения других языков программирования (Python, JS, Go и другие);</p> <p>Математическая подготовка: основы линейной алгебры и аналитической геометрии, основы теории вероятностей;</p> <p>Алгоритмическая подготовка: знание базовых алгоритмов (контейнеры, сортировка, поиск), представление о сложности алгоритмов и их оптимизации;</p> <p>Владение английским языком на уровне Pre-Intermediate и выше.</p> <p><br /><strong>Мы предлагаем:</strong></p> <p>Интересные серьезные проекты;</p> <p>Налаженные рабочие процессы;</p> <p>Честная зарплата, регулярный пересмотр в формате Performance Interview &amp; Review;</p> <p>Удаленная работа и гибкий рабочий график;</p> <p>Возможность работать в офисе по желанию;</p> <p>Оформление по ТК или через ИП;</p> <p>Среднемесячная заработная плата в размере 180 000 рублей - 230 000 рублей (net);</p> <p>Премии по результатам выполнения проектов;</p> <p>Испытательный срок 3 месяца;</p> <p>Предоставление ежегодного оплачиваемого отпуска;</p> <p> </p> <p><strong>Что Вы увидите, если придете в MPK Software?</strong></p> <p>Современные подходы в разработке и разнообразные стеки новых технологий, вписывающиеся в рамки наших проектов. Наша компания - это дружелюбные коллеги, которые в состоянии спокойного потока или в предрелизном волнении, но всегда в демократичной атмосфере создают качественное ПО вместе. У нас все открыто общаются на равных на рабочие и иные темы. Главная цель нашей команды - писать качественный, легко поддерживаемый и переносимый код.</p> <p>Все кандидаты проходят собеседование и тестирование с руководителем проекта и тим лидером.</p>",https://hh.ru/vacancy/68582254,68582254
C++ Tools Programmer,,,"['C++', 'Game Programming']",,,,Saber Interactive,between1And3,flexible,2022-08-31T15:29:39+0300,"<p>Привет!<br />Наша игровая студия Saber Interactive была основана в 2001 году и на текущий день стала одним из крупнейших разработчиков компьютерных игр с офисами по всему миру (Нью-Йорк, Санкт-Петербург, Мадрид, Минск, Порто, Сундсвалль..).<br /><br />Даже если вы далеки от GameDev, скорее всего слышали о наших проектах: Quake Champions, серия игр Halo, TimeShift, World War Z , Space Marine 2 и что важно, эти все игры сделаны на нашем С++ движке.<br /><br />В Saber работают сильные программисты, и C++ - наш основной язык разработки.<br />У нас нет кранчей, но есть много интересный задач )<br /><br />Предлагаем вам стать частью нашей команды!</p> <p> </p> <p><strong>Основные задачи:</strong></p> <ul> <li>Создание инструментальных средств для разработки игр;</li> <li>Внедрение новых фич в игровые редакторы.</li> </ul> <p> </p> <p><strong>Наши пожелания:</strong></p> <ul> <li>Знание языка С++</li> <li>Общая алгоритмическая и математическая подготовка;</li> <li>Интерес к видеоиграм.</li> </ul> <p> </p> <p><strong>Будет плюсом:</strong></p> <ul> <li>Знание C#;</li> <li>Опыт работы в игровой индустрии.</li> </ul> <p> </p> <p><strong>Мы предлагаем:</strong></p> <ul> <li>Участие в известных проектах;</li> <li>Достойную заработную плату;</li> <li>Профессиональный рост и развитие;</li> <li>Оформление по ТК РФ;</li> <li>Гибкий график работы;</li> <li>Корпоративную скидку в фитнес-клуб/бассейн;</li> <li>Бесплатное обучение английскому языку;</li> <li>ДМС;</li> <li>Отсутствие дресс-кода;</li> <li>Возможность удаленной работы;</li> <li>Помощь при переезде из других городов;</li> <li>Возможность обучения за счет компании;</li> <li>Оплата больничных в 100% размере.</li> </ul>",https://hh.ru/vacancy/68361352,68361352
Software developer,Ереван,,"['C programming', 'Английский язык', 'TCP/IP', 'Linux', 'Git']",150000,,RUR,Ark networks,between1And3,fullDay,2022-09-02T09:43:13+0300,"<p>Our company is located in <strong>Armenia</strong>.<br /><br />You will participate in developing the framework and functional low-level tests for high-performance and/or low-latency NICs.</p> <p>The developed framework is a userland+kernel prototyping system which includes some distributed logic as well as logical model that predicts various NIC or NIC-emulation behaviour.</p> <p>Depending on your skills and the sub-branch of the project you might do:</p> <ul> <li>framework development,</li> <li>QEMU model development.</li> </ul> <p>Required skills:</p> <ul> <li>decent C knowledge (please note, we use pure C, not &quot;C/C++&quot;)</li> <li>some level of technical English (as we work with foreign customers exclusively)</li> </ul> <p>Bonus skills:</p> <ul> <li>work experience with Git and distributed team development</li> <li>understanding the principles of networking (Ethernet, VLANs, TCP/IP)</li> <li>Linux kernel-level programming</li> <li>understanding the principles of CPU architecture (virtual memory, caches, SIMD, memory barriers etc)</li> <li>knowledge of non-x86 architectures (e.g. ARM)</li> <li>work experience with VMs (QEMU, KVM, Xen etc.)</li> </ul> <p>Not all bonus skills are required since because of the scale of the project you might contribute to one of the sub-branches with limited complexity. But if you know everything - you&#39;re welcome.<br /><br />We will help with relocation to Armenia.</p>",https://hh.ru/vacancy/69401846,69401846
