name,city,address,key_skills,sal_from,sal_to,currency,company,experience,schedule,published_at,description,alternate_url,id
Программист-разработчик игр (Senior),Санкт-Петербург,18-я линия Васильевского острова,"['Информационные технологии', 'Разработка компьютерных Игр']",4000,8000,USD,ГравиЛинк,moreThan6,flexible,2022-09-01T18:33:07+0300,"<p>Мы расширяем свою gamedev-команду и ищем заинтересованных программистов для разработки компьютерных игр под различные платформы на нашем собственном языке.</p> <p><strong>У нас вы получите возможность</strong>:<br />- получать зарплату по курсу 75 рублей за доллар, если биржевой курс опускается ниже 75, и по биржевому курсу, если он больше или равен 75<br />- применять все знания и опыт в сфере IT для разработки уникальных продуктов, которыми можно гордиться<br />- принимать архитектурные решения по создаваемым продуктам<br />- участвовать в полном цикле разработки и предлагать любые улучшения<br />- получать справедливую оплату, соразмерную вашему вкладу</p> <p><strong>Нам важно, чтобы вы</strong>:<br />- имели твёрдые фундаментальные знания математики и информационных технологий<br />- имели отличные знания и реальный опыт программирования на языке C, C++ или Rust (не в учебных проектах)<br />- имели отличные знания и опыт программирования для GPU (работы с шейдерами)<br />- имели опыт работы с базами данных, в том числе их проектирования<br />- хорошо ориентировались в сетевых технологиях и протоколах<br />- умели работать с системами контроля версий и ишью-трекерами<br />- хорошо понимали, во что превращается ваш код, и как он работает на низком уровне<br />- не боялись сложностей и получали удовольствие от решения нестандартных задач</p> <p><strong>Мы обрадуемся</strong>, если вы также имеете опыт/навыки работы с Unix, Android, web-программирования, знаете принципы построения компиляторов.</p> <p>У нас возможна удалённая работа по любому удобному вам графику.<br />Оплата производится не за количество проведённых за компьютером часов, а за завершённые задачи. Все задачи оцениваются перед выполнением.</p>",https://hh.ru/vacancy/51540865,51540865
Senior C++ developer,,,"['ООП', 'C++', 'C/C++', 'STL', 'Базы данных']",3000,4000,USD,Jing Technology,moreThan6,remote,2022-09-02T10:45:48+0300,"<p><strong>Обязанности:</strong></p> <ul> <li>Разработка и сопровождение компонентов многофункциональных кроссплатформенных приложений</li> <li>Техническое развитие продукта</li> <li>Сопровождение существующей кодовой базы</li> <li>Создание критически важных, высококачественных программных продуктов</li> </ul> <p><strong>Требования:</strong></p> <ul> <li>Свободное владение C++ (от 11 и выше, STL, Boost, Clang, MSVC)</li> <li>Глубокое понимание принципов ООП и принципов разработки программ</li> <li>Хорошее знание алгоритмов и шаблонов проектирования</li> <li>Опыт разработки многопоточных приложений</li> <li>Опыт разработки сетевых приложений (TCP, UDP, sockets, REST)</li> <li>Опыт работы и проектирования реляционных баз данных</li> <li>Владение основными средствами разработки и контроля версий</li> <li>Умение разобраться в чужом коде, умение работать в команде</li> <li>Умение и желание работать в команде, аккуратность, ответственность</li> <li>Нацеленность на долгосрочное сотрудничество</li> </ul> <p><strong>Преимущества работы в нашей компании:</strong></p> <ul> <li>Возможность развития своих навыков программирования</li> <li>Работа в команде профессионалов с опытом работы более 6 лет</li> <li>Работа идет только над собственной линейкой продуктов</li> <li>Возможность творческого подхода при решении поставленных задач</li> </ul> <p><strong>Условия:</strong></p> <ul> <li>remote, fulltime</li> </ul>",https://hh.ru/vacancy/68777079,68777079
С++ Developer,,,"['Английский язык', 'SQL', 'Linux', 'C++', 'Python']",5000,7000,USD,"Hi, Rockits!",moreThan6,fullDay,2022-08-16T18:59:35+0300,"<p>В поиске <strong>Senior С++ разработчика</strong> <strong>со знанием английского языка </strong>в международную инвестиционную компанию<strong> с возможностью релокации в страны присутствия</strong>.</p> <p>Компания занимается количественными инвестициями, строит систематические стратегии торговли на бирже инвестиций.<br /><br /><strong>Cтек:</strong> С++</p> <p><strong>Чем предстоит заниматься:</strong></p> <ul> <li>Создание программного обеспечения, позволяющего проводить крупномасштабные количественные исследования, которые управляют платформой компании.</li> </ul> <strong>Требования:</strong> <ul> <li> <p><strong>знание английского языка на уровне разговорного</strong>;</p> </li> <li>Опыт разработки крупномасштабных распределенных систем;</li> <li>Глубокое понимание структур данных и алгоритмов;</li> <li>Минимум 5 лет написания кода производственного качества на C++;</li> <li>Высокая самоорганизация;</li> </ul> <p><strong>Будет плюсом:</strong></p> <ul> <li>Разработка систем для управления и выполнения вычислений на крупномасштабных графических данных;</li> <li>Системы потоковой передачи / передачи данных;</li> <li>Планирование / оптимизация запросов;</li> <li>Теория языка программирования;</li> <li>Опыт разработки на Python также является плюсом;</li> <li>Кандидатам не обязательно иметь предыдущий опыт работы в сфере финансовых услуг;</li> </ul> <strong>Что предлагаем:</strong> <ul> <li> <p><strong>обязательную релокацию вас и вашей семьи в Армению</strong> (после испытательного срока в индивидуальном порядке может быть рассмотрена релокация в другие страны);</p> </li> <li> <p>возможность удаленной работы;</p> </li> <li> <p>конкурентоспособный компенсационный пакет, который включает годовые премии и ежегодное повышение заработной платы;</p> </li> <li> <p>гибкое начало рабочего дня;</p> </li> <li> <p>отпуск по уходу за ребенком, творческий отпуск после 5 лет работы;</p> </li> <li> <p>расширенный социальный пакет: медицинское страхование со стоматологией и страхование от рака для сотрудников и членов их семей, страхование жизни сотрудников, программа поддержки сотрудников и их родственников по психологическим, юридическим и финансовым вопросам;</p> </li> <li> <p>больничный – 100% от заработной платы, включая полную оплату отпуска по беременности и родам (140 дней), программа отпуска по уходу за ребенком до 3 недель для вторичных опекунов (отцов) со 100% оплатой;</p> </li> <li> <p>3 дополнительных дня отпуска в год;</p> </li> <li> <p>высокая корпоративная культура: регулярные тимбилдинги и корпоративы, ежемесячные командные обеды;</p> </li> <li> <p>культура непрерывного обучения: сертификация, онлайн- и офлайн-обучение, занятия английским языком, наставничество в профессиональном развитии.</p> </li> </ul>",https://hh.ru/vacancy/67972439,67972439
Инженер-программист АСУ ТП,,,"['C/C++', 'Схемотехника электронного оборудования', 'AVR', 'Разработка электросхем', 'Программирование микроконтроллеров', 'АСУ', 'Командная работа']",50000,150000,RUR,Невский,moreThan6,fullDay,2022-08-31T17:45:01+0300,"<strong>Обязанности:</strong> <ul> <li>Разработка и программирование промышленных контроллеров и составных частей АСУ ТП котельных установок;</li> <li>Совместная работа с инженерами-схемотехниками по разработке топологии новых устройств/приборов. Конфигурирование аппаратной части обвязки микроконтроллера;</li> <li>Разработка и отладка управляющих программ микроконтроллеров семейства AVR/STM. Тестирование устройств в рамках разработанного программного обеспечения;</li> <li>Сопровождение и поддержка разработанного программного обеспечения.</li> </ul> <strong>Требования:</strong> <ul> <li>Опыт работы с микроконтроллерами семейства AVR/STM не менее 5-ти лет. Уверенная работа с интерфейсами UART, RS-485 SPI, I2C, SDIO, USB, PWM;</li> <li>Высокий уровень владения языком C/C++. Умение писать высокопроизводительный код, с обеспечением возможности его сопровождения Заказчиком, а также разбираться и работать с кодом, предоставленным Заказчиком;</li> <li>знание аналоговой и цифровой схемотехники, практический опыт в цифровой обработке сигналов (навыки работы с устройствами релейной автоматики приветствуются);</li> <li>знание ЕСКД (умение работать со схемами электрическими принципиальными);</li> <li>уверенная работа с измерительными приборами: мультиметры, осциллографы, генераторы сигналов, в рамках отладки разработанных узлов АСУ ТП.</li> </ul> <strong>Условия:</strong> <ul> <li>Работа сдельная, условия оговариваются при собеседовании;</li> <li>График работы гибкий, занятость частичная;</li> <li>Трудоустройство согласно ТК РФ;</li> <li>Достойная оплата результатов работы.</li> </ul>",https://hh.ru/vacancy/68979220,68979220
Senior Gameplay Programmer (UE4),,,"['C++', 'Unreal Engine', 'Игровое ПО']",,,,Lesta Games,moreThan6,fullDay,2022-09-01T13:29:56+0300,"<p>Мы в <strong>Lesta Studio St.Petersburg</strong>, помимо флагманской игры World of Warships, ведем разработку новых игровых проектов в различных жанрах и для разных платформ, а также экспериментируем с инструментами и технологиями. Одна из команд в нашей студии занимается прототипированием <strong>нового кроссплатформенного ММО шутера</strong> в Sci-Fi сеттинге, в разработке которого используются движок Unreal Engine 4, С++ и Java. У нас амбициозные планы по дальнейшему развитию проекта, с чем нам может помочь <strong>Senior</strong> <strong>Gameplay Programmer</strong>.</p> <p> </p> <p><strong>Чем предстоит заниматься:</strong></p> <ul> <li>Реализация игровой логики для многопользовательской сессионной игры на базе Unreal Engine 4 с преимущественным использованием C++ (core геймплей, клиент-серверное взаимодействие, ИИ ботов и пр.);</li> <li>Поддержка и рефакторинг существующего кода с целью сохранения его простоты и сопровождаемости;</li> <li>Профилирование и оптимизация как по производительности, так и по сетевому трафику;</li> <li>Ревью кода других разработчиков;</li> <li>Взаимодействие с другими отделами (гейм дизайн, техарт, UI, бекэнд, анимации, эффекты).</li> </ul> <p> </p> <p><strong>Что для нас важно:</strong></p> <ul> <li>Хорошее знание и опыт программирования на C++;</li> <li>Понимание принципов реализации игровых механик и построения кода игровой логики;</li> <li>Большой опыт работы с Unreal Engine 4 и знание принципов его внутреннего устройства;</li> <li>Опыт разработки сетевых игр;</li> <li>Желание создавать игры и инициативность в плане привнесения своих идей, коммуникативность и открытость.</li> </ul> <p><strong>Приветствуется:</strong></p> <ul> <li>Увлечённость играми и богатый игровой опыт;</li> <li>Опыт работы с системами ИИ, анимации, звука, физики, интерфейсов;</li> <li>Опыт разработки игр для PC и консолей;</li> <li>Хорошее владение английским языком.</li> </ul> <p> </p> <p><strong>Что предлагаем:</strong></p> <ul> <li> <p>Заработную плату, которая учитывает официальный курс доллара США.</p> </li> <li> <p>Работу в аккредитованной IT – компании.</p> </li> <li>Работа в офисе в г. Санкт-Петербург. Мы поможем вам в релокации (проживание в корп.квартире, релокационный бонус).</li> <li>Расширенный полис ДМС.</li> <li>Спортзал и душевые в офисе, компенсация большей части стоимости годового абонемента сети спортклубов.</li> <li>Обучение: уроки английского языка в офисе; внутренние и внешние конференции, тренинги.</li> <li>Бесплатные завтраки и ужины, компенсация обедов.</li> <li>Релакс-зоны с массажными креслами Yamaguchi и топовыми кофемашинами.</li> <li>Мы тестируем наши продукты в игровых с мощным железом и приставками. Но если хотите размяться в офлайне, у нас есть настольный теннис, хоккей, баскетбол и кикер.</li> <li>Work-life balance: начало работы - с 9 до 10, окончание - с 18 до 19.</li> </ul> <p> </p>",https://hh.ru/vacancy/54876079,54876079
Team Lead C++,,,"['C/C++', 'Win32 Api', 'CMake', 'Git', 'Управление командой']",,,,Контур,moreThan6,fullDay,2022-08-24T08:58:42+0300,"<p><strong>О нас</strong></p> <p>Контур — экосистема продуктов для бизнеса. Мы создаем решения, которые сохраняют время, деньги и нервные клетки бизнесменам и их сотрудникам по всей стране.</p> <p>В группу компаний СКБ Контур входит «Атом Безопасность» — разработчик программ для защиты данных. Компания на рынке более 10 лет, является резидентом технопарка «Сколково».</p> <p>Флагманский продукт «Атом Безопасность» — платформа StaffCop.</p> <p>StaffCop обнаруживает угрозы и предотвращает утечку корпоративных данных, помогает расследовать инциденты с оборотом данных, стоит на страже коммерческой тайны и интеллектуальной собственности. StaffCop используют 11 000 компаний в 26 странах мира.</p> <p>Штаб-квартира расположена в новосибирском Академгородке.</p> <p>В компании работает более 60 человек. Отдел разработки состоит из нескольких команд, сейчас мы ищем C++-разработчика уровня Lead в команду Windows Агента.</p> <p><strong>О продукте</strong></p> <p>StaffCop Windows Агент — это системная служба, которая устанавливается на рабочие машины и фиксирует все действия, совершаемые пользователями. Например, пересылка файлов, отправка различных сообщений, посещения сайтов и т. п. Вся подобная телеметрия отправляется на серверы StaffCop.</p> <p>Кроме сбора телеметрии, агент реализует некоторые возможности DLP (data leak prevention) системы — блокировка USB-устройства, посещение сайтов, копирования файлов. Есть поддержка удаленного управления.</p> <p>Сам агент написан на C++, DLP-модуль на Rust.</p> <p><strong>Технологический стек</strong></p> <p>C/C++, WinAPI, CMake, git. Используем C++17.</p> <p><strong>Команда и процессы</strong></p> <p>Команда из 6 человек, распределенная. Сейчас ей управляет CTO.</p> <p>Раз в неделю — общий митинг на 1,5–2 часа.</p> <p>2 раза в год — релиз.</p> <p>Есть выделенная команда тестирования, а также планируем поиск системного аналитика.</p> <p><strong>Чем предстоит заниматься</strong></p> <ul> <li>Участвовать в развитии проекта:</li> </ul> <p>— Писать код: исправлять баги, реализовывать новые фичи.</p> <p>— Помогать с оценкой разработки новых фич, которые будут влиять на стратегию развития продукта.</p> <p>— Обеспечивать техническое качество.</p> <ul> <li>Управлять командой C++-разработчиков:</li> </ul> <p>— Поддерживать и развивать устоявшиеся процессы, а также внедрять новые.</p> <p>— Декомпозировать крупные задачи, распределять их между членами команды, контролировать выполнение.</p> <p>— Помогать команде в профессиональном развитии: периодически давать обратную связь по результатам работы, проводить оценку.</p> <p>— Участвовать в процессе найма и адаптации новых сотрудников.</p> <strong>Наши ожидания</strong> <ul> <li>Опыт разработки на C++ от 5 лет.</li> <li>Опыт управления командой от 1 года или готовность развиваться как тимлид.</li> <li>Опыт декомпозиции крупных задач.</li> <li>Понимание работы ОС Windows (процессы, файловая система, реестр, службы и т. д.).</li> <li>Широкий технический кругозор:</li> <li>Навыки CI/CD.</li> <li>Навыки автоматизации тестирования.</li> <li>Навыки разработки на других языках программирования.</li> </ul> <p><strong>Дополнительным плюсом будет</strong></p> <ul> <li>Опыт разработки в kernel-mode.</li> <li>Навыки reverse engineering.</li> <li>Знание языка Rust.</li> </ul> <p><em>Если ваш опыт не в полной мере соответствует нашим требованиям — некритично. Для нас важна готовность учиться:)</em></p> <strong>Условия работы</strong> <ul> <li>Трудоустройство в штат компании «Атом Безопасность».</li> <li>Оформление по ТК, полностью белая заработная плата.</li> <li>Уровень зарплаты зависит от ваших технических знаний и навыков.</li> <li>Можно выбрать офисный, гибридный или удаленный формат работы. Большая часть команды находится в московском часовом поясе. Готовы к удаленному сотрудничеству. Офис — г. Новосибирск, Академгородок, Технопарк.</li> <li>Гибкие рабочие часы (нам важна выполненная задача, а не работа с 09:00 до 18:00).</li> <li>ДМС и частичная компенсация занятий спортом после испытательного срока.</li> <li>Чай, кофе, сладости, фрукты для сотрудников.</li> <li>Новогодние подарки для детей сотрудников и сотрудников.</li> <li>Корпоративные мероприятия.</li> </ul> <p>Присоединяйтесь:)</p>",https://hh.ru/vacancy/69114916,69114916
Senior C++ Browser Engineer (relocation to EU),,,"['Chromium', 'C++']",,,,Hunt For You,moreThan6,fullDay,2022-08-29T16:07:40+0300,"<p><strong>About the product:</strong></p> <ul> <li>Chromium-based desktop and Android browser with privacy protection</li> <li>Other services include search, VPN and second phone apps with data security</li> </ul> <p><strong>About the team:</strong></p> <ul> <li>Professional team of experienced developers</li> <li>International team: <ul> <li>Head office - US</li> <li>Developers - EU (Germany, France, Ireland)</li> </ul> </li> </ul> <p><strong>The technologies:</strong></p> <ul> <li>Chromium, C++, Javascript, Python</li> <li>Windows, MacOS, Android, Jenkins, AWS</li> </ul> <p><strong>Responsibilities:</strong></p> <ul> <li>Develop features and improvements to the core browser product</li> <li>Improve anti-fingerprinting functions, synchronization features</li> <li>RnD tasks to research new features added to Chromium</li> <li>Be ready to work on different parts of the product</li> </ul> <p><strong>Requirements:</strong></p> <ul> <li>5+ years of experience in desktop application development (C++)</li> <li>Commercial experience with Chromium</li> <li>Experience working with large codebase</li> <li>B.Sc. or M.Sc. in Computer Science</li> <li>Fluent English</li> </ul> <p><strong>We offer</strong></p> <ul> <li>Official employment contract in Germany/France/Ireland</li> <li>Remote or hybrid format of work in these countries</li> <li>Relocation support: 2 months of rent</li> <li>Flexible work schedule</li> <li>Annual offsite teambuilding</li> </ul>",https://hh.ru/vacancy/69271492,69271492
Senior C++ developer/Старший инженер-программист С++,,,"['Linux', 'C/C++', 'Algorithms', 'Data Structures', 'multithreading']",,,,YADRO,moreThan6,remote,2022-08-05T17:43:10+0300,"<p>Мы активно расширяемся и в связи с этим открываем поиск <strong>Senior C++ developer</strong> в Департамент разработки подсистем обработки данных (СХД) TATLIN.</p> <p>СХД TATLIN - это программно-аппаратные комплексы, спроектированные и произведенные в России. За достаточно короткое время (с момента создания компании прошло всего 8 лет) СХД TATLIN составили достойную конкуренцию крупным мировым производителям СХД. Безусловно это было бы невозможно без активного использования open-source решений. Но в отличии от многих других компаний мы не только их используем, но и сами активно контрибьютим.</p> <p><strong><em>Чем Вам предстоит заниматься:</em></strong></p> <ul> <li>Разработкой высокопроизводительных data path, control/management path, уровня data protection и кластерных компонентов для системы хранения данных;</li> <li>Разработкой эффективных алгоритмов и структур данных для симметричного active-active кластера;</li> <li>Разработкой высокопроизводительных алгоритмов преобразования данных и алгоритмов уменьшения избыточности данных;</li> <li>Исследованием и решением проблем, связанных с производительностью и стабильностью;</li> <li>Разработкой механизмов репликации данных.</li> <li>Настройкой и доработкой различных подсистем ядра Linux, продвижением наработок в mainline ядра.</li> </ul> <p><strong><em>Мы ожидаем от будущего члена команды:</em></strong></p> <ul> <li>Понимание устройства современных компьютеров и операционных систем в целом;</li> <li>Знание С и C++11/14/17;</li> <li>Отличное понимание как устроен Linux и Linux/POSIX API;</li> <li>Опыт анализа производительности отдельных приложений и системы в целом;</li> <li>Умение тестировать собственный код;</li> <li>Опыт написания многопоточных и/или асинхронных программ.</li> </ul> <p>Также необходимо быть знакомым с классическими алгоритмами и структурами данных.</p> <p><strong><em>Будет плюсом:</em></strong></p> <ul> <li>Наличие опыта разработки модулей ядра или опыт системного программирования.</li> </ul> <p><em><strong>Мы предлагаем:</strong></em></p> <ul> <li>Стать частью амбициозной продуктовой компании, вносящей вклад в мировое инженерное сообщество, а также ежегодно увеличивающей долю рынка и финансовые показатели;</li> <li>Гибридный формат работы: рабочее место в комфортном лофт-офисе на территории БП «Полюстрово» в 10-15 минутах от ст. метро Площадь Ленина/Новочеркасская + удалённая работа из дома на корпоративном ноутбуке;</li> <li>Конкурентный уровень заработной платы (готовы по достоинству оценить ваши знания и опыт) + премирование по результатам работы.</li> </ul>",https://hh.ru/vacancy/66636229,66636229
Software engineer (C/C++)/ Инженер-разработчик C/C++ (Network OS),Санкт-Петербург,Свердловская набережная,"['Linux', 'Python', 'C/C++', 'Unix']",,,,YADRO,moreThan6,fullDay,2022-08-08T00:15:48+0300,"<p>R&amp;D центры YADRO находятся в Москве, Санкт-Петербурге и Нижнем Новгороде, производственная площадка расположена в Московской области и строится завод полного цикла. На текущий момент нас уже более 1200 человек, и мы продолжаем активно расти и расширять команду.</p> <p>Недавно мы запустили новое продуктовое направление, а именно собственную разработку полного цикла ethernet-коммутаторов промышленного назначения и в связи с этим открываем поиск Software engineer (C/C++) в Департамент сетевых технологий.</p> <p><em><strong>Чем предстоит заниматься:</strong></em></p> <ul> <li>Разработкой встроенного программного обеспечения сетевых коммутаторов;</li> <li>Проводить анализ программных решений с открытым кодом из предметной области.</li> </ul> <p>Подразумевается совместная работа с командами: разработчиков NOS, командой аппаратной разработки.</p> <p><em><strong>Мы ожидаем от будущего члена команды:</strong></em></p> <ul> <li>C, C++ (1998/2003);*</li> <li>Python;</li> <li>Знание Linux и опыт разработки приложений под неё;</li> <li>Опыт работы с Docker контейнерами.</li> </ul> <p><em>* </em>разработка в проекте идёт на этом стандарте</p> <p><em><strong>Дополнительно приветствуем:</strong></em></p> <ul> <li>Курсы/сертификация Cisco CCNA/Avaya APDS/Juniper JNCIA/etc.;</li> <li>Практический опыт работы с сетевым оборудованием Cisco/Avaya/Juniper/Arista;</li> <li>Знание p4 language;</li> <li>Опыт работы с SONiC NOS;</li> <li>Знание сетевых протоколов;</li> <li>Знание и практическое использование инструментов тестирования/диагностики сетевых устройств: ping, traceroute, tcpdump, wireshark, iperf и т.д.;</li> <li>Знание и/или опыт работы: с адресацией/маршрутизацией трафика, включая протоколы динамической маршрутизации, фильтрацией трафика (ACL), управления трафиком (SDN, OpenFlow).</li> </ul> <p><em><strong>Будем рады предложить:</strong></em></p> <ul> <li>Конкурентный уровень заработной платы (готовы по достоинству оценить ваши знания и опыт) + премирование по результатам работы;</li> <li>Гибридный формат работы: рабочее место в комфортном лофт-офисе на территории БП «Полюстрово» в 10-15 минутах от ст. метро Площадь Ленина/Новочеркасская + удалённая работа из дома на корпоративном ноутбуке;</li> <li>Возможность расти горизонтально и вертикально, а также в зависимости от результатов и интересов перемещаться между проектами и командами.</li> </ul>",https://hh.ru/vacancy/67623283,67623283
C++ Team Lead,,,"['Golang', 'Python', 'Git', 'Linux', 'Английский язык']",,,,Scalable Solutions,moreThan6,fullDay,2022-08-08T16:49:44+0300,"<p><em>Scalable Solutions – международная технологическая компания, которая разрабатывает глобальные финтех решения и биржевые продукты с 2013 года. За это время мы собрали сильную команду из 160 инженеров, чемпионов мира по программированию и разработчиков высоконагруженных систем, став ведущим технологическим провайдером в отрасли.</em></p> <p><em>Наши продукты ежедневно используют миллионы пользователей из 200+ стран, а центры разработки Scalable Solutions находятся в России, Швейцарии, Великобритании, США, Испании, Грузии, Индонезии, на Кипре и в других странах.</em></p> <p><em>Присоединяйтесь к сильной команде в самой драйвовой из высокотехнологичных отраслей.</em></p> <p><strong>Обязанности:</strong></p> <ol> <li> <p>Организация работ по выполнению продуктовых фичей</p> <ol> <li> <p>разработка новых торговых инструментов для спотовой и деривативной торговли</p> </li> <li> <p>развитие моделей оценки биржевых рисков</p> </li> <li> <p>сопровождение и рефакторинг существующих решений</p> </li> </ol> </li> <li> <p>Написание детальных технических требований на разработку в Jira и распределение задач внутри команды</p> </li> <li> <p>Ревью архитектурных решений и кросс командное ревью кода</p> </li> <li> <p>Развитие команды и повышения ее КПД</p> </li> <li> <p>Проведение собеседований и онбординг новых сотрудников</p> </li> <li> <p>Написание кода на С++, Go и Python</p> </li> </ol> <p> </p> <p><strong>Требования:</strong></p> <ol> <li> <p>Профессиональное владение С++ не менее 14-го стандарта</p> </li> <li> <p>Знание современных паттернов проектирования многокомпонентных систем.</p> </li> <li> <p>Опыт проектирования и разработки распределенных и высоконагруженных систем.</p> </li> <li> <p>Опыт применения асинхронного и многопоточного программирования.</p> </li> <li> <p>Опыт коммерческой разработки ПО от 7-ми лет</p> </li> <li> <p>Опыт работы с Linux</p> </li> <li> <p>Опыт использования реляционных баз данных</p> </li> <li> <p>Опыт использования Git</p> </li> <li> <p>Уровень английского языка - не ниже Intermediate (предстоит руководить интернациональной командой)</p> </li> </ol> <p> </p> <p><strong>Дополнительные плюсы:</strong></p> <ol> <li> <p>Понимание механизмов биржевой торговли, в т.ч. торговли фьючерсами и опционами</p> </li> <li> <p>Опыт программирования на Python и GoLang</p> </li> <li> <p>Навыки анализа сетевого трафика</p> </li> </ol>",https://hh.ru/vacancy/55557189,55557189
