name,city,address,key_skills,sal_from,sal_to,currency,company,experience,schedule,published_at,description,alternate_url,id
Программист-разработчик игр (Junior),Санкт-Петербург,18-я линия Васильевского острова,"['Информационные технологии', 'Разработка компьютерных Игр']",1000,2000,USD,ГравиЛинк,noExperience,flexible,2022-09-01T18:33:07+0300,"<p>Мы расширяем свою gamedev-команду и ищем заинтересованных программистов для разработки компьютерных игр под различные платформы на нашем собственном языке.</p> <p><strong>У нас вы получите возможность</strong>:<br />- получать зарплату по курсу 75 рублей за доллар, если биржевой курс опускается ниже 75, и по биржевому курсу, если он больше или равен 75<br />- приобрести глубокие и разносторонние знания, познакомившись с множеством аспектов создания компьютерных игр<br />- работать в сильной команде над уникальными продуктами, которыми можно гордиться<br />- изучать новые технологии и расти как специалист<br />- участвовать в полном цикле разработки и предлагать любые улучшения<br />- получать справедливую оплату, соразмерную вашему вкладу</p> <p><strong>Нам важно, чтобы вы</strong>:<br />- имели базовые знания математики и информационных технологий<br />- умели программировать хотя бы на одном из языков: C, C++, Rust<br />- понимали, во что превращается ваш код, и как он работает на низком уровне<br />- не боялись сложностей и получали удовольствие от решения нестандартных задач<br />- имели возможность и желание работать не менее 60 часов в месяц</p> <p><strong>Мы обрадуемся</strong>, если вы также имеете опыт/навыки работы с Unix, Android, базами данных, сетевыми протоколами, системами контроля версий, web-программирования, программирования для GPU (работы с шейдерами).</p> <p>У нас возможна удалённая работа по любому удобному вам графику.<br />Оплата производится не за количество проведённых за компьютером часов, а за завершённые задачи. Все задачи оцениваются перед выполнением.</p>",https://hh.ru/vacancy/51540882,51540882
Junior C++ Programmer (стажер),,,"['Работа в команде', 'C++']",,,,Lesta Games,noExperience,fullDay,2022-08-31T16:02:24+0300,"<p>Мы в<strong> Lesta Games </strong>(Санкт-Петербург, Москва, Минск)<strong> </strong>ведем разработку игровых проектов в различных жанрах и для разных платформ, а также экспериментируем с инструментами и технологиями. Мы уже выпустили несколько игр, аудитория которых насчитывает миллионы игроков по всему миру. Но мы не планируем останавливаться на достигнутом – впереди много работы, чтобы сделать наши проекты еще более успешными.</p> <p>Мы открываем <strong>стажировку С++</strong>, и ищем талантливых людей, желающих развиваться в творческом коллективе и участвовать в создании игр мирового уровня. Стажировка подразумевает <strong>полный рабочий день и возможность последующего сотрудничества с нашим проектом</strong>.</p> <p> </p> <p><strong>Что для нас важно:</strong></p> <ul> <li>Хорошие знания C++;</li> <li>Техническая грамотность;</li> <li>Техническое образование (также студенты последних курсов);</li> <li>Умение и готовность работать в команде, усидчивость и ответственность;</li> <li>Желание развиваться в сфере программирования игр.</li> </ul> <p> </p> <p><strong>Что предлагаем:</strong></p> <ul> <li>Заработную плату, которая учитывает официальный курс доллара США;</li> <li>Возможность продолжения сотрудничества;</li> <li>Расширенный полис ДМС, компенсация спорта и питания;</li> <li>Релакс-зоны с массажными креслами Yamaguchi и топовыми кофемашинами.</li> <li>Мы тестируем наши продукты в игровых с мощным железом и приставками. Но если хотите размяться в офлайне, у нас есть настольный теннис, хоккей и кикер.</li> <li>Work-life balance: приходим в офис с 9 до 10, уходим с 18 до 19.</li> </ul>",https://hh.ru/vacancy/68162579,68162579
Младший C++ разработчик (Облако)/Junior C++ Developer (Cloud),,,[],,,,Доктор Веб,noExperience,flexible,2022-09-02T10:28:10+0300,"<p>Облако Dr.Web - это сервис, улучшающий работу антивирусных продуктов. С его помощью мы собираем информацию о существующих и возможных угрозах в режиме реального времени. Полученные данные используются аналитиками для улучшения качества определения вирусных угроз.<br />Мы ищем коллегу, который хочет развиваться, учиться и создавать лучшие решения для защиты информации.<br /><br /><strong>Вам предстоит:</strong><br />- разрабатывать сервисы облачной инфраструктуры;<br />- решать задачи по обработке большого количества информации.<br /><br /><strong>Требования:</strong><br />- опыт разработки на C++;<br />- желание развиваться и решать сложные задачи.<br /><br /><strong>Будет плюсом:</strong><br />- опыт разработки многопоточных и сетевых приложений;<br />- опыт работы с базами данных.</p> <p> </p> <p><strong>Мы предлагаем:</strong></p> <p>• Официальное трудоустройство;</p> <p>• Современный офис на Петроградской стороне;</p> <p>• Гибкий график работы;</p> <p>• Конкурентоспособную заработную плату (обсуждается индивидуально, зависит от вашего опыта и квалификации);</p> <p>• Горячие обеды, фрукты, напитки;</p> <p>• ДМС, включая стоматологию;</p> <p>• Зону отдыха, тренажеры, полезные для работы книги.</p> <p> </p> <p>Рассматриваем в том числе студентов старших курсов и выпускников университетов.</p>",https://hh.ru/vacancy/69404680,69404680
Стажер-разработчик бэкенда (С++),,,"['Linux', 'C++']",,,,Яндекс,noExperience,flexible,2022-08-30T14:27:45+0300,"<p>Многие инструменты в Яндексе работают с колоссальными объемами информации. Сотни миллиардов ссылок, десятки петабайт данных — таковы система управления кластером, поисковый runtime и другие компоненты, от которых зависят надежность и производительность Поиска.</p> <p>Такую же проверку на прочность миллионами запросов испытывают ежедневно Маркет, Карты, Метрика, ротатор баннеров Яндекса и платформа распределенных вычислений YT. Каждая из этих систем содержит множество взаимосвязанных компонентов с очень высокими требованиями к производительности, отказоустойчивости и надежности.</p> <p>Если вам интересно заниматься такими решениями для масштабных проектов, приходите к нам. Здесь вам предстоит работать с высоконагруженными отказоустойчивыми системами и сталкиваться с действительно интересными инженерными задачами.</p> <p><strong>Требования:</strong></p> <ul> <li>знание языка программирования С++;</li> <li>отличное знание алгоритмов и структур данных;</li> <li>опыт разработки в Unix или Linux (приветствуется).</li> </ul> <p><strong>Условия:</strong></p> <ul> <li>крутой офис в центре Москвы со всем необходимым для комфортной работы и отдыха;</li> <li>оплачиваемая стажировка: 40, 30 или 20 часов в неделю;</li> <li>длительность стажировки от 3 до 6 месяцев;</li> <li>компенсация питания;</li> <li>гибкий график: мы не контролируем, кто во сколько приходит и уходит, главное для каждого из нас — выполнять задачи;</li> <li>экспертная и талантливая команда, у которой можно многому научиться;</li> <li>культура открытости и взаимопомощи: у нас работают люди, вовлеченные в процесс и небезразличные к тому, что они делают;</li> <li>реальные задачи, которые мы дадим решать во время стажировки;</li> <li>работа в технологической компании над полезными сервисами, которыми пользуются миллионы людей;</li> <li>возможность перехода в штат по результатам стажировки.</li> </ul>",https://hh.ru/vacancy/69305579,69305579
Junior Lua Developer,Ереван,,"['Lua', 'C++', 'С#']",,500,USD,Elephant Games,noExperience,remote,2022-08-30T11:39:17+0300,"<p><strong>Elephant Games </strong>- крупная игровая студия.<br />С момента основания в 2003 году мы выпустили более сотни игр, завоевавших признание миллионов игроков по всему миру. Мы делаем игры на PC, Mac, iOS и Android.<br />Хочешь с нами?</p> <p>Сейчас мы в поисках <strong>Lua Developer</strong>, который хочет расти в <strong>Technical Designer.</strong></p> <p><strong>Наш будущий коллега:</strong></p> <ul> <li>Владеет языками программирования Lua, С++/С#;</li> <li>Использует технический английский язык в работе;</li> <li>Умеет разбираться в чужом коде;</li> <li>Умеет работать в команде, способность четко укладываться в сроки.</li> </ul> <p><strong>Чем предстоит заниматься:</strong></p> <ul> <li> <p>Внедрять игровые объекты и писать логику их поведения (lua);</p> </li> <li> <p>Конфигурировать игровой контент;</p> </li> <li> <p>Интегрировать звуки, текстуры и анимации;</p> </li> <li> <p>Тесно взаимодействовать с другими отделами (художники, гейм-дизайнеры, тестировщики) при разработке обновлений.</p> </li> </ul> <p><strong>Мы предлагаем:</strong></p> <ul> <li>Возможность работать над интересными проектами;</li> <li>Команду влюбленных в свое дело специалистов, которые всегда помогут в сложных ситуациях и по-дружески поддержат;</li> <li>Прозрачность процессов и адекватный менеджмент.</li> </ul> <p><br /><strong>Предусмотрено выполнение тестового задания.</strong></p>",https://hh.ru/vacancy/69295858,69295858
Разработчик C++,Санкт-Петербург,2-я Советская улица,"['Английский язык', 'C++', 'Android', 'Android SDK', 'iOS']",,,,Техностар,noExperience,fullDay,2022-08-29T12:40:58+0300,"<p>МЫ– международная IT-компания, разработчик технологичных продуктов в области мобильной электроники.</p> <p>Нашими решениями пользуются в 60 странах по всему миру. Обладаем сертификатами и патентами. Создаем будущее в разработке ПО для рынка мобильной электроники!</p> <p>Мы молодая и амбициозная команда! Приглашаем к сотрудничеству специалистов в области программирования, готовых к решению нетривиальных задач.</p> <p><strong>Обязанности:</strong></p> <ul> <li> <p>Разработка собственных продуктов компании в команде из 3-5 человек</p> </li> <li> <p>Работа над новыми проектами &quot;с нуля&quot;</p> </li> <li> <p>Участие в текущих проектах- доработка, поддержка</p> </li> </ul> <strong>Требования:</strong> <ul> <li>Уверенное владение С++ (в т.ч. STL/Boost). Желательно владение на уровне стандарта С++11 или выше;</li> <li>Технический английский язык;</li> <li>опыт разработки кросс-платформенных приложений;</li> <li>хорошее понимание TCP/IP, опыт разработки сетевых программ <strong>Приветствуется:</strong></li> <li>понимание принципов взаимодействия с ОС(Android, iOS); Стек: С++11/14, boost, Сonan, CMake</li> </ul> <strong>Условия:</strong> <p><strong>Международный IT-проект</strong></p> <ul> <li>Конкурентная заработная плата;</li> <li>Работа в компании ориентированной на долгосрочное сотрудничество;</li> <li>ДМС после прохождения испытательного срока;</li> <li>Возможность гибкого начала рабочего дня;</li> <li>Комфортный офис в центре города;</li> <li>Уютная кухня, где есть все необходимое;</li> <li>Комната отдыха с настольным теннисом;</li> <li>Регулярные корпоративные мероприятия не только для вас, но и для ваших детей;</li> <li>Собственная библиотека;</li> <li>Работа в команде профессионалов, объединенных общей целью!</li> </ul>",https://hh.ru/vacancy/52331692,52331692
Unreal Engine Developer,,,"['Unreal Engine', 'Unreal Engine 4', 'C++', 'Разработка компьютерных Игр', 'Gamedev', 'Game Programming']",,,,Fntastic,noExperience,remote,2022-09-02T06:38:59+0300,"<p>Fntastic — быстрорастущая удаленно работающая организация со штаб-квартирой в Сингапуре, специализирующаяся на создании видеоигр и программного обеспечения. Культура Fntastic основана на идее волонтерства. Сегодня мы разрабатываем один из самых ожидаемых блокбастеров в мире The Day Before и бестселлер Propnight. Наша сплоченная, полностью удаленно работающая команда состоит из талантливых людей из России и стран СНГ, а также Таиланда, Латвии и Финляндии.</p> <strong>Обязанности:</strong> <p>● Создание и поддержка кода<br />● Работа с Blueprint</p> <strong>Требования:</strong> <p>● Знание С++<br />● Приветствуется опыт работы с игровыми движками (Unreal Engine или Unity)<br />● Приветствуется умение работать с Git</p> <strong>Условия:</strong> <p>● Стабильная заработная плата и трудоустройство по ТК<br />● Дополнительный выходной в месяц<br />● Премии<br />● Удаленная работа из любой точки мира<br />● Интересная работа в ведущей игровой компании<br />● Работа в дружелюбной атмосфере талантливых людей<br />● Предоставление оборудования, необходимого для удаленной работы</p>",https://hh.ru/vacancy/68902146,68902146
Инженер-программист (embedded),Санкт-Петербург,улица Курчатова,"['SVN', 'Qt', 'C++', 'embedded Linux', 'C/C++', 'TCP/IP', 'Bash', 'Alsa', 'V4L', 'BuildRoot или Yocta', 'GStreamer']",,,,МИНИТЕХ,noExperience,fullDay,2022-08-31T13:59:53+0300,"<strong>Обязанности:</strong> <ul> <li>разработка системного и прикладного ПО embedded Linux;</li> <li>сборка и адаптация embedded Linux;</li> <li>настройка и испытания опытных образцов;</li> <li>документирование проектов;</li> <li>анализ и доработка существующих проектов;</li> <li>разработка методик испытаний.</li> </ul> <strong>Требования:</strong> <ul> <li>уверенные знания языка C/C++;</li> <li>уверенные знания протоколов семейства TCP/IP;</li> <li>понимание основ потоковой передачи мультимедийной информации по IP-сетям;</li> <li>знание основ архитектуры OС Linux;</li> <li>знание основ bash;</li> <li>знание основ системы сборки BuildRoot или Yocta;</li> <li>знание основ ALSA и V4L;</li> <li>знание основ GStreamer;</li> <li>знание основ кросс-компиляции;</li> <li>умение разбираться в чужом исходном коде;</li> <li>желателен опыт работы в Qt;</li> <li>опыт использования систем контроля версий (SVN, GIT и т.д.);</li> <li>технический английский язык на уровне понимания прочитанного;</li> <li>рассматриваем , в том числе, студентов старших курсов.</li> </ul> <strong>Условия:</strong> <ul> <li>работа в развивающейся стабильной производственной компании;</li> <li>официальное трудоустройство по ТК РФ;</li> <li>полный соц. пакет, гарантированный государством;</li> <li>ДМС;</li> <li>шаговая доступность от метро Политехническая (7-8 минут пешком);</li> <li>дружный коллектив профессионалов-единомышленников;</li> <li>размер заработной платы по результатам собеседования (обсуждается).</li> </ul>",https://hh.ru/vacancy/67988360,67988360
Специалист по разработке алгоритмов искусственного интеллекта,Санкт-Петербург,Гаражный проезд,"['Linux', 'C++', 'C/C++', 'Системное мышление', 'Алгоритмы']",,,,Макро Групп,noExperience,fullDay,2022-08-29T16:29:06+0300,"<p><strong>Чем нужно заниматься:</strong></p> <ul> <li>Разрабатывать оптимальную комбинацию ML и классических алгоритмов обработки видео</li> <li>Обучать (дообучать) нейросети после их глубокой оптимизации</li> <li>Реализовывать ML и классические алгоритмы в ПО на C++ под Linux</li> <li>Отлаживать и тестировать работу алгоритмов на прототипе устройства</li> <li>Фиксировать полученные результаты</li> </ul> <p><strong>Что мы ждем от кандидата:</strong></p> <ul> <li>Базовые знания алгоритмов ML и классических алгоритмов;</li> <li>Углубленные знания одного из фреймворков: Pytorch, Tensorflow, Caffe</li> <li>Базовые навыки программирования на C++ и/или Python под Linux</li> <li>Понимание процесса переноса нейросети на конечное устройство</li> </ul> <p><strong>Что мы предлагаем:</strong></p> <ul> <li>Постоянную работу в крупной, стабильной, развивающейся компании, оформление по ТК РФ;</li> <li>Привлекательный компенсационный пакет (полис Добровольного медицинского страхования или компенсация фитнеса на выбор после завершения ИС);</li> <li>обучение за счет Компании, мат.помощь в особых жизненных ситуациях;</li> <li>Уровень заработной платы обсуждается с успешным кандидатом;</li> <li>Возможна работа на неполную занятость.</li> </ul>",https://hh.ru/vacancy/69272476,69272476
C++ Developer (С++ разработчик),,,"['Git', 'Английский язык', 'Android', 'iOS']",,,,Social Quantum,noExperience,fullDay,2022-08-23T14:56:41+0300,"<p><strong>Обязанности:</strong></p> <ul> <li> <p>Участие в проектировании и разработке архитектуры модулей игровых приложений</p> </li> <li> <p>Разработка и поддержка игрового фреймворка</p> </li> <li> <p>Соблюдение и поддержка стандартов кода компании</p> </li> <li> <p>Разработка и поддержка unit-тестов</p> </li> <li> <p>Совместная работа в проектной команде</p> </li> </ul> <strong>Требования:</strong> <ul> <li> <p>Уверенной владение C++ от двух лет (11/14 стандарты)</p> </li> <li> <p>Понимание основ разработки под мобильные платформы (iOS/Android)</p> </li> <li> <p>Знание линейной алгебры</p> </li> <li> <p>Знание базовых алгоритмов и структур данных</p> </li> <li> <p>Умение работать с системами контроля версий (Git)</p> </li> <li> <p>Технический английский</p> </li> </ul> <p><br /><strong>Будет плюсом:</strong></p> <ul> <li> <p>Опыт работы в игровой индустрии</p> </li> <li> <p>Опыт разработки на Python/Lua</p> </li> <li> <p>Знание UE4/Unity</p> </li> <li> <p>Знание OpenGL/DirectX/Vulcan/Metal</p> </li> <li> <p>Умение проводить Code Review</p> </li> <li> <p>Владение UML в объеме, достаточном для документирования собственных идей и понимания чужих схем</p> </li> </ul>",https://hh.ru/vacancy/68087825,68087825
