name,city,address,key_skills,sal_from,sal_to,currency,company,experience,schedule,published_at,description,alternate_url,id
Java разработчик Junior,Санкт-Петербург,Пироговская набережная,"['REST', 'HTTP', 'Webpack', 'HTML', 'CSS', 'API', 'JVM', 'Spring Framework', 'Желание учиться и развиваться', 'Java', 'PostgreSQL', 'AngularJS']",60000,80000,RUR,Синтека,between1And3,fullDay,2022-08-31T14:59:55+0300,"<p><strong>Привет :)</strong></p> <p>Мы it компания, являемся резидентами Сколково, разработчики уникального программного продукта для строительных компаний - системы автоматизации снабжения (SRM).</p> <p>Нашими постоянными клиентами являются такие известные строительные компании, как <strong><em>Сэтл Сити, ЛСР, ПС Корпорация, Мавис, RBI и многие другие.</em></strong></p> <p><strong>В нашу команду мы ищем Java разработчик Junior!</strong></p> <p><strong>Чем предстоит заниматься:</strong></p> <ul> <li>Создавать, развивать и корректировать существующий код;</li> <li>Участвовать в разработке архитектуры приложения;</li> <li>Взаимодействовать с тестировщиками, проект-менеджерами и дизайнером;</li> <li>Развиваться в направлении FullStack разработки.</li> <li><strong>Мы ждем, что ты</strong>:</li> <li>Имеешь хорошее знание JVM, Collections, Stream API, Concurrency;</li> <li>Знаешь протокол HTTP, что такое REST, какие его основные принципы;</li> <li>Понимаешь работу с СУБД Postgres, MySql или подобными.</li> <li>Знаешь что такое JOIN, GROUP BY и другие основные операторы;</li> <li>Spring, Play Framework или подобные фреймворки;</li> <li>Знаком с ORM системами (Hibernate, Ebean);</li> <li>Работал с одним из js-движков: Angular, React, Vue;</li> <li>Понимаешь работу с асинхронным кодом, промисы и тд;</li> <li>HTML, CSS;</li> <li>Знаешь основные структуры данных и алгоритмов.</li> </ul> <strong>Мы готовы предложить:</strong> <ul> <li>Работу в надежной, ведущей в своей области IT - компании, с большим опытом работы и уникальным продуктом;</li> <li>Полностью БЕЛАЯ заработная плата. Оплата отпусков и больничных;</li> <li>5-дневная 8-часовая рабочая неделя (сб, вс, праздники – выходные);</li> <li>Дружелюбная атмосфера в команде, конструктивный настрой и наставничество для новых сотрудников;</li> <li>Работа в комфортабельном офисе с видом на Неву;</li> <li> <p>В офисе: игровая зона, чай, кофе, фрукты каждую неделю.</p> </li> </ul>",https://hh.ru/vacancy/69345537,69345537
JAVA back-end разработчик на проект (desktop),Санкт-Петербург,Пискарёвский проспект,"['Git', 'Eclipse', 'SQL', 'Java', 'Английский язык', 'Базы данных', 'Scrum', 'Java Core', 'Удаленная работа', 'Cистемы управления базами данных', 'Open source', 'DBeaver']",200000,350000,RUR,Райдер софт,between1And3,fullDay,2022-08-30T14:05:19+0300,"<p>Мы помогаем пользователям в организации работы с базами данных. Наш продукт - популярный в open-source проект в области баз данных.</p> <p>Мы ищем JAVA back-end разработчика на продукт в desktop- клиентское приложение для управления базами данных</p> <p>Мы работаем на современном стеке технологий, с использованием Eclipse (RCP). Мы делаем то, что еще никто не делал, и это классно. Каждый день новые фичи и постоянное развитие продукта.</p> <p>Мы любим хорошо выстроенные процессы и живем в режиме work-life balance.</p> <p><strong>Обязательные требования</strong></p> <ul> <li> <p>уверенное знание Java Core</p> </li> <li> <p>опыт работы с ORMs</p> </li> <li> <p>опыт работы с базами данных SQL и NoSQL</p> </li> <li> <p>знание языка SQL и хорошее понимание реляционной модели данных</p> </li> <li> <p>Git, Gitflow</p> </li> </ul> <p><strong>Дополнительным плюсом будет</strong></p> <ul> <li> <p>понимание принципов работы OSGI</p> </li> <li> <p>практическое знание английского языка (уровень B1)</p> </li> </ul> <p><strong>Наши инструменты</strong></p> <ul> <li> <p>Java 11, Eclipse (RCP),OSGI, JDBC, JPA,Scrum</p> </li> </ul> <p><strong>Мы предлагаем</strong></p> <ul> <li> <p>лояльный график работы (мы ориентированы на результат)</p> </li> <li> <p>работу с молодым коллективом единомышленников и высококлассными специалистами</p> </li> <li> <p>официальную зарплату и оформление по ТК РФ</p> </li> <li> <p>ДМС</p> </li> <li> <p>у нас есть современный и комфортный офис в районе м. Площадь Ленина или удаленная работа</p> </li> </ul>",https://hh.ru/vacancy/69133793,69133793
Java-разработчик/ Java-Developer (Java SE),,,"['Java SE', 'Git', 'ООП', 'Java', 'Eclipse', 'Intellij IDEA', 'Atlassian Jira', 'NetBeans', 'SQL', 'XML']",,,,"Комита, АО (Санкт-Петербург)",between1And3,remote,2022-08-31T13:01:59+0300,"<p>Компания АО &quot;Комита&quot; ищет к себе в команду <strong>Разработчиков Java SE </strong>уровня <strong>Junior + </strong></p> <p><strong>(больше 1 года опыта) </strong>для работы<strong> дистанционно </strong>или в наших офисах.</p> <p><strong>Наша компания</strong> является одним из первых в России разработчиков программного обеспечения для защищенного документооборота и успешно ведёт свою деятельность более 30 лет.</p> <p><strong><strong>Требования к кандидатам:</strong></strong></p> <ul> <li>Уверенные знания <strong>JAVА SE 1.7+</strong></li> <li>Хорошие знание ООП и основных шаблонов проектирования</li> <li>Умение разбираться в написанном коде</li> <li>Умение реалистично оценивать трудоемкость задач</li> <li>Владение инструментами: Intellij IDEA (Eclipse, Netbeans), Atlassian JIRA, Git</li> </ul> <p><strong>Дополнительные требования:</strong></p> <ul> <li><strong>Опыт коммерческой разработки на JAVА SE от 1 года</strong></li> <li>Опыт работы в команде.</li> </ul> <p><strong><strong>Предстоит заниматься:</strong></strong></p> <ul> <li>Дорабатывать существующее программное обеспечение</li> <li>Осваивать и внедрять новые технологии</li> <li>Участвовать в решении многочисленных задач, связанных с проектированием и разработкой программного обеспечения, совместно с сотрудниками проектных управлений</li> </ul> <p><strong><strong>Условия:</strong></strong></p> <ul> <li>Рабочий график – по будням 8 часовой рабочий день;</li> <li>Возможность работать как дистанционно, так и в офисе;</li> <li>Возможно оформление по совместительству;</li> <li>Головной офис в г. Санкт-Петербурге в пешей доступности от м. Новочеркасская (5-7 минут, недалеко от набережной);</li> <li>Официальное трудоустройство и белая заработная плата</li> <li>Квартальные премии</li> <li>ДМС от компании</li> <li>Заработная плата - по результатам собеседования.</li> </ul> <p> </p> <p>Если вас заинтересовала вакансия и вы подходите по указанным требованиям, присылайте свой отклик. Мы обязательно его рассмотрим!</p>",https://hh.ru/vacancy/69172979,69172979
Разработчик Java,,,"['SQL', 'PostgreSQL', 'Java', 'MongoDB', 'RabbitMQ', 'elasticserch', 'spring']",170000,,RUR,ТВИП,between1And3,fullDay,2022-09-01T18:14:23+0300,"<p><strong>Компания</strong><strong> TVIP (tvip.ru)</strong><strong> — это</strong><strong> IPTV/OTT </strong><strong>решения</strong><strong> </strong><strong>под</strong><strong> </strong><strong>ключ</strong><strong> </strong><strong>для</strong><strong> </strong><strong>операторов</strong><strong> </strong><strong>связи</strong><strong>.</strong><br /><strong>Мы</strong><strong> </strong><strong>работаем</strong><strong> </strong><strong>в</strong><strong> B2B </strong><strong>сегменте</strong><strong> </strong><strong>— </strong><strong>c 2013 года создаём</strong><strong> </strong><strong>программные</strong><strong> </strong><strong>продукты</strong><strong> </strong><strong>и</strong><strong> </strong><strong>производим</strong><strong> </strong><strong>оборудование</strong><strong> </strong><strong>для</strong><strong> IPTV </strong><strong>и</strong><strong> OTT-</strong><strong>провайдеров</strong><strong> </strong><strong>любого</strong><strong> </strong><strong>уровня</strong><strong>.</strong><br /><strong>Проект</strong><strong>, </strong><strong>над</strong><strong> </strong><strong>которым</strong><strong> </strong><strong>предстоит</strong><strong> </strong><strong>работать</strong><strong> — </strong><strong>платформа</strong><strong> TVIP TMS. </strong><strong>Программный</strong><strong> </strong><strong>продукт</strong><strong> </strong><strong>для</strong><strong> </strong><strong>управления</strong><strong> IPTV/OTT </strong><strong>сервисами</strong><br />Платформа – это то, на чем строится решение IPTV: система Middleware и система защиты контента CAS/DRM.<br /><br /><strong>Основными</strong><strong> </strong><strong>направлениями</strong><strong> </strong><strong>проекта</strong><strong> </strong><strong>компании являются</strong><strong>:</strong><br />- разработка современной услуги для просмотра видео, предоставляемой с помощью сетей широкополосного доступа, на экранах всех доступных абоненту устройств: телевизоров, компьютеров, планшетов, мобильных телефонов и т.д.;<br />- разработка аппаратно-программных средств для трансляции и просмотра видео;<br />- разработка интегрированных решений для OTT (технология Over the Top), IPTV и интерактивного телевидения;<br />- разработка сервисов дополнительных услуг, таких как, например, VoD (Видео по запросу) и SVoD (Видео по подписке);<br />- интеграция предлагаемых сервисов с сетями доступа любых операторов связи.</p> <p><br />Платформа является гибкой и многофункциональной системой Middleware, которая может работать как для IPTV, так и для OTT сервисов, адаптируясь под конкретные нужды оператора и его сетевую инфраструктуру.</p> <p><strong>Что мы предлагаем</strong><strong>:</strong></p> <p>- задачи, которые позволят посмотреть на то, как устроены стриминговые и телевизионные сервисы изнутри</p> <p>- мы в работе используем принципы agile настолько, насколько они действительно полезны</p> <p>- возможность повлиять на принимаемое техническое решение или предложить свое</p> <p>- отлаженный современный тех, в состав которого входят технологии и инструменты, о которых еще год-два назад рассказывали на конференциях</p> <p>- заглянуть за пределы обычного мира Java/Spring/Hibernate и узнать, как глубока кроличья нора</p> <p>- удобная организация разработки с максимальной степенью автоматизации рабочих процессов</p> <p>- возможность научиться у нас и привнести что-то свое в наши процессы</p> <p><strong>Что мы используем в работе</strong><strong>:</strong></p> <p>- Java 11 (планируем переход на 17)</p> <p>- Spring Boot 2.5.x</p> <p>- Spring 5 (Webflux + Project Reactor + Netty)</p> <p>- Spring Data (JDBC, R2DBC, Mongo)</p> <p>- Spring 5 MVC + Hibernate (тоже есть, так что есть возможность ностальгии)</p> <p>- Project Reactor RabbitMQ</p> <p>- Spring Cloud (Vault, Gateway)</p> <p>- Resilence4j</p> <p><strong>Что мы ожидаем от Вас</strong><strong>:</strong></p> <p>- работали на проектах, где используется Java 11 и Spring Boot 2.x</p> <p>- сможете вручную написать SQL запрос к нескольким таблицам</p> <p>- имеете представление о том, как организована структура обычного enterprise сервиса и где должна находится бизнес-логика</p> <p>- понимание того, для чего нужно code review</p> <p> </p> <p><strong>Будет преимуществом, если </strong><strong>:</strong></p> <p>- работали с NOSQL базами данных (на проектах мы используем Mongo, Redis, ElasticSearch)</p> <p>- понимаете, что такое event-driven подход</p> <p>- знаете, чем Kafka отличается от RabbitMQ</p> <p>- проектировали и разрабатывали RESTfull сервисы</p> <p>- понимаете отличие микросервисной архитектуры от монолитной</p> <p>- знаете, для чего используется SSO, и как JWT связан с OAuth</p> <p>- смотрите в сторону новых возможностей, которые предоставит Java 17, и понимаете, чем новый switch отличается от старого</p> <p>- для чего нужен rate limiter и circuit breaker</p> <p><strong>Условия</strong><strong>:</strong></p> <p>- Работа в комфортном офисе в Санкт-Петербурге, (10 минут пешком от ст.м. Пионерская / Комендантский проспект.)<br />- Официальное трудоустройство<br />- График работы гибкий, находится в офисе 5 дней в неделю не обязательно, важно при необходимости появляться на рабочем месте в Санкт-Петербурге.<br />- Современное, индивидуальное, оборудованное рабочее место<br />- Работа в молодом и дружном коллективе<br />- Социальный пакет. ДМС<br />- Возможность профессионального и карьерного развития.<br />- Своевременная выплата заработной платы (2 раза в месяц)<br />- Достойный уровень заработной платы (обсуждается по результатам собеседования)</p>",https://hh.ru/vacancy/69104576,69104576
Java разработчик,,,"['Spring Framework', 'Git', 'Java', 'JUnit', 'SQL', 'Работа в команде']",200000,,RUR,NEXTEPIC,between3And6,remote,2022-09-01T09:29:50+0300,"<p>Nextepic - Объединяем профессионалов. Помогаем бизнесу решать ИТ-задачи.</p> <p>Приглашаем разработчиков присоединиться к нашей команде<strong>. </strong><strong>Мы участвуем в разработке ИТ</strong><strong>-решений</strong> в разных сферах: финтех, производство, ритейл и другие.</p> <p><strong>Чем предстоит заниматься:</strong></p> <ul> <li>Декомпозировать и оценивать задачи</li> <li>Заниматься разработкой и рефакторингом микросервисом на Java/Kotlin</li> <li>Покрывать код unit тестами</li> <li>Развертывать микросервисы на тестовой и боевой инфраструктуре</li> <li>Насыщать микросервисы метриками и визуализировать их в Grafana</li> <li>Активно взаимодействовать в команде</li> </ul> <p><strong>Для этого вам потребуется:</strong></p> <ul> <li>Высшее техническое образование</li> <li>Опыт разработки на Java</li> <li>Знание Spring (Data/web/boot/security)</li> <li>Знание Hibernate, Groovy, Git, Gradle, Maven, MQ</li> <li>Опыт разработки высоконагруженных Web Services (SOAP, REST)</li> <li>Работа с Ignate, Rabbit/Kafka</li> <li>Опыт работы с реляционными СУБД (Oracle, PostgreSQL и тд)</li> <li>Хорошее знание SQL</li> <li>Нацеленность на результат и системность в работе</li> <li>Знание основных паттернов проектирования</li> <li>Опыт построения и реализации архитектур для крупных систем</li> <li>Приветствуется опыт работы в банковском Процессинговом центре, знание принципов работы, требований и технологий работы платёжных систем.</li> </ul> <p><strong>Большим полюсом будет:</strong></p> <ul> <li>Понимание основ платформы Kubernetes.</li> </ul> <p><strong>Мы предлагаем:</strong></p> <ul> <li>Профессиональная сильная команда, современные технологии</li> <li>Возможность вносить свой вклад в создание продуктов, которыми пользуются миллионы людей</li> <li>Удаленный формат работы фултайм</li> <li>Гибкое начало рабочего дня</li> <li>Полностью «белую» заработную плату, уровень дохода обсуждается индивидуально.</li> </ul>",https://hh.ru/vacancy/69197294,69197294
Java Developer,Санкт-Петербург,Большая Монетная улица,"['PostgreSQL', 'Spring Framework', 'Java', 'Git', 'SQL', 'Redis', 'Java Core']",150000,,RUR,LoyaltyPlant,between1And3,remote,2022-08-30T15:23:34+0300,"<p>Привет!</p> <p>Мы ищем <strong>Java разработчика</strong> в команду LoyaltyPlant.</p> <p><strong>LoyaltyPlant </strong>— один из лидеров на рынке мобильных решений для бизнеса. Мы помогаем ресторанным и ритейл инноваторам достигать выдающихся бизнес-результатов и дарить клиентам классные эмоции от общения с брендом.</p> <p><strong>Наш продукт </strong>— mobile ordering and engagement платформа. На базе платформы бизнес может запустить собственное мобильное приложение с e-commerce модулем и программой лояльности, управлять приложением и мобильным маркетингом через CRM систему, и интегрировать приложение в свою цифровую инфраструктуру. LoyaltyPlant помогает превратить приложение в успешный проект, который приносит бизнесу дополнительную выручку.</p> <p>За 11 лет мы прошли путь от стартапа из маленькой питерской каморки до международной компании. Нам доверяют более чем 500 клиентов (Papa Johns, Subway, Cofix, L&amp;L Hawaii, TGI Friday’s, Black Star Burger и т.д.) в 22 странах, а нашими приложениями пользуются десятки миллионов людей по всему миру. Каждое утро это драйвит нас делать наш продукт и сервис, а вместе с ними и мир, немного лучше.</p> <p><strong>Какие задачи тебя ждут:</strong></p> <p>Мы ищем Java разработчика в команду “Platform”, которая занимается поддержкой и развитием ядра продукта - системами процессинга баллов, онлайн-заказов, каркаса системы.</p> <p>Многие задачи похожи на детективные истории: запутанно и нужно найти концы.</p> <ul> <li> <p>Оптимизации для работы с большими данными;</p> </li> <li> <p>Расширение функционала системы;</p> </li> <li> <p>Тех.поддержка 3-го уровня;</p> </li> <li> <p>Рефакторинг legacy-блоков продукта, обычно в рамках подготовительной работы при расширении функционала.</p> </li> </ul> <p><strong>Ты справишься с нашими задачами, если у тебя есть:</strong></p> <ul> <li> <p>Опыт бекенд-разработки на Java от 3 лет;</p> </li> <li> <p>Опыт работы с базами данных (MySQL, PostgreSQL, Redis) и с Spring Framework;</p> </li> <li> <p>Опыт работы с микросервисной архитектуры;</p> </li> <li> <p>Хорошее знание Java Core;</p> </li> <li> <p>Знание распространенных паттернов проектирования, умение применять их на практике;</p> </li> <li> <p>Умение проводить code-review и отбраковывать плохой код;</p> </li> <li> <p>Готовность разбираться с legacy кодом в условиях отсутствия полной актуальной документации.</p> </li> </ul> <p><strong>Будет плюсом:</strong></p> <ul> <li> <p>Опыт проектирования микросервисной архитектуры;</p> </li> <li> <p>Уверенное пользование Linux;</p> </li> <li> <p>Опыт работы с Docker, Cassandra, Kafka, OpenSearch.</p> </li> </ul> <p><strong>Мы можем стать для тебя командой мечты, если:</strong></p> <ul> <li> <p>Ты любишь сложные задачи и амбициозные цели. Мы строим SaaS компанию с нуля на конкурентном глобальном рынке и решаем задачи, для которых нет понятного “рецепта успеха” в гугле.</p> </li> <li> <p>Для тебя важно гордиться продуктом, с которым работаешь. У нас ты своими глазами будешь видеть, как решение приносит клиентам и пользователям ценность и классные эмоции.</p> </li> <li> <p>Ты хочешь строить международный бизнес. Мы уже работаем в 22 странах на 4 континентах. “Протестировать” решение ты сможешь в десятках городов мира (Нью-Йорк, Сан-Франциско, Лондон, Варшава, Дубаи, Москва, Санкт-Петербург, …). И это — только начало.</p> </li> <li> <p>Ты хотел бы быть в команде партнеров и друзей, где каждый вносит значимый вклад в общую цель. С прозрачной коммуникацией, открытыми процессами, без интриг. В команде инноваторов, где твои инициативы и идеи будут слышать и поддерживать, а твой голос будет иметь вес.</p> </li> <li> <p>Твоя задача — быстро расти как профессионал. Работа на глобальном рынке с большой конкуренцией и наша амбициозная цель заставляет нас всех каждый день становиться хотя бы на 1% лучше.</p> </li> <li> <p>Ты хочешь стать не только частью команды, но и собственником бизнеса. Мы за разделение успеха, поэтому вся команда участвует в опционной программе.</p> </li> <li> <p>Для тебя важно не просто “ходить на работу и отсиживать часы”, а добиваться результата, и при этом быть гибким и мобильным.</p> </li> <li> <p>У нас гибкий график и есть возможность работать из любой точки мира.</p> </li> </ul> <p><strong>Куда можно расти:</strong></p> <ul> <li> <p>Разработка географически распределенной системы, участие в глобальной истории.</p> </li> <li> <p>Возможность поработать в продуктовой команде, принимать участие в формировании вектора развития платформы.</p> </li> <li> <p>Возможность попробовать функции project-менеджера, product-менеджера, scrum-мастера.</p> </li> </ul>",https://hh.ru/vacancy/68732624,68732624
Junior Java разработчик,,,"['Java', 'SQL', 'Spring Framework', 'ООП']",,,,СБЕР,noExperience,fullDay,2022-08-30T10:05:29+0300,"<p>Приглашаем талантливых начинающих Java-разработчиков на программу SberStart!</p> <p>В рамках программы у тебя будет возможность пройти уникальную программу адаптации, погрузиться в увлекательный мир коммерческой разработки, прокачать свои технические навыки на боевых задачах, пройти несколько стажировок и по итогам перейти в команду своей мечты.</p> <p><strong>Мы предлагаем:</strong></p> <ul> <li>Трудоустройство с первого дня</li> <li>Ежемесячный фиксированный оклад</li> <li>Реальные задачи от лучших ИТ-команд Сбера</li> <li>Все возможности для обучения и развития</li> </ul> <p><strong>Мы ждем тебя, если ты:</strong></p> <ul> <li>Уже обладаешь базовыми знаниями в ООП, алгоритмах и структурах данных и мечтаешь стать профессиональным Java-разработчиком</li> <li>Знаком с основами Java-разработки и хочешь прокачать свои знания на практике</li> <li>Изучаешь язык программирования Java не менее 6 месяцев</li> <li>Знаком с таким фреймворком, как Spring</li> <li>Готов(а) работать полный рабочий день (40 часов в неделю)</li> <li>Имеешь портфолио с реализованными проектами (будет плюсом)</li> </ul> <p><strong>Если ты готов, то</strong></p> <ul> <li>Откликайся на вакансию</li> <li>Будь готов пройти тестирование и собеседование</li> </ul>",https://hh.ru/vacancy/69289792,69289792
Java-программист,,,"['Git', 'SQL', 'MySQL', 'Java', 'Linux']",,,,АМ Глобал,between3And6,flexible,2022-09-01T10:46:41+0300,"<p>В команду <strong>Zillion games</strong> требуется сильный <strong>Java developer</strong> для развития проекта в микросервисной архитектуре. Нужен сильный специалист со знанием и опытом построения, а также реализации архитектуры ПО и процессов.</p> <p><strong>Обязанности: </strong></p> <p>— проектирование архитектуры системы и планирование и декомпозиция задач для разработчиков;</p> <p>— непосредственно реализация функционала системы;</p> <p>— улучшение качества уже существующей кодовой базы, refactoring;</p> <p>— проведение Code Review в команде разработчиков и контроль выполнения задач;</p> <p>— контроль за системой Unit и интеграционных тестов.</p> <p><strong>Требования: </strong></p> <p>— опыт промышленной разработки на Java от двух лет;</p> <p>— уверенное знание Java Core, опыт написания REST сервисов;</p> <p>— опыт работы с БД (MySQL);</p> <p>— понимание основных паттернов OOP и шаблонов проектирования;</p> <p>— умение писать Unit и Integration тесты;</p> <p>— высшее техническое образование;</p> <p><strong>Будет плюсом:</strong></p> <p>1. опыт разработки HighLoad сервисов с количеством запросов выше 10k rps;</p> <p>2. опыт работы с Kubernetes/Docker;</p> <p>3. опыт работы с микросервисной архитектурой;</p> <p>4. опыт работы с Linux;</p> <p>5. знание React/JavaScript и других front-end технологий;</p> <p>6. опыт в стэке технологий:</p> <p>1. Spring Boot, Spring MVC, Spring AMQP (RabbitMQ), Spring Data, JPA (Hibernate), JDBC, MySQL, Netty, JUnit, Mockito, Maven;</p> <p>2. VCS: Git / Mercurial Task Manager: Jira, YouTrack;</p> <p>3. Protocols: HTTP \ TCP \ UDP \ SMTP;</p> <p>4. Databases: MySQL, MS SQL, Oracle, PostgreSQL.</p> <p><strong>Условия</strong><strong>: </strong></p> <p>— достойный уровень заработной платы и регулярный ее пересмотр по достигнутым результатам (обсуждаем на собеседовании);</p> <p>— гибкий график работы, возможность частично работать удаленно;</p> <p>— чай, кофе, фрукты в офисе;</p> <p>— работа в профессиональной команде и дружном коллективе над интересными проектами.</p>",https://hh.ru/vacancy/69367572,69367572
Java developer,Санкт-Петербург,проспект Королёва,"['Java', 'HTML', 'CSS', 'SQL', 'JavaScript', 'Английский язык', 'HTTP', 'ООП']",85000,100000,RUR,АБИСофт,between1And3,fullDay,2022-09-01T12:58:10+0300,"<strong>Обязанности:</strong> <p>Разработка и поддержка java-приложений.</p> <p><strong>Требования:</strong></p> <p>Уверенное владение Java SE, ООП, СУБД, SQL. Английский язык на уровне чтения технической документации и переписки. Желание и умение самостоятельно изучать новые технологии. Работа в интернациональной команде. Умение работать самостоятельно и самостоятельно разбираться в коде. Наличие компьютера (работа из дома).</p> <p>Плюсами будут:</p> <p>Опыт работы с СУБД MySQL, Cassandra</p> <p>Опыт работы с Apache Kafka</p> <p>Знание архитектуры микросервисов</p> <p>Akka Systems</p> <p>Знание Play Framework, Lagom Framework</p> <p>Знание JavaScript, HTML, CSS</p> <p>Знание новых стандартов ECMAScript (например, ECMAScript2015)</p> <p>Знание фреймворка Aurelia, Google Material Components</p> <p><strong>Условия:</strong></p> <p>Хороший, дружный коллектив. Реальные возможности для профессионального и карьерного роста. Интересные серьезные проекты. Соц. пакет.</p> <p>Удаленная работа из дома на собственном компьютере</p> <p>Рабочий день - с 11:00-12:00.</p> <p>Зарплата зависит от уровня знаний, уточняется по результатам собеседования.</p> <p>Полный рабочий день</p>",https://hh.ru/vacancy/69375275,69375275
Программист SCALA / JAVA,,,"['Java', 'SCALA']",180000,240000,RUR,Сone Center,between1And3,fullDay,2022-09-01T19:54:42+0300,"<p><strong>Внимание!</strong><br />Если Вы любите изучать новые технологии, Вам по душе функциональное программирование, и Вам нравятся задачи, где шевелить мозгами приходится намного больше, чем стучать по клавиатуре, то это вакансия для Вас!</p> <p>Знаете только JAVA, но готовы развиваться? Мы дадим Вам время на изучение SCALA, чтобы решить задачу для отбора на этом языке.</p> <p>Готовы рассмотреть кандидатов из всех регионов.</p> <p><strong>Требования:</strong></p> <p>Скорее всего, Вы занимали призовые места на олимпиадах по математике или учились в передовой физ.-мат. гимназии. Либо в обычной школе были отличником. Мы предполагаем, что в ВУЗе Вы обучались по программированию и математике. Вы хорошо знаете механизм построения алгоритмов. Вы знаете SCALA, либо JAVA и готовы адаптироваться к SCALA.</p> <p> </p> <p>Если в школе / институте по математике Вы не учились на 5, подумайте, прежде чем откликаться на вакансию. При отборе Вам придется решать задачи по математике.</p> <p>Сэкономьте Ваше время и самолюбие. Тяжело будет узнать, что Вы не программист. Ведь если Вы изучили испанский язык, Вы не станете испанским писателем. Но если Вы писатель в душе и у Вас талант, то изучив другой язык, Вы сможете писать и на нём. Так же и в программировании. Бывают исключения, но очень редко.</p> <p><strong>Мы используем:</strong></p> <p>Scala, Akka, Kafka, Docker, Kubernetes, Protobuf, Jenkins, JS, CSS, React, SQL, Oracle, S3, OCR/ML</p> <p><strong>Будет плюсом:</strong></p> <ul> <li>Опыт разработки на функциональном языке</li> <li>Опыт коммерческой разработки на Java от 2 лет и/или Scala от 1 года</li> <li>Базовое знание React/JS/TS</li> <li>Опыт работы с SQL</li> </ul> <p><strong>Мы предлагаем:</strong></p> <ul> <li>гибкий график работы</li> <li>возможность работы из дома или в офисе</li> <li>дружный коллектив (для нас важны хорошие открытые отношения в команде)</li> <li>участие в крупных международных проектах</li> <li>перспективу роста</li> <li>командировки в Таллинн, когда ситуация изменится, то возможность переезда в Эстонию</li> </ul> <p><strong>Cone Center</strong> – это команда экспертов с опытом разработки и внедрения собственных ИТ-продуктов в области логистики. 240 компаний из 76 городов и 20 стран используют наше ПО.</p> <p>В связи с увеличением задач и клиентом ищем двух разработчиков.</p> <p>Надеемся, что именно ты присоединишься к нашей команде!</p>",https://hh.ru/vacancy/68899228,68899228
