name,city,address,key_skills,sal_from,sal_to,currency,company,experience,schedule,published_at,description,alternate_url,id
Java-программист,,,"['Git', 'SQL', 'MySQL', 'Java', 'Linux']",,,,АМ Глобал,between3And6,flexible,2022-09-01T10:46:41+0300,"<p>В команду <strong>Zillion games</strong> требуется сильный <strong>Java developer</strong> для развития проекта в микросервисной архитектуре. Нужен сильный специалист со знанием и опытом построения, а также реализации архитектуры ПО и процессов.</p> <p><strong>Обязанности: </strong></p> <p>— проектирование архитектуры системы и планирование и декомпозиция задач для разработчиков;</p> <p>— непосредственно реализация функционала системы;</p> <p>— улучшение качества уже существующей кодовой базы, refactoring;</p> <p>— проведение Code Review в команде разработчиков и контроль выполнения задач;</p> <p>— контроль за системой Unit и интеграционных тестов.</p> <p><strong>Требования: </strong></p> <p>— опыт промышленной разработки на Java от двух лет;</p> <p>— уверенное знание Java Core, опыт написания REST сервисов;</p> <p>— опыт работы с БД (MySQL);</p> <p>— понимание основных паттернов OOP и шаблонов проектирования;</p> <p>— умение писать Unit и Integration тесты;</p> <p>— высшее техническое образование;</p> <p><strong>Будет плюсом:</strong></p> <p>1. опыт разработки HighLoad сервисов с количеством запросов выше 10k rps;</p> <p>2. опыт работы с Kubernetes/Docker;</p> <p>3. опыт работы с микросервисной архитектурой;</p> <p>4. опыт работы с Linux;</p> <p>5. знание React/JavaScript и других front-end технологий;</p> <p>6. опыт в стэке технологий:</p> <p>1. Spring Boot, Spring MVC, Spring AMQP (RabbitMQ), Spring Data, JPA (Hibernate), JDBC, MySQL, Netty, JUnit, Mockito, Maven;</p> <p>2. VCS: Git / Mercurial Task Manager: Jira, YouTrack;</p> <p>3. Protocols: HTTP \ TCP \ UDP \ SMTP;</p> <p>4. Databases: MySQL, MS SQL, Oracle, PostgreSQL.</p> <p><strong>Условия</strong><strong>: </strong></p> <p>— достойный уровень заработной платы и регулярный ее пересмотр по достигнутым результатам (обсуждаем на собеседовании);</p> <p>— гибкий график работы, возможность частично работать удаленно;</p> <p>— чай, кофе, фрукты в офисе;</p> <p>— работа в профессиональной команде и дружном коллективе над интересными проектами.</p>",https://hh.ru/vacancy/69367572,69367572
Java / Kotlin Developer,Санкт-Петербург,улица Профессора Попова,"['Java', 'Git', 'Unit Testing', 'Spring Framework']",200000,,RUR,Солантек,between3And6,flexible,2022-08-30T13:45:48+0300,"<p><strong>Solanteq</strong> — компания-разработчик высоконагруженных и распределенных систем для бизнеса платежных карт (МПС МИР, Visa, MasterCard и другие). Наши клиенты — процессинговые компании и банки в России (в том числе из топ-10) и за рубежом.</p> <p>Мы разрабатываем продукты для автоматизации всех областей онлайн платежей от интерфейсов с международными платежными системами, системами быстрых платежей до бухгалтерского учета платежных операций, программ лояльности, кредитования.</p> <p><strong>Задачи:</strong></p> <ul> <li>Разработка новых и развитие существующих продуктов.</li> <li>Участие в проектах по разработке и внедрению инновационных проектов в физтех области.</li> <li>Применение новых технологий и devops практик.</li> </ul> <p><strong>Требования к кандидатам:</strong></p> <ul> <li>Опыт коммерческой разработки back-end на Java/Kotin от 2 лет.</li> <li>Опыт работы с Spring Framework.</li> <li>Умение читать и понимать чужой код.</li> <li>Умение писать unit-тесты и понимание, зачем это нужно.</li> <li>Опыт работы с *nix системами.</li> <li>Желание разбираться в предметной области.</li> <li>Английский язык желательно.</li> <li>Опыт работы с PostgreSQL, Oracle (или другими классическими базами данных) будет плюсом.</li> </ul> <p><strong>Как всё устроено</strong>:</p> <ul> <li>Кодовая база на Java 11 и Kotlin.</li> <li>Хранение исходных кодов и код ревью в Self-Hosted GitLab.</li> <li>CI/CD на базе TeamCity.</li> <li>Использование AWS для внутренней инфраструктуры.</li> <li>Фреймворки и технологии (поддерживаем актуальные версии): Java 11, Kotlin, Spring, Hibernate, Mockito, PostgreSQL, RabbitMQ, Kafka и так далее.</li> </ul> <p><strong>Условия:</strong></p> <ul> <li>Активная продуктовая разработка и возможность увидеть созданную с Вашим участием систему в проде.</li> <li>Дружелюбная, не бюрократизированная обстановка.</li> <li>Оформление по ТК.</li> <li>Комфортный офис с парковкой в историческом центре Санкт-Петербурга / возможность удаленной работы</li> <li>ДМС и страховка для путешественников.</li> <li>Корпоративные занятия английским и йогой.</li> <li>Обеды, чай/кофе, плюшки и фрукты.</li> </ul>",https://hh.ru/vacancy/23473091,23473091
JAVA back-end разработчик в команду Cloud,Санкт-Петербург,Пискарёвский проспект,"['Java', 'Базы данных', 'SQL', 'REST', 'Java Core', 'Git', 'Работа в команде', 'Знание английского языка', 'Работа с базами данных', 'Scrum', 'Agile', 'Cистемы управления базами данных']",220000,350000,RUR,Райдер софт,between1And3,flexible,2022-08-30T18:16:55+0300,"<p>Мы помогаем пользователям в организации работы с базами данных.</p> <p>Наш продукт - популярный в open-source проект в области баз данных.</p> <p>Мы ищем<strong> JAVA back-end разработчика</strong> на <strong>Cloud-</strong>продукт (облачный сервис для визуализации и обработки данных).</p> <p>Мы работаем на современном стеке технологий, с использованием микросервисов и облачной инфраструктуры. Мы делаем то, что мало кто делал, и это классно. У нас нет legacy-кода, каждый день новые фичи и постоянное развитие продукта.</p> <p>Мы любим хорошо выстроенные процессы и живем в режиме work-life balance.</p> <p><strong>Обязательные требования</strong></p> <ul> <li> <p>уверенное знание Java Core</p> </li> <li> <p>опыт написания REST-сервисов</p> </li> <li> <p>опыт работы с базами данных</p> </li> <li> <p>знание Git, Maven</p> </li> <li> <p>понимание принципов работы SQL и NoSQL баз данных</p> </li> </ul> <p><strong>Дополнительным плюсом будет</strong></p> <ul> <li> <p>опыт работы с микросервисной архитектурой</p> </li> <li> <p>опыт работы с high-load системами</p> </li> <li> <p>практическое знание английского языка (уровень B1)</p> </li> </ul> <p><strong>Наши инструменты</strong></p> <ul> <li> <p>Java 11, GraphQL, OSGi, JDBC, JPA, Docker, Kubernetes, SDK AWS, GCP и Azure​​​​​, Scrum</p> </li> </ul> <p><strong>Мы предлагаем</strong></p> <ul> <li> <p>лояльный график работы (мы ориентированы на результат)</p> </li> <li> <p>работу с молодым коллективом единомышленников и высококлассными специалистами</p> </li> <li> <p>официальную зарплату и оформление по ТК РФ</p> </li> <li> <p>ДМС</p> </li> <li> <p>у нас есть современный и комфортный офис в районе м. Площадь Ленина или удаленная работа</p> </li> <li> <p>проф. обучение, посещение конференций и изучение англ. языка с носителем, насыщенная корпоративная жизнь</p> </li> <li> <p>при необходимости помощь при переезде из другого города</p> </li> </ul> <p> </p>",https://hh.ru/vacancy/68805582,68805582
Программист Java (embedded-системы),Санкт-Петербург,набережная реки Волковки,"['Git', 'Java', 'Spring Framework', 'Linux', 'Коммуникабельность', 'Английский язык', 'Самостоятельность', 'PostgreSQL', 'Hibernate', 'Bash', 'Mockito', 'Python', 'ООП']",,300000,RUR,Юпитер,between3And6,flexible,2022-09-01T10:43:03+0300,"<p>Наша команда инженеров под брендом <strong>«Яблочков»</strong> разрабатывает и производит современные зарядные станции для электротранспорта.</p> <p>Компания основана в Санкт-Петербурге в 2016 году выпускниками Политеха и ЛЭТИ и названа именем выдающегося русского инженера-электротехника Павла Яблочкова, изобретателя дуговой лампы.</p> <p><strong>Яблочков</strong> — это талантливые новаторы, которые ежедневно работают над созданием самой передовой зарядной инфраструктуры и влияют на развитие индустрии будущего.</p> <p>Мы сосредоточились на производстве быстрых и ультрабыстрых станций, которые заряжают электротранспорт в течение 15-20 минут. За всё время работы станциями &quot;Яблочков&quot; отгружено более 4 ГВт*ч электроэнергии – это рекордный опыт эксплуатации на рынке ЕАЭС. Наши станции проводят 3060 зарядных сессий в день.</p> <p>За последний год наша команда выросла в два раза. Вместе мы улучшаем продукты, работаем над наукоёмкими проектами, например, разрабатываем двунаправленную V2G зарядную станцию, реализуем крупнейшие контракты в России и выходим на новые рынки.</p> <p>Таких результатов мы достигли благодаря высокоэффективной команде инженеров, использованию инновационных подходов в разработке, корпоративной культуре поощрения ответственности и минимизации ограничений в творческой работе.</p> <p>В связи с активным расширением отдела мы ищем в команду Java-разработчика, неравнодушного к увлекательным технологическим задачам.</p> <p><strong>Чем ты будешь заниматься:</strong></p> <ul> <li>Проектирование и реализация backend-сервисов на Java;</li> <li>Участие в разработке архитектуры;</li> <li>Code review, анализ и оптимизация кода;</li> <li>Поддержка существующих систем в production.</li> </ul> <p><strong>С чем предстоит работать:</strong></p> <ul> <li>Java, Spring Boot, JPA, Hibernate, liquibase, jetty, TestNG, mockito;</li> <li>PostgresSQL, Clickhouse;</li> <li>REST, Websocket, AMQP;</li> <li>Git, Gitlab, YouTrack, wiki;</li> <li>CAN, OCPP, ISO15118, IEC 61851;</li> <li>Linux.</li> </ul> <p><strong>В твоём опыте нам важно:</strong></p> <p><em><strong>Прямо в &quot;яблочко&quot;:</strong></em></p> <ul> <li>Опыт в разработке 3+ года;</li> <li>Уверенное знание Java;</li> <li>Опыт разработки с фреймворком Spring;</li> <li>Умение писать автотесты;</li> <li>Опыт работы с Git;</li> <li>Опыт работы с Linux;</li> <li>Английский на уровне чтения технической литературы.</li> </ul> <p><em><strong>Будет плюсом:</strong></em></p> <ul> <li> <p>Опыт написания скриптов на python, bash;</p> </li> <li>Опыт разработки embedded-систем;</li> <li>Понимание базовых принципов электроники и электротехники.</li> </ul> <p><strong>Яблочков предоставляет сотрудникам условия, которые делают их жизнь комфортнее:</strong></p> <ul> <li>Полностью белая конкурентная заработная плата;</li> <li>Возможность работы в гибридном формате и гибкий график: мы ориентированы на результат и комфорт для всей команды;</li> <li>Необходимая техника и софт для работы;</li> <li>ДМС после первого месяца работы;</li> <li>Обучение за счёт компании. Предоставляем возможности как внутреннего, так и внешнего обучения;</li> <li>Поддержка новичков по программе наставничества;</li> <li>Приятные традиционные мелочи для комфортной работы в виде полезных снеков, чая, кофе;</li> <li>Офис в 10-15 минутах пешком от ст. м. Обводный канал.</li> </ul>",https://hh.ru/vacancy/68679876,68679876
Стажер (Автотестирование Java),Санкт-Петербург,Артиллерийская улица,"['Linux', 'Java']",,,,ИнфоТеКС,noExperience,flexible,2022-08-29T09:41:35+0300,"<p>ГК &quot;ИнфоТеКС&quot;, входящая в ТОП-5 компаний России в сфере защиты информации, лидер в разработке средств защиты информации набирает студентов на стажировочную площадку по направлению &quot;Автотестирование (Java)&quot; для работы в проекте, занимающимся разработкой продуктов для защиты индустриального сектора.</p> <p><strong>Интересные задачи:</strong></p> <ul> <li>Разработка автотестов по описанным тест-кейсам;</li> <li> <p>Внедрений тестов в систему непрерывной интеграции;</p> </li> <li> <p>Поддержка существующей инфраструктуры автотестов.</p> </li> </ul> <p><strong>Ожидания от квалификации: </strong></p> <ul> <li> <p>Базовые знания по языку программирования Java;</p> </li> <li> <p>Пользователь ОС Linux;</p> </li> <li> <p>Знание видов тестирования.</p> </li> </ul> <p><strong>Условия работы:</strong></p> <ul> <li>Обучение на реальных задачах и получение практического опыта работы в большой, сильной компании;</li> <li>Изучение технологий и получение знаний, которые не дают в ВУЗе;</li> <li>Работа в офисе в Санкт-Петербурге возле м. Чернышевская (только очный формат);</li> <li>Трудоустройство по договору ГПХ;</li> <li>Длительность стажировки 3,5 месяца (октябрь-февраль);</li> <li>20-ти часовая рабочая неделя, возможность совмещения в т.ч. с учебой в ВУЗе;</li> <li>Ежемесячная стипендия 35 000 руб.</li> </ul>",https://hh.ru/vacancy/68356162,68356162
Java-разработчик,,,"['Java', 'PostgreSQL', 'SQL', 'Jenkins', 'Kafka']",,,,СПВБ,between3And6,flexible,2022-09-01T13:55:13+0300,"<p>Приглашаем вас стать частью нашей супер профессиональной команды и занять роль ведущего Java разработчика.</p> <p>Описание проекта:</p> <p>Проект подразумевает построение отказоустойчивой биржевой системы для организации торгов на фондовом, валютном и товарном рынке.</p> <p>На первом этапе предстоит совместно с командой принять проект у подрядчика и провести код-ревью. Дальнейшее развитие проекта подразумевает собственную разработку и постепенное расширение покрытия проекта. Предстоит заменить используемые в настоящее время устаревшие информационные системы на новые разработки.</p> <p>Принимая во внимание текущую ситуацию на рынках, проект обещает быть очень динамично развивающимся.</p> <p><strong>Ключевые задачи</strong><strong>:</strong></p> <ul> <li> <p>Прием текущего проекта у подрядчика;</p> </li> <li> <p>Дальнейшее проектирование и разработка микро-сервисов;</p> </li> <li> <p>Поддержка и оптимизация существующего проекта;</p> </li> <li> <p>Взаимодействие с DevOps.</p> </li> </ul> <strong>Что важно для нас:</strong> <ul> <li> <p>Высшее техническое или математическое образование;</p> </li> <li> <p>Опыт работы с SQL базами данных (PostgreSQL, MySQL, MS SQL), написание и оптимизации запросов;</p> </li> <li> <p>Опыт реализации микросервисов под Docker;</p> </li> <li> <p>Практический опыт разработки на Java (от 3-х лет);</p> </li> <li> <p>Понимание и опыт разработки с использованием Spring Framework;</p> </li> <li> <p>Понимание принципов работы Apache Kafka;</p> </li> <li> <p>Будет плюсом знание Docker, Jenkins, Nexus;</p> </li> <li> <p>Наличие портфолио.</p> </li> </ul> <p><strong>Что предлагаем:</strong></p> <ul> <li>График работы 5/2;</li> <li>Официальное оформление в соответствии ТК РФ;</li> <li>Конкурентный уровень дохода: оклад + премии;</li> <li>Гибридный формат работы - в комфортном офисе или удаленно;</li> <li>ДМС + корпоративная поддержка работников;</li> <li>Работа в стабильной активно развивающейся компании в дружной команде энергичных, инициативных и креативных людей, открытых новым возможностям!</li> </ul>",https://hh.ru/vacancy/55895263,55895263
Java Backend Developer (Middle),Санкт-Петербург,улица Шателена,"['Spring Framework', 'Hibernate ORM', 'Git', 'Java', 'Micronaut']",,,,Геоскан,between1And3,flexible,2022-09-01T11:42:26+0300,"<p>Мы создаем беспилотные летательные аппараты и ПО для промышленности, образования и индустрии развлечений. Наше оборудование используют для цифрового картографирования, автоматизации контроля строительства, разведки месторождений полезных ископаемых и точного земледелия в 130 странах. Школьники и студенты изучают программирование и робототехнику с помощью Пионеров, а геймдизайнеры наполняют свои миры трехмерными моделями, построенными в Agisoft Metashape. А этим летом мы запустили наноспутники в космос.</p> <p>Нас объединяет инженерное мышление и желание создавать продукты, решающие пользовательские проблемы. Мы ценим самостоятельность и инициативность, поощряем желание развиваться, изучать и внедрять новое.</p> <p>Основное ПО управления любым беспилотным летательным аппаратом - это наземная станция управления (НСУ). Наша команда работает над принципиально новой версией НСУ и мы ищем опытного Backend разработчика.</p> <p><strong>Что вам предстоит:</strong></p> <ul> <li>реализовывать API для работы с беспилотником;</li> <li>покрывать юнит-тестами свой код;</li> <li>участвовать в перекрестном код-ревью внутри команды;</li> <li>взаимодействовать с опытной командой (системный и программный архитекторы, аналитик, дизайнер и QA);</li> <li>видеть результат своей работы не только на мониторе, но и в деле.</li> </ul> <p><strong>Мы ожидаем, что вы:</strong></p> <ul> <li>занимаетесь разработкой на Java более 2 лет;</li> <li>понимаете стандартные алгоритмы и структуры данных и использовали их на практике;</li> <li>используете для работы Spring Framework (будет круто, если уже попробовали Micronaut);</li> <li>имеете опыт работы с реляционными БД и ORM;</li> <li>умеете чётко излагать мысли и аргументировать предложенное.</li> </ul> <p><strong>Что мы предлагаем: </strong></p> <ul> <li>оформление в соответствии с ТК РФ и полностью белую ЗП;</li> <li>молодой коллектив, с большим количеством специалистов из разных сфер, у которых можно многому научиться;</li> <li>гибкое начало дня и гибридный график работы;</li> <li>ДМС;</li> <li>развитую корпоративную культуру (мероприятия на природе 2 раза в год и еженедельный спорт: футбол, волейбол, баскетбол);</li> <li>современный комфортный офис с пуфиками и капучино;</li> <li>корпоративную библиотеку с бестселлерами из разных областей знаний;</li> <li>изучение английского языка прямо в офисе с 50% компенсацией от компании.</li> </ul> <p>Коллега, мы ждем тебя, откликайся скорее! :)</p>",https://hh.ru/vacancy/68683626,68683626
Java developer,,,"['Java', 'Spring Framework', 'Kotlin', 'Apache Kafka', 'Groovy', 'Cassandra']",,,,Рексофт,between3And6,flexible,2022-08-29T12:49:19+0300,"<p><strong>«Рексофт»</strong> — одна из ведущих компаний по разработке программного обеспечения и информационных систем, обладающая значительным опытом по созданию проектов для таких сфер бизнеса, как телекоммуникации и мобильная связь, банки и финансы, ИТ, медиа, гостиничный бизнес и туризм. Головной офис расположен в Москве, дополнительные — в Санкт-Петербурге и Стокгольме, центры разработки — в Воронеже и Ростове-на-Дону.</p> <p>С 1991 года компания «Рексофт» выполнила более тысячи проектов по разработке и поддержке ПО. Среди клиентов «Рексофта» крупнейшие международные и российские компании, такие как Федеральная Миграционная Служба России, СБЕР, ВТБ, «Ростелеком», Tele2, FXDD, Philip Morris, Sicap, Swisscom Mobile, Tieto, StoraEnso.</p> <p>Мы приглашаем <strong>Java</strong> <strong>разработчиков</strong> для участия в разработке системы для одного из наших зарубежных заказчиков. Компания FXDD – мировой лидер в обеспечении брокерских операций, ведущий розничный продавец на рынке FOREX. Компания предлагает инструменты для ведения электронной торговли иностранной валютой.</p> <p>FXDD входит в тройку лучших брокеров, работающих с широким кругом клиентов: с частными лицами, инвестиционными менеджерами и брокерами. Компания основана в 2002 г. как филиал Compagnie Financière Tradition. Головной офис расположен в Нью-Йорке. Размер собственного капитала 44 млн. долл.</p> <p>Для сохранения лидирующих позиций на рынке FXDD потребовалась качественная поддержка трейдинговой платформы и улучшение ее функциональных возможностей. Программа должна была иметь высокую отказоустойчивость и предоставлять профессиональные инструменты для трейдинга в соответствии со строгими требованиями.</p> <p>«Рексофт» создал центр разработки и поддержки электронной торговой платформы. Мы собрали команду в соответствии с поставленными требованиями и отладили процесс взаимодействия с заказчиком. И мы в поиске коллеги для расширения команды!</p> <p><strong>Пожелания к кандидату:</strong></p> <ul> <li>Java 8/11/17, Java Concurrent</li> <li>Опыт работы с Kotlin, Spring, SpringBoot, Spring Data.</li> <li>Cassandra/CQL template</li> <li>Groovy + Spock/SQL, умение писать простые запросы</li> <li>Gradle, Maven</li> <li>Разговорный английский уровня Upper Intermediate</li> </ul> <p><strong>Плюсом будет:</strong></p> <ul> <li>Опыт работы с Apache Kafka</li> <li>grpc/Bach terminal</li> </ul> <p><strong>Мы предлагаем:</strong></p> <ul> <li>Работу в интересном проекте в команде профессионалов.</li> <li>Зарубежный проект, англоговорящую команду.</li> <li>Возможность профессионального и карьерного роста, участие в конференциях, прохождение сертификаций.</li> <li>Официальное трудоустройство, достойную белую зарплату и соц. пакет в соответствии с ТК РФ.</li> <li>Обучение английскому языку на корпоративных курсах.</li> <li>ДМС, стопроцентная оплата больничных, страхование выезжающего за рубеж.</li> <li>Гибкий график работы.</li> <li>Просторный, комфортабельный, современный офис в городе присутствия компании и удалённую работу из любой точки мира с доступом в интернет.</li> <li>Социальные и экологические инициативы, адресная благотворительная помощь.</li> <li>Отличный коллектив, спортивные мероприятия и корпоративные праздники.</li> </ul>",https://hh.ru/vacancy/55197981,55197981
QA Automation Engineer (Java),Санкт-Петербург,Литовская улица,"['Ручное тестирование', 'Автоматизация тестирования', 'Postman', 'Swagger', 'Docker', 'REST API', 'Java']",,,,Каури,between1And3,flexible,2022-08-31T17:02:19+0300,"<p>Будущему сотруднику предстоит работать в команде молодых специалистов над амбициозным проектом - разработкой универсальной системы, поддерживающей работу со множеством протоколов IoT и предоставляющей единый интерфейс. Вам предстоит узнать, какой путь проделывают данные от измерительного сенсора до мобильного приложения, разобраться в устройстве сложной системы с микросервисной архитектурой и выполнять как автоматизированное тестирование REST API и мобильного/веб приложения так и ручное, включающее взаимодействие с реальными IoT устройствами.</p> <p><strong>Обязанности:</strong></p> <ul> <li>Автоматизация тестирования Backend/Frontend</li> <li>Ручное тестирование (Postman, Swagger, etc) не более 30%</li> <li>Разработка тестовых сценариев и планов, чек-листов, тест-кейсов</li> <li>Проверка на соответствие продукта функциональным и нагрузочным требованиям</li> <li>Сплит-тестирование; интеграционное тестирование</li> <li>Регистрация найденных дефектов в баг-трекере и контроль их исправления</li> <li>Взаимодействие с командой разработки, чтобы улучшить конечный продукт</li> </ul> <p><strong>Обязательные требования:</strong></p> <ul> <li>Владение техниками тест-дизайна, знание методологий тестирования, уровней тестирования, жизненного цикла тестирования</li> <li>Опыт проектирования тестовой модели и создания набора тестовых случаев, обеспечивающих оптимальное тестовое покрытие приложения</li> <li>Знания Java 8+</li> <li>Уверенные знания Junit 5</li> <li>Знание основных инструментов тестирования API (Postman, SoapUI и т. д.)</li> <li>Опыт тестирования REST API, понимание структуры запросов/ответов REST API, HTTP заголовков и статусов</li> <li>Знание Docker, представление о сетевом взаимодействии между контейнерами</li> <li>Опыт работы с ОС Linux</li> <li>Опыт работы с баг-трекинговыми системами (Jira, GitLab и др.)</li> <li>Умение анализировать логи</li> <li>Практический опыт работы по Agile (SCRUM)</li> </ul> <p><strong>Будет плюсом:</strong></p> <ul> <li> <p>понимание микросервисной архитектуры</p> </li> <li> <p>знание одного или нескольких из следующих языков (C/С++, Python, Javascript/Typescript, Dart)</p> </li> <li> <p>представление о Spring Framework (Data/Security/Web), опыт тестирования Spring Boot приложений</p> </li> <li> <p>знание протоколов авторизации OAuth2/OpenID Connect</p> </li> <li><strong>Будем рады, если у Вас есть опыт:</strong></li> <li>работы с платформенными сервисами, интерфейсами и знание протоколов ZigBee, MQTT, LoRa</li> <li>хорошее представление о построении индустриальных платформ интернета вещей, индустриальной автоматизации</li> </ul> <p><strong>Мы предлагаем:</strong></p> <ul> <li>оформление по ТК РФ и достойная зарплата - размер обсудим на собеседовании;</li> <li> <p>возможность работать в гибридном графике: дом/офис - решать вам;</p> </li> <li> <p>карьерный рост - от специалиста по тестированию до руководителя отдела;</p> </li> <li> <p>льготы в соответствии с государственной поддержкой для аккредитованных IT-компаний.</p> </li> </ul>",https://hh.ru/vacancy/68851960,68851960
Java Developer (Middle),,,"['Git', 'ООП', 'SQL', 'Java', 'PostgreSQL']",,,,Диплей,moreThan6,flexible,2022-08-18T10:56:06+0300,"<p>Привет, мы deeplay!</p> <p>Мы решаем задачи игровой индустрии с использованием искусственного интеллекта и big data. Наша команда разрабатывает продукты для международного рынка.</p> <p>Сейчас мы ждём в команду <strong>Java разработчика</strong>, который вместе с командой будет развивать и оптимизировать инфраструктуру продукта.</p> <p> </p> <p><strong>Что предстоит поддерживать и развивать (наше ПО):</strong></p> <ul> <li>Десктопное кроссплатформенное ПО (Java 11+, Swing);</li> <li>Монолитное ПО на стадии разделения клиентской и серверной частей (взаимодействие посредством gRPC);</li> <li>Отсутствие фрэймворка, используются собственные наработки;</li> <li>Организация взаимодействия с БД (PostgreSQL, ClickHouse) посредством jdbc, без подключения дополнительных библиотек;</li> <li>Организация работ механизмов в многопоточном режиме с помощью ExecutorService, CompletableFuture;</li> <li>Покрытие кода тестами (Mockito, JUnit);</li> <li>Аналитические запросы и большие объемы данных (~30 TB).</li> </ul> <p><strong>Дополнительно используем:</strong></p> <ul> <li>Мониторинг метрик приложений — Zabbix, Grafana;</li> <li>База знаний — Confluence;</li> <li>Система управления проектами — Jira;</li> <li>CI/CD: Jenkins, Gerrit, Gradle.</li> </ul> <p><br /><strong>Ждём от кандидата: </strong></p> <ul> <li>опыт программирования на Java от 3 лет;</li> <li>знание теории ООП, SOLID, паттерны проектирования;</li> <li>базовые навыки SQL, опыт работы с СУБД (PosgreSQL, ClickHouse - будет плюсом);</li> <li>опыт работы с методиками разработки, тестирования, внедрения и поддержки ПО (GitFlow, CI\CD, Code Review, Static Code Analysis, Task lifecycle);</li> <li>владение навыками автоматического тестирования ПО;</li> <li>опыт поддержки legacy, рефакторинга (будет плюсом).</li> </ul> <p><strong>И, конечно, условия:</strong></p> <p>— Гибкий график и удаленная работа (команда распределена по всей России, и процессы налажены сквозь часовые пояса);<br />— Если хочется офисной жизни — у нас есть хорошие офисы в Омске, Новосибирске, и Санкт-Петербурге;<br />— Все нормальные плюшки хорошей IT компании (оплата обучения, корпоративный английский, классный этаж отдыха, компенсация спорта, etc);<br />— Интересные задачи в избыточном количестве.</p>",https://hh.ru/vacancy/67902126,67902126
