name,city,address,key_skills,sal_from,sal_to,currency,company,experience,schedule,published_at,description,alternate_url,id
Java-разработчик/ Java-Developer (Java SE),,,"['Java SE', 'Git', 'ООП', 'Java', 'Eclipse', 'Intellij IDEA', 'Atlassian Jira', 'NetBeans', 'SQL', 'XML']",,,,"Комита, АО (Санкт-Петербург)",between1And3,remote,2022-08-31T13:01:59+0300,"<p>Компания АО &quot;Комита&quot; ищет к себе в команду <strong>Разработчиков Java SE </strong>уровня <strong>Junior + </strong></p> <p><strong>(больше 1 года опыта) </strong>для работы<strong> дистанционно </strong>или в наших офисах.</p> <p><strong>Наша компания</strong> является одним из первых в России разработчиков программного обеспечения для защищенного документооборота и успешно ведёт свою деятельность более 30 лет.</p> <p><strong><strong>Требования к кандидатам:</strong></strong></p> <ul> <li>Уверенные знания <strong>JAVА SE 1.7+</strong></li> <li>Хорошие знание ООП и основных шаблонов проектирования</li> <li>Умение разбираться в написанном коде</li> <li>Умение реалистично оценивать трудоемкость задач</li> <li>Владение инструментами: Intellij IDEA (Eclipse, Netbeans), Atlassian JIRA, Git</li> </ul> <p><strong>Дополнительные требования:</strong></p> <ul> <li><strong>Опыт коммерческой разработки на JAVА SE от 1 года</strong></li> <li>Опыт работы в команде.</li> </ul> <p><strong><strong>Предстоит заниматься:</strong></strong></p> <ul> <li>Дорабатывать существующее программное обеспечение</li> <li>Осваивать и внедрять новые технологии</li> <li>Участвовать в решении многочисленных задач, связанных с проектированием и разработкой программного обеспечения, совместно с сотрудниками проектных управлений</li> </ul> <p><strong><strong>Условия:</strong></strong></p> <ul> <li>Рабочий график – по будням 8 часовой рабочий день;</li> <li>Возможность работать как дистанционно, так и в офисе;</li> <li>Возможно оформление по совместительству;</li> <li>Головной офис в г. Санкт-Петербурге в пешей доступности от м. Новочеркасская (5-7 минут, недалеко от набережной);</li> <li>Официальное трудоустройство и белая заработная плата</li> <li>Квартальные премии</li> <li>ДМС от компании</li> <li>Заработная плата - по результатам собеседования.</li> </ul> <p> </p> <p>Если вас заинтересовала вакансия и вы подходите по указанным требованиям, присылайте свой отклик. Мы обязательно его рассмотрим!</p>",https://hh.ru/vacancy/69172979,69172979
Java разработчик,,,"['Spring Framework', 'Git', 'Java', 'JUnit', 'SQL', 'Работа в команде']",200000,,RUR,NEXTEPIC,between3And6,remote,2022-09-01T09:29:50+0300,"<p>Nextepic - Объединяем профессионалов. Помогаем бизнесу решать ИТ-задачи.</p> <p>Приглашаем разработчиков присоединиться к нашей команде<strong>. </strong><strong>Мы участвуем в разработке ИТ</strong><strong>-решений</strong> в разных сферах: финтех, производство, ритейл и другие.</p> <p><strong>Чем предстоит заниматься:</strong></p> <ul> <li>Декомпозировать и оценивать задачи</li> <li>Заниматься разработкой и рефакторингом микросервисом на Java/Kotlin</li> <li>Покрывать код unit тестами</li> <li>Развертывать микросервисы на тестовой и боевой инфраструктуре</li> <li>Насыщать микросервисы метриками и визуализировать их в Grafana</li> <li>Активно взаимодействовать в команде</li> </ul> <p><strong>Для этого вам потребуется:</strong></p> <ul> <li>Высшее техническое образование</li> <li>Опыт разработки на Java</li> <li>Знание Spring (Data/web/boot/security)</li> <li>Знание Hibernate, Groovy, Git, Gradle, Maven, MQ</li> <li>Опыт разработки высоконагруженных Web Services (SOAP, REST)</li> <li>Работа с Ignate, Rabbit/Kafka</li> <li>Опыт работы с реляционными СУБД (Oracle, PostgreSQL и тд)</li> <li>Хорошее знание SQL</li> <li>Нацеленность на результат и системность в работе</li> <li>Знание основных паттернов проектирования</li> <li>Опыт построения и реализации архитектур для крупных систем</li> <li>Приветствуется опыт работы в банковском Процессинговом центре, знание принципов работы, требований и технологий работы платёжных систем.</li> </ul> <p><strong>Большим полюсом будет:</strong></p> <ul> <li>Понимание основ платформы Kubernetes.</li> </ul> <p><strong>Мы предлагаем:</strong></p> <ul> <li>Профессиональная сильная команда, современные технологии</li> <li>Возможность вносить свой вклад в создание продуктов, которыми пользуются миллионы людей</li> <li>Удаленный формат работы фултайм</li> <li>Гибкое начало рабочего дня</li> <li>Полностью «белую» заработную плату, уровень дохода обсуждается индивидуально.</li> </ul>",https://hh.ru/vacancy/69197294,69197294
Java Developer,Санкт-Петербург,Большая Монетная улица,"['PostgreSQL', 'Spring Framework', 'Java', 'Git', 'SQL', 'Redis', 'Java Core']",150000,,RUR,LoyaltyPlant,between1And3,remote,2022-08-30T15:23:34+0300,"<p>Привет!</p> <p>Мы ищем <strong>Java разработчика</strong> в команду LoyaltyPlant.</p> <p><strong>LoyaltyPlant </strong>— один из лидеров на рынке мобильных решений для бизнеса. Мы помогаем ресторанным и ритейл инноваторам достигать выдающихся бизнес-результатов и дарить клиентам классные эмоции от общения с брендом.</p> <p><strong>Наш продукт </strong>— mobile ordering and engagement платформа. На базе платформы бизнес может запустить собственное мобильное приложение с e-commerce модулем и программой лояльности, управлять приложением и мобильным маркетингом через CRM систему, и интегрировать приложение в свою цифровую инфраструктуру. LoyaltyPlant помогает превратить приложение в успешный проект, который приносит бизнесу дополнительную выручку.</p> <p>За 11 лет мы прошли путь от стартапа из маленькой питерской каморки до международной компании. Нам доверяют более чем 500 клиентов (Papa Johns, Subway, Cofix, L&amp;L Hawaii, TGI Friday’s, Black Star Burger и т.д.) в 22 странах, а нашими приложениями пользуются десятки миллионов людей по всему миру. Каждое утро это драйвит нас делать наш продукт и сервис, а вместе с ними и мир, немного лучше.</p> <p><strong>Какие задачи тебя ждут:</strong></p> <p>Мы ищем Java разработчика в команду “Platform”, которая занимается поддержкой и развитием ядра продукта - системами процессинга баллов, онлайн-заказов, каркаса системы.</p> <p>Многие задачи похожи на детективные истории: запутанно и нужно найти концы.</p> <ul> <li> <p>Оптимизации для работы с большими данными;</p> </li> <li> <p>Расширение функционала системы;</p> </li> <li> <p>Тех.поддержка 3-го уровня;</p> </li> <li> <p>Рефакторинг legacy-блоков продукта, обычно в рамках подготовительной работы при расширении функционала.</p> </li> </ul> <p><strong>Ты справишься с нашими задачами, если у тебя есть:</strong></p> <ul> <li> <p>Опыт бекенд-разработки на Java от 3 лет;</p> </li> <li> <p>Опыт работы с базами данных (MySQL, PostgreSQL, Redis) и с Spring Framework;</p> </li> <li> <p>Опыт работы с микросервисной архитектуры;</p> </li> <li> <p>Хорошее знание Java Core;</p> </li> <li> <p>Знание распространенных паттернов проектирования, умение применять их на практике;</p> </li> <li> <p>Умение проводить code-review и отбраковывать плохой код;</p> </li> <li> <p>Готовность разбираться с legacy кодом в условиях отсутствия полной актуальной документации.</p> </li> </ul> <p><strong>Будет плюсом:</strong></p> <ul> <li> <p>Опыт проектирования микросервисной архитектуры;</p> </li> <li> <p>Уверенное пользование Linux;</p> </li> <li> <p>Опыт работы с Docker, Cassandra, Kafka, OpenSearch.</p> </li> </ul> <p><strong>Мы можем стать для тебя командой мечты, если:</strong></p> <ul> <li> <p>Ты любишь сложные задачи и амбициозные цели. Мы строим SaaS компанию с нуля на конкурентном глобальном рынке и решаем задачи, для которых нет понятного “рецепта успеха” в гугле.</p> </li> <li> <p>Для тебя важно гордиться продуктом, с которым работаешь. У нас ты своими глазами будешь видеть, как решение приносит клиентам и пользователям ценность и классные эмоции.</p> </li> <li> <p>Ты хочешь строить международный бизнес. Мы уже работаем в 22 странах на 4 континентах. “Протестировать” решение ты сможешь в десятках городов мира (Нью-Йорк, Сан-Франциско, Лондон, Варшава, Дубаи, Москва, Санкт-Петербург, …). И это — только начало.</p> </li> <li> <p>Ты хотел бы быть в команде партнеров и друзей, где каждый вносит значимый вклад в общую цель. С прозрачной коммуникацией, открытыми процессами, без интриг. В команде инноваторов, где твои инициативы и идеи будут слышать и поддерживать, а твой голос будет иметь вес.</p> </li> <li> <p>Твоя задача — быстро расти как профессионал. Работа на глобальном рынке с большой конкуренцией и наша амбициозная цель заставляет нас всех каждый день становиться хотя бы на 1% лучше.</p> </li> <li> <p>Ты хочешь стать не только частью команды, но и собственником бизнеса. Мы за разделение успеха, поэтому вся команда участвует в опционной программе.</p> </li> <li> <p>Для тебя важно не просто “ходить на работу и отсиживать часы”, а добиваться результата, и при этом быть гибким и мобильным.</p> </li> <li> <p>У нас гибкий график и есть возможность работать из любой точки мира.</p> </li> </ul> <p><strong>Куда можно расти:</strong></p> <ul> <li> <p>Разработка географически распределенной системы, участие в глобальной истории.</p> </li> <li> <p>Возможность поработать в продуктовой команде, принимать участие в формировании вектора развития платформы.</p> </li> <li> <p>Возможность попробовать функции project-менеджера, product-менеджера, scrum-мастера.</p> </li> </ul>",https://hh.ru/vacancy/68732624,68732624
Middle/Senior Java Developer,,,"['Git', 'Java', 'Java SE', 'JUnit', 'Linux', 'Redis', 'Базы данных', 'Работа в команде', 'Atlassian Jira', 'XML', 'Spring Framework', 'Spring Boot', 'Java 11']",3500,4000,EUR,Айкона Консалтинг,between3And6,remote,2022-09-01T20:32:08+0300,"<p>Компания ICONA CONSULTING в течение уже нескольких лет предоставляет услуги по разработке на проектах одного из лидеров IT-сферы - компании HONEYWELL. Мы рассчитываем на долгосрочное сотрудничество и ценим свою команду. В данный моментc с целью расширения присутствия компании на проекте нам нужен в команду опытный Java developer.</p> <p><strong>Обязанности:</strong></p> <ul> <li>Участие в разработке ПО для крупных проектов, в основном, backend.</li> <li>Разработка сложных, высоконагруженных backend систем с использованием современного технологического стэка.</li> </ul> <strong>Требования:</strong> <ul> <li>локация за пределами РФ / релокация в течение месяца</li> <li>Хороший уровень владения Java 8/11/17</li> <li>Git.</li> <li>Понимание, что такое JUnit и как писать юнит-тесты.</li> <li>Spring Boot.</li> <li>Базовое понимание работы с базами данных. (Транзакции, ORM).</li> <li>Английский язык на уровне, достаточном для обсуждения технических задач.</li> <li>Опыт работы с Kubernetes, Docker.</li> <li>Опыт работы с Linux.</li> <li>Опыт работы с любой очередью или стрим сервисом (например RabbitMQ, ActiveMQ, Kafka и другие).</li> <li>готовность со временем выполнять функции скрам-мастера</li> </ul> <strong>Условия:</strong> <ul> <li>Международная команда и взаимодействие с коллегами из-за рубежа;</li> <li>Проект без Legacy Code, наличие новых модулей и возможность реализовывать их на своё усмотрение.</li> <li>Широкие возможности карьерного роста и з/п в зависимости от показанных результатов.</li> <li>Полностью удалённая работа.</li> </ul>",https://hh.ru/vacancy/69392302,69392302
Java разработчик (relocate),,,"['Java', 'Spring Framework', 'MongoDB', 'Git', 'Unix']",3500,4500,USD,SimpleTexting,between3And6,remote,2022-09-01T13:14:01+0300,"<p>SimpleTexting расширяет команду разработки, мы ищем Java программиста cо знанием noSQL. Предстоит активная разработка новой функциональности и технические задачи по развитию архитектуры платформы, код ревью, участие в поддержке продакшн серверов (L3).</p> <p>Мы предлагаем работу в международной продуктовой компании над успешным и постоянно развивающимся проектом, которому более 10 лет. Техническая часть команды состоит из 45 инженеров, работающих удаленно. У нас Kanban, ежедневный выпуск релизов, высокие требования к качеству кода и непрерывное улучшение процесса разработки. Мы развиваем собственный продукт, поэтому решения принимаются оперативно внутри команды. Мы ценим баланс рабочего и личного времени — в компании действует гибкая политика отпусков.</p> <p>SimpleTexting — одна из ведущих веб-платформ для SMS-маркетинга. Тысячи организаций в Северной Америке используют SimpleTexting для связи со своей аудиторией. Нашими клиентами являются компании из списка Fortune 500, малые предприятия, университеты, медицинские центры и другие организации.</p> <p><strong>Мы ожидаем от кандидата:</strong></p> <ul> <li>Высшее техническое образование и 4+ лет опыт коммерческой разработки на Java</li> <li>Java 8+ (у нас используется Java 15), Spring Boot</li> <li>Git, Maven, Unix</li> <li>Большим плюсом будет опыт работы с MongoDB</li> </ul> <p><strong>Условия:</strong></p> <ul> <li>Удаленная работа на полный рабочий день (релокация в одну из стран: Грузия, Черногория, Казахстан, Турция, Армения, Сербия). Компания полностью оплачивает релокационный пакет.</li> <li>Команда разработки работает по московскому времени, но необходима доступность в вечернее время. Звонки с коллегами из США обычно проходят в 16-18 Мск.</li> <li>Гибкая политика оплачиваемых отпусков: нет ограничений по количеству отпускных дней в году, но требуется заблаговременное согласование в команде</li> <li>Ежегодный пересмотр заработной платы в декабре</li> <li>Есть хорошая возможность улучшить знание английского языка в доброжелательной атмосфере</li> </ul>",https://hh.ru/vacancy/69376209,69376209
Java-разработчик,,,"['Java', 'RabbitMQ', 'Kafka', 'Spring', 'Apache Kafka', 'Spring Boot', 'Oracle DB', 'PostgreSQL', 'Redis']",150000,300000,RUR,Гарпикс,between3And6,remote,2022-08-30T13:06:26+0300,"<p><strong>GARPIX</strong> – это крупнейший Digital-интегратор, создающий комплексные IT-решения.</p> <p>Мы специализируемся на разработке сложных веб и мобильных (iOS, Android) проектах, системах автоматизации бизнес-процессов, разработке собственного ПО.</p> <p>Нам доверяют крупные коммерческие и государственные организации, потому что мы умеем и любим выполнять нестандартные задачи, требующие большой ответственности.</p> <p>В связи с расширением мы находимся в поиске <em><strong>Java -<strong> </strong>разработчика</strong>.</em></p> <p><strong>Мы предлагаем:</strong></p> <ul> <li>Возможность постоянного профессионального роста (прозрачная система грейдирования);</li> <li>Работу над крупными проектами наших партнеров в России и за рубежом (e-com, фарм-сектор, логистика, производство и многие другие);</li> <li>Высокую конкурентную заработную плату (выплаты 2 раза в месяц);</li> <li>Квартальные премии, 13-ю заработную плату за достижения в течение года;</li> <li>Официальное оформление по ТК РФ;</li> <li>Работу в комфортабельном просторном офисе с современным оборудованием в центре города или удаленно из дома;</li> <li>Корпоративные клубы (спортивный, гик-, кибер-, настольных игр, киноклуб, робототехники, английского языка);</li> <li>Дружный и позитивный коллектив, адекватное руководство, открытость и поощрение инициатив;</li> <li>Бесплатное обучение в GARPIX Digital Academy.</li> </ul> <p> </p> <p><strong>От кандидата мы ожидаем:</strong></p> <ul> <li>Более 3 лет опыта в проектировании и разработке микросервисов и интеграционных сервисов/API [технологический стек - Java 11/Kotlin, Spring 2.0 Boot, Redis, RabbitMQ/Kafka; DB: Oracle, PostgreSQL, MS SQL Server];</li> <li>Опыт работы с фреймворком Spring/Spring Boot от 2-х лет;</li> <li> <p>Уверенное владение Java (middle/senior), понимание принципов работы JVM, знание основных библиотек и шаблонов проектирования;</p> </li> <li> <p>Опыт работы с многопоточностью и асинхронностью.</p> </li> </ul> <p> </p>",https://hh.ru/vacancy/69301244,69301244
Java разработчик (Middle Java developer),,,"['Git', 'Spring Framework', 'Java', 'SQL', 'ООП', 'JavaScript']",,,,Petshopru,between1And3,remote,2022-08-31T12:36:42+0300,"<p>Привет, меня зовут Роман Ивлиев, я предлагаю тебе присоединиться к ИТ-команде Petshopru. Забегая вперёд скажу - вдумчиво прочитать всё описание вакансии у тебя займёт примерно <strong>90 секунд</strong> (я замерял:)), удели их мне пожалуйста:)</p> <p>Petshopru - это не просто интернет-магазин №1 в сфере товаров для животных, но и активно развивающаяся IT-экосистема. Мы нацелились автоматизировать все сферы, связанные с комфортным существованием домашних питомцев.</p> <p>Сейчас ИТ-команда - это <strong>90 инженеров</strong>, которые делают сайты, CRM-систему, умеют в Devops и автотесты. Есть свой продуктовый офис и проджект - менеджеры, которые <strong>максимально замыкают взаимодействие с бизнесом на себя</strong>, дабы разработка могла разрабатывать, а тестирование тестировать.</p> <p>У компании есть <strong>более чем</strong> амбициозный, но реальный план вырасти в части ИТ, в связи с чем разыскиваем <strong>разработчика</strong> <strong>на Java</strong>.</p> <p>В конце ты найдёшь формальные требования и условия сотрудничества, сейчас же хочется остановиться на <strong>основных</strong> направлениях деятельности, которые достанутся тебе, если мы договоримся о сотрудничестве.</p> <p>В первую очередь, это <strong>активное участие</strong> во всех производственных процессах от проектирования до запуска продукта, особенно в части новых компонентов. Я не написал сразу, теперь исправляюсь - Petshopru - <strong>проект с 14-ти летней историей</strong> и, само собой, накопил определённый багаж кода и функционала, часть из которого как раз и придумали исправить, сделать более современным и качественным, при этом пригодятся все твои навыки в части ООП и рефакторинга, код-ревью, проектирования и реализации изменений. За основу взяли strangler pattern, пока этот вариант себя оправдывает.</p> <p>Также стоит отметить, что за прошлый год мы <strong>порядочно приросли</strong> менее опытными коллегами, которым будет очень важно твоё внимание и помощь в решении насущных рабочих вопросов и росте, как специалистов. В нашем коллективе старшие всегда помогают младшим, но это, безусловно, не основная работа.</p> <p>В общем написал уже достаточно, <strong>подведу итоги</strong>: мы ищем спеца в области фулстек разработки, который силён профессионально, не чурается рутинной работы, умеет найти общий язык со всеми участниками процесса, и обязательно привнесёт в нашу добрую команду кусочек чего-то важного, что сделает её ещё более крутой.</p> <p>Если вдруг тебе эта вакансия показалась не очень привлекательной, с радостью отвечу на все вопросы, вдруг есть что-то, что для тебя важно, а я не написал.</p> <p>Ну и не забывай, что <strong>у тебя есть друзья и знакомые</strong>, которых может заинтересовать наше предложение, поделись пожалуйста ссылкой - плюс в карму обеспечен.</p> <p><strong>Та самая формальная часть</strong></p> <p><strong>Мы ждем, что ты:</strong></p> <ul> <li>отлично владеешь Java (опыт разработки от 1,5 лет) и Spring Framework;</li> <li>работал с PostgreSQL (а желательно и с Clickhouse), в идеале есть опыт оптимизации SQL-запросов;</li> <li>знаком с JavaScript (желательно с ExtJS);</li> <li>уверенно владеешь Git;</li> <li>владеешь навыками проектирования и разработки новых компонентов приложения, микросервисной архитектуры;</li> <li>работал с задачами как <strong>back-end, </strong>так и <strong>front-end </strong>(90% затрат будет уходить на бэкенд и 10% на фронтенд).</li> </ul> <p><strong>Для твоей продуктивной работы у нас:</strong></p> <ul> <li>оформление по ТК РФ;</li> <li>стабильные выплаты оклада + квартальная премия;</li> <li>гибкий график начала рабочего дня;</li> <li>возможность заниматься в вейксерф клубе компании;</li> <li>удаленный формат работы;</li> <li>митапы, курсы и всесторонняя поддержка в росте и развитии.</li> </ul>",https://hh.ru/vacancy/67769373,67769373
Middle Java Developer,,,"['Java', 'Spring', 'RabbitMQ', 'Kafka', 'Microservices', 'Jenkins', 'PostgreSQL', 'MySQL', 'MongoDB']",,,,АксТим (ex-Accenture),between1And3,remote,2022-09-02T10:36:10+0300,"<p>Команда <strong>АксТим (ex-Accenture)</strong> продолжает работу на российском рынке и аккумулирует 30-ти летний консалтинговый опыт внедрения инновационных решений.</p> <p>Практика Software Engineering в <strong>АксТим </strong> сегодня – это более 500 исключительных людей, которые работают в области кастомной разработки и проектного управления.</p> <p>Мы создаем цифровые решения на микросервисной архитектуре для банков, ритейлеров и металлургических компаний.</p> <p>В России мы работаем в офисах в Москве, Твери и Ростове-на-Дону, а также удаленно. Постоянно обмениваемся опытом и экспертизой.</p> <p>И сейчас мы в поиске талантливых <strong>Java разработчиков</strong> в нашу команду.</p> <p><strong>Здорово, если ты:</strong></p> <p>• Знаешь версии Java 8-17</p> <p>• Умеешь профилировать Java приложения</p> <p>• Чувствуешь себя как рыба в воде в Spring и его экосистеме</p> <p>• Применяешь на практике Spring Boot, Spring Data, Spring Security</p> <p>• Имеешь опыт создания распределённых систем с большой нагрузкой</p> <p>• Публикуешь и потребляешь сообщения в Kafka или RabbitMQ</p> <p>• Делаешь запросы не только в реляционные БД, но и в MongoDB и Elasticsearch</p> <p>• Работаешь с BPM Camunda</p> <p>• На всю катушку используешь JUnit, Mockito и возможности Spring</p> <p>• Работаешь с Docker и, возможно, знаешь, что такое Kubernetes и Openshift</p> <p>• Разбираешься в процессах CI/CD</p> <p>• Имеешь опыт работы с системами журналирования и мониторинга, такими как ELK, Grafana, Prometheus</p> <p>• Проводишь код ревью, быстро выявляешь типичные ошибки в коде</p> <p>• Имеешь представление об Agile, стори пойнтах и дейли.</p> <p><strong>Мы предлагаем:</strong></p> <p>• Динамичную работу без рутины в ведущей IT компании</p> <p>• Возможность использовать передовые технологии и стратегии и менять бизнес наших клиентов к лучшему</p> <p>• Проекты в разных индустриальных направлениях с передовыми технологическими решениями и современной архитектурой приложений</p> <p>• Конкурентоспособный уровень дохода, годовые бонусы и регулярное повышение по результатам Performance Review</p> <p>• Культуру непрерывного обучения: сертификация, online и offline обучение в России, менторство в профессиональном развитии</p> <p>• ДМС с первого дня работы, включая стоматологию, в лучших клиниках для cотрудника и его семьи (жена/муж, дети до 18 лет)</p> <p>• Страхование жизни в размере годового оклада сотрудника</p> <p>• Программу поддержки сотрудника и его родственников по психологическим, юридическим, финансовым вопросам</p> <p>• Дополнительные дни оплачиваемого отпуска в год</p> <p>• Ежемесячную денежную компенсацию на питание</p> <p>• Программу корпоративных привилегий PrimeZone (более 1000 ведущих поставщиков продуктов и услуг)</p> <p>• Спортивные и развлекательные мероприятия за счет компании</p>",https://hh.ru/vacancy/69405232,69405232
Middle Java разработчик / Middle Java developer,Санкт-Петербург,Камышовая улица,"['REST API', 'Git', 'Kafka', 'Работа с базами данных', 'WebSocket', 'MySQL', 'Java', 'Spring Framework', 'SQL']",200000,300000,RUR,Инсайд,between1And3,remote,2022-08-29T14:43:26+0300,"<p><strong>Описание работодателя:</strong></p> <p><em>Наша команда разрабатывает программное решение для финансового сектора .</em></p> <p><strong>Обязанности:</strong></p> <p>Разрабатывать <strong>микросервисы</strong> и сопутствующие модели баз данных;<br />Интеграции с различными сервисами и партнерами;<br /><strong>Взаимодействие с архитектором проекта и проектным менеджером</strong>.</p> <p><strong>Требуемые навыки и знания :</strong></p> <p>Отличное знание Java Core;<br />Опыт работы со Spring Framework/Spring Boot;<br />Опыт работы с JPA/Hibernate;<br />Понимание принципов event-driver программирования, неблокирующего ввода-вывода, асинхронности ;<br />Понимание архитектуры REST API приложений, знание протоколов HTTP, WS;<br />Опыт работы с СУБД (MySQL);<br />Знание git.<br />Опыт работы Kafka ; Doker ;</p> <p><strong>Условия :</strong></p> <p>Постоянное <strong>удаленное сотрудничество</strong>;<br /><strong>Оклад</strong> или сдельная оплата труда;<br />Свободный график;<br /><strong>Карьерный рост</strong> по результатам работы;<br /><strong>Стабильные выплаты</strong> 2 раза в месяц или за каждую выполненную задачу;<br /><strong>Возможно оформление: договор услуг, подряда, ГПХ, самозанятые, ИП.</strong></p>",https://hh.ru/vacancy/69267044,69267044
Junior Developer (удалённо),Санкт-Петербург,Камышовая улица,"['Git', 'Английский язык', 'Java', 'ООП', 'REST API', 'SQL', 'JavaScript', 'Python']",85000,110000,RUR,Инсайд,between1And3,remote,2022-08-29T14:48:20+0300,"<p><strong>Обязанности:</strong></p> <p>- Написание скрипта для генерации тестовые данных на основании тест-кейсов;<br />- Писать простые скрипты, исходя из технической документации;<br />- Создавать и поддерживать важные, с точки зрения качества продукта, процессы;<br />- Выполнять автоматизированные тесты.</p> <p><strong>Требования:</strong></p> <p>- Навыки программирования с использованием<strong> java/phyton/nodejs</strong>;<br />- Понимание протокола <strong>HTTP</strong>: значений кодов ответа, заголовков запроса/ответа, различных форматов тела запроса/ответа;<br />- Понимание принципов <strong>REST API</strong>, знание <strong>doker, MySQL</strong>;<br />- Умение работать с <strong>Git (gitlab/github)</strong>;<br />- Высшее техническое образование (неоконченное высшее);<br />- Технический английский язык (чтение документации);<br />- Способность разобраться в чужом коде и видеть ошибки;<br />- Желание постоянно учиться новому и умение применять полученные знания на практике;<br />- Умение самостоятельно решать поставленные задачи</p> <p><strong>Условия:</strong></p> <p>- Шанс реализовать профессиональные навыки в интересном проекте;<br />- Сильная и сплоченная команда;<br />- Работа в стабильной организации;<br />- Возможность профессионального и карьерного роста;<br />- Оформление;<br />- Гибкий график работы/удаленная работа;<br />- Помощь коллектива, состоящая из Middle разработчиков;<br />- Техническая поддержка.</p> <p> </p> <p><strong>Уважаемые соискатели, прошу обратить Ваше внимание на требования и ключевые навыки, Вы должны им соответствовать!</strong></p>",https://hh.ru/vacancy/69267278,69267278
