name,city,address,key_skills,sal_from,sal_to,currency,company,experience,schedule,published_at,description,alternate_url,id
Junior Java разработчик,,,"['Java', 'SQL', 'Spring Framework', 'ООП']",,,,СБЕР,noExperience,fullDay,2022-08-30T10:05:29+0300,"<p>Приглашаем талантливых начинающих Java-разработчиков на программу SberStart!</p> <p>В рамках программы у тебя будет возможность пройти уникальную программу адаптации, погрузиться в увлекательный мир коммерческой разработки, прокачать свои технические навыки на боевых задачах, пройти несколько стажировок и по итогам перейти в команду своей мечты.</p> <p><strong>Мы предлагаем:</strong></p> <ul> <li>Трудоустройство с первого дня</li> <li>Ежемесячный фиксированный оклад</li> <li>Реальные задачи от лучших ИТ-команд Сбера</li> <li>Все возможности для обучения и развития</li> </ul> <p><strong>Мы ждем тебя, если ты:</strong></p> <ul> <li>Уже обладаешь базовыми знаниями в ООП, алгоритмах и структурах данных и мечтаешь стать профессиональным Java-разработчиком</li> <li>Знаком с основами Java-разработки и хочешь прокачать свои знания на практике</li> <li>Изучаешь язык программирования Java не менее 6 месяцев</li> <li>Знаком с таким фреймворком, как Spring</li> <li>Готов(а) работать полный рабочий день (40 часов в неделю)</li> <li>Имеешь портфолио с реализованными проектами (будет плюсом)</li> </ul> <p><strong>Если ты готов, то</strong></p> <ul> <li>Откликайся на вакансию</li> <li>Будь готов пройти тестирование и собеседование</li> </ul>",https://hh.ru/vacancy/69289792,69289792
Стажер (Автотестирование Java),Санкт-Петербург,Артиллерийская улица,"['Linux', 'Java']",,,,ИнфоТеКС,noExperience,flexible,2022-08-29T09:41:35+0300,"<p>ГК &quot;ИнфоТеКС&quot;, входящая в ТОП-5 компаний России в сфере защиты информации, лидер в разработке средств защиты информации набирает студентов на стажировочную площадку по направлению &quot;Автотестирование (Java)&quot; для работы в проекте, занимающимся разработкой продуктов для защиты индустриального сектора.</p> <p><strong>Интересные задачи:</strong></p> <ul> <li>Разработка автотестов по описанным тест-кейсам;</li> <li> <p>Внедрений тестов в систему непрерывной интеграции;</p> </li> <li> <p>Поддержка существующей инфраструктуры автотестов.</p> </li> </ul> <p><strong>Ожидания от квалификации: </strong></p> <ul> <li> <p>Базовые знания по языку программирования Java;</p> </li> <li> <p>Пользователь ОС Linux;</p> </li> <li> <p>Знание видов тестирования.</p> </li> </ul> <p><strong>Условия работы:</strong></p> <ul> <li>Обучение на реальных задачах и получение практического опыта работы в большой, сильной компании;</li> <li>Изучение технологий и получение знаний, которые не дают в ВУЗе;</li> <li>Работа в офисе в Санкт-Петербурге возле м. Чернышевская (только очный формат);</li> <li>Трудоустройство по договору ГПХ;</li> <li>Длительность стажировки 3,5 месяца (октябрь-февраль);</li> <li>20-ти часовая рабочая неделя, возможность совмещения в т.ч. с учебой в ВУЗе;</li> <li>Ежемесячная стипендия 35 000 руб.</li> </ul>",https://hh.ru/vacancy/68356162,68356162
Разработчик мобильных приложений,Санкт-Петербург,Кантемировская улица,"['Git', 'Java', 'Android SDK', 'Linux', 'Android']",,150000,RUR,Российская электроника,noExperience,fullDay,2022-08-12T11:37:24+0300,"<strong>Обязанности:</strong> <ul> <li>Разработка приложений для платформ Android;</li> <li>Участие в оценке технической части проектов;</li> <li>Функциональное и unit - тестирование</li> </ul> <p><strong>Требования:</strong></p> <ul> <li>Знание Java, С/С++, Bash;</li> <li>Знание Android SDK и NDK;</li> <li>Владение системой контроля версий Git, опыт работы с CI/CD;</li> <li>Знание современных информационных и сетевых технологий. Уверенное знание ОС семейства Linux.</li> </ul> <strong>Условия:</strong> <ul> <li>Официальное трудоустройство в IT компанию, входящей в Концерн «Автоматика» Госкорпорации Ростех - АО &quot;НИИ &quot;Масштаб&quot; ;</li> <li>Официальная заработная плата (&quot;белая&quot;) до 150 000 руб. Обсуждается на индивидуально на встрече;</li> <li>Офис в 10 минутах от ст. м. &quot;Лесная&quot; (Кантемировская, д.5);</li> <li>Дружный, молодой коллектив.</li> </ul>",https://hh.ru/vacancy/68683870,68683870
Стажер-разработчик,,,[],40000,,RUR,Крит,noExperience,fullDay,2022-09-01T09:02:55+0300,"<p><strong>О нас:</strong></p> <p>Мы предлагаем работу на крупных проектах у региональных и федеральных заказчиков – Региональные органы власти РФ, Росатом, Газпром, ЕВРАЗ, Лента, Шешмаойл и др. Специализация КРИТ – разработка, внедрение и поддержка корпоративных информационных систем, BI и EPM-решений на различных платформах, мобильных приложений в сегменте B2B.</p> <p><br />Наш опыт включает проекты в области госуправления, обрабатывающей промышленности, нефти и газа, энергетики, сельского хозяйства, экономики, здравоохранения, образования, банкинга и ритейла.</p> <p><strong>Функции:</strong></p> <p>Участие в роли разработчика в проектах разработки и споровождения информационно-аналитических систем (ИАС) на базе платформ бизнес-аналитики:</p> <ul> <li>разработка настольных и веб-приложений;</li> <li>разработка баз данных;</li> <li>настройка системы;</li> <li>тестирование результатов и устранение замечаний.</li> </ul> <p><strong>Требования:</strong></p> <ul> <li>высшее образование;</li> <li>знание основ баз данных;</li> <li>знание основ объектно-ориентированного программирования;</li> <li>знание SQL;</li> <li>владение языками программирования.</li> </ul> <p><strong>Дополнительные требования (преимущества):</strong></p> <ul> <li>знание JavaScript, HTML 5, CSS 3, Bootstrap 4, Java, C#;</li> <li>знание систем контроля версий.</li> </ul> <p><strong>Условия:</strong></p> <ul> <li>оформление по ТК РФ и полностью «белая» заработная плата;</li> <li>ежеквартальные премии;</li> <li>гибкое начало рабочего дня (с 8:00 до 10:00);</li> <li>гибридный график работы (чередование офисной и удаленной работы);</li> <li>индивидуальный план развития, ежегодная и промежуточная аттестации;</li> <li>внутренние и внешние программы обучения;</li> <li>современное оборудование для работы: ноутбук, монитор и вся необходимая периферия;</li> <li>комфорт в офисе: кофе, чай, сладкие угощения, свежие фрукты;</li> <li>увлекательные корпоративы и яркие тимбилдинги.</li> </ul> <p><strong>Сразу после трудоустрйоства вы пройдете серию курсов по темам:</strong></p> <ul> <li>Введение в проектную деятельность:</li> </ul> <p><em>Поймете особенности проектной деятельности, познакомитесь с существующими моделями разработки информационных систем, изучите структурную декомпозицию работ и матрицу ответственности в проектах разработки.</em></p> <ul> <li>JavaScript с нуля:</li> </ul> <p><em>Изучите основные концепции и принципы JavaScript, научитесь работать с Git и GitHub, познакомитесь с React, Angular, Vue, Jquery и узнаете, какой фрэймворк или библиотеку выбрать в дальнейшем.</em></p> <ul> <li>Современные платформы бизнес-аналитики:</li> </ul> <p><em>Познакомитесь с назначением, архитектурой и возможностями программных продуктов Форсайт. Аналитическая платформа и Visiology, освоите такие инструменты, как хранилище данных, OLAP, аналитические панели, отчеты и пр.</em></p> <ul> <li>Разработка с использованием двух языков программирования: Fore или Fore.NET.</li> </ul> <p> </p>",https://hh.ru/vacancy/68501221,68501221
Инженер по тестированию [id13261],,,['Тестирование'],,,,Газпром нефть,noExperience,fullDay,2022-08-30T11:42:21+0300,"<p>Мы – команда <strong>«Газпромнефть – Цифровые решения»</strong>, часть ИТ-функции «Газпром нефти». Команда, которая научила нейросети находить нефть, запустила первую в мире цифровую систему управления арктической логистикой и первой в мире заправила самолет по блокчейн. Мы переводим в «цифру» каждый этап работы современного нефтяника: от геологической разведки и бурения скважин до процесса переработки нефти и момента, когда она в виде топлива попадает в баки автомобиля, самолета или, например, становится битумом для строительства дорог. Активы «Газпром нефти» – это сотни петабайт данных, которые генерируют объекты компании в России и за рубежом. Нас вдохновляет идея развития цифрового будущего нефтегазовой отрасли и промышленности в целом.</p> <p>Нам нужен <strong>инженер по тестированию (декретная ставка)</strong></p> <p><strong>Обязанности:</strong></p> <ul> <li> <p>Осуществлять контроль качества разрабатываемых продуктов, а также проводить выявление и анализ ошибок и проблем, возникающих у пользователей при работе с программными продуктами на этапе тестирования.</p> </li> <li> <p>Осуществлять регулярный запуск автотестов и выявляет проблемы, которые могут возникнуть при работе с ПО. Все это необходимо, чтобы выявить ошибки и улучшить качество окончательного продукта.</p> </li> <li> <p>В процессе исследования ПО, выполнить анализ, классификацию обнаруженных</p> <p>ошибок/дефектов и занести их в принятую в компании систему учета изменений.</p> </li> <li> <p>Сообщить ответственным специалистам за исправление ошибок/дефектов (например, разработчикам).</p> </li> <li> <p>Провести повторное тестирование после исправления ошибок/дефектов.</p> </li> <li> <p>По результатам тестирования подготовить документы (Отчет тестирования, ПМИ, сценарий тестирования, итд), утвержденные в компании или договора с заказчиком.</p> </li> <li> <p>Своевременно информировать руководство о рисках и проблемах, возникающих в ходе тестирования ПО.</p> </li> </ul> <p><strong>Требования:</strong></p> <ul> <li> <p>Высшее образование или неоконченное высшее (студенты последних курсов)</p> </li> <li> <p>Умение читать техническую документацию</p> </li> <li> <p>Понимание основ тестирования</p> </li> <li> <p>Базовые навыки программирования Java (Актуализация автотестов)</p> </li> <li> <p>Навыки работы с SoapUI, Postman, Intellij IDEA</p> </li> </ul> <p><strong>Мы предлагаем:</strong></p> <ul> <li>Достойную твоего профессионального уровня заработную плату (уровень вознаграждения обсуждается индивидуально по результатам интервью)</li> <li>Годовую премию по результатам деятельности, дополнительную материальную мотивацию (премии от руководителя)</li> <li>Качественная программа ДМС со стоматологией с первого месяца работы; услуги телемедицины, консультации психолога, страхование жизни и здоровья в том числе за границей, льготные условия страхования для близких и возможность расширить перечень клиник по опции Flexible benefits</li> <li>Компенсация стоимости спортивных абонементов: компания компенсирует до 60% стоимости занятий любыми видами спорта</li> <li>Неограниченный доступ к образовательному контенту на портале знаний от корпоративного университета</li> <li>Подписка на лучшие электронные библиотеки с подборками IT-литературы (и не только)</li> <li>Собственный центр профессионального развития, в котором проводятся комплексные программы обучения hard skills</li> <li>Внутренние демодни, коуч-дни, питчи – то, что поможет продвигать и совершенствовать проекты и собственные идеи</li> <li>Корпоративные скидки для изучения английского языка в малых группах онлайн и офлайн</li> <li>Регулярные карьерные марафоны, индивидуальные карьерные консультации и планы развития</li> <li>Общение вне рабочих рамок – независимо от того, в каком городе ты работаешь! От участия в корпоративных спортивных сообществах до онлайн-экскурсий и неформальных встреч в формате Random coffee.</li> </ul> <p><strong>В «Газпром нефть» ты можешь:</strong></p> <ul> <li>Получить уникальный профессиональный опыт</li> <li>Создавать смелые проекты с нуля и наблюдать за их влиянием на целую отрасль</li> <li>Быть вместе с теми, кого вдохновляют сверхсложные задачи</li> <li>Сочетать несколько ролей, быть частью нескольких команд или участвовать в кросс-функциональных командах</li> <li>Использовать возможности компании-лидера для своей самореализации и убедиться, что любой профессиональный опыт важен</li> <li>Быть среди тех, кто создает первую в России цифровую платформу для управления промышленной компанией нового поколения</li> <li>Неограниченный доступ к образовательному контенту на портале знаний от корпоративного университета</li> <li>Подписка на лучшие электронные библиотеки с подборками IT-литературы (и не только)</li> <li>Собственный центр профессионального развития, в котором проводятся комплексные программы обучения hard skills</li> <li>Внутренние демодни, коуч-дни, питчи – то, что поможет продвигать и совершенствовать проекты и собственные идеи</li> <li>Корпоративные скидки для изучения английского языка в малых группах онлайн и офлайн</li> <li>Регулярные карьерные марафоны, индивидуальные карьерные консультации и планы развития</li> </ul>",https://hh.ru/vacancy/69296114,69296114
"Junior Product manager/ Менеджер интеграции (SaaS, eCommerce)",,,"['SQL', 'JavaScript', 'Python', 'HTML', 'CSS', 'SCALA', 'Java', 'Техническая поддержка']",,100000,RUR,DIGINETICA,noExperience,remote,2022-08-31T16:37:04+0300,"<p><strong>DIGINETICA — </strong>технологическая компания, основанная в 2014 году, разработчик продуктов и решений для онлайн ритейла.</p> <p><strong>AnyQuery — </strong>лидер поисковых SaaS-решений для eCommerce в России, как по занимаемой нише, так и по количеству крупнейших партнеров. Наш сервис AI поиска используют Ситилинк, Петрович, Sunlight, Золотое Яблоко, 220 вольт, Азбука Вкуса, Эльдорадо и еще 300 ритейлеров.</p> <p>Мы делаем удобными поиск и покупки товаров для 20 млн пользователей в РФ, за счет чего повышается конверсия в магазинах и они выбирают нас.</p> <p>Мы растем х2 в год и ищем специалиста, который поможет нам в запуске нового продукта — товарные рекомендации.</p> <p><strong>Что будешь делать:</strong></p> <ul> <li>поможешь запустить продукт на десятках сайтов крупнейших интернет-магазинов России и СНГ;</li> <li>разберешься в сложных AI технологиях;</li> <li>плотно взаимодействовать с продуктовой командой, чтобы сделать наш сервис рекомендаций еще лучше.</li> </ul> <p><strong>Среди твоих задач будет:</strong></p> <ul> <li>эффективная коммуникация с клиентом, понимание его потребностей и управление ожиданиями;</li> <li>сбор и анализ требований к функциональности продукта;</li> <li>настройка алгоритмов рекомендаций для клиентов;</li> <li>анализ данных для выявления точек роста продукта.</li> </ul> <p><strong>Что мы от тебя ждем:</strong></p> <ul> <li>высшее техническое образование или курсы по программированию и/или аналитике данных;</li> <li>понимание процесса вёрстки (HTML, CSS, JS);</li> <li>знания языка программирования Python, Java, JS, SQL или Scala;</li> <li>будет плюсом опыт работы в технической поддержке.</li> </ul> <p><strong>Работая с нами, ты получишь:</strong></p> <ul> <li>полностью удаленный формат, мы не приверженцы офисных посиделок;</li> <li>плавающее начало рабочего дня, график: 5/2 режим: 9-18 или 10-19;</li> <li>возможность перенимать опыт у лучших профессионалов;</li> <li>оформление по ТК РФ с первого дня и полностью белая ЗП;</li> <li>мы заботимся о твоем ментальном здоровье и предлагаем скидки на услуги сервиса &quot;Ясно&quot;;</li> <li>возможность изучать английский по корпоративной программе совместно с &quot;Skyeng&quot;;</li> <li>льготная IT ипотека по ставке до 5%.</li> </ul>",https://hh.ru/vacancy/68850564,68850564
Инженер технической поддержки,Санкт-Петербург,набережная реки Карповки,"['Деловая переписка', 'Базы данных', 'Техническая поддержка', 'Linux', 'Bash', 'QA', 'Администрирование', 'SQL']",35000,,RUR,ТетраСофт-Сервис,noExperience,shift,2022-08-30T16:12:55+0300,"<p>ООО «ТетраСофт-Сервис» - специализированная сервисная компания по организации и предоставлению услуг удаленного мониторинга бурения нефтяных и газовых скважин. Наши технологические решения задействованы в крупнейших нефтегазовых проектах.</p> <p>В штат компании входят более 50 специалистов, обладающих опытом пуско-наладочных работ, сопровождения и обслуживания оборудования удаленного мониторинга бурения. Отдел технической поддержки сопровождает работу наших программно-технических решений в круглосуточном режиме.</p> <p>Компания ООО &quot;ТетраСофт-Сервис&quot; - аккредитована МинЦифры как организация, осуществляющая свою деятельность в области информационных технологий. Сотрудники компании имеют право на отсрочку от армии.</p> <p>В связи с расширением ищем единомышленников в нашу команду.</p> <p><strong>Мы доверим вам:</strong></p> <ul> <li> <p>Решение инцидентов по нашим программным продуктам;</p> </li> <li> <p>Администрирование нашего ПО и оборудования на ОС Linux;</p> </li> <li> <p>Анализ логов, первичное тестирование ПО и передачу задач в отдел разработки;</p> </li> <li> <p>Мониторинг инцидентов в Zabbix, их решение и предотвращение;</p> </li> <li> <p>Решение заявок от заказчиков через ServiceDesk;</p> </li> <li> <p>Участие в проектной деятельности по автоматизации внутренних сервисов (по желанию).</p> </li> </ul> <p><strong>Работая с нами, вы получите:</strong></p> <ul> <li> <p>Практический опыт администрирования ОС Linux (в т.ч. написание bash-скриптов);</p> </li> <li> <p>Практический опыт работы с Базами данных;</p> </li> <li> <p>Понимание принципов работы сетей;</p> </li> <li> <p>Интересные задачи и возможность реализовать свой потенциал;</p> </li> <li>Возможность построить карьеру в IT.</li> </ul> <p><strong>Мы готовы учить, при этом ожидаем от вас:</strong></p> <ul> <li> <p>Базовые навыки работы в терминале Linux (команды cd, mv, mkdir, cp, rm, ls, sudo, cat, grep, head, tail, ssh, scp, pwd, chmod, chown, crontab, ifconfig, ip, ping, arp-scan, traceroute, mtr);</p> </li> <li> <p>Теоретические или практические навыки работы с Базами данных (запросы SELECT, UPDATE, INSERT);</p> </li> <li>Базовую IT-грамотность и уверенное пользование ПК;</li> <li>Владение грамотной письменной и устной речью;</li> <li>Горящие глаза, желание развиваться и готовность к самостоятельному обучению;</li> <li> <p>Аналитический склад ума.</p> </li> </ul> <p><strong>Будет плюсом:</strong></p> <ul> <li>Опыт работы в технической поддержке;</li> <li>Знание основ программирования (предпочтительно Java, Python);</li> <li> <p>Опыт работы с unix-системами;</p> </li> <li> <p>Понимание работы сети Интернет.</p> </li> </ul> <p><strong>Про условия работы:</strong></p> <ul> <li>Оформление по ТК РФ с первого дня;</li> <li>Совокупный доход = оклад + премия по результату работы + бонусы;</li> <li>График работы на выбор: <strong>09:00-21:00 2/2</strong>;</li> <li>Надбавка за работу в ночное время (22:00-06:00) — 20%;</li> <li>ДМС после успешного прохождения ИС;</li> <li>Компенсация обедов (4000 рублей в месяц);</li> <li>Удобное расположение офиса: 7 мин. пешком от ст. м. Петроградская.</li> </ul> <p><strong>Бонусы:</strong></p> <ul> <li> <p>Тренинги/мастер-классы прямо в офисе;</p> </li> <li> <p>Собственная оборудованная кухня с чаем, кофемашиной, печеньем и всем необходимым;</p> </li> <li> <p>Различные корпоративные мероприятия и подарки;</p> </li> <li> <p>Кикер, турник на территории офиса;</p> </li> <li> <p>Возможность профильного обучения за счет компании;</p> </li> <li> <p>Молодой и дружный коллектив;</p> </li> <li> <p>Уютная атмосфера современной IT-компании.</p> </li> </ul>",https://hh.ru/vacancy/68799716,68799716
Инженер технической поддержки (ночной график),Санкт-Петербург,набережная реки Карповки,"['Bash', 'Python', 'SQL', 'Базы данных', 'Техническая поддержка', 'QA', 'Администрирование', 'Деловая переписка']",40000,,RUR,ТетраСофт-Сервис,noExperience,shift,2022-08-31T15:36:53+0300,"<p>ООО «ТетраСофт-Сервис» - специализированная сервисная компания по организации и предоставлению услуг удаленного мониторинга бурения нефтяных и газовых скважин. Наши технологические решения задействованы в крупнейших нефтегазовых проектах.</p> <p>В штат компании входят более 50 специалистов, обладающих опытом пуско-наладочных работ, сопровождения и обслуживания оборудования удаленного мониторинга бурения. Отдел технической поддержки сопровождает работу наших программно-технических решений в круглосуточном режиме.</p> <p>Компания ООО &quot;ТетраСофт-Сервис&quot; - аккредитована МинЦифры как организация, осуществляющая свою деятельность в области информационных технологий. Сотрудники компании имеют право отсрочку от армии.</p> <p>В связи с расширением ищем единомышленников в нашу команду.</p> <p><strong>Мы доверим вам:</strong></p> <ul> <li> <p>Решение инцидентов по нашим программным продуктам;</p> </li> <li> <p>Администрирование нашего ПО и оборудования на ОС Linux;</p> </li> <li> <p>Анализ логов, первичное тестирование ПО и передачу задач в отдел разработки;</p> </li> <li> <p>Мониторинг инцидентов в Zabbix, их решение и предотвращение;</p> </li> <li> <p>Решение заявок от заказчиков через ServiceDesk;</p> </li> <li> <p>Участие в проектной деятельности по автоматизации внутренних сервисов (по желанию).</p> </li> </ul> <p><strong>Работая с нами, вы получите:</strong></p> <ul> <li> <p>Практический опыт администрирования ОС Linux (в т.ч. написание bash-скриптов);</p> </li> <li> <p>Практический опыт работы с Базами данных;</p> </li> <li> <p>Понимание принципов работы сетей;</p> </li> <li> <p>Интересные задачи и возможность реализовать свой потенциал;</p> </li> <li>Возможность построить карьеру в IT.</li> </ul> <p><strong>Мы готовы учить, при этом ожидаем от вас:</strong></p> <ul> <li> <p>Базовые навыки работы в терминале Linux (команды cd, mv, mkdir, cp, rm, ls, sudo, cat, grep, head, tail, ssh, scp, pwd, chmod, chown, crontab, ifconfig, ip, ping, arp-scan, traceroute, mtr);</p> </li> <li> <p>Теоретические или практические навыки работы с Базами данных (запросы SELECT, UPDATE, INSERT);</p> </li> <li>Базовую IT-грамотность и уверенное пользование ПК;</li> <li>Владение грамотной письменной и устной речью;</li> <li>Горящие глаза, желание развиваться и готовность к самостоятельному обучению;</li> <li> <p>Аналитический склад ума.</p> </li> </ul> <p><strong>Будет плюсом:</strong></p> <ul> <li>Опыт работы в технической поддержке;</li> <li>Знание основ программирования (предпочтительно Java, Python);</li> <li> <p>Опыт работы с unix-системами;</p> </li> <li> <p>Понимание работы сети Интернет.</p> </li> </ul> <p><strong>Про условия работы:</strong></p> <ul> <li>Оформление по ТК РФ с первого дня;</li> <li>Совокупный доход = оклад + премия по результату работы + бонусы;</li> <li>График работы: <strong>с 21:00-09:00 2/2</strong>;</li> <li>Компенсация обедов (4000 рублей в месяц);</li> <li>ДМС после успешного прохождения ИС;</li> <li>Удобное расположение офиса: 7 мин пешком от ст. м. Петроградская.</li> </ul> <p><strong>Бонусы:</strong></p> <ul> <li>Тренинги/мастер-классы прямо в офисе;</li> <li>Собственная оборудованная кухня с чаем, кофемашиной, печеньем и всем необходимым;</li> <li>Различные корпоративные мероприятия и подарки;</li> <li>Кикер, турник на территории офиса;</li> <li>Возможность профильного обучения за счет компании;</li> <li>Молодой и дружный коллектив;</li> <li>Уютная атмосфера современной IT-компании.</li> </ul>",https://hh.ru/vacancy/68847298,68847298
Закупщик-аналитик (удаленно),Санкт-Петербург,Торжковская улица,"['Многозадачность', 'Системное мышление', 'MS Access', 'Математический анализ', 'MS Excel', 'Быстро учусь', 'Математический склад ума', 'Ответственный подход к работе', 'Базовые знания 1С', 'Высшее образование', 'Составление ТЗ', 'Работа в Excel', '1С: Управление Закупками', 'Удаленная работа', 'Знание офисных программ', 'Умение работать в команде', 'Управление проектами', 'Деловое общение']",25000,40000,RUR,Принтбург,noExperience,remote,2022-08-30T12:44:55+0300,"<strong>Обязанности:</strong> <ul> <li>формирование заказов поставщикам;</li> <li>выстраивание системы управления цепями поставки;</li> <li>составление ТЗ для программистов (1С, API, JAVA);</li> <li>создание инструментов Excel для автоматизации работы.</li> </ul> <strong>Требования:</strong> <ul> <li>высшее математическое образование ( мех.мат., физ.фак и т.п.)</li> <li>высокий уровень знаний Excel;</li> <li>системное мышление;</li> <li>многозадачность;</li> <li>быстрая обучаемость, самообучаемость и самоорганизованность ;</li> </ul> <strong>Условия:</strong> <ul> <li>удаленная работа;</li> <li>график работы 5/2 с 9:00-18:00, час - обед , СБ-ВС- выходной.</li> </ul>",https://hh.ru/vacancy/69300071,69300071
Android разработчик,Санкт-Петербург,2-я Советская улица,"['Kotlin', 'Java', 'ООП', 'Android SDK', 'Android']",,,,Техностар,noExperience,fullDay,2022-08-29T12:41:27+0300,"<p>МЫ– международная IT-компания, разработчик технологичных продуктов в области мобильной электроники.</p> <p>Нашими решениями пользуются в 60 странах по всему миру. Обладаем сертификатами и патентами. Создаем будущее в разработке ПО для рынка мобильной электроники!</p> <p>Мы молодая и амбициозная команда! Приглашаем к сотрудничеству специалистов в области программирования, готовых к решению нетривиальных задач.</p> <p><strong>Обязанности:</strong></p> <p>Вам предстоит, разрабатывать мобильные приложения на базе Android для продуктов нашей компании, которыми пользуются не только в России, но и во всем мире.</p> <strong>Требования:</strong> <ul> <li>Знание принципов ООП</li> <li>Опыт применения паттернов: MVP, MVVM, CLEAN</li> <li>Понимание работы жизненного цикла приложения</li> <li>Умение разбираться в чужом коде</li> <li>Опыт работы с REST API</li> <li>Опыт написания интеграционных и Unit-тестов</li> <li>Способность работать в команде. Будет приветствоваться:</li> <li>Умение работать с мультиплатформенными решениями</li> <li>Опыт работы с сокетами</li> <li> <p>Стек: Kotlin, Java, Lifecycle, Retrofit</p> </li> </ul> <strong>Условия:</strong> <p><strong>Международный IT-проект</strong></p> <ul> <li>Конкурентная заработная плата;</li> <li>Работа в компании ориентированной на долгосрочное сотрудничество;</li> <li>ДМС после прохождения испытательного срока;</li> <li>Возможность гибкого начала рабочего дня;</li> <li>Комфортный офис в центре города;</li> <li>Уютная кухня, где есть все необходимое;</li> <li>Комната отдыха с настольным теннисом;</li> <li>Регулярные корпоративные мероприятия не только для вас, но и для ваших детей;</li> <li>Собственная библиотека;</li> <li>Работа в команде профессионалов, объединенных общей целью!</li> </ul>",https://hh.ru/vacancy/52328129,52328129
