name,city,address,key_skills,sal_from,sal_to,currency,company,experience,schedule,published_at,description,alternate_url,id
Java / Kotlin Developer,Санкт-Петербург,улица Профессора Попова,"['Java', 'Git', 'Unit Testing', 'Spring Framework']",200000,,RUR,Солантек,between3And6,flexible,2022-08-30T13:45:48+0300,"<p><strong>Solanteq</strong> — компания-разработчик высоконагруженных и распределенных систем для бизнеса платежных карт (МПС МИР, Visa, MasterCard и другие). Наши клиенты — процессинговые компании и банки в России (в том числе из топ-10) и за рубежом.</p> <p>Мы разрабатываем продукты для автоматизации всех областей онлайн платежей от интерфейсов с международными платежными системами, системами быстрых платежей до бухгалтерского учета платежных операций, программ лояльности, кредитования.</p> <p><strong>Задачи:</strong></p> <ul> <li>Разработка новых и развитие существующих продуктов.</li> <li>Участие в проектах по разработке и внедрению инновационных проектов в физтех области.</li> <li>Применение новых технологий и devops практик.</li> </ul> <p><strong>Требования к кандидатам:</strong></p> <ul> <li>Опыт коммерческой разработки back-end на Java/Kotin от 2 лет.</li> <li>Опыт работы с Spring Framework.</li> <li>Умение читать и понимать чужой код.</li> <li>Умение писать unit-тесты и понимание, зачем это нужно.</li> <li>Опыт работы с *nix системами.</li> <li>Желание разбираться в предметной области.</li> <li>Английский язык желательно.</li> <li>Опыт работы с PostgreSQL, Oracle (или другими классическими базами данных) будет плюсом.</li> </ul> <p><strong>Как всё устроено</strong>:</p> <ul> <li>Кодовая база на Java 11 и Kotlin.</li> <li>Хранение исходных кодов и код ревью в Self-Hosted GitLab.</li> <li>CI/CD на базе TeamCity.</li> <li>Использование AWS для внутренней инфраструктуры.</li> <li>Фреймворки и технологии (поддерживаем актуальные версии): Java 11, Kotlin, Spring, Hibernate, Mockito, PostgreSQL, RabbitMQ, Kafka и так далее.</li> </ul> <p><strong>Условия:</strong></p> <ul> <li>Активная продуктовая разработка и возможность увидеть созданную с Вашим участием систему в проде.</li> <li>Дружелюбная, не бюрократизированная обстановка.</li> <li>Оформление по ТК.</li> <li>Комфортный офис с парковкой в историческом центре Санкт-Петербурга / возможность удаленной работы</li> <li>ДМС и страховка для путешественников.</li> <li>Корпоративные занятия английским и йогой.</li> <li>Обеды, чай/кофе, плюшки и фрукты.</li> </ul>",https://hh.ru/vacancy/23473091,23473091
Android-разработчик,Санкт-Петербург,Гельсингфорсская улица,"['Android', 'kotlin']",,,,ATI.SU,between1And3,flexible,2022-08-31T16:59:46+0300,"<p>Мы создаем мобильные приложения для крупнейшей системы автоперевозок на территории РФ. Система предоставляет участникам рынка грузоперевозок современные и удобные средства обмена информацией для повышения эффективности и безопасности бизнеса.</p> <p>Проект быстро развивается, поэтому мы ищем в команду Android-разработчика, который хотел бы реализовывать нетривиальные задачи.</p> <p>Вы получите возможность участвовать в развитии текущего проекта и станете важным участником команды. Работы предстоит много, но вся она интересная.</p> <p><strong>Что мы можем предложить:</strong><br />- Участие в проекте федерального масштаба, насчитывающего сотни тысяч пользователей;<br />- Отсутствие бюрократии, гибкость в процессах;<br />- Возможность влиять на развитие проекта, предлагать, защищать и воплощать ваши инициативы;<br />- Возможность применять новые технологии и подходы к разработке;<br />- Возможность выбора направления для роста. Вы можете выбирать проект, над которым будете работать, а также пробовать новые для себя направления: разработку на Flutter, менеджмент и многое другое;<br />- Участие в корпоративных мероприятиях - конференции, хакатоны, открытый микрофон;<br />- Активная жизнь команды вне работы: походы на природу летом и на каток зимой, настольные игры, кикер, настольный теннис;<br />- Гибкий график без жестких рамок, VPN;<br />- Онбординг, менторство для плавного вхождения в проект;<br />- Гибридный формат работы;<br />- Бесплатные обеды, кофе, фрукты и сладости в офисе;<br />- Playstation VR, настольный теннис, кикер, спортзал;<br />- ДМС со стоматологией, оплата конференций, спорта, компенсация изучения иностранного языка;<br />- Удобный, красивый офис с панорамным видом на Неву (10мин от м. «Выборгская»);<br />- Оформление по ТК РФ;<br />- Релокационный пакет.</p> <p><strong>Вам предстоит:</strong><br />- Писать понятный, масштабируемый код;<br />- Участвовать в код-ревью;<br />- Участвовать в планировании спринтов: оценивать, разбивать и описывать задачи;<br />- Заниматься как написанием новых фич, так и поддержкой уже существующих;<br />- Предлагать свои решения и аргументировать их.<br /><br /><strong>Что мы хотим видеть в вас:</strong><br />- Умение писать на Kotlin. Знание Java будет хорошим плюсом.<br />- Знание паттернов MVVM, MVP их отличие друг от друга. Знание MVI будет плюсом.<br />- Знание ОС Android, компонентов системы и их области применения, библиотек и фреймворков Google.<br />- Знание паттерна DI, владение фреймворком Dagger2.<br />- Навыки реактивного программирования (RxJava2, LiveData).<br />- Опыт разработки андроид-приложений.<br />- Бонусом будет, если вы сможете предоставить примеры своего кода, например на github, или любым другим удобным для вас способом.<br />- При желании есть возможность писать компоненты на Flutter.</p>",https://hh.ru/vacancy/69185328,69185328
Android Developer,Санкт-Петербург,Щербаков переулок,"['Android', 'Java', 'Android SDK', 'ООП', 'Dagger2', 'CI/CD', 'Git', 'Kotlin']",,,,TradingView,between1And3,flexible,2022-08-30T16:07:55+0300,"<p>Привет!<br />Меня зовут Роман и я руковожу Mobile отделом в компании TradingView. Сейчас я ищу крутого разработчика в Android команду.<br />Быть крутым - означает отлично разбираться в алгоритмах, понимать, как работать с многопоточностью, уметь проектировать расширяемые приложения и быть командным игроком. Для меня важно, чтобы разработчик знал Java или Kotlin, был инициативным, самостоятельным и с удовольствием развивался сам и помогал развиваться коллегам.</p> <p><strong>С нами вместе ты будешь:</strong><br />— Разрабатывать и улучшать наше приложение под Android с месячной аудиторией более 4х миллионов пользователей;<br />— Использовать современные подходы в разработке - корутины, мультимодульность, Jetpack Compose;<br />— Принимать участие в обсуждении концепции, предлагать и реализовывать собственные идеи;<br />— Взаимодействовать с Frontend и Backend разработчиками, in-house дизайнерами.</p> <p><strong>Мы рассчитываем, что ты:</strong><br />— Имеешь опыт разработки Android-приложений от 1-го года;<br />— Знаешь Java или Kotlin.</p> <p><strong>Мы готовы предложить вам:</strong></p> <ul> <li>Конкурентоспособную белую зарплату;</li> <li>Заработную плату, привязанную к курсу доллара;</li> <li>гибкий график, который можно адаптировать под себя;</li> <li>ДМС, 100% оплачиваемый больничный лист;</li> <li>бесплатное питание + кофе/какао/молоко/чай/снеки круглосуточно;</li> <li>корпоративное изучение английского языка;</li> <li>адаптивное рабочее место и пространство для отдыха: диванчики, турник, кикер, PlayStation;</li> <li>активный отдых: горные лыжи, сноуборд зимой, серфинг и кайтинг летом;</li> <li>библиотека с профессиональной и учебной литературой;</li> <li>участие в митапах, конференциях и любых профессиональных мероприятиях, которые вас заинтересуют;</li> <li>релокация в Ростов-на-Дону из любой точки мира.</li> </ul> <p><strong>T</strong><strong>radingView </strong>– это аналитическая платформа и социальная сеть, которую используют миллионы инвесторов и трейдеров из более чем 100 стран. Мы предоставляем доступ к данным со 100+ торговых площадок по всему миру.</p> <p>Наши технологии используют более 40 000 компаний по всему миру, среди них – Investing.com, SeekingAlpha, Лента, Тинькофф, Чикагская и Бразильская биржи. Сегодня мы входим в топ 100 крупнейших сайтов мира по версии Alexa.com.</p> <p>600 000 одновременных клиентских сессий, сотни серверов в 10+ дата-центрах, 22 локальные версии и более 20 миллионов активных пользователей в месяц.</p>",https://hh.ru/vacancy/67464333,67464333
Senior Java/Kotlin Developer,Санкт-Петербург,Большая Зеленина улица,"['Java', 'SQL', 'Spring Framework', 'Kotlin', 'PostgreSQL', 'Spring']",,,,Just AI,between3And6,flexible,2022-09-01T15:49:19+0300,"<p><strong>Just AI</strong> одна из лидирующих продуктовых компаний в сфере Conversational AI.</p> <p>Нашими продуктами пользуется около ста крупных российских и ряд международных IT-компаний, телеком-компаний, банков (Yandex, Mail.ru Group, Сбер, МТС, Мегафон, Альфа-банк, HH.ru, Qiwi, BNP Paribas). Наши SAAS платформы и инженерные фреймворки используют более 50 000 разработчиков и малых-средних компаний по всему миру.</p> <p>Наш фокус – технологии понимания естественного языка, инструменты для создания голосовых ассистентов, машинного обучения, speech synthesis and voice cloning и системы управления диалогом, NLU/NLP/DM/ODQA/CDQA.</p> <p>Мы приглашаем вас присоединиться к нашей команде в R&amp;D офис компании в самом сердце Санкт-Петербурга.</p> <p>Сейчас в нашей команде разработки уже больше 70 человек. Мы работаем в кроссфункциональных командах, по Scrum. У нас гора идей, серьезные планы и много работы, поэтому мы расширяем команду и ищем Kotlin/Java разработчиков уровня Senior.</p> <p><strong>Используемый стек технологий: </strong>Java 8/Kotlin, Spring Boot 2, Spring Cloud, PostgreSQL, MongoDB.</p> <p><strong>Ваши будущие задачи:</strong></p> <ul> <li>Развивать наш собственный DSL для разработки сценариев ботов;</li> <li>Дорабатывать функциональность Web IDE и визуального конструктора ботов (в части backend);</li> <li>Интегрироваться с различными мессенджерами, операторскими рабочими местами, ассистентами (сейчас у нас более 15 различных интеграций);</li> <li>Улучшать систему аналитики работы ботов (нашим пользователям нужно в реальном времени строить графики эффективности бота на объёмах текстовых данных порядка 1ТБ);</li> <li>Создавать новые решения для тарификации и биллинга облачных клиентов платформы (интеграция с платёжными системами, контроль лимитов, прозрачное информирование, партнёрская программа);</li> <li>Реализовывать интерактивные шаблоны для создания ботов;</li> <li>Работать над масштабированием и отказоустойчивостью сервисов (Service Discovery, client-side balancing, graceful shutdown).</li> </ul> <p><strong>Наши ожидания:</strong></p> <ul> <li>Использование в работе Java 8, Spring (core, data, mvc, integration, test), JPA от 2 лет;</li> <li>Опыт работы с SQL базами данных;</li> <li>Знание Linux на уровне уверенного пользователя командной строки;</li> <li>Опыт автоматизации, желание и умение внедрять и улучшать процессы CI/CD;</li> <li>Опыт работы с облачной инфраструктурой (Azure, OpenShift, Heroku, Google App Engine) будет плюсом:</li> <li>Интерес к теме AI, готовность изучать и работать над алгоритмами искусственного интеллекта.</li> </ul> <p><strong>Мы предлагаем:</strong></p> <ul> <li> <p>Интересные проекты, возможность быстрой имплементации результатов исследований в продукты;</p> </li> <li> <p>Возможности для профессионального роста и обмена опытом как внутри коллектива, так и в рамках внешнего сотрудничества с нашими партнерами, университетами и сообществами;</p> </li> <li> <p>Участие в научных и прикладных конференциях в России и за рубежом;</p> </li> <li> <p>Возможность согласования индивидуального рабочего графика и дистанционной работы;</p> </li> <li> <p>Официальное оформление по ТК, компенсация больничных и отпусков в 100% размере от текущего оклада;</p> </li> <li> <p>Отличный современный офис с велопарковками, удобными рабочими местами, общими рабочими зонами, фруктами и снеками;</p> </li> <li> <p>Just AI входит в группы IT-компаний i-Free, объединяющей 16 компаний со штатом около 1000 человек – обилие ивентов по обмену опытом, митапов, возможности для горизонтального развития в компаниях группы;</p> </li> <li> <p>Помощь в релокации, в подборе подходящего жилья, релокационный бонус;</p> </li> <li> <p>Неповторимая корпоративная культура Just AI DNA, вечеринки, совместные кинопросмотры и многое другое…</p> </li> </ul>",https://hh.ru/vacancy/55144214,55144214
Android Developer (Kotlin),,,"['Kotlin', 'Linux', 'Git', 'HTML', 'Деловая переписка']",,,,ITentika,between3And6,flexible,2022-09-01T17:27:12+0300,"<strong>ITentika</strong> – российский разработчик программного обеспечения.<br />Специалисты с многолетним опытом разработки для ведущих мировых компаний объединились, чтобы находить качественные IT-решения для российского бизнеса.<br />Наше преимущество – экспертиза в области создания сложных информационных систем и продуктов для лидеров финансовой сферы, ритейла и электронной коммерции, транспорта и логистики, здравоохранения, промышленности и других отраслей.<br />Если вы, как и мы, понимаете, насколько важно сегодня обеспечить российские предприятия эффективными IT-системами, присоединяйтесь к профессиональной команде ITentika.<br /><br /><strong>Описание проекта:</strong><br />Наш клиент — это экосистема путешествий на базе единой российский сервисной платформы.<br />Мы будем совместно с командой клиента разрабатывать сервисы полного цикла для путешественников, в которых можно покупать авиационные и железнодорожные билеты, бронировать гостиницы или брать напрокат машину, подбирать себе туры онлайн.<br /><br /><strong>Задачи:</strong><br />• Разрабатывать и поддерживать новый функционал продукта<br />• Вместе с командой развивать архитектуру проекта<br />• Автоматизировать разработку и тестирование<br />• Проводить Code Review<br /><br /><strong>Требования:</strong><br />• Опыт коммерческой разработки приложений для Android от 3 лет<br />• Опыт работы с Kotlin<br />• Опыт работы с Android Studio<br />• Опыт проектирования клиент-серверного взаимодействия<br />• Опыт создания кастомных UI-компонентов<br />• Знание ООП и структуры данных<br />• Умеение работать с Git<br />• Знание MVVM и MVI<br /><br /><strong>Будет плюсом:</strong><br />• Знание Gradle, опыт написания своих плагинов<br />• Понимание CI/CD и опыт его настройки<br />• Уверенное знание принципов проектирования пользовательского интерфейса Android, паттернов и лучших практик<br />• Успешная публикация приложений для Android (Android Market)<br /><br /><strong>Почему ITentika:</strong><br />• Большая профессиональная команда с многолетним опытом разработки для ведущих мировых компаний.<br />• Плоская структура без бюрократии и микроменеджмента.<br />• Возможности для реализации своих перспективных инициатив.<br />• Обучение и профессиональное развитие.<br />• Достойный уровень компенсации и бонусы.<br />• Оформление по ТК РФ, ДМС, современные офисы в городах присутствия.<br />• Гибкий график",https://hh.ru/vacancy/68407649,68407649
Ведущий программист Java/Kotlin,Санкт-Петербург,Московский проспект,"['Git', 'Java', 'PostgreSQL', 'Linux', 'Kotlin', 'Ktor', 'JanusGraph', 'Gradle']",,,,"ЭВРИКА, Санкт-Петербург",between1And3,flexible,2022-08-29T09:18:28+0300,"<p>Проект представляет собой графовую информационную систему с аналитической обработкой текстовой и графической информации с использованием современных технологий big data.</p> <p><strong>Что предстоит делать:</strong></p> <ul> <li>решать интересные, нетривиальные задачи и развивать архитектуру проекта;</li> <li>разрабатывать серверную часть продуктов компании;</li> <li>реализовывать логику обработки информации;</li> <li>документировать разрабатываемое ПО.</li> </ul> <p><strong>Мы ждем, что Вы:</strong></p> <ul> <li>имеете опыт работы программистом Java/Kotlin не менее 1 года;</li> <li>имеете опыт работы с системами контроля версий (git);</li> <li>имеете опыт работы с системами сборки проектов (Gradle).</li> </ul> <p><strong>Будет плюсом, если Вы:</strong></p> <ul> <li>имеете опыт работы с Kotlin Multiplatform, KotlinJS;</li> <li>имеете опыт работы с PostgreSQL;</li> <li>имеете опыт работы с Spring;</li> <li>имеете опыт работы с React, Redux;</li> <li>знаете AstraLinux 1.6 (Смоленск);</li> <li>знаете JanusGraph (или другие графовые БД);</li> <li>знаете Ktor.</li> </ul> <p><strong>Мы предлагаем:</strong></p> <ul> <li>Работу в крупной стабильной компании;</li> <li>Интересные проекты и возможность видеть продукт своей деятельности;</li> <li>Сплоченную команду профессионалов, в которой можно перенимать опыт, развиваться и успешно реализовывать проекты;</li> <li>Удобные инструменты для работы, позволяющие решать текущие задачи быстро и эффективно;</li> <li>Обучение за счет компании: курсы, тренинги, участие в конференциях;</li> <li>Удобный офис в шаговой доступности от <strong>метро Московские ворота</strong>;</li> <li>Гибкий подход к графику работы;</li> <li>ДМС с расширенной стоматологией;</li> <li>Бесплатное питание с первого дня.</li> </ul> <p><strong>Стань частью нашей команды! Отправляй резюме! </strong></p> <p> </p>",https://hh.ru/vacancy/68409046,68409046
Разработчик под Android (Kotlin),Санкт-Петербург,Сердобольская улица,"['Java', 'Android', 'Kotlin', 'ООП', 'Git', 'Android SDK', 'Unit Testing', 'Atlassian Jira', 'TFS']",150000,300000,RUR,Рокси Мобайл,between1And3,flexible,2022-08-16T00:15:17+0300,"<p>Компания «Рокси Мобайл» занимается разработкой нативных мобильных приложений со сложной бизнес-логикой, серьёзными требованиями к безопасности и работающих под высокой нагрузкой. Наши приоритеты — это проекты в области финансового и банковского секторов, работающие мобильные решения, качество и довольные клиенты.</p> <p>В связи с расширением бизнеса мы приглашаем в нашу команду <strong>Разработчика под Android</strong>.</p> <p><strong>Обязанности:</strong></p> <ul> <li>Разработка программного обеспечения для Android;</li> <li>Проведение Code Review;</li> <li>Участие в проектах федерального масштаба на всех стадиях разработки (от проектирования до конечной реализации).</li> </ul> <p><strong>Наши ожидания:</strong></p> <ul> <li>Опыт программирования на Kotlin или Java от 2 лет;</li> <li>Опыт коммерческой разработки для мобильных устройств на базе Android от 1 года;</li> <li>Понимание основных принципов ООП и шаблонов проектирования;</li> <li>Знание базовых структур данных и алгоритмов;</li> <li>Знание Android SDK, понимание архитектуры Android;</li> <li>Знание шаблонов проектирования пользовательских интерфейсов для Android (UI patterns);</li> <li>Знание принципов Material Design;</li> <li>Опыт работы с сетевыми протоколами (HTTP, REST, OAuth, JSON и др.);</li> <li>Желание и готовность изучать новые технологии и инструменты разработки.</li> </ul> <p><strong>Дополнительными преимуществами будут:</strong></p> <ul> <li>Участие в крупных проектах для мобильных платформ в составе команды;</li> <li>Наличие собственных опубликованных приложений в Google Play;</li> <li>Опыт работы с системами контроля версий (Git, Subversion) и постановки задач (Jira, TFS, Redmine);</li> <li>Опыт разработки приложений со сложным UI;</li> <li>Опыт работы с другими мобильными платформами и/или языками программирования (Swift, C/C++, C#);</li> <li>Опыт работы с Android Jetpack, Coroutines, Dagger/Koin, Moxy, Cicerone, Retrofit;</li> <li>Опыт написания Unit-тестов;</li> <li>Знание английского языка на уровне свободного чтения технической документации.</li> </ul> <p><strong>Мы предлагаем:</strong></p> <ul> <li>Профессиональное развитие‚ интересные задачи, участие в перспективных проектах;</li> <li>Работа в стабильной компании с профессиональной командой (специалисты уровня Middle / Senior / Lead), использующей передовые технологии в своей области;</li> <li>Достойная «белая» заработная плата ( обсуждаем на собеседовании, в зависимости от квалификации и уровня задач, которые вы способны решать);</li> <li>Оформление и социальный пакет в соответствии с трудовым кодексом;</li> <li>Полная занятость, гибкий график работы;</li> <li>Возможность работать из дома (если процесс не требует обязательного присутствия в офисе);</li> <li>Комфортный офис в 10 мин. пешком от ст.м. Чёрная Речка в бизнес центре «Белый остров»;</li> <li>Предоставление ДМС после испытательного срока, в том числе для членов семьи по льготной цене;</li> <li>Предоставление современной техники для комфортной работы.</li> </ul>",https://hh.ru/vacancy/66206236,66206236
Android разработчик,,,['Android'],,,,Дневник.ру,between1And3,flexible,2022-08-18T12:29:50+0300,"<p><strong>Дневник.ру</strong> входит в <strong>ТОП-10</strong> мировых образовательных платформ по посещаемости на апрель 2020 г. (SimilarWeb).</p> <p>Это продукт для школ и организаций, позволяющий вести образовательную деятельность в облачном решении.</p> <p><strong>Дневник.ру</strong> - это высоконагруженная система, которая находится online 24/7. Аудитория постоянно растет, а функционал находится в постоянном развитии.</p> <p><strong>МойСпорт - </strong>это новый продукт, развивающийся быстрыми темпами. Проект внедрен в 45 регионах России и мы выходим на зарубежный рынок.. Наша цель - вывести отрасль спортивной подготовки детей на новый уровень за счет цифровизации.</p> <p>Мой спорт - система для автоматизации процессов юношеского спорта:</p> <ul> <li> <p>Для юных спортсменов - это помощник на тренировке для анализа и фиксации своих показателей;</p> </li> <li> <p>Для тренеров - инструмент планирования тренировочного процесса;</p> </li> <li> <p>Для родителей - место, где можно следить за успехами своего ребенка;</p> </li> <li> <p>Для федераций спорта - поиск молодых талантов и аналитика эффективности спортивных учреждений;</p> </li> </ul> <p><strong>Наш проект растёт быстрыми темпами, задачи становятся сложнее и масштабнее, увеличивается количество команд разработки. Сейчас мы ищем middle+ Android разработчика, который сможет усилить направление мобильной разработки.</strong></p> <p><strong>Если у вас:</strong></p> <ul> <li> <p>Опыт разработки клиент-серверных приложений от 2х лет, понимание особенностей сетевого взаимодействия в Android;</p> </li> <li> <p>Понимание полного цикла разработки ПО (в том числе continuous integration и continuous delivery);</p> </li> <li> <p>Хорошие знания Kotlin и Android SDK;</p> </li> <li> <p>Опыт разработки с применением Kotlin Coroutines + Flow или RxJava2;</p> </li> <li> <p>Опыт разработки с применением Android Components;</p> </li> <li> <p>Понимание основных архитектур (MVI/MVVM/MVP).</p> </li> </ul> <p><strong>Что мы вам доверим:</strong></p> <ul> <li> <p>Мой спорт Спортсмен https://play.google.com/store/apps/details?id=ru.dnevnik.sportparent</p> </li> <li> <p>Мой спорт Тренер https://play.google.com/store/apps/details?id=ru.dnevnik.sportteacher</p> </li> </ul> <ul> <li>Взаимодействие с другими подразделениями для совместного решения комплексных задач.</li> </ul> <p><strong>Немного о нашем стеке:</strong></p> <ul> <li> <p>Наши проекты полностью реализованы на Kotlin;</p> </li> <li> <p>Асинхронность на Coroutines, переписываем с RxJava2;</p> </li> <li> <p>Для внедрения зависимостей используем Dagger2, для сетевого взаимодействия Retrofit;</p> </li> <li> <p>Навигация на Navigation Architecture Component.</p> </li> </ul> <p><strong>Смело откликайтесь, будем знакомиться :)</strong></p> <p>Наш будущий коллега, в настоящее время мы придерживаемся формата “работа из дома”, но желающие работать из офиса, приглашаем в уютный и теплый БЦ Линкор в пешей доступности от метро Горьковская/Выборгская/Петроградская.</p> <p><strong>В нашей компании:</strong></p> <ul> <li>Возможность развивать свои компетенции и экспертизу, работая в команде над интересными IT- проектами в EdTech;</li> <li>Мощный компьютер, предоставляемый в пользование;</li> <li>Соблюдение трудового законодательства, полностью официальная заработная плата, оплачиваемый отпуск;</li> <li>Онлайн -конференции и митапы, курсы повышения квалификации, электронная библиотека и базы знаний;</li> <li>Корпоративные мероприятия и тимбилдинги, тимланчи, мероприятия для детей сотрудников, отличные вечеринки, настолки;</li> <li>Оборудованная кухня, с большим выбором чая и кофе, кикер и спортивный уголок, экспериментируем с угощениями национальных кухонь;</li> <li>Внимание к сотрудникам - специальные выплаты по случаю свадьбы, рождения ребенка, трудных жизненных ситуаций;</li> <li>Корпоративная цена на английский язык и фитнес для вас и вашей семьи;</li> <li>Свободный дресс - код, доброжелательная атмосфера, профессионально отзывчивая команда, индивидуально подходим к планированию карьеры каждого сотрудника;</li> <li>Мы социально ответственная Компания, мы за экологию - ведем раздельный сбор мусора, собираем макулатуру, батарейки;</li> <li>Заботимся о вашем здоровье: расширенный ДМС после адаптационного периода с услугой телемедицины, лучшими клиниками СПб и Москвы и страхованием в поездках за границу;</li> <li>Консультации психолога за счет Компании.</li> </ul>",https://hh.ru/vacancy/68063430,68063430
Android Developer,,,['Kotlin'],,,,"Иннотех, Группа компаний",between3And6,flexible,2022-08-26T13:01:06+0300,"<p><strong>Проект DION:</strong> Российский сервис видеоконференций с фокусом на безопасность и конфиденциальность. Гибридная облачная архитектура, корпоративные клиенты, современные технологические решения. Отсутствие легаси кода и бюрократии в команде. Небольшая автономная команда внутри большой стабильной корпорации со всеми ее преимуществами.</p> <p><strong>Чем предстоит заниматься:</strong></p> <ul> <li>Участвовать в разработке Android-приложения;</li> <li>Оптимизировать существующие и новые продукты;</li> <li>Быстро адаптироваться к новым задачам, учиться новому и делиться знаниями с коллегами.</li> </ul> <p><strong>Какие знания и навыки для нас важны:</strong></p> <ul> <li>Опыт коммерческой разработки мобильных приложений под Android от 2-х лет;</li> <li>Хорошее знание Kotlin (1.5.31 - 1.6) , Coroutines, Flow и умение применять эти знания на практике;</li> <li>Знание ООП, паттернов проектирования;</li> <li>Понимание принципов SOLID, умение писать чистый, тестируемый код;</li> <li>Знание основных архитектурных паттернов (MVC, MVVM, MVP);</li> <li>Понимание работы в фоновом режиме;</li> <li>Опыт работы с системами контроля версий (Git);</li> <li>Понимание как устроено сетевое взаимодействие (Retrofit/Ktor);</li> <li>Опыт написание многопоточного кода;</li> <li>Jetpack Compose или большое желание изучить его;</li> <li>Умение работать с типичным ПО (Android Studio, Jira, Gitlab, Figma, etc...).</li> </ul> <p><strong>Какие знания будут дополнительным преимуществом:</strong></p> <ul> <li>Опыт работы с: Java, WebSockets, Rx, Gradle, GitLab CI/CD и Fastlane, GraphQL</li> <li>Умение оптимизации приложения, написание документации, написание сложных UI, разработки приложений с нуля.</li> </ul>",https://hh.ru/vacancy/68198119,68198119
QA Automation Engineer,,,"['Software Testing', 'SQL', 'SOLAR Testing Toolkit']",,,,Солантек,between1And3,flexible,2022-08-31T15:55:33+0300,"<p><strong>Solanteq</strong> – компания-разработчик высоконагруженных и распределенных систем для бизнеса платежных карт (МПС Visa, MasterCard, НСПК и другие). Наши клиенты - процессинговые компании и банки в России (в том числе из топ-10) и за рубежом.</p> <p>Стек технологий: Java 11 / Kotlin, Spring, Hibernate, PostgreSQL, TeamCity, Maven, git.</p> <p>В широкой линейке продуктов компании особое место занимает Solar Testing Toolkit, фреймворк для автоматизированного функционального, регрессионного и нагрузочного тестирования процессинговых систем. Testing Toolkit используется для тестирования продуктов, разрабатываемых Компанией, а также внедряется у наших клиентов (российских и зарубежных) для тестирования их собственных разработок и решений внешних поставщиков.</p> <p>Приглашаем QA инженера для автоматизации тестирования процессинговых систем с помощью Solar Testing Toolkit.</p> <p><strong>Обязанности:</strong></p> <ul> <li>Анализ требований и составление тестовых планов и сценариев</li> <li>Разработка новых и поддержка существующих автоматизированных тестов в SOLAR Testing Toolkit</li> <li>Анализ результатов запуска авто-тестов в SOLAR Testing Toolkit</li> <li>Сборка, настройка, разворачивание конфигурации программного решения в SOLAR Testing Toolkit для конкретного проекта</li> <li>Участие в развитии SOLAR Testing Toolkit (как продукта) и оптимизации процессов тестирования и разработки авто-тестов</li> </ul> <p><strong>Требования:</strong></p> <ul> <li>Высшее техническое образование (либо студент старших курсов)</li> <li>Опыт ручного тестирования</li> <li>Навыки составления тестовых сценариев (опыт составления отчетности по тестированию будет плюсом)</li> <li>Желание развиваться в авто-тестировании</li> <li>Аналитические способности, готовность к глубокому анализу, способность быстро и самостоятельно обучаться</li> <li>Понимание процесса разработки и тестирования ПО</li> <li>Опыт работы с реляционными БД, базовые знания SQL</li> <li>Технический английский</li> <li>Знания Java/kotlin/JavaScript будут плюсом</li> <li>Опыт тестирования платежных приложений, в том числе с использованием протокола ISO8583, будет плюсом</li> </ul> <p><strong>Условия:</strong></p> <ul> <li>Дружелюбная, не бюрократизированная обстановка</li> <li>Оформление по ТК, комфортный офис (возможна также частично удаленная работа), ДМС, обеды, вкусный чай/кофе и другие плюшки</li> <li>Заработная плата и уровень позиции определяются по итогам собеседования.</li> </ul>",https://hh.ru/vacancy/68356894,68356894
