name,city,address,key_skills,sal_from,sal_to,currency,company,experience,schedule,published_at,description,alternate_url,id
Kotlin developer,Санкт-Петербург,Малоохтинский проспект,"['kotlin', 'Spring Framework', 'JUnit', 'Mockito', 'Spring Boot', 'Spring']",,400000,RUR,ЛИПТ Софт,between3And6,fullDay,2022-09-02T10:54:54+0300,"<p>Липтсофт - генеральный it-партнер банка &quot;Санкт-Петербург&quot;. Мы автономная компания с быстрыми процессами и уютной атмосферой.</p> <p>Сейчас расширяем команду разработки интернет-банкинга. Мы практикуем экстремальное программирование, TDD и всегда открыты к интересным и целесообразным техническим экспериментам.</p> <p><strong>Можно работать из офиса в Санкт-Петербурге или удаленно. Оплачиваем релокацию для желающих переехать.</strong></p> <p><strong>Что предстоит делать:</strong></p> <ul> <li>Проектировать и создавать микросервисы, решающие бизнес-задачи банка;</li> <li>Развивать собственную инфраструктуру для поддержания отказоустойчивости и мониторинга внутренних компонентов.</li> </ul> <p><strong>Что для нас важно:</strong></p> <ul> <li>Опыт разработки на Java/Kotlin от 3-х лет;</li> <li>Опыт в написании тестов и желание их писать;</li> </ul> <p><strong>Стек:</strong></p> <ul> <li>kotlin</li> <li>spring boot (2.5.12+)</li> <li>webflux (reactor)</li> <li>redis</li> <li>junit/mockito</li> </ul> <p><strong>Что у нас интересного:</strong></p> <ul> <li>Официальное оформление и белая ЗП в рынке;</li> <li>Начало рабочего дня с 9 до 11 утра;</li> <li>ДМС со стоматологией, ежегодным чекапом и возможностью подключить родственников по корпоративным тарифам со старта работы;</li> <li>Участие в конференциях, профильные курсы;</li> <li>Мы проводим практики и стажировки со студентами профильных вузов, есть возможность попробовать себя в качестве ментора;</li> <li>Уютный офис, оборудованный всем необходимым для комфортной работы и отдыха - в том числе хамелеонами и рыбками, спешелти-кофе и Плейстейшн 5;</li> <li>Компенсация занятий спортом;</li> <li>Бесплатные курсы английского - с мини-группами, преподавателями-носителями языка и разными уровнями подготовки (от elementary до upper-intermediate).</li> </ul>",https://hh.ru/vacancy/68888450,68888450
Kotlin Backend Developer,,,[],,,,Lesta Games,between1And3,fullDay,2022-09-01T13:11:35+0300,"<p>Мы в <strong>Lesta Studio</strong>, помимо флагманской игры World of Warships, ведем разработку новых игровых проектов в различных жанрах и для разных платформ, а также экспериментируем с инструментами и технологиями. Одна из команд в нашей студии занимается разработкой <strong> </strong><strong>нового кросс-платформенного ММО шутера</strong><strong> </strong>в Sci-Fi сеттинге, в разработке которого используются движок Unreal Engine 4, Kotlin и С++.</p> <p>У нас амбициозные планы по дальнейшему развитию проекта, с чем нам может помочь <strong> </strong><strong>Kotlin Backend Developer</strong>.</p> <p> </p> <p><strong>Чем предстоит заниматься:</strong></p> <ul> <li> <p>Разработка высоконагруженных сервисов для многопользовательской сессионной игры на Kotlin и Java (матч-мейкинг, кланы, инвентарь, крафтинг и т.п.);</p> </li> <li> <p>Участие в проектировании распределенной отказоустойчивой системы, способной справляться с большим количеством пользователей;</p> </li> <li> <p>Ревью кода других разработчиков;</p> </li> <li> <p>Рефакторинг имеющегося кода для сохранения его простоты и сопровождаемости;</p> </li> <li> <p>Участие в анализе бизнес требований и формировании бэклога;</p> </li> </ul> <p><strong>Из плюшек:</strong></p> <ul> <li> <p>Очень мало легаси (а то, что есть - совсем не древнее);</p> </li> <li> <p>Возможность предлагать свои решения и подходы (если сможете обосновать предложение);</p> </li> <li> <p>Рады делиться своим опытом и перенимать ваш;</p> </li> </ul> <p> </p> <p><strong>Что для нас важно:</strong></p> <ul> <li> <p>Хорошее знание и опыт программирования на Kotlin и/или Java;</p> </li> <li> <p>Представление как строятся распределенные системы;</p> </li> <li> <p>Умение писать простой и качественный код;</p> </li> <li> <p>Заинтересованность в постоянном самосовершенствовании и изучении нового;</p> </li> <li> <p>Умение работать в команде;</p> </li> </ul> <p><strong>Приветствуется:</strong></p> <ul> <li> <p>Умение или желание научится писать тестируемый код;</p> </li> <li> <p>Увлеченность играми, опыт игры в разные жанры и на разных платформах, понимание игровой индустрии в целом;</p> </li> </ul> <p> </p> <p><strong>Что предлагаем:</strong></p> <ul> <li> <p>Работу в аккредитованной IT – компании.</p> </li> <li>Работу в офисе в г. Санкт-Петербург. Мы поможем вам в релокации (проживание в корп.квартире, релокационный бонус).</li> <li>Расширенный полис ДМС.</li> <li>Спортзал и душевые в офисе, компенсация большей части стоимости годового абонемента сети спортклубов.</li> <li>Обучение: уроки английского языка в офисе; внутренние и внешние конференции, тренинги.</li> <li>Бесплатные завтраки и ужины, компенсация обедов.</li> <li>Релакс-зоны с массажными креслами Yamaguchi и топовыми кофемашинами.</li> <li>Мы тестируем наши продукты в игровых с мощным железом и приставками. Но если хотите размяться в офлайне, у нас есть настольный теннис, хоккей, баскетбол и кикер.</li> <li>Work-life balance: начало работы - с 9 до 10, окончание - с 18 до 19.</li> </ul>",https://hh.ru/vacancy/55373687,55373687
Junior\Middle Android developer,Санкт-Петербург,набережная Обводного канала,"['Java', 'Linux', '• Kotlin, • Git • REST • Android • SIP', 'Android', 'Git']",90000,120000,RUR,АлпаЭксперт,between1And3,fullDay,2022-09-01T13:31:15+0300,"<p>Ищем Android-программиста в молодую развивающуюся команду.</p> <p>Мы разрабатываем комплексные системы по автоматизации многоквартирных домов.</p> <p>Наши решения применяются многими застройщиками в Санкт-Петербурге и Москве, а приложениями пользуются тысячи жителей.</p> <p> </p> <strong>Обязанности:</strong> <ul> <li>Разработка и поддержка приложений для наших клиентских устройств;</li> <li>Развитие функциональности нашей собственной платформы;</li> <li>Code-review;</li> <li>Участие в принятии технических решений и планировании процесса разработки;</li> </ul> <p><strong>Требования:</strong></p> <ul> <li>Уверенное знание Java, Kotlin (проекты преимущественно на Kotlin), Coroutines, Flow;</li> </ul> <ul> <li>Понимание архитектуры Android-приложений и паттернов проектирования;</li> <li>Опыт работы с Hilt/Dagger2, Room;</li> <li>Понимание принципов ООП, SOLID, MVP, MVVM, DI, IoC, REST API, Clean Architecture;</li> <li>Опыт работы с Android Studio, понимание Gradle и Git;</li> <li>Знание английского языка на уровне чтения тех. документации;</li> <li>Умение тестировать свой код;</li> </ul> <p><strong>Будет плюсом:</strong></p> <ul> <li>Опыт создания Kiosk-приложений;</li> <li>Опыт работы с Realm;</li> <li>Опыт работы в среде Linux;</li> <li>Знание и опыт работы с протоколами SIP (библиотека PJSIP);</li> <li>Знание и опыт работы с Telnet;</li> <li>Опыт разработки решений с применением BLE;</li> <li>Знание и опыт работы с библиотеками по обработке потокового видео (FFMPEG, H264, VLC и прочие);</li> <li>Умение разбираться не только в своём, но и в уже написанном коде;</li> <li>Опыт работы с многопоточностью;</li> </ul> <p> </p> <strong>Условия:</strong> <ul> <li>Гибкий график с 9:30 до ... (согласовывается индивидуально); Работа стационарно в офисе;</li> <li>Работа в команде единомышленников;</li> <li>Решение интересных задач;</li> <li>Карьерный рост;</li> <li>Заработная плата на период испытательного срока ( 3 месяца) - 90.000 рублей ;</li> <li>По окончанию испытательного срока уровень заработной платы - 120.000 рублей;</li> <li>Рост заработной платы по мере повышения квалификации;</li> <li>Офис в центре Санкт-Петербурга (у метро «Балтийская»);</li> <li>Чай, кофе, печеньки.</li> </ul>",https://hh.ru/vacancy/68515334,68515334
Backend Developer (Kotlin/Java),,,"['Java', 'Kotlin', 'Kubernetes', 'Kafka', 'Grafana']",,,,Самокат (ООО Умное пространство),between3And6,fullDay,2022-09-01T12:42:31+0300,"<p><strong>Самокат</strong> — <strong>сервис #1</strong> в России по числу заказов в сфере быстрой доставки.</p> <p>Наша миссия — дарить людям время, которое они могут потратить на свои увлечения и близких. Мы создаем новый слой городской инфраструктуры с доставкой продуктов и товаров для дома за 15 минут.</p> <p>Наша инженерная команда строит высоконагруженную систему с распределенной архитектурой для управления всей цепочкой операций в near real-time.</p> <p>Наша главная ценность – время. Поэтому быстро и по делу:</p> <p><strong>Мы ищем </strong><strong>Java</strong><strong>/</strong><strong>Kotlin</strong><strong>-инженера не ниже Middle + для продуктовой разработки в командах 10-12 человек.</strong></p> <p><strong>Наш стек:</strong></p> <ul> <li>Сервисы на Kotlin с использованием Spring framework;</li> <li>Хранение данных в Postgres/Hazelcast;</li> <li>Kafka для обмена сообщениями;</li> <li>Kubernetes и GitLab для CI/CD;</li> <li>Grafana и Prometheus, EFK для организации мониторинга.</li> </ul> <p>Мы заботимся о своих сотрудниках, поэтому создаем максимально комфортные условия для реализации профессиональных амбиций:</p> <ul> <li>Официальное трудоустройство, белая зарплата;</li> <li>Удобный формат работы (в офисе или удаленно);</li> <li>ДМС со стоматологией после испытательного срока;</li> <li>Возможность участвовать в профильных конференциях в качестве спикера или участника. В этом году мы уже приняли участие в Highload, DUMP, CodeFest и др.;</li> <li>Командообразующие мероприятия - дни рождения команд, митапы, презентации, неформальные встречи.</li> </ul> <p><strong>Наш фокус это:</strong></p> <ul> <li>Работа в крутом проекте, востребованность которого уже очевидна и будет только увеличиваться;</li> <li>Пул задач, у которых нет тривиальных решений;</li> <li>Профессиональная команда, в которой ты сможешь реализовать свой потенциал.</li> </ul> <p>Если ты хочешь развивать продукт, который делает жизнь людей лучше и комфортнее – WELCOME!</p>",https://hh.ru/vacancy/68512757,68512757
Android разработчик,,,"['Kotlin', 'Java', 'Android SDK', 'Android', 'SQLite', 'SQL', 'Dagger 2', 'Realm', 'Паттерны проектирования', 'Python', 'RxJava']",250000,350000,RUR,Егоров,between1And3,fullDay,2022-09-01T14:55:11+0300,"<strong>Обязанности:</strong> <ul> <li>Участие в code review;</li> <li>Написание понятного, масштабируемого кода;</li> <li>Участие в планировании спринтов: оценивать, разбивать и описывать задачи ;</li> <li>Написание новых фич, а так же поддержка уже существующих;</li> <li>Решение нетривиальных задач, исправление трудновоспроизводимых багов;</li> <li>Работа в сфере кибербезопасности;</li> </ul> <strong>Требования:</strong> <ul> <li>Знание языков Java, Kotlin обязательно!;</li> <li>Знание паттернов MVVM, MVP, MVI;</li> <li>Владение такими инструментами, как: SQLite/Realm, HTTP (Retrofit, HttpUrlConnection/OkHttpClient), RxJava/Coroutines, Dagger2;</li> <li>Знание OC Android;</li> <li>Умение писать понятный код;</li> <li>Опыт разработки андроид-приложений.</li> </ul> <strong>Условия:</strong> <ul> <li>Адекватное, лояльное и технически грамотное руководство;</li> <li>Комфортный коллектив;</li> <li>Уютный офис.</li> </ul>",https://hh.ru/vacancy/69381512,69381512
Java Backend Developer,,,[],,,,Lesta Games,between3And6,fullDay,2022-09-01T13:11:35+0300,"<p>Мы в <strong>Lesta Studio</strong>, помимо флагманской игры World of Warships, ведем разработку новых игровых проектов в различных жанрах и для разных платформ, а также экспериментируем с инструментами и технологиями. Одна из команд в нашей студии занимается разработкой <strong> </strong><strong>нового кросс-платформенного ММО шутера</strong><strong> </strong>в Sci-Fi сеттинге, в разработке которого используются движок Unreal Engine 4, Java и С++.</p> <p>У нас амбициозные планы по дальнейшему развитию проекта, с чем нам может помочь <strong> </strong><strong>Java Backend Developer</strong>.</p> <p> </p> <p><strong>Чем предстоит заниматься:</strong></p> <ul> <li> <p>Разработка высоконагруженных сервисов для многопользовательской сессионной игры на Kotlin и Java (матч-мейкинг, кланы, инвентарь, крафтинг и т.п.);</p> </li> <li> <p>Участие в проектировании распределенной отказоустойчивой системы, способной справляться с большим количеством пользователей;</p> </li> <li> <p>Ревью кода других разработчиков;</p> </li> <li> <p>Рефакторинг имеющегося кода для сохранения его простоты и сопровождаемости;</p> </li> <li> <p>Участие в анализе бизнес требований и формировании бэклога;</p> </li> </ul> <p><strong>Из плюшек:</strong></p> <ul> <li> <p>Очень мало легаси (а то, что есть - совсем не древнее);</p> </li> <li> <p>Возможность предлагать свои решения и подходы (если сможете обосновать предложение);</p> </li> <li> <p>Рады делиться своим опытом и перенимать ваш;</p> </li> </ul> <p> </p> <p><strong>Что для нас важно:</strong></p> <ul> <li> <p>Хорошее знание и опыт программирования на Java и/или Kotlin;</p> </li> <li> <p>Представление как строятся распределенные системы;</p> </li> <li> <p>Умение писать простой и качественный код;</p> </li> <li> <p>Заинтересованность в постоянном самосовершенствовании и изучении нового;</p> </li> <li> <p>Умение работать в команде;</p> </li> </ul> <p><strong>Приветствуется:</strong></p> <ul> <li> <p>Умение или желание научится писать тестируемый код;</p> </li> <li> <p>Увлеченность играми, опыт игры в разные жанры и на разных платформах, понимание игровой индустрии в целом;</p> </li> </ul> <p> </p> <p><strong>Что предлагаем:</strong></p> <ul> <li> <p>Работу в аккредитованной IT – компании.</p> </li> <li>Работу в офисе в г. Санкт-Петербург. Мы поможем вам в релокации (проживание в корп.квартире, релокационный бонус).</li> <li>Расширенный полис ДМС.</li> <li>Спортзал и душевые в офисе, компенсация большей части стоимости годового абонемента сети спортклубов.</li> <li>Обучение: уроки английского языка в офисе; внутренние и внешние конференции, тренинги.</li> <li>Бесплатные завтраки и ужины, компенсация обедов.</li> <li>Релакс-зоны с массажными креслами Yamaguchi и топовыми кофемашинами.</li> <li>Мы тестируем наши продукты в игровых с мощным железом и приставками. Но если хотите размяться в офлайне, у нас есть настольный теннис, хоккей, баскетбол и кикер.</li> <li>Work-life balance: начало работы - с 9 до 10, окончание - с 18 до 19.</li> </ul> <p> </p> <p> </p>",https://hh.ru/vacancy/55373690,55373690
Senior Java/Kotlin developer,Санкт-Петербург,Малоохтинский проспект,"['Java', 'JavaScript', 'kotlin']",,400000,RUR,ЛИПТ Софт,between3And6,fullDay,2022-08-30T11:54:27+0300,"<p>Липтсофт - генеральный it-партнер банка &quot;Санкт-Петербург&quot;. Мы автономная компания с быстрыми процессами и уютной атмосферой.</p> <p>Сейчас расширяем команду разработки интернет-банкинга. Мы практикуем экстремальное программирование, TDD и всегда открыты к интересным и целесообразным техническим экспериментам.</p> <p><strong>Можно работать из офиса в Санкт-Петербурге или удаленно. Оплачиваем релокацию для желающих переехать.</strong></p> <p><strong>Что предстоит делать:</strong></p> <ul> <li>Проектировать и создавать микросервисы, решающие бизнес-задачи банка;</li> <li>Развивать собственную инфраструктуру для поддержания отказоустойчивости и мониторинга внутренних компонентов.</li> </ul> <p><strong>Что для нас важно:</strong></p> <ul> <li>Опыт разработки на Java/Kotlin от 3-х лет;</li> <li>Отсутствие аллергии на фронт, так как 15-20% рабочих задач будут именно фронтовыми;</li> <li>Опыт в написании тестов и желание их писать;</li> <li>Уверенное владение SQL.</li> </ul> <p><strong>Стек:</strong></p> <p>Осталась часть монолита, который мы поддерживаем:</p> <ul> <li>JS с jQuery</li> <li>Java 14 (Play framework)</li> </ul> <p>Микросервисы, которых все больше и больше:</p> <ul> <li>Kotlin (Ktor)</li> </ul> <p>Тестирование:</p> <p>JUnit, Mockito, Karma, Jasmine, Selenide</p> <p><strong>Что у нас интересного:</strong></p> <ul> <li>Официальное оформление и белая ЗП в рынке;</li> <li>Начало рабочего дня с 9 до 11 утра;</li> <li>ДМС со стоматологией, ежегодным чекапом и возможностью подключить родственников по корпоративным тарифам со старта работы;</li> <li>Участие в конференциях, профильные курсы;</li> <li>Мы проводим практики и стажировки со студентами профильных вузов, есть возможность попробовать себя в качестве ментора;</li> <li>Уютный офис, оборудованный всем необходимым для комфортной работы и отдыха - в том числе хамелеонами и рыбками, спешелти-кофе и Плейстейшн 5;</li> <li>Компенсация занятий спортом;</li> <li>Бесплатные курсы английского - с мини-группами, преподавателями-носителями языка и разными уровнями подготовки (от elementary до upper-intermediate).</li> </ul>",https://hh.ru/vacancy/46356778,46356778
Senior Java / Kotlin developer,,,"['Java', 'Kotlin']",6000,,USD,Star-Staff,between3And6,fullDay,2022-08-29T10:19:33+0300,"Мы ищем Senior Java developer для разработки нашего продукта на базе Блокчейн.<br /><br /><strong>Обязанности:</strong> <ul> <li>Обязанности на этой должности включают разработку микросервисов, развернутых на Kubernetes и взаимодействующих с блокчейн, написание тестов;</li> <li>Наш стек: Java, Kotlin, AWS, PostgreSQL, MongoDB, Kafka и микросервисная архитектура;</li> </ul> <strong>Требования:</strong> <ul> <li>5+ лет работы backend программистом;</li> <li>Знание Java/Spring;</li> <li>Опыт разработки приложений на базе микросервисной архитектуры / Kubernetes;</li> </ul> <p><strong>Будет плюсом:</strong></p> <ul> <li>Опыт работы с блокчейн технологиями;</li> <li>Уровень английского: pre-intermediate;</li> </ul> <strong>Условия:</strong> <ul> <li>Заработная плата в $</li> <li>Гибкий график работы;</li> <li>Удаленный формат работы из любой страны (необходимо открытие ИП в любой стране. кроме России и Беларуси)</li> </ul>",https://hh.ru/vacancy/68824237,68824237
Kotlin/Java Developer,Санкт-Петербург,Большая Зеленина улица,"['SQL', 'PostgreSQL', 'Java', 'Linux', 'MongoDB', 'Kotlin', 'Spring']",,,,Just AI,between1And3,fullDay,2022-09-02T12:08:29+0300,"<p><strong>Just AI</strong> одна из лидирующих продуктовых компаний в сфере Conversational AI.</p> <p>Нашими продуктами пользуется около ста крупных российских и ряд международных IT-компаний, телеком-компаний, банков (Yandex, Mail.ru Group, Сбер, МТС, Мегафон, Альфа-банк, HH.ru, Qiwi, BNP Paribas). Наши SAAS платформы и инженерные фреймворки используют более 50 000 разработчиков и малых-средних компаний по всему миру.</p> <p>Наш фокус – технологии понимания естественного языка, инструменты для создания голосовых ассистентов, машинного обучения, speech synthesis and voice cloning и системы управления диалогом, NLU/NLP/DM/ODQA/CDQA.</p> <p>Мы приглашаем вас присоединиться к нашей команде в R&amp;D офис компании в самом сердце Санкт-Петербурга.</p> <p>Сейчас в нашей команде разработки уже больше 70 человек. Мы работаем в кроссфункциональных командах, по Scrum. У нас гора идей, серьезные планы и много работы, поэтому мы расширяем команду и ищем Kotlin/Java разработчиков уровня Middle.</p> <p><strong>Используемый стек технологий: </strong>Java 8/Kotlin, Spring Boot 2, Spring Cloud, PostgreSQL, MongoDB.</p> <p><strong>Ваши будущие задачи:</strong></p> <ul> <li>Развивать наш собственный DSL для разработки сценариев ботов;</li> <li>Дорабатывать функциональность Web IDE и визуального конструктора ботов (в части backend);</li> <li>Интегрироваться с различными мессенджерами, операторскими рабочими местами, ассистентами (сейчас у нас более 15 различных интеграций);</li> <li>Улучшать систему аналитики работы ботов (нашим пользователям нужно в реальном времени строить графики эффективности бота на объёмах текстовых данных порядка 1ТБ);</li> <li>Создавать новые решения для тарификации и биллинга облачных клиентов платформы (интеграция с платёжными системами, контроль лимитов, прозрачное информирование, партнёрская программа);</li> <li>Реализовывать интерактивные шаблоны для создания ботов;</li> <li>Работать над масштабированием и отказоустойчивостью сервисов (Service Discovery, client-side balancing, graceful shutdown).</li> </ul> <p><strong>Наши ожидания:</strong></p> <ul> <li>Использование в работе Java 8/Kotlin, Spring (core, data, mvc, integration, test), JPA от 2 лет;</li> <li>Опыт работы с SQL базами данных;</li> <li>Знание Linux на уровне уверенного пользователя командной строки;</li> <li>Опыт автоматизации, желание и умение внедрять и улучшать процессы CI/CD;</li> <li>Опыт работы с облачной инфраструктурой (Azure, OpenShift, Heroku, Google App Engine) будет плюсом:</li> <li>Интерес к теме AI, готовность изучать и работать над алгоритмами искусственного интеллекта.</li> </ul> <p><strong>Мы предлагаем:</strong></p> <ul> <li> <p>Интересные проекты, возможность быстрой имплементации результатов исследований в продукты;</p> </li> <li> <p>Возможности для профессионального роста и обмена опытом как внутри коллектива, так и в рамках внешнего сотрудничества с нашими партнерами, университетами и сообществами;</p> </li> <li> <p>Участие в научных и прикладных конференциях в России и за рубежом;</p> </li> <li> <p>Возможность согласования индивидуального рабочего графика и дистанционной работы;</p> </li> <li> <p>Официальное оформление по ТК, компенсация больничных и отпусков в 100% размере от текущего оклада;</p> </li> <li> <p>Отличный современный офис с велопарковками, удобными рабочими местами, общими рабочими зонами, фруктами и снеками;</p> </li> <li> <p>Just AI входит в группы IT-компаний i-Free, объединяющей 16 компаний со штатом около 1000 человек – обилие ивентов по обмену опытом, митапов, возможности для горизонтального развития в компаниях группы;</p> </li> <li> <p>Помощь в релокации, в подборе подходящего жилья, релокационный бонус;</p> </li> <li> <p>Неповторимая корпоративная культура Just AI DNA, вечеринки, совместные кинопросмотры и многое другое…</p> </li> </ul>",https://hh.ru/vacancy/69410949,69410949
Android разработчик / Android developer,,,"['Kotlin', 'Android SDK', 'Java', 'Git', 'Android', 'RxJava2', 'Dagger2', 'MVI', 'MVP']",,,,Формат кода,between1And3,fullDay,2022-08-30T14:06:57+0300,"<p>Мы – IT-компания <strong>«Формат кода».</strong><br />Мы занимаемся разработкой информационных сервисов и заказного ПО уже более 20 лет.</p> <p>Наша команда совместно с нашим клиентом ведет проект по созданию мессенджера ― бесплатное и быстрое приложение для общения. Благодаря которому миллионы людей по всему миру остаются на связи с близкими ежедневно. Будьте на связи с друзьями и знакомыми в чатах и звонках.</p> <p>Стань частью большой команды разработчиков!</p> <p><strong>Требования:</strong></p> <ul> <li>Уверенное владение Java/Kotlin и Android SDK;</li> <li>Опыт коммерческой разработки от 2 лет;</li> <li>Знание Android SDK (Activity, Fragments, Services);</li> <li>Знание основ REST, HTTP, XML, JSON;</li> <li>Опыт работы с Android Jetpack, RxJava, Coroutines. Retrofit, Dagger2;</li> <li>Опыт разработки клиент-серверных приложений;</li> <li>Знание архитектурных паттернов (MVP, MVVМ, MVI);</li> <li>Умение работать с многопоточностью;</li> <li>Опыт работы с Git;</li> <li>Умение писать Unit-тесты.</li> </ul> <p><strong>Технологический стек проекта:</strong> java/kotlin, Android, RxJava2, Dagger2, MVI, MVP, Compose, Fresco, Собственная навигация</p> <p><br /><strong>Мы предлагаем:</strong></p> <ul> <li>Большую команду профессиональных и творческих инженеров, которые готовы делиться своим опытом и знаниями;</li> <li>Дотации в случае изменений в семье (свадьба, рождение ребенка и прочее);</li> <li>Компенсационную выплату дистанционным сотрудникам за услуги связи и интернет;</li> <li>Компенсацию оплаты успешно пройденной сертификации (напр., Microsoft, Oracle и пр.);</li> <li>Официальную зарплату и оформление по ТК РФ;</li> <li>Много корпоративных праздников и движух :)</li> </ul>",https://hh.ru/vacancy/68451565,68451565
