name,city,address,key_skills,sal_from,sal_to,currency,company,experience,schedule,published_at,description,alternate_url,id
Android kotlin developer,,,"['Java', 'Kotlin', 'Android SDK', 'Android', 'XML', 'Rx']",,350000,RUR,Enjoypro,between3And6,remote,2022-09-01T13:49:26+0300,"<ul> </ul> <p><strong>EnjoyPRO </strong>– это команда экспертов в области высоких технологий и разработки программного обеспечения.</p> <p><strong>Наши основные направления</strong>: e-commerce, геосервисы, мессенджеры, распознавание образов, автоматизация, телефония и стартапы.</p> <p><strong>Наша команда</strong> - это удаленная команда разработчиков, работающих в разных уголках СНГ.</p> <p><strong>Наши заказчики</strong> - это крупные финансовые, IT, продуктовые компании России.</p> <p><strong><strong>Текущие проекты:</strong></strong></p> <ol> <li>Админка для сотового оператора.</li> <li>Банковское приложение.</li> <li>Корпоративная система управления задачами</li> <li>Коммуникационная платформа для передачи мгновенных сообщений</li> </ol> <p><strong>Чем предстоит заниматься:</strong></p> <ul> <li>Разработка сложных программных продуктов;</li> <li>Поддержка и модернизация существующих решений;</li> <li>Участие в развитии продукта;</li> <li>Участие во всём процессе разработки - от проектирования до запуска;</li> </ul> <p><strong>Что мы от тебя ждем:</strong></p> <ul> <li>Опыт работы от 3-х лет;</li> <li>Уверенное владение Java/Kotlin и Android SDK;</li> <li>Опыт написания клиент-серверных приложений;</li> <li>Version control systems, bug tracking systems .</li> </ul> <p><strong>Почему у нас отлично работать:</strong></p> <ul> <li><strong>Заработная плата ощутимо выше средней по рынку;</strong></li> <li>Амбициозные проекты, интересные с профессиональной точки зрения задачи;</li> <li>Широкий технологический стек;</li> <li>Команда профессионалов;</li> <li>Удаленное сотрудничество с выстроенными процессами;</li> </ul> <p><strong>Ждём тебя в нашей команде!</strong></p>",https://hh.ru/vacancy/69263821,69263821
Senior Java / Kotlin Developer,Санкт-Петербург,улица Профессора Попова,"['Java', 'Spring Framework', 'Back-end', 'Unit Testing']",320000,,RUR,Солантек,moreThan6,remote,2022-09-02T09:01:28+0300,"<p><strong>Solanteq</strong> — компания-разработчик высоконагруженных и распределенных систем для бизнеса платежных карт (МПС МИР, Visa, MasterCard и другие). Наши клиенты — процессинговые компании и банки в России (в том числе из топ-10) и за рубежом.</p> <p>Мы разрабатываем продукты для автоматизации всех областей онлайн платежей от интерфейсов с международными платежными системами, системами быстрых платежей до бухгалтерского учета платежных операций, программ лояльности, кредитования.</p> <p><strong>Задачи:</strong></p> <ul> <li>Разработка новых и развитие существующих бизнес-модулей системы.</li> <li>Проработка технический решений для обеспечения отказоустойчивости и масштабирования системы (в том числе работа в ген-распределенной инфраструктуре).</li> <li>Проработка архитектуры новых модулей системы и решений на базе продуктов компании.</li> <li>Участие в проектах по разработке и внедрению инновационных проектов в финтех области.</li> <li>Курирование младших разработчиков.</li> <li>Внедрение новых технологий и devops практик.</li> </ul> <p><strong>Требования к кандидатам:</strong></p> <ul> <li>Опыт коммерческой разработки back-end на Java от 5 лет.</li> <li>Опыт разработки распределенных систем.</li> <li>Опыт работы с Spring Framework.</li> <li>Опыт работы с *nix системами.</li> <li>Умение читать и понимать чужой код.</li> <li>Умение писать unit-тесты и понимание, зачем это нужно.</li> <li>Умение и желание работать в команде.</li> <li>Интерес к новым фреймворкам и технологиям.</li> <li>Желание разбираться в предметной области.</li> <li>Английский язык желательно.</li> <li>Опыт работы с PostgreSQL, Oracle (или другими классическими базами данных) будет плюсом.</li> </ul> <p><strong>Как всё устроено</strong>:</p> <ul> <li>Кодовая база на Java 11 и Kotlin.</li> <li>Хранение исходных кодов и код ревью в Self-Hosted GitLab.</li> <li>CI/CD на базе TeamCity.</li> <li>Использование AWS для внутренней инфраструктуры.</li> <li>Фреймворки и технологии (поддерживаем актуальные версии): Java 11, Kotlin, Spring, Hibernate, Mockito, PostgreSQL, RabbitMQ, Kafka и так далее.</li> </ul> <p><strong>Условия:</strong></p> <ul> <li>Активная продуктовая разработка и возможность увидеть созданную с Вашим участием систему в проде.</li> <li>Дружелюбная, не бюрократизированная обстановка.</li> <li>Оформление по ТК.</li> <li>Комфортный офис с парковкой в историческом центре Санкт-Петербурга / возможность удаленной работы</li> <li>ДМС и страховка для путешественников.</li> <li>Корпоративные занятия английским и йогой.</li> <li>Обеды, чай/кофе, плюшки и фрукты</li> </ul>",https://hh.ru/vacancy/37524877,37524877
Java/Kotlin Developer,,,"['Java', 'Spring Framework', 'ORACLE', 'PostgreSQL', 'Git', 'Apache Maven', 'Bamboo', 'Atlassian Jira', 'Concurrency', 'AOP', 'JDBC', 'Apache Kafka', 'Mockito', 'Kotlin', 'coroutines']",,,,iFuture,moreThan6,remote,2022-08-30T17:48:18+0300,"<p>Наша компания - разработчик распределенного высоконагруженного софта в сфере спортивной аналитики - ищет к себе в команду людей, желающих работать с <em>узкоспециализированным highload продуктом</em>, работающим 24/7.</p> <p>Сейчас мы ищем опытного Java/Kotlin разработчика в группу <strong>оптимизации и архитектуры. </strong></p> <p>В задачи группы входит выявление проблемных мест в работе системы, создание новых сервисов, разработка технологий, создание средств для мониторинга и детектирования проблем, рефакторинг существующих сервисов для адаптации нового функционала от бизнеса.</p> <p><strong>Стек</strong><strong>:</strong> Java 17, Spring Framework 5, Spring Boot, Kotlin&amp;coroutines, Oracle, kafka, rabbit, hessian, gRPС, Git, Confluence, Jira, многопоточное программирование, микросервисная архитектура.</p> <p><strong>Для нас важно качество создаваемого продукта, поэтому:</strong></p> <ul> <li>вся бизнес-логика покрывается Unit-тестами;</li> <li>все изменения обязательно проходят этап code review;</li> <li>сборки обязательно проходят этап ручного и автоматизированного тестирования командой QA.</li> </ul> <p><strong>У Вас будет возможность:</strong></p> <ul> <li>участвовать в решении интересных, нетривиальных задач и развитии архитектуры проекта;</li> <li>реализовывать сложную бизнес-логику, покрывая ее юнит-тестами;</li> <li>обмениваться знаниями с коллегами посредством code review и анализа задач;</li> <li>получить ценный опыт сопровождения большого высоконагруженного продукта в production среде.</li> </ul> <p><strong>Вы нам подходите, если:</strong></p> <ul> <li>имеете опыт участия в коммерческой разработке ПО от 5 лет;</li> <li>хорошо владеете языком Java (Collections, Concurrency, Generics, Exceptions, I/O и т.д.);</li> <li>имеете опыт работы со Spring Framework (Core, AOP, JDBC + Transaction, Test);</li> <li>обладаете базовыми знаниями SQL;</li> <li>знакомы с системами контроля версий.</li> </ul> <p><strong>Дополнительно приветствуются:</strong></p> <ul> <li>опыт работы с Kotlin;</li> <li>навыки работы с *nix системами на уровне пользователя;</li> <li>уровень владения английским, достаточный для чтения технической документации.</li> </ul> <p><strong>Мы с радостью предложим:</strong></p> <ul> <li>Возможность работать в любом формате - <strong>удаленно (в т.ч. из других городов) </strong>или в <strong>офисе</strong> в 5 мин. ходьбы от ст.м. Старая деревня;</li> <li>Полностью белую, конкурентную зарплату (уровень дохода обсуждаем индивидуально), официальное трудоустройство с первого дня;</li> <li><strong>Гибкий график работы</strong>, присутственные часы с 11 до 17 по Московскому времени, 40-часовая рабочая неделя с выходными в субботу и воскресенье;</li> <li>Корпоративный ДМС + стоматология;</li> <li>Оплату профильного обучения (всегда рады поддержать ваше желание профессионального развития);</li> <li>Компенсацию занятий любым спортом / фитнесом, корпоративные скидки в сеть фитнес клубов;</li> <li>Возможность повышать / поддерживать свой уровень английского с нашим преподавателем (занятия как в офисе, так и онлайн);</li> <li>Ежегодные бонусы по итогам работы;</li> <li>Интересную корпоративную жизнь (даже в пандемию!);</li> <li>Полностью оборудованный комфортный офис (при желании работать из него) в двух шагах от крупных торговых центров и живописного парка на Елагином острове.</li> </ul> <p><strong>iFuture - это:</strong></p> <ul> <li>более 20-ти лет технической экспертизы;</li> <li>сообщество более чем из 300 экспертов в разных областях IT, трудящихся над интересным, уникальным продуктом, ориентированным на международный рынок;</li> <li>офисы разработки iFuture расположены в Санкт-Петербурге и Минске.</li> </ul> <p><em>Мы ценим тех, кто готов усердно трудиться и не боится ответственности. В этом можно убедиться лично, присоединившись к нам!</em></p>",https://hh.ru/vacancy/69144813,69144813
Java разработчик,,,"['Spring Framework', 'Git', 'Java', 'JUnit', 'SQL', 'Работа в команде']",200000,,RUR,NEXTEPIC,between3And6,remote,2022-09-01T09:29:50+0300,"<p>Nextepic - Объединяем профессионалов. Помогаем бизнесу решать ИТ-задачи.</p> <p>Приглашаем разработчиков присоединиться к нашей команде<strong>. </strong><strong>Мы участвуем в разработке ИТ</strong><strong>-решений</strong> в разных сферах: финтех, производство, ритейл и другие.</p> <p><strong>Чем предстоит заниматься:</strong></p> <ul> <li>Декомпозировать и оценивать задачи</li> <li>Заниматься разработкой и рефакторингом микросервисом на Java/Kotlin</li> <li>Покрывать код unit тестами</li> <li>Развертывать микросервисы на тестовой и боевой инфраструктуре</li> <li>Насыщать микросервисы метриками и визуализировать их в Grafana</li> <li>Активно взаимодействовать в команде</li> </ul> <p><strong>Для этого вам потребуется:</strong></p> <ul> <li>Высшее техническое образование</li> <li>Опыт разработки на Java</li> <li>Знание Spring (Data/web/boot/security)</li> <li>Знание Hibernate, Groovy, Git, Gradle, Maven, MQ</li> <li>Опыт разработки высоконагруженных Web Services (SOAP, REST)</li> <li>Работа с Ignate, Rabbit/Kafka</li> <li>Опыт работы с реляционными СУБД (Oracle, PostgreSQL и тд)</li> <li>Хорошее знание SQL</li> <li>Нацеленность на результат и системность в работе</li> <li>Знание основных паттернов проектирования</li> <li>Опыт построения и реализации архитектур для крупных систем</li> <li>Приветствуется опыт работы в банковском Процессинговом центре, знание принципов работы, требований и технологий работы платёжных систем.</li> </ul> <p><strong>Большим полюсом будет:</strong></p> <ul> <li>Понимание основ платформы Kubernetes.</li> </ul> <p><strong>Мы предлагаем:</strong></p> <ul> <li>Профессиональная сильная команда, современные технологии</li> <li>Возможность вносить свой вклад в создание продуктов, которыми пользуются миллионы людей</li> <li>Удаленный формат работы фултайм</li> <li>Гибкое начало рабочего дня</li> <li>Полностью «белую» заработную плату, уровень дохода обсуждается индивидуально.</li> </ul>",https://hh.ru/vacancy/69197294,69197294
Android developer,,,"['Kotlin', 'Android', 'ReactNative']",,,,Самокат (ООО Умное пространство),between3And6,remote,2022-09-01T16:43:27+0300,"<p>Самокат — сервис #1 в России по числу заказов в сфере быстрой доставки.</p> <p>Наша миссия — дарить людям время, которое они могут потратить на свои увлечения и близких. Мы создаем новый слой городской инфраструктуры с доставкой продуктов и товаров для дома за 15 минут.</p> <p>Мы ищем Android разработчика в команду, которая отвечает за процесс исполнения заказов — сборкой, доставкой и координацией этих процессов. Предстоит развивать приложение DarkStore, которое используют сотрудники дарксторов. С помощью него курьеры доставляют заказы, а товароведы принимают товары на склады, сборщики собирают заказы. Наша задача — сделать их работу более простой и эффективной.</p> <p><strong>Чем предстоит заниматься: </strong></p> <ul> <li>работать в небольшой продуктовой кроссфункциональной команде (примерно 10 человек) - backend, frontend/mobile-разработчики и QA,</li> <li>разрабатывать клиентскую логику мобильного приложения;</li> <li>находить лучшие интерфейсные решения вместе с pm-ом, аналитиками и дизайнерами;</li> <li>активно работать с бизнес требованиями по продукту в том числе предлагая свои продуктовые решения,</li> <li>разрабатывать новые функциональные модули и поддерживать существующую функциональность,</li> <li>улучшать код с каждой новой задачей;</li> <li>принимать участие в проработке решений по архитектуре и технологиям приложения;</li> <li>участвовать в принятии технических решений и планировании процесса разработки;</li> <li>участвовать в еженедельных встречах разработчиков (tech talks).</li> </ul> <p><strong>Мы ожидаем от кандидата</strong></p> <ul> <li> <p>опыт разработки под Android не менее трёх лет;</p> </li> <li> <p>отличные знания языка Kotlin, интерес к трендам от JetBrains и Google;</p> </li> <li> <p>понимание многопоточности и асинхронности;</p> </li> <li> <p>знание ООП и шаблонов проектирования, использование в работе принципов Clean architecture;</p> </li> <li> <p>понимание архитектуры MVVM, знание и понимание основных структур данных и алгоритмов;</p> </li> <li> <p>желание и умение писать unit-тесты;</p> </li> <li> <p>желание активно разрабатывать новую функциональность;</p> </li> <li> <p>будет плюсом если есть опыт разработки на ReactNative.</p> </li> </ul> <p><strong>Наш стек</strong></p> <ul> <li> <p>Kotlin;</p> </li> <li> <p>Android SDK(API min 21, target 31);</p> </li> <li> <p>многомодульный Gradle-проект (Kotlin DSL);</p> </li> <li> <p>Android Architecture Components;</p> </li> <li> <p>Kotlin Coroutines;</p> </li> <li> <p>Retrofit, Okhttp;</p> </li> <li> <p>Dagger 2;</p> </li> <li> <p>Room;</p> </li> <li> <p>MVVM, Clean Architecture;</p> </li> <li> <p>Junta, mockk;</p> </li> <li> <p>GitLab CI, App Distribution;</p> </li> <li> <p>Firebase и Huawei сервисы;</p> </li> <li> <p>Sentry, Jira, Confluence.</p> </li> </ul> <p> </p> <p><strong>Предлагаем: </strong></p> <p>Удаленку, корпоративные мероприятия, оформление по ТК РФ, расширенный ДМС и другие замечательные аббревиатуры.</p> <p> </p>",https://hh.ru/vacancy/69218149,69218149
Middle/Middle+ Andriod developer,,,"['Android', 'Kotlin', 'Git', 'Android SDK', 'SOLID', 'Clean Architecture', 'MVP', 'Android Architecture Components', 'Coroutines', 'Dagger 2', 'Hilt', 'RxJava', 'MVVM', 'MVI']",,,,Digital Development One,between3And6,remote,2022-09-01T19:48:06+0300,"<p>Да,<strong> DDOne </strong>- это продуктовый стартап и нет, мы не закроемся через полгода :))<br /><br />⚡️ У нас очень мощное, надежное финансирование и большие возможности.<br /><br />Мы разрабатываем и поддерживаем собственные мобильные приложения для B2B и B2C.</p> <p>Сейчас мы в поиске <strong>Middle/Middle+ Android developer</strong>.</p> Мы ценим интересы наших сотрудников и готовы обеспечить зону профессионального роста. <p>И всё же, кроме гибкости и возможностей роста, стартапность обеспечивает некоторую турбулентность процессов и к этому нужно быть готовым.</p> <p><strong>Задачи:</strong></p> <ul> <li>Разработка и поддержка кодовой базы на Kotlin с использованием последних технологий и подходов</li> <li>Разработка и улучшение архитектуры кодовой базы</li> <li>Участие в code review и практиках android комьюнити</li> <li>Участие в планировании, груминге и декомпозиции фичей, а также в оценке задач</li> <li>Улучшение пользовательского опыта, плотное взаимодействие с продактами, дизайнерами и бэкендерами</li> </ul> <p><strong>Что важно знать:</strong></p> <ul> <li>Опыт коммерческой разработки под Android от 3-х лет;</li> <li>Отличное знание Kotlin и Android SDK;</li> <li>Понимание MVVM/MVI/Clean Architecture, SOLID;</li> <li>Знание и опыт работы с Coroutines или RxJava;</li> <li>Использование DI: Dagger 2 или Hilt;</li> <li>Умение работать с Git, понимание Gitflow.</li> </ul> <p><strong><em>Так же важно:</em></strong></p> <p>Самоорганизация, умение не зацикливаться, умение решать поставленные задачи, умение и желание разбираться в новом.</p> <p><strong>И будет совсем круто, если ты:</strong></p> <ul> <li>писал приложения с нуля;</li> <li>работал с WebSocket;</li> <li>готов показать свой код на GitHub.</li> </ul> <p><strong>Условия:</strong></p> <ul> <li>Работа в продуктовом стартапе с интересными задачами, современным стеком и подходами, в основном, с отсутствием легаси, дружелюбными и открытыми коллегами :)</li> <li>Гибкий график, полностью удаленная работа (неважно когда, главное результат);</li> <li>Минимум созвонов, необходимое обучение за счет компании, адекватные проджекты;</li> <li>Горизонтальный тип управления – у нас нет бюрократии, формальностей и условностей;</li> <li>Конкурентная заработная плата;</li> <li>Оформление по ТК РФ (по желанию: ИП, ГПХ, ТД).</li> </ul>",https://hh.ru/vacancy/69391972,69391972
Разработчик Android / Android Developer,,,"['Java', 'Kotlin', 'Android SDK', 'Android', 'SQL', 'Dagger 2', 'REST API', 'SOLID', 'JSON', 'Design Patterns', 'MVVM', 'MVP', 'Паттерны проектирования']",250000,,RUR,СЗ РЦАИ,between3And6,remote,2022-08-30T15:29:32+0300,"<p>Наш центр является одним из ведущих провайдеров аэронавигационной информации и сопутствующих сервисов в России. Наиболее перспективным направлением в этой области является создание и развитие цифровых сервисов.</p> <p>Для усиления нашей команды, мы ищем тебя, опытного (уровнем не ниже senior) разработчика мобильных приложений под Android, чтобы вместе строить цифровое небо!</p> <p>Присоединившись к нашей команде, ты никогда не будешь смотреть на небо как прежде!</p> <p><strong>Чем предстоит заниматься:</strong></p> <p>Разработка новых мобильных приложений ориентированных на авиационные предприятия. Поддержка мобильных приложений уже внедренных в производственную деятельность.</p> <p><strong>Отлично, если вы:</strong></p> <p>— Имеете опыт коммерческой разработки под Android на Java / Kotlin от 3 лет.<br />— Обладаете глубокими знаниями Android платформы (Activity/Fragment/View lifecycle).<br />— Понимаете модель и принципы взаимодействия клиент-сервер (HTTP, Rest API, JSON, form data). — Понимаете принципы ООП, Design Patterns, SOLID, и умеете применять их на практике.<br />— Работали хотя бы с одним из архитектурных паттернов MVP / MVVM / MVI.<br />— Знаете основы SQL.</p> <p><strong>Наш стек:</strong></p> <p>— 75% Kotlin 25% Java (legacy);<br />— RxJava2;<br />— Realm и Room для работы в офлайне;<br />— Retrofit 2 + RxAdapters + OkHttp + Gson для работы с сетью; — Dagger 2 для DI.</p> <p><strong>Условия:</strong></p> <ul> <li>Официальное оформление, отпуск, больничный и пр. согласно ТК РФ;</li> <li>Уровень заработной платы готовы обсуждать с успешным кандидатом!</li> <li>Работа возможна, как в офисе (г. Санкт-Петербург), так и в удаленном режиме! Локация не имеет значения!</li> <li>Корпоративные занятия по английскому языку (online);</li> <li>Полис ДМС, включая стоматологию (для жителей Санкт-Петербурга и ЛО);</li> <li>График: ПН-ПТ, 8-часовой рабочий день, плавающее начало рабочего дня<br />7:00~10:00;</li> <li>Дружелюбный профессиональный коллектив;</li> <li>Корпоративные мероприятия и индивидуальное внимание;</li> <li>Работа в стремительно развивающейся компании на переднем крае технологий<br />в области аэронавигации;</li> <li>Интересные задачи в нестандартном проекте, в котором хорошо виден ваш<br />личный вклад;</li> </ul>",https://hh.ru/vacancy/68616010,68616010
Android разработчик,,,"['Git', 'Android SDK', 'Android', 'kotlin']",,,,СимбирСофт,between1And3,remote,2022-08-26T09:07:37+0300,"<p>В SimbirSoft более 1300 разработчиков ежедневно решают интересные задачи, которые делают комфортнее жизни миллионов пользователей.</p> <p>Мы занимаемся сервисной разработкой и создаем продукты для ведущих ТОП-10 банков страны, сотрудничаем с Mail.ru, CarPrice, ЦИАН, QIWI, Lamoda, SKB_Lab, Дом.ру многие другие.</p> <p>Если тебе интересны сложные технические задачи, работа в команде профессионалов, возможность прокачать экспертизу на проектах из разных сфер бизнеса – присоединяйся к нам!</p> <p><strong>Кого мы ищем:</strong></p> <ul> <li>опыт разработки мобильных приложений под Android на коммерческом проекте от 2 лет и более;</li> <li>опыт разработки клиент-серверных приложений;</li> <li>опыт разработки на Kotlin;</li> <li>знания основных паттернов проектирования;</li> <li>понимание парадигмы функционального программирования;</li> <li>знание принципов и опыт работы в ООП;</li> <li>знание Android SDK (API lvl &gt; 23),</li> <li>Android Memory Management, Android application architecture,Jetpack; Gradle;</li> <li>знание RxJava; kotlin coroutines;</li> <li>уверенная работа с Git</li> </ul> <p><strong>Взамен мы предлагаем:</strong></p> <ul> <li>работа в крупной компании, в сплочённом коллективе единомышленников;</li> <li>гибкий график работы, который позволяет выспаться;</li> <li>белоснежные условия - оформление по ТК РФ, белая зарплата, отпускные и больничный.</li> <li>возможность работать удаленно из любого города или из офиса в городах присутствия по желанию (Казань, Самара, Димитровоград, Саранск, Краснодар)</li> <li>наличие ментора на период адаптации, выстроенные бизнес-процессы;</li> <li>гибкая система бонусов, которая настраивается под индивидуальные потребности: различные уровни ДМС, абонементы на занятия спортом или помощь в покупке любой техники;</li> <li>бесплатный английский с первого месяца работы;</li> <li> <p>актуальный стек и широкий выбор отечественных проектов (более 130 проектов в работе)</p> </li> <li> <p>возможность прокачивать Hard и Soft-skills: участие в митапах, возможность стать ментором, корпоративная школа «Тим-лидов» и «Архитекторов»</p> </li> <li> <p>Работа над проектом от 6 мес. до нескольких лет (с возможностью смены проекта или стека технологий в рамках компании)</p> </li> <li> <p>возможность прокачаться в разных направлениях: глубже изучить Android, либо стать full-stack разработчиком;;</p> </li> </ul> <p>Будем рады ответить на ваши вопросы и познакомиться!)</p>",https://hh.ru/vacancy/69196325,69196325
Flutter разработчик,Санкт-Петербург,Левашовский проспект,"['iOS', 'Android', 'Flutter', 'REST API']",200000,290000,RUR,Codex Optimus,between1And3,remote,2022-08-31T12:06:47+0300,"<p>Мы c 2007 года занимаемся продуктовой финтех-разработкой и запустили несколько собственных продуктов, в том числе и на европейском рынке. Сейчас наша команда разрабатывает новый цифровой банк для Узбекистана. Этот продукт наш, мы разрабатываем его с нуля. </p> <p>В нашей команде — разработчики с большим опытом в финтехе, высоконагруженных системах и кибербезопасности. С нами комфортно работать и отлично отдыхать!</p> <p>Мы активно расширяемся, поэтому мы в поиске <strong>Flutter-разработчика</strong> к нам в команду<strong>. </strong>Возможен как полностью удалённый, так и гибридный формат работы в Санкт-Петербурге.</p> <p><strong>Стек:</strong></p> <p>- Платформы: Android, iOS;<br />- Архитектура и управление состоянием: Clean Architecture, BLoC, своя реализация универсальных компонентов;<br />- Dependency Injection: Своя реализация, похожая на пакет Kiwi;<br />- Сеть: Dio, своя реализация DioClient, сокеты;<br />- База данных: Hive;<br />- UI: Своя реализация UIKit, своя реализация тем и стилей, Storybook;<br />- Локализация: Intl, IDE plugin;<br />- Пуши: Firebase Messaging, Huawei Push Kit;<br />- Тестирование: test, bloc_test, mockito, mocktail.</p> <p>Tooling: Android Studio, XCode, Fork, Proxyman, HTTP Toolkit, Flipper, Postman, Swagger, Firebase Console, Figma, Miro, CI/CD, собственные скрипты.</p> <p><strong>Опыт:</strong></p> <p>– опыт в коммерческой разработке на Flutter от 1 года;<br />– опыт в коммерческой разработке нативных приложений от 1 года;<br />– опыт разработки клиент-серверных приложений;<br />– понимание принципов разработки;<br />– понимание Clean Architecture и BLoC;<br />– понимание Dependency Injection;<br />– понимание REST API;<br />– опыт тестирования мобильных приложений;<br />– знание английского на уровне чтения технической документации.</p> <p>Плюсом будут навыки работы с Kotlin, Kotlin Multiplatform, Jetpack Compose, SwiftUI, Firebase, Huawei Mobile Services, Camera, Camera2 API, CameraX, AVFoundation, KeyStore, KeyChain, Realm, Android NDK, Java JNI, CoreData, OpenGL, Metal, Vulkan, Unity, Unreal Engine, Ruby, Ruby on Rails, NodeJS, Ktor, Netty, Jetty.</p> <p><strong>У нас:</strong></p> <p>— офис в шаговой доступности от м. Чкаловская или полная удалёнка;<br />— помощь с релокацией в Санкт-Петербург (при желании);<br />— возможность влиять на процессы и инициировать их: руководители всегда готовы к диалогу;<br />— гибкое начало дня: нам не важно, сова ты или жаворонок;<br />— оплачиваемые курсы и конференции;<br />— оплата больничного в полном размере;<br />— мама нашего СТО печет для нас печенье в промышленных масштабах;<br />— рабочая техника на macOS;<br />— оформление по ТК РФ с первого дня работы.</p>",https://hh.ru/vacancy/67115741,67115741
Senior Android developer,,,"['Java', 'Git', 'Android', 'SQL', 'XML']",3000,4000,USD,Jing Technology,moreThan6,remote,2022-09-02T09:43:38+0300,"<strong>Обязанности:</strong> <ul> <li>разработка и дальнейшая поддержка мобильного мессенджера</li> <li>программная реализация бизнес-логики и вспомогательного функционала</li> <li>участие в командной разработке</li> </ul> <strong>Требования:</strong> <ul> <li>уверенное владение Java/Kotlin и Android SDK</li> <li>опыт разработки Android-приложений от 6 лет и выше</li> <li>опыт параллельного и многопоточного программирования</li> <li>опыт работы с RxJava, Android Arch Components, Dagger, DataBinding</li> <li>знание основ REST, HTTP, XML, JSON</li> <li>умение писать SQL запросы</li> <li>опыт работы с Git</li> <li>опыт написания юнит-тестов</li> <li>наличие завершенных приложений, разработанных самостоятельно или в команде разработчиков</li> </ul> <strong>Условия:</strong> <ul> <li>remote, fulltime</li> </ul>",https://hh.ru/vacancy/68713906,68713906
