name,city,address,key_skills,sal_from,sal_to,currency,company,experience,schedule,published_at,description,alternate_url,id
Android kotlin developer,,,"['Java', 'Kotlin', 'Android SDK', 'Android', 'XML', 'Rx']",,350000,RUR,Enjoypro,between3And6,remote,2022-09-01T13:49:26+0300,"<ul> </ul> <p><strong>EnjoyPRO </strong>– это команда экспертов в области высоких технологий и разработки программного обеспечения.</p> <p><strong>Наши основные направления</strong>: e-commerce, геосервисы, мессенджеры, распознавание образов, автоматизация, телефония и стартапы.</p> <p><strong>Наша команда</strong> - это удаленная команда разработчиков, работающих в разных уголках СНГ.</p> <p><strong>Наши заказчики</strong> - это крупные финансовые, IT, продуктовые компании России.</p> <p><strong><strong>Текущие проекты:</strong></strong></p> <ol> <li>Админка для сотового оператора.</li> <li>Банковское приложение.</li> <li>Корпоративная система управления задачами</li> <li>Коммуникационная платформа для передачи мгновенных сообщений</li> </ol> <p><strong>Чем предстоит заниматься:</strong></p> <ul> <li>Разработка сложных программных продуктов;</li> <li>Поддержка и модернизация существующих решений;</li> <li>Участие в развитии продукта;</li> <li>Участие во всём процессе разработки - от проектирования до запуска;</li> </ul> <p><strong>Что мы от тебя ждем:</strong></p> <ul> <li>Опыт работы от 3-х лет;</li> <li>Уверенное владение Java/Kotlin и Android SDK;</li> <li>Опыт написания клиент-серверных приложений;</li> <li>Version control systems, bug tracking systems .</li> </ul> <p><strong>Почему у нас отлично работать:</strong></p> <ul> <li><strong>Заработная плата ощутимо выше средней по рынку;</strong></li> <li>Амбициозные проекты, интересные с профессиональной точки зрения задачи;</li> <li>Широкий технологический стек;</li> <li>Команда профессионалов;</li> <li>Удаленное сотрудничество с выстроенными процессами;</li> </ul> <p><strong>Ждём тебя в нашей команде!</strong></p>",https://hh.ru/vacancy/69263821,69263821
Java / Kotlin Developer,Санкт-Петербург,улица Профессора Попова,"['Java', 'Git', 'Unit Testing', 'Spring Framework']",200000,,RUR,Солантек,between3And6,flexible,2022-08-30T13:45:48+0300,"<p><strong>Solanteq</strong> — компания-разработчик высоконагруженных и распределенных систем для бизнеса платежных карт (МПС МИР, Visa, MasterCard и другие). Наши клиенты — процессинговые компании и банки в России (в том числе из топ-10) и за рубежом.</p> <p>Мы разрабатываем продукты для автоматизации всех областей онлайн платежей от интерфейсов с международными платежными системами, системами быстрых платежей до бухгалтерского учета платежных операций, программ лояльности, кредитования.</p> <p><strong>Задачи:</strong></p> <ul> <li>Разработка новых и развитие существующих продуктов.</li> <li>Участие в проектах по разработке и внедрению инновационных проектов в физтех области.</li> <li>Применение новых технологий и devops практик.</li> </ul> <p><strong>Требования к кандидатам:</strong></p> <ul> <li>Опыт коммерческой разработки back-end на Java/Kotin от 2 лет.</li> <li>Опыт работы с Spring Framework.</li> <li>Умение читать и понимать чужой код.</li> <li>Умение писать unit-тесты и понимание, зачем это нужно.</li> <li>Опыт работы с *nix системами.</li> <li>Желание разбираться в предметной области.</li> <li>Английский язык желательно.</li> <li>Опыт работы с PostgreSQL, Oracle (или другими классическими базами данных) будет плюсом.</li> </ul> <p><strong>Как всё устроено</strong>:</p> <ul> <li>Кодовая база на Java 11 и Kotlin.</li> <li>Хранение исходных кодов и код ревью в Self-Hosted GitLab.</li> <li>CI/CD на базе TeamCity.</li> <li>Использование AWS для внутренней инфраструктуры.</li> <li>Фреймворки и технологии (поддерживаем актуальные версии): Java 11, Kotlin, Spring, Hibernate, Mockito, PostgreSQL, RabbitMQ, Kafka и так далее.</li> </ul> <p><strong>Условия:</strong></p> <ul> <li>Активная продуктовая разработка и возможность увидеть созданную с Вашим участием систему в проде.</li> <li>Дружелюбная, не бюрократизированная обстановка.</li> <li>Оформление по ТК.</li> <li>Комфортный офис с парковкой в историческом центре Санкт-Петербурга / возможность удаленной работы</li> <li>ДМС и страховка для путешественников.</li> <li>Корпоративные занятия английским и йогой.</li> <li>Обеды, чай/кофе, плюшки и фрукты.</li> </ul>",https://hh.ru/vacancy/23473091,23473091
Kotlin developer,Санкт-Петербург,Малоохтинский проспект,"['kotlin', 'Spring Framework', 'JUnit', 'Mockito', 'Spring Boot', 'Spring']",,400000,RUR,ЛИПТ Софт,between3And6,fullDay,2022-09-02T10:54:54+0300,"<p>Липтсофт - генеральный it-партнер банка &quot;Санкт-Петербург&quot;. Мы автономная компания с быстрыми процессами и уютной атмосферой.</p> <p>Сейчас расширяем команду разработки интернет-банкинга. Мы практикуем экстремальное программирование, TDD и всегда открыты к интересным и целесообразным техническим экспериментам.</p> <p><strong>Можно работать из офиса в Санкт-Петербурге или удаленно. Оплачиваем релокацию для желающих переехать.</strong></p> <p><strong>Что предстоит делать:</strong></p> <ul> <li>Проектировать и создавать микросервисы, решающие бизнес-задачи банка;</li> <li>Развивать собственную инфраструктуру для поддержания отказоустойчивости и мониторинга внутренних компонентов.</li> </ul> <p><strong>Что для нас важно:</strong></p> <ul> <li>Опыт разработки на Java/Kotlin от 3-х лет;</li> <li>Опыт в написании тестов и желание их писать;</li> </ul> <p><strong>Стек:</strong></p> <ul> <li>kotlin</li> <li>spring boot (2.5.12+)</li> <li>webflux (reactor)</li> <li>redis</li> <li>junit/mockito</li> </ul> <p><strong>Что у нас интересного:</strong></p> <ul> <li>Официальное оформление и белая ЗП в рынке;</li> <li>Начало рабочего дня с 9 до 11 утра;</li> <li>ДМС со стоматологией, ежегодным чекапом и возможностью подключить родственников по корпоративным тарифам со старта работы;</li> <li>Участие в конференциях, профильные курсы;</li> <li>Мы проводим практики и стажировки со студентами профильных вузов, есть возможность попробовать себя в качестве ментора;</li> <li>Уютный офис, оборудованный всем необходимым для комфортной работы и отдыха - в том числе хамелеонами и рыбками, спешелти-кофе и Плейстейшн 5;</li> <li>Компенсация занятий спортом;</li> <li>Бесплатные курсы английского - с мини-группами, преподавателями-носителями языка и разными уровнями подготовки (от elementary до upper-intermediate).</li> </ul>",https://hh.ru/vacancy/68888450,68888450
Backend Developer (Kotlin/Java),,,"['Java', 'Kotlin', 'Kubernetes', 'Kafka', 'Grafana']",,,,Самокат (ООО Умное пространство),between3And6,fullDay,2022-09-01T12:42:31+0300,"<p><strong>Самокат</strong> — <strong>сервис #1</strong> в России по числу заказов в сфере быстрой доставки.</p> <p>Наша миссия — дарить людям время, которое они могут потратить на свои увлечения и близких. Мы создаем новый слой городской инфраструктуры с доставкой продуктов и товаров для дома за 15 минут.</p> <p>Наша инженерная команда строит высоконагруженную систему с распределенной архитектурой для управления всей цепочкой операций в near real-time.</p> <p>Наша главная ценность – время. Поэтому быстро и по делу:</p> <p><strong>Мы ищем </strong><strong>Java</strong><strong>/</strong><strong>Kotlin</strong><strong>-инженера не ниже Middle + для продуктовой разработки в командах 10-12 человек.</strong></p> <p><strong>Наш стек:</strong></p> <ul> <li>Сервисы на Kotlin с использованием Spring framework;</li> <li>Хранение данных в Postgres/Hazelcast;</li> <li>Kafka для обмена сообщениями;</li> <li>Kubernetes и GitLab для CI/CD;</li> <li>Grafana и Prometheus, EFK для организации мониторинга.</li> </ul> <p>Мы заботимся о своих сотрудниках, поэтому создаем максимально комфортные условия для реализации профессиональных амбиций:</p> <ul> <li>Официальное трудоустройство, белая зарплата;</li> <li>Удобный формат работы (в офисе или удаленно);</li> <li>ДМС со стоматологией после испытательного срока;</li> <li>Возможность участвовать в профильных конференциях в качестве спикера или участника. В этом году мы уже приняли участие в Highload, DUMP, CodeFest и др.;</li> <li>Командообразующие мероприятия - дни рождения команд, митапы, презентации, неформальные встречи.</li> </ul> <p><strong>Наш фокус это:</strong></p> <ul> <li>Работа в крутом проекте, востребованность которого уже очевидна и будет только увеличиваться;</li> <li>Пул задач, у которых нет тривиальных решений;</li> <li>Профессиональная команда, в которой ты сможешь реализовать свой потенциал.</li> </ul> <p>Если ты хочешь развивать продукт, который делает жизнь людей лучше и комфортнее – WELCOME!</p>",https://hh.ru/vacancy/68512757,68512757
Java разработчик,,,"['Spring Framework', 'Git', 'Java', 'JUnit', 'SQL', 'Работа в команде']",200000,,RUR,NEXTEPIC,between3And6,remote,2022-09-01T09:29:50+0300,"<p>Nextepic - Объединяем профессионалов. Помогаем бизнесу решать ИТ-задачи.</p> <p>Приглашаем разработчиков присоединиться к нашей команде<strong>. </strong><strong>Мы участвуем в разработке ИТ</strong><strong>-решений</strong> в разных сферах: финтех, производство, ритейл и другие.</p> <p><strong>Чем предстоит заниматься:</strong></p> <ul> <li>Декомпозировать и оценивать задачи</li> <li>Заниматься разработкой и рефакторингом микросервисом на Java/Kotlin</li> <li>Покрывать код unit тестами</li> <li>Развертывать микросервисы на тестовой и боевой инфраструктуре</li> <li>Насыщать микросервисы метриками и визуализировать их в Grafana</li> <li>Активно взаимодействовать в команде</li> </ul> <p><strong>Для этого вам потребуется:</strong></p> <ul> <li>Высшее техническое образование</li> <li>Опыт разработки на Java</li> <li>Знание Spring (Data/web/boot/security)</li> <li>Знание Hibernate, Groovy, Git, Gradle, Maven, MQ</li> <li>Опыт разработки высоконагруженных Web Services (SOAP, REST)</li> <li>Работа с Ignate, Rabbit/Kafka</li> <li>Опыт работы с реляционными СУБД (Oracle, PostgreSQL и тд)</li> <li>Хорошее знание SQL</li> <li>Нацеленность на результат и системность в работе</li> <li>Знание основных паттернов проектирования</li> <li>Опыт построения и реализации архитектур для крупных систем</li> <li>Приветствуется опыт работы в банковском Процессинговом центре, знание принципов работы, требований и технологий работы платёжных систем.</li> </ul> <p><strong>Большим полюсом будет:</strong></p> <ul> <li>Понимание основ платформы Kubernetes.</li> </ul> <p><strong>Мы предлагаем:</strong></p> <ul> <li>Профессиональная сильная команда, современные технологии</li> <li>Возможность вносить свой вклад в создание продуктов, которыми пользуются миллионы людей</li> <li>Удаленный формат работы фултайм</li> <li>Гибкое начало рабочего дня</li> <li>Полностью «белую» заработную плату, уровень дохода обсуждается индивидуально.</li> </ul>",https://hh.ru/vacancy/69197294,69197294
Java Backend Developer,,,[],,,,Lesta Games,between3And6,fullDay,2022-09-01T13:11:35+0300,"<p>Мы в <strong>Lesta Studio</strong>, помимо флагманской игры World of Warships, ведем разработку новых игровых проектов в различных жанрах и для разных платформ, а также экспериментируем с инструментами и технологиями. Одна из команд в нашей студии занимается разработкой <strong> </strong><strong>нового кросс-платформенного ММО шутера</strong><strong> </strong>в Sci-Fi сеттинге, в разработке которого используются движок Unreal Engine 4, Java и С++.</p> <p>У нас амбициозные планы по дальнейшему развитию проекта, с чем нам может помочь <strong> </strong><strong>Java Backend Developer</strong>.</p> <p> </p> <p><strong>Чем предстоит заниматься:</strong></p> <ul> <li> <p>Разработка высоконагруженных сервисов для многопользовательской сессионной игры на Kotlin и Java (матч-мейкинг, кланы, инвентарь, крафтинг и т.п.);</p> </li> <li> <p>Участие в проектировании распределенной отказоустойчивой системы, способной справляться с большим количеством пользователей;</p> </li> <li> <p>Ревью кода других разработчиков;</p> </li> <li> <p>Рефакторинг имеющегося кода для сохранения его простоты и сопровождаемости;</p> </li> <li> <p>Участие в анализе бизнес требований и формировании бэклога;</p> </li> </ul> <p><strong>Из плюшек:</strong></p> <ul> <li> <p>Очень мало легаси (а то, что есть - совсем не древнее);</p> </li> <li> <p>Возможность предлагать свои решения и подходы (если сможете обосновать предложение);</p> </li> <li> <p>Рады делиться своим опытом и перенимать ваш;</p> </li> </ul> <p> </p> <p><strong>Что для нас важно:</strong></p> <ul> <li> <p>Хорошее знание и опыт программирования на Java и/или Kotlin;</p> </li> <li> <p>Представление как строятся распределенные системы;</p> </li> <li> <p>Умение писать простой и качественный код;</p> </li> <li> <p>Заинтересованность в постоянном самосовершенствовании и изучении нового;</p> </li> <li> <p>Умение работать в команде;</p> </li> </ul> <p><strong>Приветствуется:</strong></p> <ul> <li> <p>Умение или желание научится писать тестируемый код;</p> </li> <li> <p>Увлеченность играми, опыт игры в разные жанры и на разных платформах, понимание игровой индустрии в целом;</p> </li> </ul> <p> </p> <p><strong>Что предлагаем:</strong></p> <ul> <li> <p>Работу в аккредитованной IT – компании.</p> </li> <li>Работу в офисе в г. Санкт-Петербург. Мы поможем вам в релокации (проживание в корп.квартире, релокационный бонус).</li> <li>Расширенный полис ДМС.</li> <li>Спортзал и душевые в офисе, компенсация большей части стоимости годового абонемента сети спортклубов.</li> <li>Обучение: уроки английского языка в офисе; внутренние и внешние конференции, тренинги.</li> <li>Бесплатные завтраки и ужины, компенсация обедов.</li> <li>Релакс-зоны с массажными креслами Yamaguchi и топовыми кофемашинами.</li> <li>Мы тестируем наши продукты в игровых с мощным железом и приставками. Но если хотите размяться в офлайне, у нас есть настольный теннис, хоккей, баскетбол и кикер.</li> <li>Work-life balance: начало работы - с 9 до 10, окончание - с 18 до 19.</li> </ul> <p> </p> <p> </p>",https://hh.ru/vacancy/55373690,55373690
Senior Java/Kotlin developer,Санкт-Петербург,Малоохтинский проспект,"['Java', 'JavaScript', 'kotlin']",,400000,RUR,ЛИПТ Софт,between3And6,fullDay,2022-08-30T11:54:27+0300,"<p>Липтсофт - генеральный it-партнер банка &quot;Санкт-Петербург&quot;. Мы автономная компания с быстрыми процессами и уютной атмосферой.</p> <p>Сейчас расширяем команду разработки интернет-банкинга. Мы практикуем экстремальное программирование, TDD и всегда открыты к интересным и целесообразным техническим экспериментам.</p> <p><strong>Можно работать из офиса в Санкт-Петербурге или удаленно. Оплачиваем релокацию для желающих переехать.</strong></p> <p><strong>Что предстоит делать:</strong></p> <ul> <li>Проектировать и создавать микросервисы, решающие бизнес-задачи банка;</li> <li>Развивать собственную инфраструктуру для поддержания отказоустойчивости и мониторинга внутренних компонентов.</li> </ul> <p><strong>Что для нас важно:</strong></p> <ul> <li>Опыт разработки на Java/Kotlin от 3-х лет;</li> <li>Отсутствие аллергии на фронт, так как 15-20% рабочих задач будут именно фронтовыми;</li> <li>Опыт в написании тестов и желание их писать;</li> <li>Уверенное владение SQL.</li> </ul> <p><strong>Стек:</strong></p> <p>Осталась часть монолита, который мы поддерживаем:</p> <ul> <li>JS с jQuery</li> <li>Java 14 (Play framework)</li> </ul> <p>Микросервисы, которых все больше и больше:</p> <ul> <li>Kotlin (Ktor)</li> </ul> <p>Тестирование:</p> <p>JUnit, Mockito, Karma, Jasmine, Selenide</p> <p><strong>Что у нас интересного:</strong></p> <ul> <li>Официальное оформление и белая ЗП в рынке;</li> <li>Начало рабочего дня с 9 до 11 утра;</li> <li>ДМС со стоматологией, ежегодным чекапом и возможностью подключить родственников по корпоративным тарифам со старта работы;</li> <li>Участие в конференциях, профильные курсы;</li> <li>Мы проводим практики и стажировки со студентами профильных вузов, есть возможность попробовать себя в качестве ментора;</li> <li>Уютный офис, оборудованный всем необходимым для комфортной работы и отдыха - в том числе хамелеонами и рыбками, спешелти-кофе и Плейстейшн 5;</li> <li>Компенсация занятий спортом;</li> <li>Бесплатные курсы английского - с мини-группами, преподавателями-носителями языка и разными уровнями подготовки (от elementary до upper-intermediate).</li> </ul>",https://hh.ru/vacancy/46356778,46356778
Senior Java / Kotlin developer,,,"['Java', 'Kotlin']",6000,,USD,Star-Staff,between3And6,fullDay,2022-08-29T10:19:33+0300,"Мы ищем Senior Java developer для разработки нашего продукта на базе Блокчейн.<br /><br /><strong>Обязанности:</strong> <ul> <li>Обязанности на этой должности включают разработку микросервисов, развернутых на Kubernetes и взаимодействующих с блокчейн, написание тестов;</li> <li>Наш стек: Java, Kotlin, AWS, PostgreSQL, MongoDB, Kafka и микросервисная архитектура;</li> </ul> <strong>Требования:</strong> <ul> <li>5+ лет работы backend программистом;</li> <li>Знание Java/Spring;</li> <li>Опыт разработки приложений на базе микросервисной архитектуры / Kubernetes;</li> </ul> <p><strong>Будет плюсом:</strong></p> <ul> <li>Опыт работы с блокчейн технологиями;</li> <li>Уровень английского: pre-intermediate;</li> </ul> <strong>Условия:</strong> <ul> <li>Заработная плата в $</li> <li>Гибкий график работы;</li> <li>Удаленный формат работы из любой страны (необходимо открытие ИП в любой стране. кроме России и Беларуси)</li> </ul>",https://hh.ru/vacancy/68824237,68824237
Middle/Senior Android developer (GameDev),,,"['Kotlin', 'Android', 'Java']",,,,Силиз,between3And6,fullDay,2022-08-30T16:29:49+0300,"<p> </p> <p>Ciliz – компания-разработчик игр для социальных сетей и мобильных устройств. В продукты играет более 1.000.000 пользователей каждый день.</p> <p>В нашу команду требуется <strong>Android developer (Kotlin)</strong> на основной продукт нашей компании.<br /><br />Стек: Kotlin, LibGDX для игры + Android Views для диалогов</p> <p><strong>Основные задачи:</strong></p> <ul> <li>развитие Android-версии основного продукта компании с многомилионной аудиторией;</li> <li>в дальнейшем переход на TypeScript и Cocos Creator.</li> </ul> <p><strong>Что мы ожидаем от вас:</strong></p> <ul> <li>отличные знания и опыт разработки на Android;</li> <li>опыт разработки на Kotlin;</li> <li>навыки хорошей архитектуры кода;</li> <li>отличное знание ООП и структур данных;</li> <li><strong>4+ года опыта</strong> разработчиком, желателен опыт разработки игр или программирования графики;</li> <li>умение работать самостоятельно.</li> </ul> <p><strong>Плюсом будет опыт работы с: </strong></p> <ul> <li>LibGDX или какими-либо другими игровыми библиотеками;</li> <li>JavaScript/TypeScript;</li> <li>Сocos Сreator.</li> </ul> <p><strong>Мы предлагаем:</strong></p> <ul> <li> <p>официальную конкурентную заработную плату;</p> </li> <li> <p>ДМС после прохождения испытательного срока;</p> </li> <li> <p>корпоративное изучение английского;</p> </li> <li> <p>классные корпоративные мероприятия;</p> </li> <li> <p>комфортный офис. рабочее место с iMac 27&quot;, креслом Herman Miller и столом-трансформером, кофе/чай, печеньки, фрукты в офисе;</p> </li> <li> <p>гибридный график работы (возможно совмещение работы в офисе и из дома).</p> </li> </ul>",https://hh.ru/vacancy/69311996,69311996
Android developer,,,"['Kotlin', 'Android', 'ReactNative']",,,,Самокат (ООО Умное пространство),between3And6,remote,2022-09-01T16:43:27+0300,"<p>Самокат — сервис #1 в России по числу заказов в сфере быстрой доставки.</p> <p>Наша миссия — дарить людям время, которое они могут потратить на свои увлечения и близких. Мы создаем новый слой городской инфраструктуры с доставкой продуктов и товаров для дома за 15 минут.</p> <p>Мы ищем Android разработчика в команду, которая отвечает за процесс исполнения заказов — сборкой, доставкой и координацией этих процессов. Предстоит развивать приложение DarkStore, которое используют сотрудники дарксторов. С помощью него курьеры доставляют заказы, а товароведы принимают товары на склады, сборщики собирают заказы. Наша задача — сделать их работу более простой и эффективной.</p> <p><strong>Чем предстоит заниматься: </strong></p> <ul> <li>работать в небольшой продуктовой кроссфункциональной команде (примерно 10 человек) - backend, frontend/mobile-разработчики и QA,</li> <li>разрабатывать клиентскую логику мобильного приложения;</li> <li>находить лучшие интерфейсные решения вместе с pm-ом, аналитиками и дизайнерами;</li> <li>активно работать с бизнес требованиями по продукту в том числе предлагая свои продуктовые решения,</li> <li>разрабатывать новые функциональные модули и поддерживать существующую функциональность,</li> <li>улучшать код с каждой новой задачей;</li> <li>принимать участие в проработке решений по архитектуре и технологиям приложения;</li> <li>участвовать в принятии технических решений и планировании процесса разработки;</li> <li>участвовать в еженедельных встречах разработчиков (tech talks).</li> </ul> <p><strong>Мы ожидаем от кандидата</strong></p> <ul> <li> <p>опыт разработки под Android не менее трёх лет;</p> </li> <li> <p>отличные знания языка Kotlin, интерес к трендам от JetBrains и Google;</p> </li> <li> <p>понимание многопоточности и асинхронности;</p> </li> <li> <p>знание ООП и шаблонов проектирования, использование в работе принципов Clean architecture;</p> </li> <li> <p>понимание архитектуры MVVM, знание и понимание основных структур данных и алгоритмов;</p> </li> <li> <p>желание и умение писать unit-тесты;</p> </li> <li> <p>желание активно разрабатывать новую функциональность;</p> </li> <li> <p>будет плюсом если есть опыт разработки на ReactNative.</p> </li> </ul> <p><strong>Наш стек</strong></p> <ul> <li> <p>Kotlin;</p> </li> <li> <p>Android SDK(API min 21, target 31);</p> </li> <li> <p>многомодульный Gradle-проект (Kotlin DSL);</p> </li> <li> <p>Android Architecture Components;</p> </li> <li> <p>Kotlin Coroutines;</p> </li> <li> <p>Retrofit, Okhttp;</p> </li> <li> <p>Dagger 2;</p> </li> <li> <p>Room;</p> </li> <li> <p>MVVM, Clean Architecture;</p> </li> <li> <p>Junta, mockk;</p> </li> <li> <p>GitLab CI, App Distribution;</p> </li> <li> <p>Firebase и Huawei сервисы;</p> </li> <li> <p>Sentry, Jira, Confluence.</p> </li> </ul> <p> </p> <p><strong>Предлагаем: </strong></p> <p>Удаленку, корпоративные мероприятия, оформление по ТК РФ, расширенный ДМС и другие замечательные аббревиатуры.</p> <p> </p>",https://hh.ru/vacancy/69218149,69218149
