name,city,address,key_skills,sal_from,sal_to,currency,company,experience,schedule,published_at,description,alternate_url,id
Python разработчик,Санкт-Петербург,8-я линия Васильевского острова,"['Python', 'Django Framework', 'PostgreSQL', 'RabbitMQ', 'Celery']",120000,230000,RUR,Coding Team,between3And6,flexible,2022-08-30T17:06:56+0300,"<p><strong>Coding Team</strong> − IT компания, разрабатывающая решения в области веба, мобильных приложений, высоконагруженных систем и автоматизации бизнеса. Работаем как с крупными заказчиками в e-commerce, ритейле, финтехе, так и со стартапами.</p> <p> </p> <p><strong>Чем предстоит заниматься:</strong></p> <ul> <li>создавать новые сервисы, участвовать в проектировании и реализации архитектурных решений;</li> <li>реализовывать модули взаимодействия между сервисами, приложениями и серверами;</li> <li>участвовать в код-ревью;</li> <li>работать в команде над сложными и интересными задачами;</li> </ul> <strong>Требования:</strong> <ul> <li>опыт коммерческой разработки от 2 лет</li> <li>уверенные знания Python, Django/DRF;</li> <li>опыт создания и проектирования сервисов/серверных приложений и web-сервисов;</li> <li>опыт работы с реляционными СУБД (PostgreSQL) как через ORM, так и “руками”;</li> <li>опыт работы с RabbitMQ или другими очередями;</li> <li>умение писать понятный и простой код, разбираться и работать с чужим кодом;</li> <li>глубокое понимание принципов ООП и умение использовать их на практике.</li> </ul> <strong>Условия:</strong> <ul> <li>интересные и сложные задачи, быстрый рост как разработчика;</li> <li>отсутствие legacy;</li> <li>гибкий подход к месту и графику работы, наш офис находится в сердце Петербурга на Петроградской, но можно работать и удаленно;</li> <li>оформление на выбор: ТК/ИП/самозанятость;</li> <li>зарплатная вилка от 120.000 до 230.000 на руки;</li> <li>возможность проходить обучение, повышать квалификацию;</li> <li>внутренние митапы, участие в профильных мероприятиях.</li> <li><strong><em>Если Вы хотите расти и развиваться вместе с нами-оставляйте свой отклик и уже завтра Вы можете стать частью нашей команды!</em></strong></li> </ul>",https://hh.ru/vacancy/68535663,68535663
Senior Python Developer (+django),,,"['Git', 'Английский язык', 'Python', 'Django Framework']",4000,,USD,Фин Дизайн,between3And6,flexible,2022-08-31T01:54:21+0300,"<p>От создателей AgileFusion (больше 10 лет на рынке Санкт-Петербурга) и стартапа BankingON.</p> <p>Американская компания FinDesign, в связи с расширением офиса в Санкт-Петербурге и расширением R&amp;D команды, приглашает талантливых программистов присоединится к нам.</p> <p>В настоящее время у нас открыта новая позиция для senior python разработчика c опытом django.</p> <p>Чем мы занимаемся? Мы создаем внутренние продукты для одной известной &quot;фруктовой&quot; компании. Помогаем нескольким стартапам завоевать мир</p> <p><strong>Требования:</strong></p> <ul> <li> <p>python;</p> </li> <li> <p>django</p> </li> <li> <p>Опыт работы с legacy. Опыт &quot;распиливания&quot; монолита. Опыт разработки микросервисов;</p> </li> <li> <p>postgresql/mysql опыт работы с базами;</p> </li> <li> <p>Git flow, Code Review, etc;</p> </li> <li> <p>Английский язык на уровне, достаточном для переписки и участия в стэндап созвонах с англоязычными коллегами;</p> </li> </ul> <p><strong>Желательно:</strong></p> <ul> <li> <p>Разговорный английский;</p> </li> </ul> <p><strong>Мы предлагаем:</strong></p> <ul> <li> <p>Мы работаем с #1 компанией в мире, но не только;</p> </li> <li> <p>Гибкий график работы;</p> </li> <li> <p>Возможностью работать удаленно;</p> </li> <li> <p><strong>Возможна частичная занятость</strong></p> </li> <li> <p>100% оплачиваемые больничные, отпуск 28 календарных дней;</p> </li> <li> <p>Премиальная система;</p> </li> <li> <p>Офис в БЦ класса A+;</p> </li> <li> <p>Парковка;</p> </li> <li> <p>Просторный светлый офис с отличным видом, оборудованной кухней.</p> </li> </ul>",https://hh.ru/vacancy/68944525,68944525
Python developer,Санкт-Петербург,Щербаков переулок,"['Python', 'Node.js', 'PostgreSQL', 'Redis', 'Django Framework']",,,,TradingView,between1And3,flexible,2022-08-29T17:23:19+0300,"<p>Привет! Меня зовут Александр и я возглавляю Python команду в компании TradingView.<br />Python в нашем проекте используется как основной язык для бекенда, который обслуживает веб часть нашего приложения.<br />Совместно с ним используется Node.JS для некоторых микросервисов. В качестве хранилищ мы используем PostgreSQL, Redis, Sphinx, ElasticSearch, Amazon Redshift. Остальные технологии это *nginx, varnish, pushstream, RabbitMQ, Docker, и много других ништяков.</p> <p><strong>Чем придется заниматься:</strong><br />— разрабатывать новый функционал и интегрировать в существующие сервисы;<br />— проектировать и реализовывать новые сервисы;<br />— совершенствовать существующие решения и выделять отдельные микросервисы.</p> <p><strong>Мы рассчитываем, что у вас есть:</strong><br />— опыт разработки на Python от 2 лет;<br />— знание алгоритмов и структур данных;<br />— знание Django и DRF;<br />— опыт проектирования и выбора инструментов для решения задачи;<br />— широкий кругозор в современных серверных веб технологиях;<br />— общее понимание принципов работы современных технологий: баз данных разных типов, месседжинга, стриминга данных.</p> <p><strong>Будет плюсом:</strong><br />— опыт проектирования и разработки высоконагруженных, отказоустойчивых сервисов;<br />— знания Unix систем, особенностей работы ОС и сетей;<br />— понимание фронтенд технологий (JS, TS, React) или NodeJS, Go;<br />— опыт в мониторинге продакшен систем.</p> <p><strong>Мы готовы предложить:</strong></p> <ul> <li>Сложные и интересные задачи.</li> <li>Конкурентоспособную белую зарплату.</li> <li>Возможность удаленной работы.</li> <li>Оформление по ТК РФ с первого дня работы.</li> <li>Компенсацию оплаты питания в более чем 20-и ресторанах и кафе на выбор в пешей доступности от офиса.</li> <li>ДМС.</li> <li>Возможность обучения внутри компании, участие в митапах и конференциях.</li> <li>Компенсацию изучения иностранных языков.</li> <li>Гибкий график и учет вашего биоритма.</li> <li>Продвинутый офис в историческом центре города (м. Достоевская/Владимирская).</li> <li>Помощь в релокации.</li> </ul> <p><strong>T</strong><strong>radingView </strong>– это высоконагруженная аналитическая платформа и социальная сеть, которую используют миллионы инвесторов и трейдеров из более чем 100 стран. Мы предоставляем доступ к данным со 100+ торговых площадок по всему миру.</p> <p>Наши технологии используют более 40 000 компаний по всему миру, среди них –Investing.com, SeekingAlpha, Лента, Тинькофф, Чикагская и Бразильская биржи. Сегодня мы входим в топ 100 крупнейших сайтов мира по версии Alexa.com.</p> <p>1 000 000 одновременных клиентских сессий, сотни серверов в 10+ дата-центрах, 22 локальные версии и более 30 миллионов активных пользователей в месяц.</p>",https://hh.ru/vacancy/52631785,52631785
Senior Python Developer,Санкт-Петербург,Выборгская набережная,"['Python', 'Scrum']",220000,,RUR,ATI.SU,between3And6,flexible,2022-09-01T16:56:36+0300,"<p><strong>О команде</strong></p> <p>Мы ищем человека, готового стать частью бодрой и самобытной кросс-функциональной команды и разделяющего наши принципы:</p> <ul> <li> <p>Task/Result-oriented - не считаем рабочие часы, нам важен результат;</p> </li> <li> <p>People-oriented - здоровая атмосфера и люди для нас важнее процессов и регламентов;</p> </li> <li> <p>Не усложняем. Стараемся использовать рабочее время рационально, не отвлекаясь на бесконечные собрания, если в этом нет необходимости;</p> </li> <li> <p>Открытость. Стараемся доносить друг другу обратную связь и открыто обсуждать проблемы на ретроспективах;</p> </li> <li> <p>Используем Scrum/SAFE/OKR в качестве рабочих фреймворков;</p> </li> <li> <p>Считаем, что общие интересы и увлечения прямо влияют на атмосферу в команде и, как следствие, на продуктивность.</p> </li> </ul> <p>Нас не очень много: 4 разработчика, 2 тестировщика, тимлид и продакт, но, благодаря четким процессам и слаженности, этого хватает для поддержки и развития наших продуктов.</p> <p><strong>Требования</strong></p> <ul> <li> <p>Близкое знакомство с unix-based ОС;</p> </li> <li> <p>Уверенное владение python (3.6+) и базовыми фреймворками;</p> </li> <li> <p>Навык проектирования и разработки бэкенда;</p> </li> <li> <p>Понимание принципов REST;</p> </li> <li> <p>Стремление писать чистый поддерживаемый код.</p> </li> </ul> <p><strong>Будет круто, если ты:</strong></p> <ul> <li> <p>Имеешь огромное желание и способности к бесконечной оптимизации;</p> </li> <li> <p>Готов не ограничиваться написанием кода, но временами прикасаться к инфраструктуре;</p> </li> <li> <p>Любишь исследовать и погружаться в бизнес-логику;</p> </li> <li> <p>Умеешь проектировать и схематизировать, умеешь декомпозировать задачи;</p> </li> <li> <p>Любишь писать тесты.</p> </li> </ul> <p><strong>Технический стэк:</strong></p> <ul> <li> <p>OS - Ubuntu 18.04/20.04;</p> </li> <li> <p>Backend - Python, Flask, Falcon, FastAPI;</p> </li> <li> <p>Frontend - JS, Webpack, React, Redux;</p> </li> <li> <p>Storage - Mongo, Riak, Elasticsearch, Redis;</p> </li> <li> <p>CI/CD - Docker, Gitlab-ci, Ansible;</p> </li> <li> <p>Queues - RabbitMQ, Celery, Flower, RQ;</p> </li> <li> <p>Monitoring - Sentry, Graylog, Prometheus, Grafana;</p> </li> <li> <p>Analytics - Yandex.metrika, Amplitude;</p> </li> <li> <p>Other - Nginx, OpenSSL, Consul, Swagger.</p> </li> </ul> <p><strong>О проектах</strong></p> <p>Прими участие в разработке следующих продуктов:</p> <ul> <li> <p>Система электронного документооборота. Продукт, созданный для того, чтобы избавить участников отрасли от головной боли, связанной с бумажными документами. Мощный монолит, тесно интегрированный с основной экосистемой и обрастающий своими микросервисами;</p> </li> <li> <p>Мессенджер с поддержкой групповых чатов и множеством функциональных интеграций;</p> </li> <li> <p>Файловое хранилище. Сервис для работы с файлами, использующимися в разных частях сайта: аватарки, превьюшки, документы и т.д.</p> </li> </ul> <p>И это только начало, тебя ждет целый ряд более простых интеграционных проектов, некоторые из которых родились на хакатонах или просто так по фану, потому что можем. Мы постоянно учимся новому и стараемся быть независимыми в плане технологий и инструментов, поэтому самостоятельно поддерживаем и улучшаем инфраструктуру, собираем метрики, изучаем новые инструменты и подходы. Спектр задач довольно широкий, и, что самое главное, почти всегда есть выбор.</p> <p><strong>Мы предлагаем тебе:</strong></p> <ul> <li> <p>Отличная зарплата (полностью белая) — обсудим на собеседовании;</p> </li> <li> <p>Официальное оформление, соблюдение всех норм ТК РФ;</p> </li> <li> <p>Гибкий график, возможность работать удаленно;</p> </li> <li> <p>Хорошее ДМС со стоматологией, доплата больничных до оклада;</p> </li> <li> <p>Профессиональное обучение за счёт компании (конференции, тренинги, семинары).</p> </li> <li> <p>Командные мероприятия: хакатоны, мастер-классы, открытые микрофоны, внутренние конференции;</p> </li> <li> <p>Постоянно пополняющаяся библиотека с проф.литературой;</p> </li> <li> <p>Комнаты отдыха с PlayStation, мини спорт.зал с душем, настольный теннис, киккер, корпоративные сборные по разным видам спорта, йога;</p> </li> <li> <p>Оплата спорта и обучения английскому языку;</p> </li> <li> <p>Мощное железо и удобные рабочие места;</p> </li> <li> <p>Офис на берегу Невы в БЦ класса А недалеко от метро «Выборгская».</p> </li> </ul> <p><strong>Скорее жми &quot;Откликнуться&quot;, мы ждем знакомства с тобой!</strong></p>",https://hh.ru/vacancy/69099431,69099431
Python-разработчик,Санкт-Петербург,"Московский район, Цветочная улица","['Python', 'Flask', 'PostgreSQL', 'Redis', 'Docker', 'SQLAlchemy']",,,,Selectel,between3And6,flexible,2022-08-22T17:36:06+0300,"<p>Мы запустили стартап внутри Selectel! Это продукт, который поможет разработчикам по всему миру быстро и удобно разворачивать свои приложения на базе надежной инфраструктуры. Сейчас в команде Продакт менеджер, Python-разработчик и 2 Frontend-разработчика.</p> <p>Мы в поисках опытного Python-разработчика, который поможет запустить новую панель управления инфраструктурными продуктами.</p> <p>Стек: Python, Flask/FastApi, PostgreSQL, Redis, RabbitMQ, SqlAlchemy, Docker</p> <p><strong>Почему в нашей команде круто</strong></p> <ul> <li>Абсолютное отсутствие легаси — возможность написать сервис с нуля</li> <li>Есть возможность выбирать и предлагать любые технологии</li> <li>Вы получите возможность влиять на процессы и выстраивать их</li> <li>Уникальный опыт работы в стартапе</li> <li>Быстрое принятие решений по продукту</li> </ul> <p><strong>Основные задачи</strong></p> <ul> <li>Проектировать и разрабатывать механизмы работы биллинга</li> <li>Проектировать и писать сервисы работы с клиентскими данными</li> <li>Писать интеграции с внешними и внутренними API — биллинговые, клиентские, продуктовые, маркетинговые</li> </ul> <p><strong>Мы ожидаем, что вы</strong></p> <ul> <li>Имеете опыт работы на аналогичной позиции</li> <li>Понимаете, как работают современные веб-приложения и имеете опыт их создания на Python</li> <li>Уже умеете аргументированно подходить к выбору архитектуры приложения: монолит, микросервисы, сервисы</li> <li>Имеете опыт работы с различными базами данных и понимаете, когда лучше использовать ту или иную технологию для хранения данных</li> <li>Способы самостоятельно принимать продуктовые решения в условиях неопределенности и отстаивать их</li> <li>Умеете писать код согласно общим требованиям к его качеству — покрыть его тестами, пройти код-ревью, завернуть в Docker и довести до релиза</li> </ul> <p><strong>Про условия работы:</strong></p> <ul> <li>Официальное оформление, белая зарплата</li> <li>Годовая премия по результатам работы до 15% от суммарного оклада за 12 месяцев</li> <li>Релокационный бонус при переезде</li> <li>Бесплатные обеды и кофе-брейки</li> <li>Гибкое начало рабочего дня (до 12:00)</li> <li>10 минут пешком от м. Московские ворота, своя парковка (и для велосипедов тоже)</li> <li>Возможность работать частично удаленно</li> </ul>",https://hh.ru/vacancy/67934366,67934366
Python Developer,Санкт-Петербург,Заставская улица,"['Python', 'MySQL', 'TDD', 'PostgreSQL']",,,,ТаймВэб,between3And6,flexible,2022-08-18T12:33:49+0300,"<p><strong>Timeweb </strong>- экосистема международных технологических продуктов в области хостинга, образования, контента и рекламы.</p> <p>У нас более 2500 серверов и нам доверяют свои сайты и проекты больше 200 000 клиентов, примерно каждый десятый сайт в рунете размещается в Timeweb.</p> <p>Наши основные программные продукты: панели управления хостингом, выделенными серверами и VDS, регистрации доменов и заказа SSL, внутренняя CRM, почтовый сервис.</p> <p>Сейчас мы ищем <strong>Python разработчика.</strong></p> <p><strong>Как мы работаем:</strong></p> <ul> <li> <p>Развиваем сервис-ориентированную архитектуру, общаемся по REST API;</p> </li> <li> <p>Для автоматизации цепочки CI/CD по полной используем GitLab;</p> </li> <li> <p>В разработке активно используем Docker и Kubernetes;</p> </li> <li> <p>Проводим совместное техническое проектирование и планирование задач спринта;</p> </li> </ul> <p><strong>Задачи для вас:</strong></p> <ul> <li> <p>Участие в развитии существующих продуктов;</p> </li> <li> <p>Участие в разработке новых продуктов;</p> </li> <li> <p>Взаимодействие (и развитие) сервисной инфраструктуры;</p> </li> <li> <p>Участие в разработке сервисов и API;</p> </li> <li> <p>Построение, улучшение и рефакторинг архитектуры системы;</p> </li> </ul> <p><strong>Мы ждем от вас:</strong></p> <ul> <li> <p>Опыт программирования на Python от 3 лет</p> </li> <li> <p>Уверенное владение одним из фреймворков Flask / AioHttp / FastAPI и пр.</p> </li> <li> <p>Уверенное знание ООП, понимание, где его использовать</p> </li> <li> <p>Опыт использования MySQL / Redis / RabbitMQ / Celery</p> </li> <li> <p>Знание основных принципов API (REST API, JSON API, SOAP)</p> </li> <li> <p>Чистый код, уважение к TDD/SOLID</p> </li> <li> <p>Умение разбираться в чужом коде</p> </li> <li> <p>Готовность принять участие в рефакторинге legacy модулей Python 2.7 &gt;&gt; Python 3.7+</p> </li> <li> <p>Написание безопасного кода и понимание основных принципов OWASP</p> </li> <li> <p>Опыт enterprise/продуктовой разработки</p> </li> <li> <p>Умение работать в команде, делиться своим мнением и прислушиваться к мнению других</p> </li> </ul> <p><strong>У нас вы сможете получить знания и навыки:</strong></p> <ul> <li> <p>Участие в большом проекте с командой профессионалов</p> </li> <li> <p>Использования и разработки сложной архитектуры корпоративных приложений</p> </li> <li> <p>Совместного эффективного поиска оптимального решения</p> </li> <li> <p>Разработка на свежем стандарте Python 3.10</p> </li> <li> <p>Применения Docker и Kubernetes</p> </li> <li> <p>Автоматизации GitLab CI/CD</p> </li> </ul> <p><strong>Также мы предлагаем:</strong></p> <ul> <li> <p>Устройство по ТК РФ и полностью белую зарплату;</p> </li> <li> <p>Гибкий график и возможность удалённой работы;</p> </li> <li> <p>Удобный современный офис в шаговой доступности от м. &quot;Московские Ворота&quot; со своими кухней и комнатой отдыха;</p> </li> <li> <p>Компенсация питания;</p> </li> <li> <p>Компенсация спортивного зала;</p> </li> <li> <p>ДМС;</p> </li> <li> <p>Обучение: своя библиотека, семинары, конференции, курсы, внутренний менторинг, etc;</p> </li> <li> <p>Снэки, фрукты, кофе и чай в неограниченных количествах, а также всякие вкусности по случаю;</p> </li> <li> <p>Молодую драйвовую команду, у которой есть, чему поучиться.</p> </li> </ul> <ul> <li> </li> </ul> <ul> <li> </li> </ul> <ul> <li> </li> </ul>",https://hh.ru/vacancy/67263401,67263401
Преподаватель курсов программирования в школу Алгоритмика,Санкт-Петербург,2 линия,"['Работа в команде', 'Обучение и развитие', 'Обучение', 'Организация учебного процесса', 'Индивидуальное обучение', 'Способность обучать других', 'Точность и внимательность к деталям', 'Работа с людьми', 'Организация конференций']",,,,Алгоритмика::Санкт-Петербург Выборгский р-н (ИП Козловский Александр Олегович),between1And3,flexible,2022-09-01T11:49:07+0300,"<p>«Алгоритмика» — международная школа программирования для детей от 6 до 17 лет, в которой сейчас обучается 250 000 школьников.. Школы «Алгоритмики» открыты в более чем 300 городах и 50 странах мира от Австралии до Европы.</p> <p><strong>Что надо будет делать:</strong></p> <p>- проводить занятия с применением методических материалов и приемов Алгоритмики (на выбор по следующим курсам: Компьютерная грамотность, Визуальное программирование (Scratch), Геймдизайн (Roblox), Графический дизайн, Видеоблогинг, Создание веб-сайтов, Python Start/Pro, Unity);</p> <p>- обеспечивать обратную связь по обучению;</p> <p><strong>Кого мы ищем:</strong></p> <p>- выпускников технических или педагогических ВУЗов (образование: техническое, экономическое, математическое, физическое, информатика), любящих детей и готовых сделать для них программирование простым, интересным и веселым;</p> <p>- опыт работы с детьми обязателен (репетиторство, работа тренером, вожатым, преподавание в группе).</p> <p><strong>Мы предлагаем:</strong></p> <p>- обучение за счет компании;</p> <p>- занятость 20 часов в неделю в будни вечером и выходные.</p> <p>- занятость на лето в летнем лагере в городе по будням</p> <p><strong>Место работы:</strong></p> <p>- online обучение – удобное, оборудованное для работы и место выбираете самостоятельно</p> <p>- offline – Выборгский район, м. Просвещения</p> <p><strong>Оплата:</strong></p> <p>- сдельная</p> <p><strong>Требования к кандидатам:</strong></p> <p><strong>Образование:</strong></p> <p>технические специальности, связанные с применением IT технологий (программирование, информатика);</p> <p>Junior разработчик</p> <p>педагогическое и психологическое образование (может быть вторым или дополнительным профессиональным);</p> <p>опыт работы вожатым, преподавателем, ведение детских тренингов, работа репетитором, ведение кружков, в особенности с детьми подходящего возраста</p> <p>для кандидатов на Python Start/Pro знание как минимум одного языка программирования (Python, Java, C++, C#)</p> <p>Ждем Ваше резюме и будем рады сотрудничеству.</p> <p>Возможна частичная занятость.</p>",https://hh.ru/vacancy/68684038,68684038
Python разработчик,Санкт-Петербург,Яхтенная улица,"['Python', 'SQL', 'Git', 'Linux', 'Java']",,,,КОМПЛИТ,between3And6,flexible,2022-08-10T11:38:05+0300,"<p><strong>В команду разработки облачной платформы для автоматического анализа данных DataMist требуется Python разработчик.</strong></p> <p>Наш продукт предназначен для сбора потоковых данных с сенсоров различных типов и решения аналитических задач с помощью моделей машинного обучения и компьютерного зрения.</p> <p>Более подробно про наш продукт здесь - <strong>https://budu.jobs/c/datamist?tab=profile</strong></p> <p><strong>Обязанности:</strong></p> <ul> <li>разработка и совершенствование сервисов ядра платформы;</li> <li>разработка алгоритмов и методов процессинга данных;</li> <li>разработка инструментов для команды аналитиков и ML-инженеров;</li> <li>участие в решение специфических задач, связанных с анализом данных, проектированием и совершенствованием хранилища совместно с группой data science;</li> <li>улучшение архитектуры продукта, рефакторинг кода и оптимизация процесса разработки;</li> <li>участие в комплексном тестировании сервисов продукта.</li> </ul> <p><strong>Будет предоставлена возможность внести собственный вклад в решение технически и предметно сложных задач, при желании, в роли лидера.</strong></p> <p><strong>Требования:</strong></p> <ul> <li>уверенный Python, SQL|CQL, GIT;</li> <li>умение разрабатывать структурированный и читаемый код;</li> <li>умение спроектировать решение под поставленную задачу, не считать разработку схемы функционирования сервиса или модели данных черновой работой;</li> <li>совместная работа в команде в отлаженном процессе разработки: работа с системой управления разработкой, git, code review, обмен информацией с отделами embedded-разработки и анализа данных;</li> <li>готовность решать нестандартные задачи;</li> <li>образование высшее математическое (специализация в любом разделе математики, прикладной математики, системного программирования и в другие близкие специализации).</li> </ul> <p><strong>Будет преимуществом:</strong></p> <ul> <li>опыт профессиональной разработки Python/Scala/Java;</li> <li>дополнительное образование в ML – специальные курсы по машинному обучению, анализу данных;</li> <li>опыт разработки микросервисов;</li> <li>опыт работы с продуктами Apache – Kafka, Cassandra, Spark Streaming;</li> <li>опыт работы с docker, уверенная работа в Linux;</li> <li>умение работать с нечеткой постановкой задачи, системно разбираться в бизнес требованиях;</li> <li>опыт написания unit и авто-тестов для кода;</li> <li>участие в деплое сервисов в прод.</li> </ul> <p><strong>Мы готовы также общаться с кандидатами junior/beginner уровня при наличии практических достижений и при условии прохождения тестов.</strong></p> <p><strong>МЫ ПРЕДЛАГАЕМ:</strong></p> <ul> <li>Гибкий график: плавающее начало рабочего дня с 8:00 до 12:00, самостоятельное планирование рабочей недели, комбинированный формат работы;</li> <li>Официальное оформление с первого рабочего дня + достойный социальный пакет (ДМС, включающий стоматологию, с дополнительным страхованием от несчастных случаев, страхование выезжающих за рубеж);</li> <li>Различные мероприятия: участие в профессиональных отраслевых конференциях, свои футбольная и волейбольная команды, аренда зала для тренировок, команда по яхтингу. Возможность участвовать в городских спортивных соревнованиях;</li> <li>Дополнительно: ежегодные программы обучения, выписка отраслевых периодических изданий, отпуск свыше 28 дней - дни отпуска за стаж работы в Компании. Собственное кафе на территории офиса.</li> </ul>",https://hh.ru/vacancy/51112764,51112764
Python-developer,,,"['Python', 'PostgreSQL', 'Git', 'SQL']",100000,215000,RUR,Тензор,between1And3,flexible,2022-08-05T10:26:13+0300,"<p>Тензор – крупная российская IT-компания. Наш основной продукт – СБИС – сеть деловых коммуникаций. СБИС объединяет людей и компании, системы управления и учета, бизнес-процессы и документы в одной системе.</p> <p>Мы ищем Python-разработчиков в проекты:<br />- Разработка высоконагруженного финансового приложения;<br />- Реализация сервиса доставки;<br />- Развитие и сопровождение высоконагруженного приложения фиксации активности пользователей.</p> <p>Мы не работаем под заказ, мы создаем тиражные продукты. Используемый стек технологий: C++, Python, PostgreSQL, Javascript, NodeJS, Redis, ElasticSearch, Clickhouse. Вам не нужно знать буквально все наши технологии. Нужна светлая голова и страстное желание работать. Делать лучший продукт в России.</p> <p><strong>Требования:</strong></p> <ul> <li>уверенные знания Python, ООП;</li> <li>опыт работы с PostgreSQL: построение оптимальных sql-запросов (без использования ORM), умение профилировать запросы;</li> <li>опыт работы с распределенной системой контроля версий git;</li> <li>способность самостоятельно определять и соблюдать сроки задач;</li> <li>умение и желание писать качественный, читабельный, поддерживаемый и документированный код.</li> </ul> <p><strong>Плюсом будет, если:</strong></p> <ul> <li>вы разбираетесь в javascript коде;</li> <li>у вас есть реализованные проекты (будь то python скрипты или php сайты);</li> <li>понимаете принципы работы RabbitMQ и Redis.</li> </ul> <p><strong>Мы предлагаем:</strong></p> <ul> <li>заработную плату в зависимости от квалификации и уровня ответственности;</li> <li>оформление по ТК РФ ;</li> <li>премии от 5 до 20% по итогам работы за месяц;</li> <li>помощь опытного наставника на испытательный срок;</li> <li>гибкое начало и окончание рабочего дня, свободный дресс-код;</li> <li>оборудованное место в комфортном офисе или возможность работать из дома в любимых тапочках;</li> <li>свой собственный комфортный БЦ на Московских воротах с зонами отдыха и уютной кафе-столовой;</li> <li>корпоративные скидки и бонусы от наших партнеров (обучающие курсы, товары и т.д.);</li> <li>компенсация спортивных абонементов, ДМС;</li> <li>подарки от компании при заключении брака и рождении детей;</li> <li>социальную поддержку при сложных жизненных ситуациях;</li> <li>корпоративную библиотеку;</li> <li>корпоративные праздники и различные совместные мероприятия.</li> </ul>",https://hh.ru/vacancy/67635148,67635148
Senior Python developer,,,"['Python', 'Django', 'DjangoORM', 'DRF', 'RabbitMQ', 'Redis', 'MongoDB', 'Celery', 'PostgreSQL']",,,,Продуктовая IT компания (финтех),between3And6,flexible,2022-08-17T13:19:32+0300,"<p><strong>Привет, будущий коллега!</strong></p> <p>Мы - <strong>FinPay</strong>, компания-разработчик IT-решений для финансовых организаций. Наша команда создаёт комплексные решения для автоматизации деятельности банков и МФО.</p> <p>Наш продукт, с которым тебе предстоит работать - кредитный конвейер. Это ПО, которое включает в себя большое количество различных отделов для комплексной автоматизации деятельности финансовых организаций.</p> <p><strong>Чем предстоит заниматься:</strong></p> <ul> <li>Проектирование, разработка и развитие архитектуры сервисов и баз данных;</li> <li>Разработка новой функциональности и улучшение имеющейся;</li> <li>Связка backend и frontend - тесное взаимодействие с frontend-разработчиком (front - JavaScript);</li> <li>Рефакторинг и оптимизация существующей кодовой базы;</li> <li>Проектирование алгоритмических решений;</li> <li>Разработка нового функционала в небольшой команде разработчиков;</li> <li>Проведение коллективного код-ревью (аргументировать, анализировать, дискутировать с коллегами);</li> <li>Способствовать развитию других членов команды (менторство, передача опыта);</li> <li>Здорово, если ты умеешь генерировать идеи, умеешь их аргументировать и способен брать ответственность за их воплощение и внедрение.</li> </ul> <p><strong>Что хочется видеть в нашем сотруднике:</strong></p> <ul> <li>Отличные знания Python;</li> <li>Высокий уровень знаний Django, Django ORM;</li> <li>Разнообразный опыт работы с asyncio, aiohttp;</li> <li>Опыт разработки высоконагруженных и распределенных систем;</li> <li>Значительный опыт работы с SQL и NoSQL, такими как PostgreSQL, Redis, RabbitMQ;</li> <li>Знание базовых паттернов и идиом;</li> <li>Знание алгоритмов и структур данных;</li> <li>Опыт работы с REST API;</li> <li>Опыт работы c Git;</li> <li>Знание Английского языка на уровне чтения технической документации;</li> <li>Плюсом будет опыт разработки на GoLang;</li> <li>Интерес к финтеху, подкрепленный опытом.</li> </ul> <p><strong>Взамен мы предлагаем:</strong></p> <ul> <li>Гибридный график работы;</li> <li>Гибкое начало рабочего дня;</li> <li>Работа в сильной команде профессионалов;</li> <li>Интересные задачи в финансовой сфере;</li> <li>Адекватный менеджмент;</li> <li>Высокая степень свободы в решении задач;</li> <li>Вкусный кофе, чай и печеньки в офисе;</li> <li>Офис в центре Питера, в 2-х минутах от м. Садовая/Спасская/Сенная.</li> </ul> <p><strong>Откликайся и становись частью нашей дружной команды!</strong></p>",https://hh.ru/vacancy/68882897,68882897
