name,city,address,key_skills,sal_from,sal_to,currency,company,experience,schedule,published_at,description,alternate_url,id
Python developer (Middle),Санкт-Петербург,улица Льва Толстого,"['Git', 'Python', 'Redis', 'Django Framework', 'asyncio', 'RabbitMQ', 'Kafka', 'Высоконагруженные системы', 'PostgreSQL']",300000,360000,RUR,Вайт Код,between3And6,fullDay,2022-09-01T11:28:00+0300,"<p>Python разработчик (Middle) с опытом от 2,5 лет. <strong>Не рассматриваем удаленное сотрудничество.</strong></p> <p><strong>White Сode</strong> - IT компания, которая занимается разработкой и запуском собственных веб и мобильных приложений для международного рынка. Мы являемся продуктовой компанией, никакого аутсорсинга. Только СВОИ интересные проекты в сфере рекламы и финтеха, реализуемые как в России, так и на мировом рынке.</p> <p>Для реализации новых проектов мы ждем ТЕБЯ в свою команду – талантливого и ответственного Back-End Python разработчика.</p> <p><strong>Чем интересным предстоит заниматься:</strong></p> <ul> <li>Поддержкой, развитием и оптимизацией проектов;</li> <li>Проектированием и развитием архитектуры баз данных;</li> <li>Разработкой новой функциональности и улучшением имеющейся;</li> <li>Связкой backend и frontend - тесным взаимодействием с frontend-разработчиком (front - JavaScript);</li> <li>Здорово, если ты умеешь генерировать идеи, аргументировать их, способен брать ответственность за воплощение и внедрение.</li> </ul> <p><strong>Навыки, которые необходимы:</strong></p> <ul> <li>Хорошие знания <em>Python;</em></li> <li>Хорошие знания <em>Django;</em></li> <li>Опыт работы с <em>asyncio</em>, <em>aiohttp;</em></li> <li>Опыт разработки высоконагруженных систем;</li> <li>Большой опыт работы с SQL и NoSQL такими как PostgreSQL<br />Redis, RabbitMQ и Kafka. Бонусом будут знания ElasticSearch, Cassandra и ClickHouse;</li> <li>Знание базовых паттернов и идиом;</li> <li>Опыт работы с REST API;</li> <li>Опыт работы c Git;</li> <li>Знание Английского языка на уровне чтения технической документации;</li> <li>Плюсом будет опыт разработки на GoLang.</li> </ul> <p><strong>Мы рады предложить тебе:</strong></p> <ul> <li>Офис - бизнес центр класса А в центре Санкт-Петербурга площадью 700 кв.м. со своей кухней, спортзалом, зоной для отдыха;</li> <li>Высокую оплату труда (300-360 т.р.);</li> <li>Интересные проекты в команде крутых специалистов;</li> <li>Официальное трудоустройство согласно ТК РФ, если нет препятствий к оформлению в России. Для остальных, в том числе иностранцев, заключаем договор ГПХ;</li> <li>Возможность выбора оборудования для работы (на данный момент выбор большинства iMac 27”);</li> <li>ДМС высокой категории в СК «РЕСО-Гарантия» (более 150 клиник, включая стоматологию, амбулаторное лечение, вызов скорой помощи, стационар);</li> <li>Оплачиваемые обеды;</li> <li>Лояльный график с началом рабочего дня в 9.30 или 11.00. Обед, продолжительностью 1 час, в удобное время.</li> </ul> <p>Постарайся к отклику, помимо резюме, прикрепить проект, компонент или библиотеку, которыми ты гордишься, чтобы мы посмотрели на твой код.<br /><br /><strong>До встречи в White Code!</strong></p>",https://hh.ru/vacancy/67856203,67856203
Python-разработчик,Санкт-Петербург,улица Рентгена,"['Python', 'Django Framework', 'PyCharm', 'ORM', 'Vim', 'CRM']",100000,,RUR,NeoFamily,noExperience,fullDay,2022-09-01T15:28:07+0300,"NeoFamily – онлайн-школа по подготовке к ЕГЭ. Мы работаем с 2019 года. Стали резидентами инновационного центра «Сколково» и вошли в Топ-5 по численности учеников.<br /><br /><strong>Обязанности:</strong> <ul> <li>Разработка CRM</li> <li>Разработка системы аналитики для образовательной платформы</li> </ul> <strong>Требования:</strong> <ul> <li>Python 3</li> <li>Django (Django Admin, Django ORM)</li> <li>MySQL</li> <li>ssh, bash, git, nginx</li> <li>Релевантный опыт, кандидатов после окончания курсов без коммерческого опыта не рассматриваем</li> </ul> <strong>Условия:</strong> <ul> <li>Комфортабельный офис в центре Петербурга (возможна частичная удаленная работа)</li> <li>Дружелюбный коллектив</li> <li>Огромный перспективы для развития в IT, ведь мы - резиденты Сколково</li> <li>Официальное оформление и белые выплаты</li> </ul>",https://hh.ru/vacancy/69383112,69383112
Python developer (Senior),Санкт-Петербург,улица Льва Толстого,"['Git', 'Python', 'Redis', 'PostgreSQL', 'RabbitMQ']",360000,480000,RUR,Вайт Код,between3And6,fullDay,2022-08-30T18:53:52+0300,"<p>Python разработчик (Senior) с опытом от 4-х лет. <strong>Не рассматриваем удаленное сотрудничество.</strong></p> <p><strong>White Сode</strong> - IT компания, которая занимается разработкой и запуском собственных веб и мобильных приложений для международного рынка. Мы являемся продуктовой компанией, никакого аутсорсинга. Только СВОИ интересные проекты в сфере рекламы и финтеха, реализуемые как в России, так и на мировом рынке.</p> <p>Для реализации новых проектов мы ждем ТЕБЯ в свою команду – талантливого и ответственного Back-End Python разработчика.</p> <p><strong>Чем интересным предстоит заниматься:</strong></p> <ul> <li>Разработкой архитектуры, поддержкой, развитием и оптимизацией проектов;</li> <li>Проектированием и развитием архитектуры баз данных;</li> <li>Разработкой новой функциональности и улучшением имеющейся;</li> <li>Связкой backend и frontend - тесным взаимодействием с frontend-разработчиком (front - JavaScript);</li> <li>Организовывать работу в команде;</li> <li>Проводить коллективный код-ревью (аргументировать, анализировать, дискутировать с коллегами);</li> <li>Способствовать развитию других членов команды (менторство, передача опыта);</li> <li>Здорово, если ты умеешь генерировать идеи, аргументировать их, способен брать ответственность за воплощение и внедрение.</li> </ul> <p><strong>Навыки, которые необходимы:</strong></p> <ul> <li>Отличные знания <em>Python;</em></li> <li>Высокий уровень знаний <em>Django;</em></li> <li>Разнообразный опыт работы с <em>asyncio</em>, <em>aiohttp;</em></li> <li>Большой опыт разработки высоконагруженных и распределенных систем;</li> <li>Значительный опыт работы с SQL и NoSQL, такими как PostgreSQL, Redis, Cassandra, Kafka, RabbitMQ, ElasticSearch, ClickHouse;</li> <li>Знание базовых паттернов и идиом;</li> <li>Опыт работы с REST API;</li> <li>Опыт работы c Git;</li> <li>Знание Английского языка на уровне чтения технической документации;</li> <li>Плюсом будет опыт разработки на GoLang.</li> </ul> <p><strong>Мы рады предложить тебе:</strong></p> <p> </p> <ul> <li>Офис - бизнес центр класса А в центре Санкт-Петербурга площадью 700 кв.м. со своей кухней, спортзалом, зоной для отдыха;</li> </ul> <ul> <li>Высокую оплату труда (480 т.р.+);</li> <li>Интересные проекты в команде крутых специалистов;</li> <li>Официальное трудоустройство согласно ТК РФ, если нет препятствий к оформлению в России. Для остальных, в том числе иностранцев, заключаем договор ГПХ;</li> <li>Возможность выбора оборудования для работы (на данный момент выбор большинства iMac 27”);</li> <li>ДМС высокой категории в СК «РЕСО-Гарантия» (более 150 клиник, включая стоматологию, амбулаторное лечение, вызов скорой помощи, стационар);</li> <li>Оплачиваемые обеды;</li> <li>Лояльный график с началом рабочего дня в 9.30 или 11.00. Обед, продолжительностью 1 час, в удобное время.</li> </ul> <p>Постарайся к отклику, помимо резюме, прикрепить проект, компонент или библиотеку, которыми ты гордишься, чтобы мы посмотрели на твой код.<br /><br /><strong>До встречи в White Code!</strong></p>",https://hh.ru/vacancy/54956212,54956212
Python программист (Django),Санкт-Петербург,Колокольная улица,"['Python', 'PostgreSQL', 'Django Framework', 'Linux', 'JavaScript']",50000,80000,RUR,Stik,between1And3,fullDay,2022-08-30T16:58:07+0300,"<p><strong>Хэй! Как насчёт делать сервис, которым пользуются тысячи людей ежедневно? </strong></p> <p>У нас нужно работать и импактить в наш продукт Shtab.app. Разрабатывать архитектуру приложения, чтобы не падало и скейлилось.</p> <p>Основные технологии проектов: Python3, Django3, DRF, PostgreSQL, Clickhouse, GoLang.</p> <p><strong>Что хотим увидеть в скиллах:</strong></p> <ul> <li>Django, DRF, ORM;</li> <li>Знание HTML, CSS, JavaScript;</li> <li>Уметь написать и отлогировать Celery задачу;</li> <li>Уметь разбираться в чужом коде и уверенно работать с GIT на базовом уровне;</li> <li>Уверенная работа с Docker/docker-compose;</li> <li>Понимание принципа работы с WebSocket;</li> <li>Уверенное знание *nix систем;</li> <li>Опыть работы с PostgreSQL;</li> </ul> <p><strong>Желательно:</strong></p> <ul> <li>Опыт работы с Clickhouse</li> <li>Желание или опыт работы с GoLang</li> </ul> <p><strong>Условия:</strong></p> <ul> <li>Гибкий рабочий день (c 9 до 10 начало);</li> <li>официальное оформление по ТК;</li> <li>адекватный менеджмент и задачи;</li> <li>оклад по результатам собеседования;</li> <li>высокая степень свободы в решении задач;</li> <li>работа в офисе 3 минуты от метро Владимирская;</li> <li>компенсацию за обучение через 6 месяцев;</li> <li>комфортное рабочее место.</li> </ul>",https://hh.ru/vacancy/69313296,69313296
Python Developer,,,[],,,,СБЕР,between1And3,fullDay,2022-08-30T15:36:25+0300,"<p>Мы работаем в корпоративно-инвестиционном блоке, который отвечает за работу с бизнесом. Мы создаём web сервис визуальной аналитики коммуникаций с клиентом. Сервис, используя алгоритмы Machine Learning, помогает пользователям в несколько кликов проанализировать миллионы коммуникаций: звонки, чаты и обращения. Среди наших решений есть как внутренние, так и те, которые мы выводим на внешний рынок. Команда распределена между Москвой и Санкт-Петербургом.</p> <p><strong>Чем предстоит заниматься:</strong></p> <p>Команда работает по принципам Agile. Ваши задачи будут связаны с развитием web-портала:</p> <ul> <li>Разработка новых функциональных модулей обработки данных и запуска моделей ML</li> <li>Встраивание ML моделей в портал</li> <li>Разработка инструментов мониторинга приложения</li> <li>R&amp;D по развитию web продукта</li> <li>Покрытие тестами разработанного ПО, участие в документировании платформы</li> </ul> <p><strong>Что мы ожидаем от кандидатов:</strong></p> <ul> <li>Опыт работы c Python от года</li> <li>Начальные знания Python фреймворков: django, flask, FastAPI etc. (в т.ч. с применением REST API);</li> <li>Опыт работы с реляционными СУБД, базовые знания SQL;</li> <li>Автономность, бережное отношение к данным и чистота кода;</li> <li>Опыт работы с Linux, Git</li> <li>Большим плюсом будут навыки работы c ML моделями, Hadoop, Spark, Docker</li> </ul> <p><strong>Условия</strong></p> <ul> <li>Оформление в штат по ТК РФ;</li> <li>Скидки от участников и партнеров Экосистемы;</li> <li>Интересные, сложные, амбициозные задачи;</li> <li>Профессиональный рост в молодой и сильной команде;</li> <li>Офис у ст. м. Нарвская;</li> <li>Гибкое начало дня;</li> </ul>",https://hh.ru/vacancy/69309495,69309495
Machine Learning + Python Developer,Санкт-Петербург,улица Яблочкова,"['Python', 'OpenCV', 'PostgreSQL', 'Tensorflow', 'Computer Vision', 'Machine Learning', 'Huawei', 'Open Vino']",,120000,RUR,Т.Т.Консалтинг,between1And3,fullDay,2022-08-31T12:36:36+0300,"<strong>Обязанности:</strong> <ol> <li>Разработка новых и улучшение существующих алгоритмов компьютерного зрения в задачах распознавания объектов, людей, поз и анализа действий.</li> <li>Реализация алгоритмов в форме, пригодной для внедрения в конечные продукты.</li> <li>Разработка и доработка существующей обвязки под исполнение нейронных сетей различных топологий на Python.</li> <li>Запуск и управление инференсом моделей под Intel OpenVINO, Huawei ACL, Tensorflow.</li> </ol> <strong>Требования:</strong> <ol> <li>Ищем ML / Python разработчика, имеющего хороший опыт коммерческой разработки.</li> <li>Необходима хорошая математическая подготовка.</li> <li>Ожидаем навыки работы с PostgreSQL, включая опыт работы со встроенными процедурами.</li> <li>Опыт работы с web, как в backend (REST API, WSS, Django), так и во frontend (второе на уровне понимания).</li> <li>Знакомство с TensorFlow, Caffe, OpenVINO и общее понимание работы нейронных сетей, опыт работы с OpenCV.</li> <li>Знание продуктов Huawei (Fusion Director, ACL, MindSpore) будет несомненным преимуществом.</li> </ol> <p>Личные качества: аналитические способности, самостоятельность в решении задач, коммуникативные навыки, инициативность и ответственность за результат.</p> <p><strong>Условия:</strong></p> <ol> <li>График: пятидневка с 10.00 до 19.00.</li> <li>Оформление по ТК РФ.</li> <li>Молодой и доброжелательный коллектив.</li> <li>В офисе - кухонная зона, чай, кофе.</li> <li>Расположение офиса в шаговой доступности от метро.</li> <li>Возможности профессионального роста и обучения.</li> </ol>",https://hh.ru/vacancy/69337436,69337436
Python developer,Санкт-Петербург,Гельсингфорсская улица,"['Python', 'SQL', 'Scikit-learn', 'Pandas', 'Numpy', 'Matplotlib']",,,,Peter Partner,between1And3,fullDay,2022-09-01T17:31:08+0300,"<p><strong>PETER PARTNER </strong>– это молодая продуктовая IT-компания, которая занимается созданием собственных крутых финтех продуктов.</p> <p>Мы – команда профессионалов, готовых помочь с трудной задачей в понедельник утром и классно провести время в пятницу вечером. Придерживаемся agile-подхода. Для нас agile – это не только гибкая методология создания продуктов, но и прозрачность взаимоотношений внутри команды и вовлеченность каждого в общее дело.</p> <p>В нашем активе есть коммерчески успешные продукты. Мы реализовали систему автоматизации торговли, которая интегрирована с крупными торговыми брокерами. Все продукты компании Peter Partner локализованы на множество языков и ими пользуется свыше 1 млн. человек в странах Азии, Африки и Южной Америки. Десятки серверов по всему миру обрабатывают более 10к запросов в минуту. Мы используем современные подходы к контейнеризации и оркестрации приложений в облаке для обеспечения 99.99% up-time наших сервисов.</p> <p>Используя свой опыт в алгоритмах трейдинга сейчас мы разработали платформу, которая позволяет управлять активами на ведущих криптовалютных биржах.</p> <p>У нас еще очень много идей и для работы над нашими продуктами мы ищем Python developer в Core команду для работы над нашим трейдинговым ядром!)</p> <p><strong>Интересно ? Давай с нами!)</strong></p> <p><strong>ЧЕМ ПРЕДСТОИТ ЗАНИМАТЬСЯ :</strong></p> <ul> <li> <p>Реализовывать новые идеи стратегий трейдинга;</p> </li> <li> <p>Улучшать реализованные стратегии;</p> </li> <li> <p>Проводить статистический анализ результата стратегий;</p> </li> <li> <p>Дифференцирование временных рядов;</p> </li> <li> <p>Разрабатывать новые механики трейдинга;</p> </li> <li> <p>Активно предлагать идеи и влиять на продукт;</p> </li> <li> <p>Работать в классной команде молодых профессионалов.</p> </li> </ul> <p><strong>ТРЕБОВАНИЯ:</strong></p> <ul> <li> <p>Опыт коммерческой разработки от 2 лет;</p> </li> <li> <p>Опыт разработки на Python - Scikit-learn, Pandas, Numpy, Matplotlib;</p> </li> <li> <p>Знание алгоритмов и структур данных;</p> </li> <li> <p>Знание Английского языка (свободное чтение документации);</p> </li> <li> <p>Хорошие коммуникативные навыки.</p> </li> </ul> <p><strong>ПЛЮСАМИ БУДЕТ:</strong></p> <ul> <li> <p>Наличие опыта разработки алгоритмов трейдинга или реальный опыт трейдинга;</p> </li> <li> <p>Опыт ML;</p> </li> <li> <p>Опыт работы Research &amp; Development.</p> </li> </ul> <p><strong>МЫ ПРЕДЛАГАЕМ:</strong></p> <ul> <li> <p>Стать частью амбициозной IT-команды с крутыми процессами и насыщенной корпоративной культурой;</p> </li> <li> <p>Официальное оформление, белую заработную плату;</p> </li> <li> <p>Всю необходимую технику для работы;</p> </li> <li> <p>График работы 5/2 с гибким началом рабочего дня ;</p> </li> <li> <p>Возможность полностью удаленной работы;</p> </li> <li> <p>Уютный, двухэтажный офис с зоной отдыха, 2 кухнями и мини-библиотекой в 8 минутах ходьбы от ст.м. Выборгская;</p> </li> <li> <p>Образовательные мероприятия внутри команды (мы их назвали “ppsync”), где можно не только обмениваться опытом, но и прокачать скиллы ораторского мастерства и выступлений на публике;</p> </li> <li> <p>Регулярные командные мероприятия - вместе готовим на мастер-классе или катаемся на квадроциклах по бездорожью)</p> </li> </ul>",https://hh.ru/vacancy/69101900,69101900
Middle Python developer,Москва,Петровский бульвар,"['Python', 'Linux', 'MySQL', 'Nginx', 'SQL', 'PostgreSQL', 'RabbitMQ', 'Bash', 'Git']",150000,200000,RUR,Селфсек,between3And6,fullDay,2022-08-30T21:59:37+0300,"<p>Мы занимаемся разработкой и поддержкой собственной информационной системы. Данная системы позволяет собирать и агрегировать данные из различных открытых источников, таких как: социальные сети, форумы, мессенджеры, новостные ресурсы и т.д.</p> <p>Продукт постоянно развивается, появляются новые задачи. От соискателя хотим участия в разработке новых компонент и доработки существующих.</p> <p>Наша компания не занимается разработкой сайтов, мы <strong>не ищем WEB разработчика</strong>. Django, drf – просьба не беспокоить :)</p> <p><strong>Обязанности:</strong></p> <ul> <li>Написание чистого, понятного кода</li> <li>Ведение (исправление багов, модернизация, улучшение) разработанного микросервиса</li> </ul> <strong>Требования:</strong> <ul> <li>Уверенное знание Python3: SQLAlchemy, pymysql, json, (io)pika</li> <li>Опыт работы с ОС семейства Linux, умение запустить свой код</li> <li>Опыт работы над продуктами придерживающихся микросервисной архитектуре</li> <li>Знание и умение работать с брокерами сообщений (RabbitMQ, Kafka, celery, etc.)</li> <li>Умение покрывать свой код автотестами (pytest, tox)</li> <li>Умение разбираться как работает та или иная технология</li> </ul> <p><strong>Как преимущество:</strong></p> <ul> <li>Знание SQL, опыт построения и оптимизации сложных запросов</li> <li>Использование парадигмы ООП, реактивного программирования</li> </ul> <p><strong>Условия:</strong></p> <ul> <li>Участие в масштабном проекте</li> <li>Работа с интересными задачами</li> <li>Гибкий график работы: 40 часов в неделю</li> <li><strong>Удаленная</strong>/офисная работа</li> <li>Возможно сотрудничество как по ТК РФ, так и как по ГПХ (ИП, самозанятый)</li> <li>Чай, кофе, вода, соки, энергетики, печеньки и место для курения в офисе</li> </ul>",https://hh.ru/vacancy/49299326,49299326
Python developer (Middle),Санкт-Петербург,Литовская улица,"['Python', 'PostgreSQL', 'SQL', 'Redis', 'FastAPI', 'Git', 'Linux', 'SQLAlchemy']",160000,,RUR,Базис Телеком,between3And6,fullDay,2022-08-31T13:48:52+0300,"<p><em>Привет. Мы разрабатываем крупный технически сложный внутренний проект. </em></p> <p><em>Ищем в нашу дружную команду Backend Python разработчика уровня Middle / Middle+.</em></p> <p><strong>Стек</strong><strong>: FastAPI, asyncpg, SQLAlchemy, PostgreSQL, Redis.</strong></p> <p><strong>Чем предстоит заниматься?</strong></p> <p>Писать код, много кода;</p> <p>Разрабатывать новые компоненты нашего продукта с нуля;</p> <p>Участвовать в разработке архитектуры;</p> <p>Проводить code-review коллег;</p> <p>Улучшать существующую часть продукта;</p> <p>Писать unit тесты для своего кода.</p> <p><strong>Что мы ждем от тебя в первую очередь?</strong></p> <p>Опыт коммерческой разработки на Python от 2х лет;</p> <p>Опыт работы с асинхронными фрейворками FastAPI/aiohttp;</p> <p>Опыт работы с микросервисной архитектурой;</p> <p>Опыт работами с базами данных SQL, надо уметь писать запросы на SQL;</p> <p>Уметь в git;</p> <p>Опыт развертывания сервисов в продакшн;</p> <p>Понимание разработки бэкэнда в команде;</p> <p><strong>Плюсом для тебя будет:</strong></p> <p>Работа в OS Linux;</p> <p>Опыт работы и понимание модели CI/CD;</p> <p>Знания и опыт работы с docker.</p> <p> </p> <p><em>От нас – большой и сложный проект, зарплата в рынке, классная молодая команда, комфортный офис в пешей доступности от метро, корпоративные мероприятия и дружеская атмосфера внутри компании. </em></p> <p><em>Персональный assessment-plan от тимлида для каждого сотрудника.</em></p> <p>Доход обсуждаем с финальными кандидатами, пожалуйста, указывай свои стартовые ориентиры по ЗП в резюме или сопроводительных письмах.</p> <p>Вакансия подразумевает формат работы в офисе. Гибкое начало рабочего дня, можно приходить с 8 до 11 утра. Возможен 1 удалённый день в неделю.</p> <p>Оформляем по ТК РФ.</p> <p>Над вакансией работает HR и Project Manager, предоставь нам свой репозиторий и пройди собеседование за один этап.</p> <p>Ждём тебя, до встречи!</p> <p> </p>",https://hh.ru/vacancy/68154214,68154214
Junior Python разработчик,Санкт-Петербург,набережная Обводного Канала,"['Python', 'MySQL', 'Git', 'SOAP', 'REST', 'Qt', 'Unix']",60000,,RUR,Виста,between1And3,fullDay,2022-08-29T10:25:19+0300,"<p>Требуемый опыт работы: от года</p> <p>Полная занятость, полный день</p> <p><strong>О нас</strong><br /><br />Мы разрабатываем решения в области автоматизации медицинского документооборота более 20 лет. Главный офис нашей компании расположен в Санкт-Петербурге.</p> <p> </p> <p><strong>Приглашаем в нашу команду</strong> кандидата с высшим или неполным высшим образованием.</p> <p>Обратите, пожалуйста, внимание на перечень прослушанных дисциплин, которые хотелось бы нам увидеть в период вашего обучения:</p> <ul> <li>Алгоритмы и анализ сложности (70 ч);</li> <li>Архитектура вычислительных систем (70 ч);Вычислительная математика (100 ч);</li> <li>Компьютерные сети ( 70 ч);</li> <li>Математическая логика и теория алгоритмов (100 ч);</li> <li>Математический анализ (150 ч);</li> <li>Методы реализации СУБД (100 ч);</li> <li>Моделирование информационных процессов (70 ч);</li> <li>Операционные системы (70 ч);</li> <li>Основы программирования (200 ч);</li> <li>Программная инженерия (70 ч);</li> <li>Тестирование программного обеспечения (140 ч);</li> <li>Технологии Интернет и WEB – программирования (50 ч).</li> </ul> <p><strong>Наши продукты:</strong><br />* Комплекс Программных Средств &quot;Виста-Мед&quot;<br />* Личный кабинет пациента<br />* Мобильные приложения врача приёмного отделения и врача на дому<br />* Мессенджер ТАДАМ iOS/Android/Web<br />* А также десятки специализированных программных продуктов</p> <p><strong>Область ваших задач:</strong><br />* Поддержка и развитие Медицинской информационной системы (python2 + PyQt4 + MySQL) — Основная<br />* Написание и поддержка интеграций (python2/3 + REST/SOAP + MySQL)<br />* Разработка новых продуктов (python3 + Flask/Django + MySQL/PostgreSQL)</p> <p><strong>Условия работы:</strong><br />* Работа в офисе в центре города, станция метро Пушкинская-Звенигородская, БЦ Нептун<br />* Полный рабочий день. Гибкое начало рабочего дня (до 11ти утра)<br />* Начальный уровень з/п от 60000<br />* Официальное оформление по ТК РФ</p> <p><strong>Обязательные требования:</strong><br />* Опыт коммерческой разработки от 1 года<br />* Владение Python 2/3<br />* Владение (My)SQL, конкретно:<br />* * Уметь написать запросы, достаточные для CRUD (SELECT, INSERT, UPDATE, DELETE, JOIN, GROUP BY, HAVING, COUNT, DISTINCT, ORDER BY, LIMIT).<br />* * Уметь написать запросы для изменения модели данных (CREATE/ALTER)<br />* * Иметь опыт в использовании индексов, дебага, применении команды EXPLAIN<br />* * Иметь опыт в написании хранимых процедур и событий<br />* Знание Unix: shell, ssh, systemctl/service, port forwarding, netstat<br />* Знание git, subversion</p> <p><strong>Будет бонусом:</strong></p> <p>* Базовые представления об алгоритмах и структурах данных<br />* Знание Java</p> <p><strong>Собеседование:</strong></p> <p>1 этап: необходимо выполнить тестовое задание;</p> <p>2 этап: встреча с кандидатом.</p>",https://hh.ru/vacancy/69250387,69250387
