name,city,address,key_skills,sal_from,sal_to,currency,company,experience,schedule,published_at,description,alternate_url,id
Python Developer (Remote),,,[],200000,350000,RUR,АСД Технолоджиз,between3And6,remote,2022-09-01T09:16:54+0300,"<p>АСД Технолоджиз, разработчик платформы cloudike.com (white-label облачное хранилище персональных данных для телекома) ищет Python Developer.<br />О вакансии простыми словами. Наша платформа Cloudike активно расширяется и мы ищем ведущего Python разработчика - любой регион</p> <p><strong>По вакансии:</strong> открыто несколько позиций, уровень (и вилка ЗП) от Middle до Senior.</p> <p><strong>Требования</strong>:</p> <p>python3.x</p> <p>fastapi</p> <p>celery</p> <p>rabbitmq</p> <p>orm (sqlalchemy,alembic/djangoorm)</p> <p>asyncio</p> <p>unittests (postgresql/mongodb)</p> <p>redis</p> <p>Технический английский</p> <p>Желательно:</p> <p>- golang</p> <p>- openstack</p> <p>Вакансия открыта в офисах: Москва, Нижний Новгород, Санкт-Петербург.<br />Возможна 100% удаленная работа (все города западнее Урала).</p> <ul> </ul>",https://hh.ru/vacancy/69245658,69245658
Backend разработчик python,,,[],,,,Газпром нефть,between3And6,remote,2022-08-30T09:07:12+0300,"<p>Мы – команда «Газпромнефть – Цифровые решения», часть ИТ-функции «Газпром нефти». Команда, которая научила нейросети находить нефть, запустила первую в мире цифровую систему управления арктической логистикой и первой в мире заправила самолет по блокчейн. Мы переводим в «цифру» каждый этап работы современного нефтяника: от геологической разведки и бурения скважин до процесса переработки нефти и момента, когда она в виде топлива попадает в баки автомобиля, самолета или, например, становится битумом для строительства дорог. Активы «Газпром нефти» – это сотни петабайт данных, которые генерируют объекты компании в России и за рубежом. Нас вдохновляет идея развития цифрового будущего нефтегазовой отрасли и промышленности в целом.</p> <p><strong>Мы стремимся к большему, и нам нужен разработчик python</strong></p> <p><strong>Чем предстоит заниматься:</strong></p> <ul> <li> <p>Участие в проектировании и реализации архитектурных решений. Реализация модулей взаимодействия между сервисами, приложениями и серверами. Код- ревью разработки внешней команды.</p> </li> </ul> <p><strong>Мы ожидаем, что ты имеешь:</strong></p> <ul> <li>Опыт работы в виде разработчика микросервисных решений на базеbackend технологий языка Python (Flask, FastAPI)</li> <li>Знание AMQP брокеров сообщений RabbitMQ, Redis, Kafka.</li> <li>Знакомство с очередями заданий (Celery)</li> <li>Владение контейнернами и умение написать Dockerfile, DockerCompose, запушить в DockerHub, плюсом умение настроить Kubernetes, OpenShift, etc.</li> <li>Понимание и опыт настройки CI/CD , также у вас в крови должен быть грамотный подход к системе контроля версий git flow/ github flow/ gitlab flow</li> <li>Уверенное знание паттернов проектирования, чистой архитекторы и т.д.</li> <li>Опыт работы с библиотеками для обработки данных (Pandas, Numpy)</li> <li>Работа с реляционными и нереляционными базами данных</li> <li>Плюсом будет опыт работы и настройки ELK стека</li> </ul> <p><strong>Мы предлагаем:</strong></p> <ul> <li>Достойную твоего профессионального уровня заработную плату (уровень вознаграждения обсуждается индивидуально по результатам интервью)</li> <li>Годовую премию по результатам деятельности, дополнительную материальную мотивацию (премии от руководителя)</li> <li>Качественную программу ДМС со стоматологией с первого месяца работы</li> <li>Компенсацию спорта (после испытательного срока)</li> <li>Неограниченный доступ к образовательному контенту на портале знаний от корпоративного университета</li> <li>Подписка на лучшие электронные библиотеки с подборками IT-литературы (и не только)</li> <li>Собственный центр профессионального развития, в котором проводятся комплексные программы обучения hard skills</li> <li>Внутренние демодни, коуч-дни, питчи – то, что поможет продвигать и совершенствовать проекты и собственные идеи</li> <li>Корпоративные скидки для изучения английского языка в малых группах онлайн и офлайн</li> <li>Регулярные карьерные марафоны, индивидуальные карьерные консультации и планы развития</li> <li>Общение вне рабочих рамок – независимо от того, в каком городе ты работаешь! От участия в корпоративных спортивных сообществах до онлайн-экскурсий и неформальных встреч в формате Random coffee</li> </ul> <p><br /><strong>В «Газпром нефть» ты можешь:</strong></p> <p>• Получить уникальный профессиональный опыт<br />• Создавать смелые проекты с нуля и наблюдать за их влиянием на целую отрасль<br />• Быть вместе с теми, кого вдохновляют сверхсложные задачи<br />• Сочетать несколько ролей, быть частью нескольких команд или участвовать в кросс-функциональных командах<br />• Использовать возможности компании-лидера для своей самореализации и убедиться, что любой профессиональный опыт важен<br />• Быть среди тех, кто создает первую в России цифровую платформу для управления промышленной компанией нового поколения</p>",https://hh.ru/vacancy/69286250,69286250
Python Developer,Челябинск,Каслинская улица,[],,,,ICVR,between1And3,remote,2022-08-29T08:07:53+0300,"<strong>Пространство высокого интеллекта ICVR https://icvr.io/ п</strong>риглашает к сотрудничеству<strong> Python Developer </strong>на наш новый проект Unreal Engine and DCC virtual production tooling<strong> </strong>(разработки будут использоваться в LiveOps AAA студий и крупнейших кинокомпаний)<strong>!</strong> <p><br />Наша компания привносит инновации в различные сферы деятельности. Используя передовой опыт работы с игровыми движками Unity и Unreal, мы создаем с нуля и преобразуем существующие стандартные продукты и услуги в новые интерактивные формы.</p> Наши признанные на мировом рынке команды опытных разработчиков, гейм-дизайнеров, художников предлагают полный цикл разработки от дизайна до сложных инженерных решений и современного художественного оформления! <p><br /><strong>Что предстоит делать:</strong><br />- разрабатывать и улучшать инструменты для Virtual Production в редакторах Unreal Engine 5, Maya, Substance Painter, Blender, Nuke, After Effects;<br />- разрабатывать кастомные плагины для этих редакторов;<br />- разрабатывать плагины глубокой интеграции различных веб-сервисов;<br />- разрабатывать и улучшать микросервисы компании;<br />- обеспечивать стабильность и качество разработки инструментов, качество архитектуры и кода;<br />- развивать и улучшать существующие инcтрументы, разрабатывать и внедрять новые;<br />- реалистично оценивать задачи с учетом возможных рисков;<br />- писать техническую документацию;<br />- участвовать в формировании и развитии команды (проведение технических интервью, live-coding);<br />- взаимодействовать с менеджерами по проекту, художниками, UI/UX дизайнерами, геймдизайнерами, аналитиками и программистами.<br /><br /><strong>Что мы ожидаем:</strong><br />- уверенное знание Python 3;<br />- знание структур данных Python, алгоритмов работы с ними;<br />- следование принципам DRY, SOLID;<br />- умение писать чистый, понятный код с использованием PEP-8, Docstrings;<br />- составление документации на английском языке;<br />- понимание принципов ООП, опыт их применения;<br />- знание паттернов проектирования (Итератор, Декоратор, Dependency Injection, Singleton и пр.);<br />- знание форматов данных (JSON, YAML, XML и пр.);<br />- опыт работы с VCS (Git, GitLab, …).<br /><br /><strong>Плюсом будет:</strong><br />- опыт работы с Digital Content Creation tools (DCC): Unreal Engine, 3Ds Max, Maya, Blender (опыт написания плагинов, знание API перечисленных программ);<br />- опыт работы с Perforce, ShotGrid;<br />- опыт работы с PyQt, PySide или другими GUI фреймворками;<br />- уровень английского языка от B1 (Intermediate).<br /><br /><strong>Наши условия:</strong><br />- Удаленный фуллтайм 40 часов в неделю;<br />- Достойная оплата в USD или в рублях, уровень обсуждается с кандидатом-финалистом;<br />- Оплачиваемый отпуск;<br />- Оплачиваемые уроки английского языка;<br />- Компенсация занятий спортом.<br /><br />Уважаемые кандидаты, на указанную позицию может быть предложено выполнить тестовое задание!</p>",https://hh.ru/vacancy/69242604,69242604
Data Scientist,Санкт-Петербург,Уральская улица,"['Python', 'SQL', 'Machine Learning', 'Скоринг', 'Рисковые модели']",200000,,RUR,Агент Умный полис,between1And3,remote,2022-08-31T13:51:57+0300,"<p>AgentApp - современная и надежная платформа онлайн-страхования. Наши сервисы уже успешно встроены в экосистемы <strong>Сбербанк, OZON, ВТБ, Газпром-Нефть, МТС, Райффайзен, Mail.ru</strong><strong>. </strong>Над продуктом работает единая команда разработчиков, аналитиков, маркетологов а также экспертов в страховом бизнесе.</p> <p><br />На данный момент мы в поиске талантливого <strong>Data Scientist с опытом разработки моделей скоринга</strong>, который поможет нам стать еще лучше!<strong> </strong></p> <p><strong>Основные задачи,которые предстоит решать:</strong></p> <p><br />● Составление моделей сегментирования данных и методик обнаружения случаев мошенничества;</p> <p>● Разработка моделей сегментации клиентов на основании их профилей и анализа их поведения;</p> <p>● Разработка моделей страхового скоринга с использованием данных сайта и информации из соцсетей;</p> <p>● Улучшение инструментов мониторинга, моделей collection-скоринга;</p> <p>● Отслеживание текущих показателей;</p> <p>● Обеспечение чистоты входящих данных;</p> <p>● Улучшением текущих моделей;</p> <p>● Актуализация.<br /><br /><strong>С какими сервисами и языками предстоит работать:</strong><br /><br />● Python/R/Go;<br />● Jupyter notebook, Matlab или аналоги;<br />● SQL, NoSQL;<br />● BI-системы.<br /><br /><strong>Что мы ожидаем от тебя:</strong><br /><br />● Знание и опыт работы с машинным обучением<br />(регрессия/классификация, обучение с учителем/без учителя, кроссвалидация, переобучение и т.д.);<br />● Знание математических моделей (линейная и логистическая регрессия, градиентный бустинг);<br />● Знание математической статистики (дисперсия, мат.ожидания, квантиль, дисперсия и т.д.);<br />● Уверенное знание Python и применение библиотек (pandas, Scikitlearn, Matplotlib, pytorch, tensorflow и т.д) - на ваш выбор;<br />● Знание, как подготовить данные для обучающей выборки и исследования;<br />● Опыт участия в завершенных проектах - рассказать о результатах проекта и вашем вкладе в него;<br /><strong>● Опыт внедрения моделей в продакшн и работы в сфере Data Science - будет вашим большим преимуществом!</strong></p> <p> </p> <p><strong>У нас ты можешь рассчитывать на:</strong></p> <p>● Сильную команду, с которой можно расти;</p> <p>● Сложные задачи для сервисов с миллионами пользователей;</p> <p>● Возможность влиять на процесс и результат;</p> <p>● Можно работать из дома или релокация в Петербург (поддержка при релокации);</p> <p>● Комфортный офис для сотрудников из СПб;</p> <p>● Гибкое начало рабочего дня с 9-11, 8-ми часовой рабочий день + 1 час обеда в любое удобное время;</p> <p>● Увеличение оклада за достижение целей;</p> <p>● Отпускные исходя из полной суммы оклада + 2 доп. дня отдыха в году;<br /><br />● ДМС;</p> <p>● Бюджет на софинансирование образования, спорта. Книги бесплатно.</p> <p> </p> <p><strong><em>Мы - команда профессионалов, разделяющих идею экологичного общения,</em></strong></p> <p><strong><em>комфортного и эффективного сотрудничества. Неоценимый вклад в наше</em></strong></p> <p><strong><em>общее дело вносит каждый. И если ты:</em></strong></p> <p><strong><em>- ориентирован на результат;</em></strong></p> <p><strong><em>- трудолюбив и последователен;</em></strong></p> <p><strong><em>- открыт новому и принимаешь концепцию life long learning;</em></strong></p> <p><strong><em>- уважаешь свое и чужое время </em></strong></p> <p><strong><em>Мы ждем тебя у нас в команде!</em></strong></p>",https://hh.ru/vacancy/69175957,69175957
Python-разработчик в R&D отдел,Москва,Петровский бульвар,"['ООП', 'HTTP', 'Python', 'Git']",100000,150000,RUR,Селфсек,between1And3,remote,2022-08-30T21:59:38+0300,"<p><strong>Обязанности</strong>:</p> <ul> <li>Написание чистого, понятного кода</li> <li>Реализация сетевых клиентов и протоколов по документации</li> <li>Взаимодействие с исследователями</li> <li>Покрытие тестами</li> <li>Написание документации</li> <li>Ведение репозитория (версионирование, релизы, поддержка)</li> </ul> <p> </p> <p><strong>Требования</strong>:</p> <ul> <li>Уверенное знание Python3</li> <li>Умение использовать ООП</li> <li>Знание сетевых протоколов разного уровня (TCP, UDP, HTTP, WebSocket, etc) и способов сериализации (struct, protobuf, json, etc)</li> <li>Опыт многопоточной и асинхронной разработки (threading, asyncio), знание примитивов синхронизации</li> <li>Умение покрывать свой код автотестами (pytest, tox, mock) и пользоваться линтерами (flake8, pylint, mypy)</li> <li>Умение работать с системами контроля версий (Git)</li> </ul> <p> </p> <p><strong>Как преимущество</strong>:</p> <ul> <li>Опыт реверс-инжиниринга и анализа трафика</li> <li>Понимание основ криптографии</li> </ul>",https://hh.ru/vacancy/49299311,49299311
Python developer,,,"['Python', 'Git', 'SQL', 'Flask', 'Docker']",,,,LC Group,between1And3,remote,2022-08-29T05:55:50+0300,"<p><strong>LС Group </strong>– международная IT-компания из Сибири. Мы развиваем ряд сервисов в области автоматизации сегмента онлайн-кредитования.</p> <p>Мы создаем большую информационную систему, которая включает в себя клиентский сайт, мобильное приложение, CRM и CMS системы. Также, мы развиваем ряд дополнительных наукоёмких сервисов с использованием Data Science и Machine Learning.</p> <p>Мы постоянно развиваемся. За три года наша команда выросла и на сегодняшний день нас уже более 100 человек.</p> <p>Сейчас мы в поисках Python developer в нашу команду R&amp;D.</p> <p><strong>Что мы делаем:</strong></p> <p>Наша команда разрабатывает продукт, который мы зовём “кредитный робот” - это сервис в рамках которого происходит скоринг, антифрод, формирование условий для заёмщика и ряд иных функций.</p> <p>Мы достаточно хорошо продвинулись в улучшении сервиса “в глубину” и сейчас расширяем скоуп возможностей сервиса. Также мы стали проводить намного больше тестов, пайплайны стали сложнее, метрик стало больше, поэтому расширяем нашу команду.</p> <p><strong>Наши процессы: </strong></p> <ul> <li> <p>всё достаточно гибко и прозрачно: вся команда работает с доской, соблюдает лимиты, непрозрачных задач нет;</p> </li> <li> <p>работаем без ТЗ: на вход получаете подробное описание проблемы и предложение решения от Product Owner/Product Manager, дальше самостоятельно решаете как лучше это сделать, а в случае сложных архитектурных задач будет подробный документ от системных аналитиков;</p> </li> <li> <p>возможность удаленной работы: можете находиться где угодно, главное, быть на связи с 11 до 16 по Новосибирску;</p> </li> <li> <p>мы часто отдаём приоритет техническим задачам, чтобы сделать работу эффективнее и минимизировать число костыльных решений;</p> </li> <li> <p>минимум бюрократии: самый бюрократизированный процесс, это трудоустройство, дальше - минимум бумаг и согласований.</p> </li> </ul> <p><strong>Чем предстоит заниматься:</strong></p> <ul> <li> <p>развитие и поддержка сервиса многофакторной оценки клиентов на базе моделей машинного обучения;</p> </li> <li> <p>разработка и поддержка инструментов и инфраструктуры для экспериментов машинного обучения;</p> </li> <li> <p>сбор и визуализация метрик для мониторинга сервисов и бизнес-показателей.</p> </li> </ul> <p><strong>Тебе потребуется (самое важное)</strong>:</p> <ul> <li> <p>знание Python, SQL;</p> </li> <li> <p>умение работать с git;</p> </li> <li> <p>опыт работы с реляционными базами данных;</p> </li> <li> <p>понимание принципов ООП;</p> </li> <li> <p>опыт работы с Docker;</p> </li> <li> <p>опыт работы с web-фреймворками (Django, aiohttp, tornado, flask, etc.).</p> </li> </ul> <p><strong>Плюсом будут:</strong></p> <ul> <li> <p>знания/опыт работы с очередями сообщений;</p> </li> <li> <p>опыт работы с асинхронными фреймворками;</p> </li> <li> <p>опыт работы с инструментами тестирования (unittest, pytest, ...);</p> </li> <li> <p>опыт работы с Grafana, Prometheus, ELK-стеком.</p> </li> </ul> <p><strong>Мы гарантируем:</strong></p> <ul> <li> <p>соблюдение всех обязательств по ТК РФ. «Белая» заработная плата;</p> </li> <li> <p>ДМС для всех сотрудников (амбулаторное лечение + стоматология);</p> </li> <li> <p>динамичный и быстроразвивающийся бизнес, ресурсы, возможность сделать вместе лучший продукт на рынке fintech;</p> </li> <li> <p>профессиональную команду, которой мы гордимся;</p> </li> <li> <p>регулярные ревью, ретроспективы на проектах, индивидуальный подход к твоему развитию;</p> </li> <li> <p>возможность проявлять инициативу и стать реальным двигателем изменений в компании – мы всегда готовы обсуждать и реализовывать лучшие идеи;</p> </li> <li> <p>насыщенная корпоративная жизнь и развитая инженерная культура: посещение конференций, регулярная организация внутренних мероприятий для обмена опытом и дискуссий, неформальные корпоративные мероприятия.</p> </li> </ul> <p> </p>",https://hh.ru/vacancy/69239561,69239561
Python разработчик,,,"['ООП', 'Python', 'Django Framework', 'PostgreSQL', 'Работа в команде', 'REST', 'Веб-программирование', 'Redis', 'Docker']",,250000,RUR,Гарпикс,between3And6,remote,2022-08-30T12:25:42+0300,"<p><strong>GARPIX</strong> – это крупнейший Digital-интегратор, создающий комплексные IT-решения.</p> <p>Мы специализируемся на разработке сложных веб и мобильных (iOS, Android) проектах, системах автоматизации бизнес-процессов, разработке собственного ПО.</p> <p>Нам доверяют крупные коммерческие и государственные организации, потому что мы умеем и любим выполнять нестандартные задачи, требующие большой ответственности.</p> <p>В связи с расширением штата мы находимся в поиске <em><strong>Python разработчика</strong></em>.</p> <p><strong>Мы предлагаем:</strong></p> <ul> <li>Возможность постоянного профессионального роста (прозрачная система грейдирования);</li> <li>Работу над крупными проектами наших партнеров в России и за рубежом (фарма, ритейл, логистика, медицина и многие другие);</li> <li>Высокую конкурентную заработную плату (выплаты 2 раза в месяц);</li> <li>Квартальные премии, 13-ю заработную плату за достижения в течение года;</li> <li>Официальное оформление по ТК РФ;</li> <li>Работу в комфортабельном просторном офисе с современным оборудованием в центре города или удаленно из дома;</li> <li>Корпоративные клубы (спортивный, гик-, кибер-, настольных игр, киноклуб, робототехники, английского языка);</li> <li>Дружный и позитивный коллектив, адекватное руководство, открытость и поощрение инициатив;</li> <li>Бесплатное обучение в GARPIX Digital Academy.</li> </ul> <p><strong>От кандидата мы ожидаем:</strong></p> <ul> <li>Опыт коммерческой разработки более 3 лет;</li> <li>Уверенные знания и использование в работе Python (3.x), Django, Flask, PostgreSQL;</li> <li>Адаптивная верстка</li> <li>Понимание REST;</li> <li>Опыт работы с Redis, Celery, Docker;</li> <li>Опыт с асинхронными фреймворками приветствуем;</li> <li>Знание принципов и паттернов ООП, умение применять их на практике;</li> <li>Опыт работы с системами контроля версий (мы используем git);</li> <li>Умение разбираться в чужом коде;</li> <li>Умение писать автотесты на свой код;</li> <li>Понимание принципов построения API.</li> </ul> <p><strong>Будет плюсом:</strong></p> <ul> <li>Опыт с open-source ETL решениями;</li> <li>Знание шаблонов облачных решений;</li> <li>Хорошее понимание HTTP-протокола;</li> <li>Опыт работы с Jira, Confluence;</li> <li>Понимание принципов DevOps, CI/CD на базе Gitlab/Jenkins.</li> </ul>",https://hh.ru/vacancy/69298815,69298815
TeamLead (Python\Django) remote,Екатеринбург,улица Мамина-Сибиряка,"['Python', 'Django Framework', 'Управление проектами', 'Teamleading']",290000,370000,RUR,СофтМедиаЛаб,between3And6,remote,2022-08-31T10:49:05+0300,"<strong>SoftMediaLab </strong>делает заказную разработку для зарубежных стартапов и enterprise для российских компаний. На данный момент сделали 80+ проектов в России, Канаде, Европе, Израиле, Сингапуре и США. <p>Территориально находимся в Екатеринбурге, работаем по всему миру. Наши сотрудники живут в разных городах России и странах СНГ.</p> <p><strong>Ищем TeamLead \ руководитель группы (Python\Django) для разработки промышленного софта. Команда 2-3 разработчика (бэк+фронт).</strong></p> <p><strong>Задачи, которые будут на проекте: </strong></p> <ul> <li>решение архитектурных вопросов;</li> <li>организация совместной работы команды (бэк\фронт);</li> <li>детальное планирование задач на недельный спринт;</li> <li>высокоуровневое планирование спринтов до окончания проекта;</li> <li>организация и проведение Code Review;</li> <li>подготовка и проведение презентаций по результатам спринтов;</li> </ul> <p><strong>Что предлагаем со своей стороны:</strong></p> <ul> <li> <p>стабильную официальную зарплату;</p> </li> <li> <p>удаленную работу или работу в офисе в БЦ Манхеттен;</p> </li> <li> <p>график работы гибко двигается, если есть потребность;</p> </li> <li> <p>совместные локации для работы на море;</p> </li> <li>взаимопомощь от коллег и руководства, только скажи;</li> <li>подарки детям и сотрудникам на праздники;</li> <li>умеем веселиться и с пользой проводить время.</li> </ul> <p><strong>Как попасть в команду?</strong></p> <p>Для начала познакомимся на первичном интервью, где расскажем подробности. Далее - техническое собеседование, где обсудите с тимлидом задачи, с которыми работали. Последний шаг - финальное собеседование.</p> <p> </p>",https://hh.ru/vacancy/68955955,68955955
Middle Python Developer,,,"['Python', 'RabbitMQ', 'SQL', 'PostgreSQL', 'SQL запросы', 'Flack', 'Django']",,,,Промэкспертиза,between1And3,remote,2022-09-01T13:38:20+0300,"<p>Мы – компания, создающая комплексные решения для управления крупными инвестиционно-строительными проектами. За последние годы мы запустили десятки решений в лидерах нефтегазовой, энергетической и горнодобывающей отраслей и продолжаем движение вперёд.</p> <p>Наша IT команда развивает собственные продукты enterprise-уровня, обеспечивающие потребности наших заказчиков. Команда создаёт web-, desktop-, mobile-приложения c единым back-end и БД, и передаёт их в b2b-проекты. В настоящее время мы развиваем новую линейку продуктов для создания и управления цифровыми двойниками промышленных объектов (2D и 3D - представление пространственных данных, BIM-модели). Нам нужен back-end разработчик, который будет вместе с нами развивать наш софт и вносить существенный вклад в его будущее.</p> <p>Интеграции с большими внешними системами и корпоративными шинами, унификация продуктов как «под капотом», так и с точки зрения пользовательского опыта – это про нас.</p> <p><strong>Что нужно делать:</strong></p> <ul> <li>Разрабатывать back-end/геосервисы в стеке FastAPI/SQLAlchemy/PostgreSQL/PostGIS;</li> <li>Разрабатывать ETL-решения;</li> <li>Заниматься оптимизацией SQL-запросов. ​​​​​​</li> </ul> <p><strong>Мы ожидаем, что у тебя есть: </strong></p> <ul> <li>Отличные знания технологий: FastAPI/Flack/Django, SQLAlchemy/Django ORM, Pydantic/Marshmallow;</li> <li>Отличные навыки работы с PostgreSQL/MS SQL – составление/оптимизация запросов, cte, рекурсивные запросы.</li> </ul> <p><strong>Будет плюсом</strong>:</p> <ul> <li>Знание оконных функций;</li> <li>Знания RabbitMQ, Redis;</li> <li>Понимание основ CI/CD.</li> </ul> <p><strong>Мы предлагаем:</strong></p> <ul> <li>Конкурентный уровень зарплаты по результату собеседования;</li> <li>Соблюдение норм ТК РФ;</li> <li>Комфортное рабочее место с опцией «сборки под себя»;</li> <li>Возможность выбрать для себя удобное время работы в офисе или удаленно;</li> <li>Комфортный офис (Маяковская, БЦ CapitalTower), неформальная атмосфера и никакого dress code (если выбираешь работу в офисе);</li> <li>Команда единомышленников, готовых помочь новому сотруднику словом и делом.</li> </ul>",https://hh.ru/vacancy/69377805,69377805
"NLP Developer, Remote",,,"['Python', 'Pandas', 'Tensorflow', 'PyTorch', 'Keras', 'NLP', 'AWS', 'Numpy']",3000,7000,USD,Inca Digital,between1And3,remote,2022-08-31T12:21:28+0300,"<p>An American FinTech company is looking for an NLP Developer to help us grow. We are happy to hire someone with minimal experience, but willing to learn our tools. This can be a part-time or a full-time position with a flexible schedule and the possibility to assume more responsibilities.</p> <p><strong>Duties</strong></p> <ul> <li>Work collaboratively with other team members to design, implement and optimize ML models</li> <li>Perform ML models interpretation and make improvement suggestions</li> <li>Assist in creating ML pipelines for enriching the data through message classification and named entity recognition models.</li> </ul> <p><strong>Tools</strong><br /><br />Our company already has all the necessary learning resources, data, and analytical tools. You will mostly use:</p> <ul> <li>Various AWS and GCP products</li> <li>Nakamoto Terminal</li> <li>GitHub</li> </ul> <p><strong>General Requirements</strong></p> <ul> <li>Proficiency in Python and Python NLP libraries (Numpy, Scipy, pandas, etc)</li> <li>Knowledge of at least one Machine Learning framework (Tensorflow, PyTorch, Keras, etc)</li> <li>Experience with the AWS ecosystem (S3, SageMaker, Lambda), or GCP alternatives</li> <li>Fluent English. We are an international team and most of the business is conducted in English.</li> <li>Independence. There will be no marching orders. You are expected to organize your day, get the work done, and speak up when there&#39;s a problem.</li> <li>Willingness to learn. We can teach you everything and don&#39;t have any strict experience requirements, but you must be willing to learn new tools every day.</li> </ul> <p><strong>Selection, Hiring, and Onboarding process</strong></p> <ul> <li>To apply for this position, complete any NLP challenge from https://github.com/inca-digital/challenge/issues</li> <li>One of our team members will reach out to set up 30-minute Google Meet call with selected candidates</li> <li>Candidates that made it to the next stage will be offered a 3-month full- or part-time contract with specific milestones (goals) to achieve.</li> <li>On your first day, you will be assigned a number of training issues to complete during your onboarding period and a dedicated onboarding buddy who will help you close them and answer any questions along the way.</li> <li>At the end of the 3-month period, we will evaluate the results of your milestone together with you and negotiate a long-term contract.</li> </ul> <p><strong>Conditions</strong></p> <ul> <li>You&#39;ll be a part of a small team of computer engineers, security experts, scientists, mathematicians, and finance experts from around the world.</li> <li>You will be hired as a contractor with a choice of how and when you want to get paid. We are open to students and part-time candidates!</li> <li>We have a clear and open business process on GitHub. You&#39;ll see the result of your work with zero red tape slowing things down.</li> <li>We don&#39;t look over each other&#39;s shoulders and expect you to take the initiative, find things to do, and get them done.</li> <li>We have great hang-out spots in around the world where the magic happens, but we are open to remote applicants.</li> <li>We don&#39;t discriminate based on race, nationality, age, sex, sexual orientation, physical abilities, or political views. We expect the same from you.</li> </ul> <p>Inca Digital is an open-source intelligence company building analytics tools. We began our journey in 2009, when our founders met working at INTERPOL. They started a friendship that grew into a mutual passion for disruptive technology. Inca now boasts a team of some of the best engineers, analysts, and security experts, all striving to make intelligence accessible. We are a veteran-owned small business and a remote company with strong presence in DC, Miami, Paris, and St. Petersburg. Our main product, NTerminal, is already in use by the U.S. SEC, U.S. CFTC, Fidelity, Bermuda Monetary Authority, and others.</p>",https://hh.ru/vacancy/69031296,69031296
