name,city,address,key_skills,sal_from,sal_to,currency,company,experience,schedule,published_at,description,alternate_url,id
Python программист (Django),Санкт-Петербург,Колокольная улица,"['Python', 'PostgreSQL', 'Django Framework', 'Linux', 'JavaScript']",50000,80000,RUR,Stik,between1And3,fullDay,2022-08-30T16:58:07+0300,"<p><strong>Хэй! Как насчёт делать сервис, которым пользуются тысячи людей ежедневно? </strong></p> <p>У нас нужно работать и импактить в наш продукт Shtab.app. Разрабатывать архитектуру приложения, чтобы не падало и скейлилось.</p> <p>Основные технологии проектов: Python3, Django3, DRF, PostgreSQL, Clickhouse, GoLang.</p> <p><strong>Что хотим увидеть в скиллах:</strong></p> <ul> <li>Django, DRF, ORM;</li> <li>Знание HTML, CSS, JavaScript;</li> <li>Уметь написать и отлогировать Celery задачу;</li> <li>Уметь разбираться в чужом коде и уверенно работать с GIT на базовом уровне;</li> <li>Уверенная работа с Docker/docker-compose;</li> <li>Понимание принципа работы с WebSocket;</li> <li>Уверенное знание *nix систем;</li> <li>Опыть работы с PostgreSQL;</li> </ul> <p><strong>Желательно:</strong></p> <ul> <li>Опыт работы с Clickhouse</li> <li>Желание или опыт работы с GoLang</li> </ul> <p><strong>Условия:</strong></p> <ul> <li>Гибкий рабочий день (c 9 до 10 начало);</li> <li>официальное оформление по ТК;</li> <li>адекватный менеджмент и задачи;</li> <li>оклад по результатам собеседования;</li> <li>высокая степень свободы в решении задач;</li> <li>работа в офисе 3 минуты от метро Владимирская;</li> <li>компенсацию за обучение через 6 месяцев;</li> <li>комфортное рабочее место.</li> </ul>",https://hh.ru/vacancy/69313296,69313296
Python Developer,,,[],,,,СБЕР,between1And3,fullDay,2022-08-30T15:36:25+0300,"<p>Мы работаем в корпоративно-инвестиционном блоке, который отвечает за работу с бизнесом. Мы создаём web сервис визуальной аналитики коммуникаций с клиентом. Сервис, используя алгоритмы Machine Learning, помогает пользователям в несколько кликов проанализировать миллионы коммуникаций: звонки, чаты и обращения. Среди наших решений есть как внутренние, так и те, которые мы выводим на внешний рынок. Команда распределена между Москвой и Санкт-Петербургом.</p> <p><strong>Чем предстоит заниматься:</strong></p> <p>Команда работает по принципам Agile. Ваши задачи будут связаны с развитием web-портала:</p> <ul> <li>Разработка новых функциональных модулей обработки данных и запуска моделей ML</li> <li>Встраивание ML моделей в портал</li> <li>Разработка инструментов мониторинга приложения</li> <li>R&amp;D по развитию web продукта</li> <li>Покрытие тестами разработанного ПО, участие в документировании платформы</li> </ul> <p><strong>Что мы ожидаем от кандидатов:</strong></p> <ul> <li>Опыт работы c Python от года</li> <li>Начальные знания Python фреймворков: django, flask, FastAPI etc. (в т.ч. с применением REST API);</li> <li>Опыт работы с реляционными СУБД, базовые знания SQL;</li> <li>Автономность, бережное отношение к данным и чистота кода;</li> <li>Опыт работы с Linux, Git</li> <li>Большим плюсом будут навыки работы c ML моделями, Hadoop, Spark, Docker</li> </ul> <p><strong>Условия</strong></p> <ul> <li>Оформление в штат по ТК РФ;</li> <li>Скидки от участников и партнеров Экосистемы;</li> <li>Интересные, сложные, амбициозные задачи;</li> <li>Профессиональный рост в молодой и сильной команде;</li> <li>Офис у ст. м. Нарвская;</li> <li>Гибкое начало дня;</li> </ul>",https://hh.ru/vacancy/69309495,69309495
Machine Learning + Python Developer,Санкт-Петербург,улица Яблочкова,"['Python', 'OpenCV', 'PostgreSQL', 'Tensorflow', 'Computer Vision', 'Machine Learning', 'Huawei', 'Open Vino']",,120000,RUR,Т.Т.Консалтинг,between1And3,fullDay,2022-08-31T12:36:36+0300,"<strong>Обязанности:</strong> <ol> <li>Разработка новых и улучшение существующих алгоритмов компьютерного зрения в задачах распознавания объектов, людей, поз и анализа действий.</li> <li>Реализация алгоритмов в форме, пригодной для внедрения в конечные продукты.</li> <li>Разработка и доработка существующей обвязки под исполнение нейронных сетей различных топологий на Python.</li> <li>Запуск и управление инференсом моделей под Intel OpenVINO, Huawei ACL, Tensorflow.</li> </ol> <strong>Требования:</strong> <ol> <li>Ищем ML / Python разработчика, имеющего хороший опыт коммерческой разработки.</li> <li>Необходима хорошая математическая подготовка.</li> <li>Ожидаем навыки работы с PostgreSQL, включая опыт работы со встроенными процедурами.</li> <li>Опыт работы с web, как в backend (REST API, WSS, Django), так и во frontend (второе на уровне понимания).</li> <li>Знакомство с TensorFlow, Caffe, OpenVINO и общее понимание работы нейронных сетей, опыт работы с OpenCV.</li> <li>Знание продуктов Huawei (Fusion Director, ACL, MindSpore) будет несомненным преимуществом.</li> </ol> <p>Личные качества: аналитические способности, самостоятельность в решении задач, коммуникативные навыки, инициативность и ответственность за результат.</p> <p><strong>Условия:</strong></p> <ol> <li>График: пятидневка с 10.00 до 19.00.</li> <li>Оформление по ТК РФ.</li> <li>Молодой и доброжелательный коллектив.</li> <li>В офисе - кухонная зона, чай, кофе.</li> <li>Расположение офиса в шаговой доступности от метро.</li> <li>Возможности профессионального роста и обучения.</li> </ol>",https://hh.ru/vacancy/69337436,69337436
Python developer,Санкт-Петербург,Гельсингфорсская улица,"['Python', 'SQL', 'Scikit-learn', 'Pandas', 'Numpy', 'Matplotlib']",,,,Peter Partner,between1And3,fullDay,2022-09-01T17:31:08+0300,"<p><strong>PETER PARTNER </strong>– это молодая продуктовая IT-компания, которая занимается созданием собственных крутых финтех продуктов.</p> <p>Мы – команда профессионалов, готовых помочь с трудной задачей в понедельник утром и классно провести время в пятницу вечером. Придерживаемся agile-подхода. Для нас agile – это не только гибкая методология создания продуктов, но и прозрачность взаимоотношений внутри команды и вовлеченность каждого в общее дело.</p> <p>В нашем активе есть коммерчески успешные продукты. Мы реализовали систему автоматизации торговли, которая интегрирована с крупными торговыми брокерами. Все продукты компании Peter Partner локализованы на множество языков и ими пользуется свыше 1 млн. человек в странах Азии, Африки и Южной Америки. Десятки серверов по всему миру обрабатывают более 10к запросов в минуту. Мы используем современные подходы к контейнеризации и оркестрации приложений в облаке для обеспечения 99.99% up-time наших сервисов.</p> <p>Используя свой опыт в алгоритмах трейдинга сейчас мы разработали платформу, которая позволяет управлять активами на ведущих криптовалютных биржах.</p> <p>У нас еще очень много идей и для работы над нашими продуктами мы ищем Python developer в Core команду для работы над нашим трейдинговым ядром!)</p> <p><strong>Интересно ? Давай с нами!)</strong></p> <p><strong>ЧЕМ ПРЕДСТОИТ ЗАНИМАТЬСЯ :</strong></p> <ul> <li> <p>Реализовывать новые идеи стратегий трейдинга;</p> </li> <li> <p>Улучшать реализованные стратегии;</p> </li> <li> <p>Проводить статистический анализ результата стратегий;</p> </li> <li> <p>Дифференцирование временных рядов;</p> </li> <li> <p>Разрабатывать новые механики трейдинга;</p> </li> <li> <p>Активно предлагать идеи и влиять на продукт;</p> </li> <li> <p>Работать в классной команде молодых профессионалов.</p> </li> </ul> <p><strong>ТРЕБОВАНИЯ:</strong></p> <ul> <li> <p>Опыт коммерческой разработки от 2 лет;</p> </li> <li> <p>Опыт разработки на Python - Scikit-learn, Pandas, Numpy, Matplotlib;</p> </li> <li> <p>Знание алгоритмов и структур данных;</p> </li> <li> <p>Знание Английского языка (свободное чтение документации);</p> </li> <li> <p>Хорошие коммуникативные навыки.</p> </li> </ul> <p><strong>ПЛЮСАМИ БУДЕТ:</strong></p> <ul> <li> <p>Наличие опыта разработки алгоритмов трейдинга или реальный опыт трейдинга;</p> </li> <li> <p>Опыт ML;</p> </li> <li> <p>Опыт работы Research &amp; Development.</p> </li> </ul> <p><strong>МЫ ПРЕДЛАГАЕМ:</strong></p> <ul> <li> <p>Стать частью амбициозной IT-команды с крутыми процессами и насыщенной корпоративной культурой;</p> </li> <li> <p>Официальное оформление, белую заработную плату;</p> </li> <li> <p>Всю необходимую технику для работы;</p> </li> <li> <p>График работы 5/2 с гибким началом рабочего дня ;</p> </li> <li> <p>Возможность полностью удаленной работы;</p> </li> <li> <p>Уютный, двухэтажный офис с зоной отдыха, 2 кухнями и мини-библиотекой в 8 минутах ходьбы от ст.м. Выборгская;</p> </li> <li> <p>Образовательные мероприятия внутри команды (мы их назвали “ppsync”), где можно не только обмениваться опытом, но и прокачать скиллы ораторского мастерства и выступлений на публике;</p> </li> <li> <p>Регулярные командные мероприятия - вместе готовим на мастер-классе или катаемся на квадроциклах по бездорожью)</p> </li> </ul>",https://hh.ru/vacancy/69101900,69101900
Python Developer,Челябинск,Каслинская улица,[],,,,ICVR,between1And3,remote,2022-08-29T08:07:53+0300,"<strong>Пространство высокого интеллекта ICVR https://icvr.io/ п</strong>риглашает к сотрудничеству<strong> Python Developer </strong>на наш новый проект Unreal Engine and DCC virtual production tooling<strong> </strong>(разработки будут использоваться в LiveOps AAA студий и крупнейших кинокомпаний)<strong>!</strong> <p><br />Наша компания привносит инновации в различные сферы деятельности. Используя передовой опыт работы с игровыми движками Unity и Unreal, мы создаем с нуля и преобразуем существующие стандартные продукты и услуги в новые интерактивные формы.</p> Наши признанные на мировом рынке команды опытных разработчиков, гейм-дизайнеров, художников предлагают полный цикл разработки от дизайна до сложных инженерных решений и современного художественного оформления! <p><br /><strong>Что предстоит делать:</strong><br />- разрабатывать и улучшать инструменты для Virtual Production в редакторах Unreal Engine 5, Maya, Substance Painter, Blender, Nuke, After Effects;<br />- разрабатывать кастомные плагины для этих редакторов;<br />- разрабатывать плагины глубокой интеграции различных веб-сервисов;<br />- разрабатывать и улучшать микросервисы компании;<br />- обеспечивать стабильность и качество разработки инструментов, качество архитектуры и кода;<br />- развивать и улучшать существующие инcтрументы, разрабатывать и внедрять новые;<br />- реалистично оценивать задачи с учетом возможных рисков;<br />- писать техническую документацию;<br />- участвовать в формировании и развитии команды (проведение технических интервью, live-coding);<br />- взаимодействовать с менеджерами по проекту, художниками, UI/UX дизайнерами, геймдизайнерами, аналитиками и программистами.<br /><br /><strong>Что мы ожидаем:</strong><br />- уверенное знание Python 3;<br />- знание структур данных Python, алгоритмов работы с ними;<br />- следование принципам DRY, SOLID;<br />- умение писать чистый, понятный код с использованием PEP-8, Docstrings;<br />- составление документации на английском языке;<br />- понимание принципов ООП, опыт их применения;<br />- знание паттернов проектирования (Итератор, Декоратор, Dependency Injection, Singleton и пр.);<br />- знание форматов данных (JSON, YAML, XML и пр.);<br />- опыт работы с VCS (Git, GitLab, …).<br /><br /><strong>Плюсом будет:</strong><br />- опыт работы с Digital Content Creation tools (DCC): Unreal Engine, 3Ds Max, Maya, Blender (опыт написания плагинов, знание API перечисленных программ);<br />- опыт работы с Perforce, ShotGrid;<br />- опыт работы с PyQt, PySide или другими GUI фреймворками;<br />- уровень английского языка от B1 (Intermediate).<br /><br /><strong>Наши условия:</strong><br />- Удаленный фуллтайм 40 часов в неделю;<br />- Достойная оплата в USD или в рублях, уровень обсуждается с кандидатом-финалистом;<br />- Оплачиваемый отпуск;<br />- Оплачиваемые уроки английского языка;<br />- Компенсация занятий спортом.<br /><br />Уважаемые кандидаты, на указанную позицию может быть предложено выполнить тестовое задание!</p>",https://hh.ru/vacancy/69242604,69242604
Junior Python разработчик,Санкт-Петербург,набережная Обводного Канала,"['Python', 'MySQL', 'Git', 'SOAP', 'REST', 'Qt', 'Unix']",60000,,RUR,Виста,between1And3,fullDay,2022-08-29T10:25:19+0300,"<p>Требуемый опыт работы: от года</p> <p>Полная занятость, полный день</p> <p><strong>О нас</strong><br /><br />Мы разрабатываем решения в области автоматизации медицинского документооборота более 20 лет. Главный офис нашей компании расположен в Санкт-Петербурге.</p> <p> </p> <p><strong>Приглашаем в нашу команду</strong> кандидата с высшим или неполным высшим образованием.</p> <p>Обратите, пожалуйста, внимание на перечень прослушанных дисциплин, которые хотелось бы нам увидеть в период вашего обучения:</p> <ul> <li>Алгоритмы и анализ сложности (70 ч);</li> <li>Архитектура вычислительных систем (70 ч);Вычислительная математика (100 ч);</li> <li>Компьютерные сети ( 70 ч);</li> <li>Математическая логика и теория алгоритмов (100 ч);</li> <li>Математический анализ (150 ч);</li> <li>Методы реализации СУБД (100 ч);</li> <li>Моделирование информационных процессов (70 ч);</li> <li>Операционные системы (70 ч);</li> <li>Основы программирования (200 ч);</li> <li>Программная инженерия (70 ч);</li> <li>Тестирование программного обеспечения (140 ч);</li> <li>Технологии Интернет и WEB – программирования (50 ч).</li> </ul> <p><strong>Наши продукты:</strong><br />* Комплекс Программных Средств &quot;Виста-Мед&quot;<br />* Личный кабинет пациента<br />* Мобильные приложения врача приёмного отделения и врача на дому<br />* Мессенджер ТАДАМ iOS/Android/Web<br />* А также десятки специализированных программных продуктов</p> <p><strong>Область ваших задач:</strong><br />* Поддержка и развитие Медицинской информационной системы (python2 + PyQt4 + MySQL) — Основная<br />* Написание и поддержка интеграций (python2/3 + REST/SOAP + MySQL)<br />* Разработка новых продуктов (python3 + Flask/Django + MySQL/PostgreSQL)</p> <p><strong>Условия работы:</strong><br />* Работа в офисе в центре города, станция метро Пушкинская-Звенигородская, БЦ Нептун<br />* Полный рабочий день. Гибкое начало рабочего дня (до 11ти утра)<br />* Начальный уровень з/п от 60000<br />* Официальное оформление по ТК РФ</p> <p><strong>Обязательные требования:</strong><br />* Опыт коммерческой разработки от 1 года<br />* Владение Python 2/3<br />* Владение (My)SQL, конкретно:<br />* * Уметь написать запросы, достаточные для CRUD (SELECT, INSERT, UPDATE, DELETE, JOIN, GROUP BY, HAVING, COUNT, DISTINCT, ORDER BY, LIMIT).<br />* * Уметь написать запросы для изменения модели данных (CREATE/ALTER)<br />* * Иметь опыт в использовании индексов, дебага, применении команды EXPLAIN<br />* * Иметь опыт в написании хранимых процедур и событий<br />* Знание Unix: shell, ssh, systemctl/service, port forwarding, netstat<br />* Знание git, subversion</p> <p><strong>Будет бонусом:</strong></p> <p>* Базовые представления об алгоритмах и структурах данных<br />* Знание Java</p> <p><strong>Собеседование:</strong></p> <p>1 этап: необходимо выполнить тестовое задание;</p> <p>2 этап: встреча с кандидатом.</p>",https://hh.ru/vacancy/69250387,69250387
Data Scientist,Санкт-Петербург,Уральская улица,"['Python', 'SQL', 'Machine Learning', 'Скоринг', 'Рисковые модели']",200000,,RUR,Агент Умный полис,between1And3,remote,2022-08-31T13:51:57+0300,"<p>AgentApp - современная и надежная платформа онлайн-страхования. Наши сервисы уже успешно встроены в экосистемы <strong>Сбербанк, OZON, ВТБ, Газпром-Нефть, МТС, Райффайзен, Mail.ru</strong><strong>. </strong>Над продуктом работает единая команда разработчиков, аналитиков, маркетологов а также экспертов в страховом бизнесе.</p> <p><br />На данный момент мы в поиске талантливого <strong>Data Scientist с опытом разработки моделей скоринга</strong>, который поможет нам стать еще лучше!<strong> </strong></p> <p><strong>Основные задачи,которые предстоит решать:</strong></p> <p><br />● Составление моделей сегментирования данных и методик обнаружения случаев мошенничества;</p> <p>● Разработка моделей сегментации клиентов на основании их профилей и анализа их поведения;</p> <p>● Разработка моделей страхового скоринга с использованием данных сайта и информации из соцсетей;</p> <p>● Улучшение инструментов мониторинга, моделей collection-скоринга;</p> <p>● Отслеживание текущих показателей;</p> <p>● Обеспечение чистоты входящих данных;</p> <p>● Улучшением текущих моделей;</p> <p>● Актуализация.<br /><br /><strong>С какими сервисами и языками предстоит работать:</strong><br /><br />● Python/R/Go;<br />● Jupyter notebook, Matlab или аналоги;<br />● SQL, NoSQL;<br />● BI-системы.<br /><br /><strong>Что мы ожидаем от тебя:</strong><br /><br />● Знание и опыт работы с машинным обучением<br />(регрессия/классификация, обучение с учителем/без учителя, кроссвалидация, переобучение и т.д.);<br />● Знание математических моделей (линейная и логистическая регрессия, градиентный бустинг);<br />● Знание математической статистики (дисперсия, мат.ожидания, квантиль, дисперсия и т.д.);<br />● Уверенное знание Python и применение библиотек (pandas, Scikitlearn, Matplotlib, pytorch, tensorflow и т.д) - на ваш выбор;<br />● Знание, как подготовить данные для обучающей выборки и исследования;<br />● Опыт участия в завершенных проектах - рассказать о результатах проекта и вашем вкладе в него;<br /><strong>● Опыт внедрения моделей в продакшн и работы в сфере Data Science - будет вашим большим преимуществом!</strong></p> <p> </p> <p><strong>У нас ты можешь рассчитывать на:</strong></p> <p>● Сильную команду, с которой можно расти;</p> <p>● Сложные задачи для сервисов с миллионами пользователей;</p> <p>● Возможность влиять на процесс и результат;</p> <p>● Можно работать из дома или релокация в Петербург (поддержка при релокации);</p> <p>● Комфортный офис для сотрудников из СПб;</p> <p>● Гибкое начало рабочего дня с 9-11, 8-ми часовой рабочий день + 1 час обеда в любое удобное время;</p> <p>● Увеличение оклада за достижение целей;</p> <p>● Отпускные исходя из полной суммы оклада + 2 доп. дня отдыха в году;<br /><br />● ДМС;</p> <p>● Бюджет на софинансирование образования, спорта. Книги бесплатно.</p> <p> </p> <p><strong><em>Мы - команда профессионалов, разделяющих идею экологичного общения,</em></strong></p> <p><strong><em>комфортного и эффективного сотрудничества. Неоценимый вклад в наше</em></strong></p> <p><strong><em>общее дело вносит каждый. И если ты:</em></strong></p> <p><strong><em>- ориентирован на результат;</em></strong></p> <p><strong><em>- трудолюбив и последователен;</em></strong></p> <p><strong><em>- открыт новому и принимаешь концепцию life long learning;</em></strong></p> <p><strong><em>- уважаешь свое и чужое время </em></strong></p> <p><strong><em>Мы ждем тебя у нас в команде!</em></strong></p>",https://hh.ru/vacancy/69175957,69175957
Python-разработчик в R&D отдел,Москва,Петровский бульвар,"['ООП', 'HTTP', 'Python', 'Git']",100000,150000,RUR,Селфсек,between1And3,remote,2022-08-30T21:59:38+0300,"<p><strong>Обязанности</strong>:</p> <ul> <li>Написание чистого, понятного кода</li> <li>Реализация сетевых клиентов и протоколов по документации</li> <li>Взаимодействие с исследователями</li> <li>Покрытие тестами</li> <li>Написание документации</li> <li>Ведение репозитория (версионирование, релизы, поддержка)</li> </ul> <p> </p> <p><strong>Требования</strong>:</p> <ul> <li>Уверенное знание Python3</li> <li>Умение использовать ООП</li> <li>Знание сетевых протоколов разного уровня (TCP, UDP, HTTP, WebSocket, etc) и способов сериализации (struct, protobuf, json, etc)</li> <li>Опыт многопоточной и асинхронной разработки (threading, asyncio), знание примитивов синхронизации</li> <li>Умение покрывать свой код автотестами (pytest, tox, mock) и пользоваться линтерами (flake8, pylint, mypy)</li> <li>Умение работать с системами контроля версий (Git)</li> </ul> <p> </p> <p><strong>Как преимущество</strong>:</p> <ul> <li>Опыт реверс-инжиниринга и анализа трафика</li> <li>Понимание основ криптографии</li> </ul>",https://hh.ru/vacancy/49299311,49299311
Python developer,,,"['Python', 'Git', 'SQL', 'Flask', 'Docker']",,,,LC Group,between1And3,remote,2022-08-29T05:55:50+0300,"<p><strong>LС Group </strong>– международная IT-компания из Сибири. Мы развиваем ряд сервисов в области автоматизации сегмента онлайн-кредитования.</p> <p>Мы создаем большую информационную систему, которая включает в себя клиентский сайт, мобильное приложение, CRM и CMS системы. Также, мы развиваем ряд дополнительных наукоёмких сервисов с использованием Data Science и Machine Learning.</p> <p>Мы постоянно развиваемся. За три года наша команда выросла и на сегодняшний день нас уже более 100 человек.</p> <p>Сейчас мы в поисках Python developer в нашу команду R&amp;D.</p> <p><strong>Что мы делаем:</strong></p> <p>Наша команда разрабатывает продукт, который мы зовём “кредитный робот” - это сервис в рамках которого происходит скоринг, антифрод, формирование условий для заёмщика и ряд иных функций.</p> <p>Мы достаточно хорошо продвинулись в улучшении сервиса “в глубину” и сейчас расширяем скоуп возможностей сервиса. Также мы стали проводить намного больше тестов, пайплайны стали сложнее, метрик стало больше, поэтому расширяем нашу команду.</p> <p><strong>Наши процессы: </strong></p> <ul> <li> <p>всё достаточно гибко и прозрачно: вся команда работает с доской, соблюдает лимиты, непрозрачных задач нет;</p> </li> <li> <p>работаем без ТЗ: на вход получаете подробное описание проблемы и предложение решения от Product Owner/Product Manager, дальше самостоятельно решаете как лучше это сделать, а в случае сложных архитектурных задач будет подробный документ от системных аналитиков;</p> </li> <li> <p>возможность удаленной работы: можете находиться где угодно, главное, быть на связи с 11 до 16 по Новосибирску;</p> </li> <li> <p>мы часто отдаём приоритет техническим задачам, чтобы сделать работу эффективнее и минимизировать число костыльных решений;</p> </li> <li> <p>минимум бюрократии: самый бюрократизированный процесс, это трудоустройство, дальше - минимум бумаг и согласований.</p> </li> </ul> <p><strong>Чем предстоит заниматься:</strong></p> <ul> <li> <p>развитие и поддержка сервиса многофакторной оценки клиентов на базе моделей машинного обучения;</p> </li> <li> <p>разработка и поддержка инструментов и инфраструктуры для экспериментов машинного обучения;</p> </li> <li> <p>сбор и визуализация метрик для мониторинга сервисов и бизнес-показателей.</p> </li> </ul> <p><strong>Тебе потребуется (самое важное)</strong>:</p> <ul> <li> <p>знание Python, SQL;</p> </li> <li> <p>умение работать с git;</p> </li> <li> <p>опыт работы с реляционными базами данных;</p> </li> <li> <p>понимание принципов ООП;</p> </li> <li> <p>опыт работы с Docker;</p> </li> <li> <p>опыт работы с web-фреймворками (Django, aiohttp, tornado, flask, etc.).</p> </li> </ul> <p><strong>Плюсом будут:</strong></p> <ul> <li> <p>знания/опыт работы с очередями сообщений;</p> </li> <li> <p>опыт работы с асинхронными фреймворками;</p> </li> <li> <p>опыт работы с инструментами тестирования (unittest, pytest, ...);</p> </li> <li> <p>опыт работы с Grafana, Prometheus, ELK-стеком.</p> </li> </ul> <p><strong>Мы гарантируем:</strong></p> <ul> <li> <p>соблюдение всех обязательств по ТК РФ. «Белая» заработная плата;</p> </li> <li> <p>ДМС для всех сотрудников (амбулаторное лечение + стоматология);</p> </li> <li> <p>динамичный и быстроразвивающийся бизнес, ресурсы, возможность сделать вместе лучший продукт на рынке fintech;</p> </li> <li> <p>профессиональную команду, которой мы гордимся;</p> </li> <li> <p>регулярные ревью, ретроспективы на проектах, индивидуальный подход к твоему развитию;</p> </li> <li> <p>возможность проявлять инициативу и стать реальным двигателем изменений в компании – мы всегда готовы обсуждать и реализовывать лучшие идеи;</p> </li> <li> <p>насыщенная корпоративная жизнь и развитая инженерная культура: посещение конференций, регулярная организация внутренних мероприятий для обмена опытом и дискуссий, неформальные корпоративные мероприятия.</p> </li> </ul> <p> </p>",https://hh.ru/vacancy/69239561,69239561
Data Analyst,,,"['Data Mining', 'Python', 'SQL', 'Pyspark']",,,,INSITECH Development,between1And3,fullDay,2022-09-01T12:59:17+0300,"<p><strong>Мы в компании «INSITECH Development» работаем над различными IT проектами, как собственными, так и для наших клиентов - лидеров российского рынка. Мы активно осваиваем новые направления и аудитории. «INSITECH Development» — команда единомышленников, которая создает инновационные продукты и ценит своих сотрудников. Мы растем и расширяемся.</strong></p> <p><strong><em>В связи с этим в нашу команду требуется</em><em> Data Analyst</em></strong></p> <p><em><strong>Работа над проектами происходит с использованиями гибкого фреймворка SCRUM</strong></em></p> <p> </p> <p><strong>Чем предстоит заниматься: </strong></p> <ul> <li> <p>Подготовка различных выборок по запросам бизнеса и для проектных исследовательских целей</p> </li> <li> <p>Регулярный анализ маркетинговых кампаний, сравнение показателей before/after</p> </li> <li> <p>Создание и поддержание интерактивных дашбордов, автоматизированных отчетов</p> </li> <li> <p>Проведение Ad-hoc аналитики</p> </li> <li> <p>Анализ результатов A/B тестов</p> </li> <li> <p>Взаимодействие с продуктовой командой</p> </li> </ul> <p><strong>Для нас очень важно что бы у Вас было:</strong></p> <ul> <li> <p>Уверенное знание математической статистики и умение использовать ее в работе</p> </li> <li> <p>Уверенное знание Python на уровне стандартных библиотек для анализа данных (numpy, pandas, scikit-learn, statsmodels)</p> </li> <li> <p>Хорошее владение SQL (join, фильтрация, агрегирование, группировка)</p> </li> </ul> <p><strong>Работа у нас — это:</strong></p> <ul> <li>c первого дня новый MacBook Pro 16</li> <li>команда профессионалов, готовых поддержать ваши инициативы</li> <li>дополнительные мониторы и всё, что нужно для продуктивной работы</li> <li>возможность работы с новыми технологиями</li> <li>гибкий график</li> <li>возможность удаленной работы</li> <li>ДМС после испытательного срока</li> <li>достойная зарплата — размер обсудим на собеседовании</li> </ul> <p>Будем благодарны если Вы коротко расскажете о себе в сопроводительном письме.</p> <p><strong>С нетерпением ждем Ваших откликов!</strong></p> <p> </p> <p> </p>",https://hh.ru/vacancy/67887449,67887449
