name,city,address,key_skills,sal_from,sal_to,currency,company,experience,schedule,published_at,description,alternate_url,id
Python-разработчик,Санкт-Петербург,улица Рентгена,"['Python', 'Django Framework', 'PyCharm', 'ORM', 'Vim', 'CRM']",100000,,RUR,NeoFamily,noExperience,fullDay,2022-09-01T15:28:07+0300,"NeoFamily – онлайн-школа по подготовке к ЕГЭ. Мы работаем с 2019 года. Стали резидентами инновационного центра «Сколково» и вошли в Топ-5 по численности учеников.<br /><br /><strong>Обязанности:</strong> <ul> <li>Разработка CRM</li> <li>Разработка системы аналитики для образовательной платформы</li> </ul> <strong>Требования:</strong> <ul> <li>Python 3</li> <li>Django (Django Admin, Django ORM)</li> <li>MySQL</li> <li>ssh, bash, git, nginx</li> <li>Релевантный опыт, кандидатов после окончания курсов без коммерческого опыта не рассматриваем</li> </ul> <strong>Условия:</strong> <ul> <li>Комфортабельный офис в центре Петербурга (возможна частичная удаленная работа)</li> <li>Дружелюбный коллектив</li> <li>Огромный перспективы для развития в IT, ведь мы - резиденты Сколково</li> <li>Официальное оформление и белые выплаты</li> </ul>",https://hh.ru/vacancy/69383112,69383112
Преподаватель по Python (Python developer),,,"['Работа в команде', 'Грамотная речь', 'Публичные выступления', 'Python', 'Проведение семинаров', 'Обучение и развитие']",,,,GeekBrains,noExperience,fullDay,2022-08-17T16:36:54+0300,"<p>Привет!</p> <p>Мы GeekBrains — российская образовательная платформа: обучаем программированию, дизайну, маркетингу, менеджменту и другим IT-профессиям. Делаем так, чтобы студенты получали качественные знания и трудоустраивались в отечественные и зарубежные компании. Помогаем делать первые шаги в профессии с помощью бесплатных программ, статей и мастер-классов. Работаем с 2010 года.</p> <p><strong>Ищем эксперта-преподавателя по курсу &quot;Знакомство с языком Python&quot;.</strong><br />Преподаватель — это практикующий эксперт уровня middle и выше. Он ведет только вебинары, ему не нужно создавать программу курса или делать презентации. Опыт в преподавании желателен, но не обязателен: основы дадим в школе экспертов GeekBrains. Преподаватель может обучать взрослых или детей.</p> <p><strong>Что делает эксперт-преподаватель?</strong></p> <ul> <li>проводит семинары продолжительностью полтора-два часа. Преподаватель хорошо знает материал, умеет объяснять сложное простыми словами, не читает по бумажке;</li> <li>отвечает на вопросы студентов — как на семинаре, так и в личном кабинете GeekBrains и мессенджерах;</li> <li>проводит командную работу со студентами;</li> <li>разбирает домашние задания. У преподавателя свой личный кабинет в GeekBrains: он видит все работы студентов и выставляет оценки;</li> <li>взаимодействует с деканом и методистом. Декан помогает преподавателю акклиматизироваться в GeekBrains, а методист — разобраться в сложных вопросах по программе.</li> </ul> <p><strong>Какие требования?</strong></p> <ul> <li>Быть преподавателем Python от 1 года и/или иметь опыт разработки на этом ЯП.</li> </ul> <p><strong>Что предлагаете?</strong></p> <ul> <li>оплату за каждый проведённый семинар: деньги приходят одной суммой в конце месяца;</li> <li>полностью удалённую работу, которую удобно совмещать с основной;</li> <li>закрытое комьюнити GeekTalks, в котором вы сможете обмениваться опытом с коллегами, познакомиться с владельцами бизнеса и экспертами из крупных компаний, находить партнёров, просто общаться.</li> <li>возможность усилить личный бренд и гибкие навыки: сможете проводить онлайн-мероприятия, обучать junior-специалистов, выступать на конференциях и подкастах.</li> </ul>",https://hh.ru/vacancy/68451766,68451766
"Python-разработчик / Python Fullstack Developer (middle/senior level, remote work)",,,"['Python', 'Английский язык', 'Docker', 'Django Framework', 'Vue.js', 'Flask', 'CI/CD', 'Django', 'React']",,,,Новео,noExperience,fullDay,2022-08-15T16:36:10+0300,"<p><strong>НОВЕО </strong>- международная компания, с 2002 года предоставляющая услуги по заказной разработке ПО для западноевропейского рынка.</p> <p><strong>Где можно работать:</strong> удаленно из любой страны либо в одном из офисов компании.</p> <p><strong>Как можно работать:</strong> по трудовому договору с оплатой в валюте страны или через договор с ИП/самозанятым с оплатой в евро.</p> <p><strong>Рабочие языки на проектах:</strong> английский, русский, французский.</p> <p>Решение о найме в 99% случаев принимается после одного собеседования.</p> <p>Мы приглашаем в компанию фулстек разработчиков с опытом разработки коммерческих проектов на <strong>Python и React / Vue</strong>.</p> <p><strong>Чего мы ждём от кандидата:</strong></p> <ul> <li>отличные знания и опыт разработки на Python (фреймворк Flask или Django);</li> <li>отличные знания и опыт работки фронтенда на React или Vue.js;</li> <li>хорошие знания и опыт работы с реляционными базами данных (PostgreSQL), с серверами очередей (RabbitMQ), c Redis;</li> <li>опыт проектирования микросервисной архитектуры;</li> <li>знания в области DevOps будут плюсом (Docker, AWS, ECS, CI/CD, Terraform, Ansible, Gitlab);</li> <li>разговорный английский;</li> </ul> <p><strong>Что ты получишь:</strong></p> <ul> <li> <p>достойный уровень заработной платы и регулярный ее пересмотр по результатам performance review;</p> </li> <li> <p>трудоустройство по трудовому договору страны или через договор с ИП без привязки к определенному местонахождению;</p> </li> <li> <p>оплачиваемый отпуск и больничные;</p> </li> <li> <p>работа в профессиональной распределенной команде над интересными проектами;</p> </li> <li> <p>возможность изучения новых технологий и их применение на практике, внутреннее обучение;</p> </li> <li> <p>участие во внутренних мит-апах, постоянный обмен опытом с коллегами;</p> </li> <li> <p>четко выстроенные процессы и методологии разработки;</p> </li> <li> <p>бесплатное изучение иностранных языков в рабочее время с преподавателями компании (английский, французский);</p> </li> <li> <p>компенсацию медицинских услуг, массажа или спорта (внутренний аналог ДМС).</p> </li> </ul> <p><strong>О компании Новео:</strong></p> <ul> <li>20 лет на рынке;</li> <li>производственные отделы в странах Восточной Европы;</li> <li>клиенты: крупные западно-европейские компании с высокими стандартными качества к производству ПО (Decathlon, DIOR, Renault, BMW, Societe Generale и др.)</li> </ul>",https://hh.ru/vacancy/68801257,68801257
Программист Python,Санкт-Петербург,Белоостровская улица,"['CSS', 'Git', 'JavaScript', 'API', 'HTML', 'SQL', 'Nginx', 'Python', 'Gunicorn', 'Flask']",45000,,RUR,Траектория,noExperience,fullDay,2022-08-31T11:44:31+0300,"<p><em><strong>О НАС:</strong></em></p> <p>Мы компания-интегратор по внедрению сервиса геолокации подвижных и стационарных объектов: автомобилей, людей, грузов и другого имущества. Сервис предоставляется компаниям и физическим лицам – по всей России, а также за ее пределами. Услуга основана на технологиях GPS / ГЛОНАСС / LBS, при этом используются как GPS/ГЛОНАСС -трекеры, так и мобильные приложения.</p> <p><em><strong>ОСНОВНЫЕ ЗАДАЧИ:</strong></em></p> <ul> <li>Разработка новых web приложений.</li> <li>Принимать активное участие в обсуждении архитектурных решений.</li> <li>Проводить Code Review коллег.</li> <li>Автоматизация бизнес-процессов.</li> <li>Сопровождение и поддержка существующих проектов компании.</li> </ul> <p><em><strong>НАШИ ОЖИДАНИЯ ОТ БУДУЩЕГО СОТРУДНИКА:</strong></em></p> <ul> <li>Базовые знания Python3.</li> <li>Понимание ООП.</li> <li>Понимание REST API.</li> <li>Базовые знания SQL.</li> <li>Опыт работы с одним из web framework Python(Flask/Django/FastAPI и т.д.).</li> <li>Опыт работы в Linux.</li> </ul> <p><em><strong>БУДЕТ ПЛЮСОМ:</strong></em></p> <ul> <li>Знание JavaScript, HTML, CSS.</li> <li>Умение работать с Git.</li> <li>Опыт работы c ORM.</li> <li>Опыт коммерческой разработки.</li> <li>Наличие высшего технического образования.</li> </ul> <p><em><strong>МЫ ПРЕДЛАГАЕМ:</strong></em></p> <ul> <li>Работа в <strong>аккредитованной</strong> IT-компании.</li> <li>Свобода выбора стека технологий.</li> <li>Гибкое начало дня с 8:00 до 10:00.</li> <li>Оформление по ТК РФ.</li> <li>Работа в бизнес-центре А класса с панорамными окнами.</li> <li>Молодой коллектив.</li> </ul> <p><strong><em>УСЛОВИЯ</em>:</strong></p> <ul> <li>Достойный уровень дохода (зависит от квалификации и результатов).</li> <li>Пятидневный рабочий график.</li> <li>Испытательный срок до 3 месяцев. Имейте в виду, нам нужно будет время, чтобы с Вами познакомиться – минимум 1 месяц мы будем работать на условиях испытательного срока.</li> </ul> <p> </p> <p><em>В отклике укажите ссылку на github с примерами своих работ, если имеется.</em></p>",https://hh.ru/vacancy/68831817,68831817
Junior DevOPS Engineer (OnPrem Team),Санкт-Петербург,Большая Зеленина улица,"['Linux', 'Python', 'Bash', 'SQL', 'TCP/IP', 'Ansible', 'Docker']",,,,Just AI,noExperience,fullDay,2022-09-01T15:50:20+0300,"<p><strong>Just AI</strong> одна из лидирующих продуктовых компаний в сфере Conversational AI.</p> <p>Нашими продуктами пользуется около ста крупных российских и ряд международных IT-компаний, телеком-компаний, банков (Yandex, Mail.ru Group, Сбер, МТС, Мегафон, Альфа-банк, HH.ru, Qiwi, BNP Paribas). Наши SAAS платформы и инженерные фреймворки используют более 40 000 разработчиков и малых-средних компаний по всему миру.</p> <p>Наш фокус – технологии понимания естественного языка, инструменты для создания голосовых ассистентов, машинного обучения, speech synthesis and voice cloning, системы управления диалогом, NLU/NLP/DM/ODQA/CDQA.</p> <p>Мы приглашаем вас присоединиться к дружной и профессиональной команде в головной офис компании в самом сердце Санкт-Петербурга. Наша команда быстро растет, и сейчас мы ищем младшего инженера в команду контурных поставок платформы.</p> <p><strong>Ваши будущие задачи:</strong></p> <ul> <li>Установка, настройка, мониторинг и поддержка нашей платформы в контурах onprem-заказчиков;</li> <li> <p>Наблюдение за работой серверов, сервисов и оперативное реагирование на проблемы;</p> </li> <li> <p>Диагностика возникших проблем на начальном уровне с использованием средств анализа и просмотра лог-файлов;</p> </li> <li> <p>Устранение ошибок в системах (самостоятельно или с привлечением специалистов);</p> </li> <li>Заниматься автоматизацией рутинных задач разработки и эксплуатации (Jenkins, ansible, python).</li> </ul> <p><strong>Наши ожидания:</strong></p> <ul> <li> <p>образование высшее/неоконченное высшее, желательно в сфере IT;</p> </li> <li> <p>опыт работы или стажировки на аналогичной позиции (DevOPS/Системный администратор) от 3х месяцев;</p> </li> <li> <p>знание основ работы в командной строке ОС Linux;</p> </li> <li> <p>опыт написания простых SQL-запросов, знание основ работы с реляционными СУБД;</p> </li> <li> <p>знание основных принципов функционирования IP сетей, базовых сетевых протоколов, стека протоколов TCP/IP;</p> </li> <li> <p>опыт практического взаимодействия (можно учебного опыта) с ansible, terraform, docker.</p> </li> </ul> <p><strong>Будет плюсом:</strong></p> <ul> <li> <p>знакомство с Python, Bash;</p> </li> <li> <p>знание основ функционирования любого сервера web-приложений (например: Apache, Nginx);</p> </li> <li> <p>знакомство с системами контроля версий.</p> </li> </ul> <p><strong>Мы предлагаем:</strong></p> <ul> <li> <p>Официальное оформление по ТК, официальная з/п;</p> </li> <li> <p>Гибридный график работы: несколько дней в неделю можно оставаться работать из дома;</p> </li> <li> <p>Отличный современный офис, в котором предусмотрено все для комфортной работы: от велопарковок и удобной мебели до общих рабочих зон и обилия фруктов и снеков;</p> </li> <li> <p>Самое сердце Санкт-Петербурга, Петроградская сторона, неподалеку от ИТМО и офисов самых известных IT-компаний города и мира, в шаговой доступности от известных IT-шных баров, площадок для митапов;</p> </li> <li> <p>Just AI входит в группы IT-компаний i-Free, объединяющей 16 компаний со штатом около 1000 человек – обилие ивентов по обмену опытом, митапов, возможности для горизонтального развития в компаниях группы;</p> </li> <li> <p>Неповторимая корпоративная культура Just AI DNA, вечеринки, джаз-концерты, совместные кинопросмотры и многое другое…</p> </li> </ul>",https://hh.ru/vacancy/68165906,68165906
"Junior Product manager/ Менеджер интеграции (SaaS, eCommerce)",,,"['SQL', 'JavaScript', 'Python', 'HTML', 'CSS', 'SCALA', 'Java', 'Техническая поддержка']",,100000,RUR,DIGINETICA,noExperience,remote,2022-08-31T16:37:04+0300,"<p><strong>DIGINETICA — </strong>технологическая компания, основанная в 2014 году, разработчик продуктов и решений для онлайн ритейла.</p> <p><strong>AnyQuery — </strong>лидер поисковых SaaS-решений для eCommerce в России, как по занимаемой нише, так и по количеству крупнейших партнеров. Наш сервис AI поиска используют Ситилинк, Петрович, Sunlight, Золотое Яблоко, 220 вольт, Азбука Вкуса, Эльдорадо и еще 300 ритейлеров.</p> <p>Мы делаем удобными поиск и покупки товаров для 20 млн пользователей в РФ, за счет чего повышается конверсия в магазинах и они выбирают нас.</p> <p>Мы растем х2 в год и ищем специалиста, который поможет нам в запуске нового продукта — товарные рекомендации.</p> <p><strong>Что будешь делать:</strong></p> <ul> <li>поможешь запустить продукт на десятках сайтов крупнейших интернет-магазинов России и СНГ;</li> <li>разберешься в сложных AI технологиях;</li> <li>плотно взаимодействовать с продуктовой командой, чтобы сделать наш сервис рекомендаций еще лучше.</li> </ul> <p><strong>Среди твоих задач будет:</strong></p> <ul> <li>эффективная коммуникация с клиентом, понимание его потребностей и управление ожиданиями;</li> <li>сбор и анализ требований к функциональности продукта;</li> <li>настройка алгоритмов рекомендаций для клиентов;</li> <li>анализ данных для выявления точек роста продукта.</li> </ul> <p><strong>Что мы от тебя ждем:</strong></p> <ul> <li>высшее техническое образование или курсы по программированию и/или аналитике данных;</li> <li>понимание процесса вёрстки (HTML, CSS, JS);</li> <li>знания языка программирования Python, Java, JS, SQL или Scala;</li> <li>будет плюсом опыт работы в технической поддержке.</li> </ul> <p><strong>Работая с нами, ты получишь:</strong></p> <ul> <li>полностью удаленный формат, мы не приверженцы офисных посиделок;</li> <li>плавающее начало рабочего дня, график: 5/2 режим: 9-18 или 10-19;</li> <li>возможность перенимать опыт у лучших профессионалов;</li> <li>оформление по ТК РФ с первого дня и полностью белая ЗП;</li> <li>мы заботимся о твоем ментальном здоровье и предлагаем скидки на услуги сервиса &quot;Ясно&quot;;</li> <li>возможность изучать английский по корпоративной программе совместно с &quot;Skyeng&quot;;</li> <li>льготная IT ипотека по ставке до 5%.</li> </ul>",https://hh.ru/vacancy/68850564,68850564
Full-stack разработчик,,,"['MySQL', 'PostgreSQL', 'Python', 'PHP', 'JavaScript', 'HTML', 'CSS', 'drupal', 'Symfony']",,,,UserGate,noExperience,fullDay,2022-08-30T10:39:32+0300,"<p>Компания UserGate - российский разработчик программного обеспечения и микроэлектроники в области сетевой информационной безопасности.</p> <p>Решения UserGate обеспечивают защиту крупного бизнеса, государственных организаций, телекоммуникационных компаний, учебных и научных организаций, среднего и малого бизнеса. UserGate предоставляет своим клиентам системы защиты компьютерных сетей, центров обработки данных и другой инфраструктуры от всевозможных интернет-угроз, незаконного проникновения, таргетированных атак, нарушений корпоративных политик.</p> <p>Офис разработки UserGate находится в Технопарке Академгородка Новосибирска, уникальной площадке для деятельности компаний, занимающихся производством высокотехнологичных продуктов, фронт-офис находится в Москве в БЦ Фили Град. UserGate также имеет представительство в Хабаровске. В данный момент мы открываем офис в Санкт-Петербурге.</p> <p><strong>Мы предлагаем:</strong></p> <ul> <li>интересную работу, где вы всегда будете решать непростые задачи;</li> <li>поддерживающее профессиональное окружение – работа в команде с лучшими специалистами в своей сфере;</li> <li>непрерывное развитие и обучение – постоянно выпускаем новые версии и решения UserGate.</li> </ul> <p><strong>Ваши задачи:</strong></p> <ul> <li>разработка и сопровождение нового проекта компании – пространства для профессионального сообщества пользователей решений UserGate, проектирование архитектуры, сопровождение проекта;</li> <li>поддержка и доработка имеющихся внутренних/внешних интернет-проектов компании;</li> </ul> <p><strong>Наши ожидания:</strong></p> <ul> <li>высшее образование;</li> <li>опыт коммерческой разработки от 3 лет;</li> <li>уверенное знание php, python, mysql, postgresql;</li> <li>уверенное знание html, css, javascript;</li> <li>будет плюсом опыт с drupal 7 и 9, symfony.</li> </ul> <p><strong>Условия работы:</strong></p> <ul> <li>работа в растущей команде профессионалов, с людьми, знающими и любящими свое дело;</li> <li>трудоустройство по ТК РФ с испытательным сроком 3 месяца;</li> <li>ДМС;</li> <li>занятость на полный рабочий день;</li> <li>комфортный, современный офис с полностью оборудованной кухней, с чаем, кофе и плюшками, расположенный в БЦ &quot;Санкт-Петербург Плаза&quot;;</li> <li>оплата 50% стоимости абонемента в фитнес-зале;</li> <li>уровень оплаты обсуждается на собеседовании.</li> </ul>",https://hh.ru/vacancy/68716898,68716898
QA Engineer (Junior),Санкт-Петербург,улица Профессора Попова,"['Python', 'Git', 'Postman', 'Ручное тестирование']",,,,ЛИИС Инженерные Решения,noExperience,fullDay,2022-08-30T13:31:04+0300,"<p><strong>ЛИИС</strong> <strong>Инженерные решения </strong>уже более 15 лет реализует проекты. Например, небоскреб в Петербурге «Лахта Центр», жилой квартал в Технопарке Сколково, умный жилой комплекс LOFTEC в центре Москвы и множество частных домов и квартир.</p> <p>Мы разрабатываем сервисы, инженерные системы и мобильные приложения. Делаем пространства умными, комфортными и удивительными.</p> <p><strong>Наши направления:</strong><br />1. Автоматизация и диспетчеризация зданий.<br />2. Создание мультимедийных комплексов.<br />3. Собственная IT-разработка ПО.<br />4. Создание зарядной инфраструктуры для электромобилей.</p> <p>Мы любим наши продукты и вдохновляем друг друга стремиться к совершенству. И мы верим, что благодаря изобретательности нашей команды можно изменить мир и улучшить будущее. Нам нравится делать то, что другие не могут и ловим от этого кайф.</p> <p><strong>Твои задачи:</strong></p> <ul> <li>Ручное тестирование продукта.</li> <li>Написание и поддержка автотестов в Postman.</li> <li>Написание документации.</li> </ul> <p><strong>Наши пожелания к тебе:</strong></p> <ul> <li>Опыт ручного тестирование web и mobile-приложений.</li> <li>Умение работать с документацией, оформление баг репортов.</li> <li>Понимание клиент-серверной архитектуры.</li> <li>Навыки работы с Python.</li> <li>Навыки работы с Postman или другим REST-клиентом.</li> </ul> <p><strong>Со своей стороны готовы предложить:</strong></p> <ul> <li>Оформление по ТК РФ с первого дня, белую заработную плату (по результатам собеседования).</li> <li>Работа в комфортном и стильном офисе.</li> <li>Work-lifebalance: график 5/2 с гибким началом рабочего дня с 8 до 10.</li> <li>Забота о сотрудниках: оплата больничных по ТК РФ и возможность подключиться к программе ДМС.</li> <li>Развитие и усиление команды: оплатим курсы, отправим на профессиональную конференцию.</li> <li>Мы ценим и поддерживаем дружескую атмосферу в компании: нас уже больше 200, и мы сохраняем открытое, неформальное общение и ламповую атмосферу.<br /><p><strong>Нам нравится читать сопроводительные письма - напиши пару слов о себе.</strong><br /></p> <p><strong>Есть пример твоих работ? Отлично, присылай ссылку.</strong></p> </li> </ul>",https://hh.ru/vacancy/68609008,68609008
Младший инженер-тестировщик / QA Engineer (Junior),,,"['Python', 'Linux', 'Mac Os', 'QA', 'English']",,,,Беамр имэджинг РУ,noExperience,fullDay,2022-09-01T09:20:41+0300,"<p>Компания Beamr является мировым лидером в области ПО для кодирования и оптимизации видео и изображений. Офисы Beamr расположены в США, Израиле и России. Заказчиками компании являются известные киностудии, сервисы видео-стриминга, каналы телевидения, крупнейшие мировые медиа, социальные сети, сайты электронной коммерции и издательства.</p> <p>Мы объявляем о вакансии младшего инженера-тестировщика / QA Engineer (Junior) в Санкт-Петербургском офисе. Мы ищем талантливого инженера, готового влиться в команду QA и работать над повышением качества наших продуктов.</p> <p><strong>Обязанности:</strong></p> <ul> <li> <p>Ручное и автоматизированное тестирование ПО для кодирования/оптимизации изображений и видео</p> </li> <li>Разработка скриптов для автоматизированного тестирования</li> <li>Работа с тестовой документацией</li> <li>Занесение информации в базу дефектов и проверка их исправления</li> <li>Анализ результатов тестирования, составление отчетов</li> </ul> <p><strong>Требования:</strong></p> <ul> <li>Высшее образование в области программирования, IT или математики</li> <li>Профессиональное владение компьютером, опыт работы с различными операционными системами (Windows, Linux, MacOS)</li> <li> <p>Умение работать с командной строкой (cmd, bash), с файл-менеджерами (FAR,Total Commander, и т.п.)</p> </li> <li> <p>Опыт разработки на языках программирования: Python, Perl, C/C++, и т.п.</p> </li> <li> <p>Уровень владения английским языком Intermediate и выше</p> </li> <li> <p>Умение выполнять задачи в соответствии со сроками и приоритетами</p> </li> <li> <p>Коммуникативность, готовность работать в команде</p> </li> </ul> <p><strong>Плюсом будет:</strong></p> <ul> <li>Опыт работы в сфере IT (программирование, тестирование)</li> <li>Знание основ кодирования видео; опыт работы с ПО для кодирования (FFMPEG, x264/x265 и т.п.)</li> </ul> <p><strong>Мы предлагаем:</strong></p> <ul> <li>Интересную работу в компании, являющейся одним из лидеров индустрии</li> <li>Стать частью команды, более 25 лет работающей на рынке коммерческого ПО</li> <li>Официальное трудоустройство, белая зарплата, отпуск и больничные согласно ТК РФ</li> <li>Социальный пакет: ДМС, корпоративные мероприятия, удобный офис с парковкой</li> <li>Гибкий рабочий график, возможность удаленной работы</li> <li> <p>Конкурентная заработная плата, премирование по результатам труда</p> </li> <li> <p>Бесплатное обучение английскому языку в офисе компании</p> </li> <li> <p>Чай, кофе и снэки в офисе, предоставляемые компанией</p> </li> <li> <p>Дружный коллектив, творческая атмосфера, отсутствие формализма и бюрократии</p> </li> <li> <p>Метро Пл.Ленина в 10 минутах ходьбы</p> </li> </ul>",https://hh.ru/vacancy/68866990,68866990
IT-Рекрутер,,,"['Подбор персонала', 'Английский язык', 'Мотивация персонала', 'Рекрутмент', 'Психология', 'IT-рекрутмент', 'Реркрутинг', 'Технический рекрутмент', 'Поиск разработчиков', 'Деловая коммуникация']",,,,HIVE,noExperience,fullDay,2022-09-01T09:20:02+0300,"<p>Привет, мы <strong>HIVE </strong>– команда технических рекрутеров.<br /><br />Мы работаем с крупными продуктовыми и аутсорсинговыми IT-компаниями в сферах FinTech, AdTech, Social Networks &amp; Digital Media, GameDev, R&amp;D Engineering, Information Security, Search Engines &amp; eCommerce: ищем разработчиков, инженеров, технических менеджеров и просто редких специалистов для наших клиентов.<br /><br />Мы работает в различных странах: в РФ и СНГ, Украине, Евросоюзе и Северной Америке.<br />Мы рекрутим эффективно, с умом и в комфортной рабочей атмосфере.<br /><br /><strong>Кого мы ищем:</strong></p> <p>Мы ищем IT-рекрутеров, готовых присоединиться к нашей дружной проектной команде.</p> <p><strong>Мы работаем в парадигме, что опыт амбициям не помеха, поэтому мы с радостью пообщаемся с вами, даже если у вас нет опыта работы в подборе персонала или в IT. </strong></p> <p>Главное для нас – искренний интерес к нашей сфере, «горящие глаза» и желание не просто «ходить на работу», а иметь любимое и интересное дело.<br /><br />Вместе мы сформируем общую поисковую стратегию: предстоит контактировать разработчиков, используя весь скоуп актуального софта для технического сорсинга, зарываться в GitHub, Stackoverflow, в социальные сети и комьюнити, мониторить IT-события, строить рекомендательную систему.</p> <p>Нужно будет много общаться с разработчиками: выводить людей на разговор, проводить интервью, строить коммуникацию с клиентами, решать сложные и интересные кейсы: вести настоящие переговоры и доводить проекты до успешного финала.<br /><br /><strong>Что мы ожидаем от вас, и что будет плюсом:</strong></p> <p>В первую очередь – активный жизненный подход и желание что-то делать;<br />Грамотная устная и письменная речь;<br />Умение работать в режиме многозадачности, нацеленность на достижение результата и самостоятельное решение проблем;<br />Английский язык от Intermediate и желание использовать его в работе;<br />Финансовая мотивация: желание зарабатывать и настойчивость в достижении собственных финансовых целей.</p> <p>Отлично, если у вас есть опыт работы или стажировки в подборе персонала, представление о том, чем живет и как устроено IT-сообщество; знание основ сорсинга: X-ray, Boolean Search, Google Custom Engine, Chrome extensions; интерес к различным наукам (от психологии до физики), компьютерному железу и играм, к бизнес-новостям и просто наличие чувства юмора точно позволят нам легко найти общий язык.</p> <p><strong>Что у нас есть:</strong><br /><br />Веселый, молодой и успешный стартап, 0% бюрократии и крайне высокий уровень эмпатии в команде. Основное, что мы можем дать &quot;здесь и сейчас&quot; — это возможность хорошо зарабатывать и прокачивать профессиональные навыки в неформальной и приветливой атмосфере. Мы активно развиваемся и предоставляем много возможностей для роста.<br /><br />Работа в офисе/гибридном формате на испытательном сроке, возможность обсуждать удаленную работу после прохождения испытательного периода.<br />Комфортный хаб для сотрудников в центре Санкт-Петербурга на Большом Проспекте П.С.</p> <p>Обучение IT-рекрутменту (с уклоном в технологии) и возможность дальнейшего развития в компании. Мы умеем не только рекрутить в IT, но и программировать под собственные сорсинговые задачи. Если вам интересна реальная техническая составляющая сорсинга — научим писать SQL-запросы, обучим основам скриптинга на Python и работе с CLI-утилитами (исключительно если у вас будет соответствующее желание);</p> <p>Наша компания проводит корпоративные тренинги (теория по технологиям, коммуникация, сорсинг) в которых, при желании, вы сможете участвовать вместе с нами.</p> <p>Современное железо, ноутбуки, корпоративная мобильная связь;</p> <p>Посещение IT-events, лекции от коллег, разработчиков и инженеров в офисе.</p> <p>Конкурентный гарантированный оклад и прозрачная мотивационная схема: прогрессивный процент к окладу за успешное закрытие проектов.<br /><br />Приятные подарки и премии при успешной работе и при выполнении задач высокой сложности.</p>",https://hh.ru/vacancy/68501943,68501943
